timestamp,ax,ay,az,q0,q1,q2,q3
2613122,4944.0,4364.0,5128.0,0.87,0.342,-0.233,0.267
2613138,4924.0,5038.0,5230.0,0.869,0.344,-0.233,0.27
2613154,4602.0,4970.0,5466.0,0.867,0.345,-0.233,0.273
2613170,4504.0,4708.0,5830.0,0.866,0.346,-0.233,0.275
2613186,4634.0,5058.0,5838.0,0.865,0.348,-0.233,0.277
2613212,4700.0,4968.0,5514.0,0.863,0.35,-0.234,0.278
2613228,4734.0,4884.0,5322.0,0.863,0.351,-0.234,0.278
2613245,4774.0,4728.0,5320.0,0.863,0.351,-0.235,0.278
2613261,4576.0,4214.0,5396.0,0.864,0.35,-0.235,0.277
2613277,4450.0,4106.0,5554.0,0.865,0.347,-0.234,0.277
2613297,4308.0,3968.0,5902.0,0.866,0.345,-0.234,0.276
2613313,4158.0,3992.0,6130.0,0.867,0.343,-0.233,0.276
2613330,3938.0,3862.0,6286.0,0.868,0.342,-0.232,0.276
2613346,4108.0,4152.0,6182.0,0.868,0.341,-0.232,0.276
2613372,4106.0,3896.0,6074.0,0.869,0.339,-0.231,0.276
2613388,4096.0,3486.0,6150.0,0.869,0.338,-0.231,0.276
2613404,4104.0,3490.0,6096.0,0.87,0.338,-0.23,0.277
2613421,4054.0,3492.0,6126.0,0.87,0.338,-0.229,0.278
2613437,4168.0,3614.0,6162.0,0.869,0.338,-0.228,0.279
2613453,4066.0,3748.0,6198.0,0.869,0.339,-0.226,0.281
2613469,4102.0,3828.0,6218.0,0.868,0.34,-0.225,0.282
2613495,4090.0,3938.0,5962.0,0.868,0.34,-0.224,0.283
2613512,4124.0,3830.0,5948.0,0.868,0.341,-0.224,0.284
2613528,4234.0,4022.0,5978.0,0.868,0.341,-0.223,0.284
2613544,4174.0,3974.0,5888.0,0.868,0.341,-0.223,0.285
2613560,4218.0,4042.0,6050.0,0.868,0.341,-0.223,0.285
2613576,4220.0,3934.0,6032.0,0.868,0.341,-0.223,0.285
2613602,4200.0,3914.0,6026.0,0.868,0.341,-0.223,0.285
2613618,4294.0,3950.0,5984.0,0.868,0.341,-0.223,0.285
2613634,4130.0,3762.0,5934.0,0.868,0.341,-0.223,0.285
2613650,4146.0,3862.0,5990.0,0.868,0.341,-0.223,0.285
2613666,4176.0,3938.0,6004.0,0.868,0.341,-0.222,0.285
2613682,4156.0,3858.0,6036.0,0.868,0.341,-0.222,0.285
2613699,4170.0,3952.0,6086.0,0.868,0.341,-0.222,0.285
2613725,4204.0,3808.0,6030.0,0.868,0.341,-0.222,0.285
2613741,4160.0,3886.0,6014.0,0.868,0.341,-0.222,0.286
2613757,4176.0,3898.0,6026.0,0.868,0.341,-0.221,0.286
2613774,4224.0,3920.0,5928.0,0.868,0.341,-0.221,0.286
2613790,4120.0,4008.0,5956.0,0.868,0.341,-0.221,0.286
2613807,4214.0,4070.0,5986.0,0.868,0.34,-0.22,0.286
2613824,4172.0,3862.0,6038.0,0.868,0.34,-0.22,0.286
2613850,4180.0,3920.0,5972.0,0.869,0.34,-0.22,0.286
2613867,4144.0,3910.0,6044.0,0.869,0.339,-0.219,0.286
2613884,4130.0,3812.0,6066.0,0.869,0.339,-0.219,0.286
2613901,4216.0,3960.0,6012.0,0.869,0.339,-0.219,0.287
2613917,4158.0,3978.0,5998.0,0.869,0.338,-0.219,0.287
2613933,4218.0,3744.0,6042.0,0.869,0.338,-0.219,0.287
2613949,4272.0,3812.0,6112.0,0.87,0.337,-0.218,0.287
2613965,4222.0,3746.0,6090.0,0.87,0.337,-0.218,0.287
2613991,4254.0,3696.0,6020.0,0.87,0.337,-0.217,0.287
2614007,4176.0,3842.0,6110.0,0.87,0.337,-0.217,0.288
2614024,4118.0,3922.0,6064.0,0.87,0.337,-0.216,0.288
2614041,4140.0,3728.0,6134.0,0.87,0.337,-0.216,0.288
2614058,4110.0,3726.0,6094.0,0.87,0.337,-0.215,0.289
2614074,4120.0,3834.0,6030.0,0.87,0.337,-0.215,0.289
2614090,4088.0,3824.0,6044.0,0.87,0.338,-0.214,0.289
