timestamp,ax,ay,az,q0,q1,q2,q3
3976346,-424.0,5704.0,1415.0,0.692,0.626,0.257,0.253
3976363,-610.0,7140.0,1963.0,0.69,0.627,0.26,0.252
3976379,-1546.0,7656.0,3355.0,0.688,0.628,0.262,0.252
3976396,-834.0,8180.0,2275.0,0.687,0.628,0.264,0.253
3976412,-186.0,7734.0,951.0,0.683,0.63,0.269,0.254
3976438,-1524.0,10730.0,1699.0,0.678,0.632,0.276,0.255
3976454,-2308.0,10864.0,2349.0,0.676,0.631,0.282,0.256
3976470,-1490.0,8476.0,1927.0,0.676,0.629,0.287,0.257
3976486,-566.0,8192.0,545.0,0.673,0.629,0.294,0.256
3976503,-872.0,7396.0,215.0,0.668,0.631,0.302,0.254
3976519,-1820.0,7450.0,465.0,0.663,0.634,0.309,0.25
3976535,-1972.0,6788.0,169.0,0.657,0.64,0.315,0.245
3976562,-1242.0,5636.0,-863.0,0.649,0.647,0.32,0.24
3976579,-1220.0,5210.0,-671.0,0.64,0.656,0.325,0.235
3976595,-1506.0,5952.0,-273.0,0.63,0.664,0.33,0.23
3976612,-1750.0,6622.0,287.0,0.622,0.671,0.333,0.229
3976628,-1610.0,5986.0,823.0,0.617,0.675,0.333,0.23
3976644,-1784.0,5840.0,1263.0,0.615,0.676,0.331,0.233
3976660,-1340.0,5530.0,1121.0,0.614,0.677,0.329,0.239
3976686,-1010.0,8310.0,857.0,0.612,0.677,0.326,0.247
3976703,-2858.0,11922.0,-615.0,0.611,0.676,0.324,0.254
3976720,-3406.0,14136.0,-2107.0,0.612,0.674,0.322,0.259
3976737,-3520.0,13052.0,-2245.0,0.613,0.672,0.323,0.26
3976754,-2626.0,10938.0,-1575.0,0.615,0.67,0.324,0.26
3976771,-1674.0,8264.0,-1229.0,0.616,0.669,0.325,0.259
3976788,-1108.0,7036.0,-1361.0,0.619,0.668,0.324,0.256
3976805,-834.0,6216.0,-1041.0,0.622,0.668,0.322,0.254
3976822,-922.0,5946.0,-737.0,0.625,0.667,0.317,0.251
3976839,-582.0,5992.0,-537.0,0.629,0.668,0.311,0.249
3976856,46.0,7458.0,-813.0,0.632,0.668,0.304,0.248
3976873,-16.0,8022.0,-581.0,0.635,0.669,0.297,0.247
3976890,-586.0,8318.0,-37.0,0.637,0.67,0.293,0.244
