timestamp,ax,ay,az,q0,q1,q2,q3
4113201,-1444.0,8282.0,-937.0,0.603,0.611,0.401,0.319
4113217,-1460.0,7500.0,-759.0,0.604,0.61,0.401,0.32
4113243,-1378.0,7980.0,-911.0,0.605,0.609,0.4,0.32
4113259,-1380.0,8104.0,-829.0,0.607,0.608,0.4,0.32
4113275,-1568.0,8062.0,-721.0,0.608,0.607,0.399,0.32
4113291,-1514.0,8206.0,-645.0,0.61,0.606,0.398,0.319
4113307,-1594.0,8098.0,-415.0,0.613,0.605,0.396,0.318
4113323,-1450.0,7866.0,-179.0,0.615,0.605,0.394,0.317
4113349,-1420.0,7930.0,-171.0,0.618,0.604,0.392,0.315
4113366,-1264.0,8014.0,-223.0,0.621,0.603,0.39,0.314
4113382,-1414.0,7902.0,-243.0,0.623,0.602,0.389,0.312
4113398,-1056.0,7962.0,-227.0,0.626,0.601,0.387,0.311
4113415,-1244.0,7672.0,-59.0,0.629,0.6,0.387,0.309
4113431,-1132.0,8262.0,-123.0,0.631,0.599,0.386,0.308
4113448,-1210.0,8322.0,-109.0,0.633,0.597,0.385,0.306
4113465,-1070.0,8194.0,-29.0,0.635,0.596,0.384,0.305
4113491,-1020.0,7732.0,137.0,0.637,0.595,0.384,0.304
4113507,-1146.0,7766.0,235.0,0.638,0.595,0.383,0.303
4113523,-1064.0,7716.0,381.0,0.639,0.595,0.382,0.301
4113539,-1066.0,7894.0,379.0,0.64,0.596,0.382,0.299
4113555,-982.0,7894.0,407.0,0.641,0.597,0.381,0.296
4113571,-1042.0,8058.0,295.0,0.641,0.598,0.381,0.294
4113597,-1098.0,7908.0,341.0,0.64,0.6,0.381,0.292
4113613,-964.0,7916.0,255.0,0.64,0.601,0.381,0.29
4113629,-1128.0,7960.0,123.0,0.639,0.602,0.381,0.288
4113645,-1150.0,8016.0,-5.0,0.638,0.603,0.382,0.287
4113661,-1282.0,8084.0,41.0,0.637,0.604,0.384,0.286
4113677,-1508.0,8196.0,119.0,0.636,0.604,0.385,0.286
4113703,-1706.0,8270.0,109.0,0.635,0.604,0.386,0.286
4113719,-1932.0,7996.0,107.0,0.635,0.604,0.387,0.287
4113735,-1760.0,7984.0,-107.0,0.634,0.604,0.388,0.288
4113751,-1428.0,8652.0,-603.0,0.633,0.604,0.388,0.29
4113767,-1318.0,8178.0,-453.0,0.633,0.602,0.389,0.293
4113783,-1236.0,7606.0,-291.0,0.632,0.602,0.389,0.296
4113810,-1164.0,7714.0,-241.0,0.631,0.602,0.389,0.298
4113826,-1222.0,7674.0,-201.0,0.629,0.603,0.39,0.299
4113842,-1334.0,8024.0,-87.0,0.627,0.604,0.39,0.299
4113858,-1220.0,8354.0,-233.0,0.626,0.605,0.39,0.299
4113875,-866.0,8268.0,-255.0,0.625,0.606,0.39,0.299
4113891,-770.0,7882.0,-183.0,0.624,0.608,0.39,0.299
4113908,-670.0,8244.0,-603.0,0.623,0.609,0.39,0.298
4113935,-716.0,8346.0,-603.0,0.622,0.61,0.39,0.297
4113951,-678.0,8312.0,-391.0,0.622,0.61,0.39,0.297
4113967,-866.0,8002.0,-269.0,0.622,0.61,0.39,0.298
4113983,-1000.0,7966.0,-273.0,0.622,0.61,0.39,0.297
4114000,-974.0,8116.0,-391.0,0.622,0.611,0.391,0.297
4114016,-1016.0,8040.0,-395.0,0.621,0.61,0.391,0.298
4114033,-1008.0,8232.0,-601.0,0.621,0.61,0.392,0.298
4114049,-1310.0,8246.0,-549.0,0.621,0.609,0.392,0.299
4114076,-1338.0,7914.0,-347.0,0.621,0.608,0.393,0.3
4114092,-1338.0,7982.0,-393.0,0.621,0.607,0.394,0.301
4114109,-1494.0,8046.0,-395.0,0.62,0.607,0.395,0.302
4114125,-1640.0,8070.0,-411.0,0.62,0.606,0.396,0.303
4114142,-1646.0,7920.0,-343.0,0.62,0.605,0.396,0.303
4114158,-1678.0,8036.0,-417.0,0.62,0.604,0.397,0.304
4114174,-1646.0,8078.0,-529.0,0.62,0.604,0.397,0.305
4114200,-1700.0,8034.0,-509.0,0.62,0.603,0.397,0.306
4114216,-1920.0,7984.0,-307.0,0.62,0.603,0.397,0.306
4114232,-2200.0,8118.0,-197.0,0.62,0.604,0.396,0.307
4114248,-1784.0,8090.0,-341.0,0.62,0.605,0.394,0.307
4114264,-1374.0,8542.0,-717.0,0.62,0.607,0.391,0.308
4114281,-794.0,8256.0,-655.0,0.62,0.608,0.388,0.308
4114297,-562.0,7650.0,-297.0,0.621,0.609,0.385,0.309
4114314,-722.0,7610.0,-137.0,0.621,0.61,0.383,0.309
4114341,-838.0,7924.0,13.0,0.621,0.611,0.381,0.308
4114357,-578.0,8372.0,-105.0,0.622,0.612,0.379,0.307
4114373,-194.0,8590.0,-249.0,0.623,0.612,0.378,0.307
4114389,6.0,8430.0,-367.0,0.624,0.611,0.377,0.307
4114405,16.0,8098.0,-441.0,0.626,0.61,0.376,0.308
4114421,-128.0,7752.0,-315.0,0.627,0.608,0.376,0.308
4114447,-422.0,7712.0,-45.0,0.628,0.607,0.377,0.309
4114463,-760.0,7924.0,125.0,0.628,0.606,0.379,0.309
4114479,-788.0,8064.0,47.0,0.629,0.604,0.38,0.308
4114495,-1032.0,8056.0,61.0,0.629,0.603,0.382,0.308
4114511,-1124.0,7726.0,121.0,0.629,0.602,0.385,0.307
4114527,-1296.0,7712.0,63.0,0.628,0.601,0.388,0.307
4114553,-1602.0,7676.0,61.0,0.627,0.6,0.391,0.306
4114569,-1858.0,7876.0,-23.0,0.625,0.6,0.394,0.306
4114585,-1804.0,8158.0,-215.0,0.623,0.6,0.398,0.306
4114601,-1792.0,8482.0,-483.0,0.62,0.599,0.402,0.308
4114617,-1630.0,8346.0,-639.0,0.618,0.598,0.406,0.31
4114633,-1636.0,7998.0,-501.0,0.615,0.598,0.409,0.313
4114659,-1790.0,7542.0,-229.0,0.612,0.597,0.412,0.315
4114675,-1712.0,7534.0,-135.0,0.608,0.598,0.414,0.317
4114691,-1450.0,7836.0,-277.0,0.605,0.6,0.415,0.318
4114707,-996.0,8188.0,-219.0,0.602,0.603,0.416,0.319
4114723,-690.0,8084.0,-209.0,0.599,0.606,0.416,0.319
4114739,-362.0,8272.0,-391.0,0.596,0.608,0.416,0.319
4114765,64.0,8416.0,-605.0,0.593,0.611,0.416,0.32
4114781,290.0,8338.0,-607.0,0.591,0.612,0.417,0.32
4114798,278.0,8612.0,-739.0,0.589,0.612,0.418,0.321
4114814,22.0,8366.0,-667.0,0.588,0.612,0.419,0.323
4114830,-352.0,8298.0,-795.0,0.587,0.61,0.421,0.325
4114846,-616.0,8280.0,-833.0,0.586,0.608,0.424,0.327
4114872,-706.0,8996.0,-1413.0,0.587,0.605,0.426,0.329
4114888,-1126.0,8434.0,-1175.0,0.588,0.601,0.427,0.332
4114904,-1492.0,7532.0,-953.0,0.589,0.597,0.429,0.336
4114920,-1592.0,7606.0,-1053.0,0.59,0.594,0.43,0.338
4114936,-1760.0,7854.0,-981.0,0.591,0.591,0.432,0.339
4114952,-2006.0,7846.0,-1065.0,0.592,0.588,0.433,0.34
4114970,-1916.0,7986.0,-1195.0,0.593,0.586,0.434,0.341
4114996,-1962.0,7888.0,-1081.0,0.594,0.584,0.435,0.342
4115012,-1860.0,7846.0,-991.0,0.595,0.582,0.436,0.343
4115028,-1818.0,7842.0,-657.0,0.596,0.582,0.436,0.342
4115044,-1670.0,7988.0,-601.0,0.597,0.582,0.435,0.341
