timestamp,ax,ay,az,q0,q1,q2,q3
2980725,3043.0,3361.0,6643.0,0.916,0.265,-0.129,0.274
2980741,3071.0,3399.0,6607.0,0.916,0.265,-0.129,0.274
2980758,3089.0,3407.0,6591.0,0.916,0.265,-0.128,0.274
2980774,3035.0,3375.0,6639.0,0.916,0.265,-0.128,0.274
2980791,3059.0,3375.0,6623.0,0.916,0.265,-0.128,0.274
2980807,3019.0,3373.0,6587.0,0.916,0.265,-0.128,0.274
2980833,3013.0,3373.0,6661.0,0.916,0.265,-0.128,0.274
2980849,3005.0,3377.0,6651.0,0.916,0.265,-0.128,0.274
2980865,3039.0,3343.0,6645.0,0.916,0.265,-0.128,0.274
2980882,2973.0,3317.0,6641.0,0.916,0.264,-0.128,0.274
2980898,3023.0,3333.0,6607.0,0.916,0.264,-0.128,0.274
2980914,3079.0,3275.0,6665.0,0.916,0.264,-0.129,0.274
2980930,3109.0,3241.0,6697.0,0.916,0.264,-0.129,0.273
2980957,3049.0,3239.0,6707.0,0.916,0.264,-0.129,0.273
2980973,3121.0,3237.0,6669.0,0.916,0.264,-0.129,0.273
2980990,3099.0,3221.0,6655.0,0.916,0.264,-0.129,0.273
2981007,3115.0,3261.0,6599.0,0.916,0.264,-0.129,0.274
2981023,3063.0,3273.0,6581.0,0.916,0.264,-0.128,0.274
2981040,3035.0,3269.0,6641.0,0.916,0.264,-0.128,0.274
2981056,3001.0,3313.0,6679.0,0.916,0.264,-0.128,0.274
2981072,3051.0,3299.0,6669.0,0.916,0.264,-0.127,0.274
2981098,3011.0,3309.0,6649.0,0.916,0.265,-0.127,0.274
2981115,2983.0,3343.0,6623.0,0.916,0.265,-0.127,0.274
2981132,3045.0,3335.0,6629.0,0.916,0.265,-0.127,0.275
2981149,3099.0,3401.0,6571.0,0.916,0.265,-0.127,0.275
2981166,3133.0,3361.0,6529.0,0.916,0.265,-0.126,0.275
2981182,3123.0,3343.0,6577.0,0.916,0.264,-0.126,0.275
2981198,3057.0,3349.0,6669.0,0.916,0.264,-0.125,0.275
2981214,3005.0,3317.0,6679.0,0.916,0.264,-0.124,0.275
2981240,2895.0,3357.0,6659.0,0.916,0.264,-0.123,0.275
2981257,2861.0,3335.0,6745.0,0.916,0.263,-0.123,0.275
2981273,2773.0,3355.0,6739.0,0.917,0.263,-0.122,0.275
2981290,2745.0,3415.0,6691.0,0.917,0.263,-0.121,0.275
2981306,2719.0,3389.0,6685.0,0.917,0.263,-0.121,0.275
