timestamp,ax,ay,az,q0,q1,q2,q3
7321301,5418.0,4410.0,4233.0,0.803,0.436,-0.238,0.329
7321317,5394.0,4384.0,4259.0,0.802,0.437,-0.239,0.33
7321333,5470.0,4382.0,4317.0,0.801,0.438,-0.24,0.331
7321349,5450.0,4306.0,4251.0,0.8,0.439,-0.24,0.332
7321375,5678.0,4482.0,4137.0,0.798,0.441,-0.24,0.333
7321391,5486.0,4360.0,4163.0,0.797,0.442,-0.24,0.334
7321407,5552.0,4538.0,4087.0,0.796,0.444,-0.24,0.335
7321424,5578.0,4382.0,4015.0,0.795,0.445,-0.239,0.336
7321440,5466.0,4422.0,3997.0,0.794,0.446,-0.24,0.337
7321456,5520.0,4606.0,3997.0,0.793,0.447,-0.24,0.338
7321482,5558.0,4694.0,4039.0,0.792,0.448,-0.24,0.338
7321499,5416.0,4580.0,3933.0,0.791,0.449,-0.241,0.339
7321516,5522.0,4798.0,3913.0,0.79,0.45,-0.242,0.339
7321532,5530.0,4668.0,3935.0,0.789,0.451,-0.243,0.339
7321548,5570.0,4762.0,3855.0,0.788,0.452,-0.243,0.339
7321564,5552.0,4710.0,3855.0,0.788,0.453,-0.244,0.339
7321580,5564.0,4672.0,3885.0,0.787,0.454,-0.245,0.338
7321606,5590.0,4566.0,3853.0,0.787,0.454,-0.245,0.338
7321622,5666.0,4778.0,3849.0,0.787,0.455,-0.246,0.337
7321638,5650.0,4610.0,3725.0,0.787,0.455,-0.246,0.336
7321655,5748.0,4770.0,3751.0,0.787,0.455,-0.247,0.336
7321671,5760.0,4580.0,3789.0,0.787,0.455,-0.247,0.336
7321688,5702.0,4630.0,3755.0,0.787,0.455,-0.247,0.335
7321704,5684.0,4498.0,3769.0,0.788,0.454,-0.248,0.335
7321730,5682.0,4538.0,3793.0,0.788,0.453,-0.248,0.335
7321746,5650.0,4500.0,3827.0,0.788,0.453,-0.249,0.334
7321762,5670.0,4426.0,3875.0,0.789,0.452,-0.249,0.334
7321779,5638.0,4438.0,3905.0,0.789,0.451,-0.249,0.334
7321796,5640.0,4282.0,3943.0,0.789,0.451,-0.25,0.334
7321812,5624.0,4398.0,3953.0,0.79,0.45,-0.25,0.334
7321828,5648.0,4316.0,3965.0,0.79,0.45,-0.249,0.334
7321854,5602.0,4368.0,4027.0,0.79,0.45,-0.249,0.333
7321870,5572.0,4316.0,4007.0,0.79,0.45,-0.249,0.333
7321886,5528.0,4360.0,3975.0,0.79,0.451,-0.248,0.333
7321902,5552.0,4470.0,3981.0,0.79,0.452,-0.248,0.333
7321918,5574.0,4506.0,3939.0,0.789,0.452,-0.248,0.333
7321935,5568.0,4568.0,3891.0,0.789,0.453,-0.248,0.333
7321952,5654.0,4536.0,3857.0,0.789,0.453,-0.247,0.334
7321969,5700.0,4698.0,3799.0,0.789,0.454,-0.247,0.334
7321995,5654.0,4604.0,3763.0,0.788,0.454,-0.247,0.334
7322011,5656.0,4642.0,3731.0,0.788,0.454,-0.246,0.334
7322027,5514.0,4608.0,3803.0,0.788,0.454,-0.246,0.334
7322043,5524.0,4686.0,3863.0,0.789,0.454,-0.245,0.334
7322059,5484.0,4570.0,3889.0,0.789,0.454,-0.245,0.334
7322075,5446.0,4614.0,3977.0,0.789,0.454,-0.245,0.333
7322102,5530.0,4524.0,3951.0,0.789,0.454,-0.244,0.333
7322118,5460.0,4534.0,3981.0,0.79,0.454,-0.244,0.333
7322134,5542.0,4564.0,3937.0,0.79,0.454,-0.244,0.333
7322150,5522.0,4502.0,3947.0,0.79,0.454,-0.244,0.333
7322166,5476.0,4574.0,4045.0,0.79,0.454,-0.244,0.333
7322182,5544.0,4524.0,3939.0,0.79,0.454,-0.243,0.332
7322199,5544.0,4566.0,3887.0,0.79,0.455,-0.243,0.332
7322225,5510.0,4490.0,3961.0,0.789,0.455,-0.243,0.332
7322242,5626.0,4590.0,3771.0,0.789,0.456,-0.243,0.332
7322258,5648.0,4632.0,3765.0,0.789,0.457,-0.242,0.332
7322274,5542.0,4614.0,3823.0,0.788,0.458,-0.242,0.333
7322290,5550.0,4644.0,3865.0,0.788,0.458,-0.241,0.333
7322306,5554.0,4680.0,3817.0,0.788,0.459,-0.241,0.333
7322332,5540.0,4710.0,3809.0,0.788,0.46,-0.24,0.333
7322348,5554.0,4718.0,3767.0,0.787,0.46,-0.239,0.333
7322364,5526.0,4724.0,3821.0,0.787,0.461,-0.239,0.333
7322380,5446.0,4678.0,3815.0,0.787,0.461,-0.238,0.334
7322397,5438.0,4722.0,3813.0,0.787,0.461,-0.238,0.334
7322413,5488.0,4704.0,3823.0,0.787,0.462,-0.237,0.334
7322430,5508.0,4748.0,3839.0,0.787,0.462,-0.237,0.334
7322447,5432.0,4616.0,3907.0,0.787,0.462,-0.237,0.334
7322473,5448.0,4720.0,3939.0,0.787,0.461,-0.237,0.334
7322489,5448.0,4748.0,3897.0,0.787,0.461,-0.236,0.334
7322505,5456.0,4668.0,3881.0,0.788,0.461,-0.237,0.334
7322521,5442.0,4670.0,3923.0,0.788,0.461,-0.236,0.333
7322537,5418.0,4662.0,3893.0,0.788,0.461,-0.236,0.333
7322553,5472.0,4742.0,3877.0,0.788,0.461,-0.237,0.333
7322579,5522.0,4646.0,3793.0,0.788,0.461,-0.237,0.333
7322595,5496.0,4628.0,3807.0,0.788,0.461,-0.237,0.333
7322611,5560.0,4642.0,3811.0,0.788,0.462,-0.236,0.333
7322627,5518.0,4636.0,3801.0,0.787,0.462,-0.236,0.333
7322643,5512.0,4618.0,3831.0,0.787,0.462,-0.236,0.333
7322659,5462.0,4564.0,3893.0,0.787,0.463,-0.235,0.333
7322685,5426.0,4654.0,3879.0,0.787,0.464,-0.235,0.333
7322701,5454.0,4572.0,3907.0,0.786,0.465,-0.234,0.333
7322717,5410.0,4818.0,3695.0,0.786,0.466,-0.233,0.333
7322734,5422.0,4718.0,3857.0,0.785,0.467,-0.232,0.334
7322750,5514.0,4742.0,3793.0,0.785,0.468,-0.232,0.334
7322766,5506.0,4798.0,3703.0,0.784,0.469,-0.231,0.334
7322792,5458.0,4826.0,3711.0,0.784,0.47,-0.231,0.334
7322808,5502.0,4802.0,3713.0,0.783,0.471,-0.23,0.334
7322824,5434.0,4826.0,3713.0,0.783,0.471,-0.23,0.335
7322840,5446.0,4920.0,3705.0,0.783,0.472,-0.229,0.335
7322857,5442.0,4910.0,3749.0,0.782,0.472,-0.229,0.335
7322873,5398.0,4948.0,3781.0,0.782,0.472,-0.229,0.335
7322889,5376.0,4896.0,3775.0,0.782,0.473,-0.23,0.336
7322915,5410.0,4962.0,3703.0,0.782,0.473,-0.23,0.336
7322931,5398.0,4854.0,3719.0,0.781,0.473,-0.23,0.336
7322947,5430.0,4944.0,3631.0,0.781,0.473,-0.23,0.336
7322964,5496.0,4884.0,3631.0,0.781,0.473,-0.23,0.336
7322980,5518.0,4928.0,3649.0,0.781,0.473,-0.23,0.336
7322997,5566.0,4846.0,3649.0,0.782,0.473,-0.231,0.336
7323013,5576.0,4858.0,3711.0,0.782,0.473,-0.23,0.336
7323040,5616.0,4836.0,3681.0,0.782,0.472,-0.23,0.335
7323056,5624.0,4874.0,3699.0,0.782,0.472,-0.23,0.335
7323072,5638.0,4874.0,3669.0,0.782,0.472,-0.23,0.335
7323088,5648.0,4884.0,3667.0,0.783,0.472,-0.229,0.335
7323104,5456.0,4618.0,3711.0,0.783,0.471,-0.228,0.335
7323120,5400.0,4796.0,3807.0,0.784,0.471,-0.228,0.335
7323146,5318.0,4772.0,3833.0,0.784,0.471,-0.227,0.334
7323163,5298.0,4738.0,3891.0,0.784,0.471,-0.226,0.334
7323179,5186.0,4752.0,3881.0,0.784,0.471,-0.226,0.334
7323195,5234.0,4760.0,3871.0,0.784,0.471,-0.226,0.334
7323211,5298.0,4770.0,3793.0,0.784,0.472,-0.226,0.334
7323227,5260.0,4788.0,3815.0,0.783,0.472,-0.227,0.335
7323244,5360.0,4872.0,3749.0,0.783,0.472,-0.227,0.335
7323270,5370.0,4862.0,3681.0,0.783,0.473,-0.228,0.335
7323287,5422.0,4802.0,3669.0,0.782,0.473,-0.228,0.335
7323303,5488.0,4892.0,3641.0,0.782,0.473,-0.229,0.335
7323319,5430.0,4892.0,3625.0,0.782,0.473,-0.229,0.336
7323335,5510.0,4920.0,3633.0,0.782,0.473,-0.229,0.336
7323351,5472.0,4914.0,3645.0,0.782,0.473,-0.23,0.336
7323367,5468.0,4802.0,3683.0,0.782,0.473,-0.23,0.336
7323393,5452.0,4834.0,3705.0,0.782,0.472,-0.23,0.336
7323409,5478.0,4788.0,3727.0,0.782,0.472,-0.231,0.336
7323425,5508.0,4748.0,3759.0,0.782,0.472,-0.231,0.336
7323441,5468.0,4742.0,3753.0,0.782,0.472,-0.231,0.336
7323457,5578.0,4796.0,3749.0,0.782,0.472,-0.231,0.336
7323473,5524.0,4798.0,3643.0,0.781,0.472,-0.231,0.336
7323500,5510.0,4774.0,3689.0,0.781,0.472,-0.232,0.336
7323516,5552.0,4866.0,3741.0,0.781,0.472,-0.232,0.336
7323532,5498.0,4762.0,3761.0,0.781,0.472,-0.232,0.337
7323548,5518.0,4772.0,3723.0,0.781,0.472,-0.232,0.337
7323564,5460.0,4768.0,3759.0,0.781,0.472,-0.231,0.337
7323580,5484.0,4762.0,3719.0,0.781,0.472,-0.231,0.337
7323606,5496.0,4782.0,3703.0,0.781,0.473,-0.231,0.337
7323622,5402.0,4782.0,3673.0,0.781,0.473,-0.231,0.337
7323638,5466.0,4742.0,3651.0,0.78,0.473,-0.23,0.338
7323654,5460.0,4860.0,3657.0,0.78,0.473,-0.23,0.338
7323670,5494.0,4802.0,3679.0,0.78,0.474,-0.23,0.338
7323686,5548.0,4856.0,3657.0,0.78,0.474,-0.23,0.338
7323712,5418.0,4870.0,3653.0,0.78,0.474,-0.23,0.338
7323728,5462.0,4932.0,3719.0,0.78,0.474,-0.23,0.338
7323744,5470.0,4916.0,3719.0,0.78,0.474,-0.23,0.338
7323760,5486.0,4918.0,3633.0,0.779,0.474,-0.23,0.338
7323777,5434.0,4896.0,3611.0,0.779,0.474,-0.231,0.338
7323793,5478.0,4888.0,3625.0,0.78,0.474,-0.231,0.338
