timestamp,ax,ay,az,q0,q1,q2,q3
4822069,5008.0,3349.0,5245.0,0.915,0.224,-0.333,0.046
4822085,5036.0,3319.0,5481.0,0.915,0.223,-0.333,0.046
4822101,5012.0,3237.0,5557.0,0.915,0.222,-0.333,0.046
4822127,4994.0,3381.0,5579.0,0.915,0.222,-0.333,0.046
4822143,5044.0,3261.0,5611.0,0.915,0.221,-0.334,0.046
4822159,5124.0,3177.0,5647.0,0.915,0.22,-0.334,0.045
4822175,5156.0,3083.0,5611.0,0.916,0.219,-0.334,0.045
4822191,5184.0,3007.0,5623.0,0.916,0.218,-0.334,0.045
4822207,5260.0,2985.0,5621.0,0.916,0.218,-0.334,0.044
4822233,5218.0,3009.0,5629.0,0.916,0.218,-0.334,0.044
4822250,5198.0,2987.0,5585.0,0.916,0.217,-0.335,0.043
4822267,5174.0,2865.0,5559.0,0.916,0.217,-0.335,0.043
4822283,5234.0,2873.0,5551.0,0.916,0.217,-0.335,0.043
4822300,5206.0,2829.0,5573.0,0.916,0.217,-0.335,0.043
4822317,5200.0,2831.0,5619.0,0.916,0.217,-0.334,0.043
4822333,5174.0,2955.0,5671.0,0.916,0.217,-0.334,0.043
4822350,5154.0,2917.0,5603.0,0.916,0.218,-0.334,0.043
4822367,5112.0,2931.0,5609.0,0.916,0.218,-0.334,0.044
4822384,5086.0,3021.0,5547.0,0.916,0.219,-0.334,0.044
4822411,5106.0,3035.0,5581.0,0.916,0.219,-0.334,0.044
4822427,5146.0,3063.0,5547.0,0.916,0.22,-0.333,0.045
4822443,5162.0,3083.0,5571.0,0.916,0.22,-0.333,0.045
4822460,5190.0,3171.0,5565.0,0.916,0.221,-0.333,0.046
4822476,5192.0,3251.0,5619.0,0.916,0.222,-0.333,0.046
4822492,5246.0,3187.0,5613.0,0.916,0.222,-0.332,0.046
4822509,5214.0,3193.0,5519.0,0.916,0.223,-0.332,0.046
4822535,5106.0,3151.0,5515.0,0.916,0.224,-0.331,0.046
4822551,5028.0,3215.0,5421.0,0.916,0.224,-0.33,0.046
4822567,4978.0,3325.0,5397.0,0.916,0.225,-0.329,0.046
4822583,4876.0,3585.0,5305.0,0.916,0.225,-0.328,0.045
4822599,4858.0,3593.0,5325.0,0.917,0.224,-0.328,0.044
4822615,4592.0,3909.0,5611.0,0.917,0.222,-0.328,0.043
4822641,4540.0,3757.0,5483.0,0.918,0.219,-0.329,0.04
4822657,4660.0,3321.0,5519.0,0.918,0.215,-0.33,0.038
4822674,4742.0,3331.0,5481.0,0.919,0.209,-0.331,0.035
4822690,5072.0,2697.0,5681.0,0.92,0.204,-0.333,0.032
4822707,5102.0,2465.0,5825.0,0.921,0.198,-0.334,0.029
4822723,5256.0,2499.0,5873.0,0.922,0.193,-0.335,0.027
4822740,5204.0,2509.0,5815.0,0.922,0.189,-0.336,0.025
4822757,5376.0,2463.0,5883.0,0.923,0.186,-0.337,0.023
4822774,5380.0,2283.0,5817.0,0.923,0.183,-0.337,0.021
