timestamp,ax,ay,az,q0,q1,q2,q3
5457279,4636.0,5358.0,4246.0,0.905,0.316,-0.276,0.073
5457295,4680.0,5288.0,4470.0,0.903,0.318,-0.279,0.074
5457311,4864.0,4998.0,4648.0,0.902,0.32,-0.281,0.074
5457337,5152.0,4986.0,4838.0,0.901,0.321,-0.282,0.074
5457353,5440.0,4574.0,5022.0,0.901,0.321,-0.283,0.073
5457369,5394.0,4074.0,5114.0,0.901,0.32,-0.283,0.073
5457385,5176.0,4134.0,5318.0,0.902,0.319,-0.282,0.073
5457402,4728.0,4042.0,5548.0,0.903,0.317,-0.279,0.073
5457418,4376.0,3540.0,5914.0,0.905,0.315,-0.276,0.074
5457435,4100.0,3750.0,5986.0,0.906,0.315,-0.273,0.075
5457451,3868.0,3966.0,5980.0,0.906,0.315,-0.271,0.076
5457478,3690.0,4114.0,5798.0,0.906,0.317,-0.269,0.077
5457494,3832.0,4268.0,5606.0,0.906,0.318,-0.268,0.079
5457510,3932.0,4452.0,5520.0,0.906,0.319,-0.267,0.08
5457527,4040.0,4290.0,5576.0,0.905,0.32,-0.267,0.081
5457543,4180.0,4330.0,5538.0,0.905,0.321,-0.267,0.082
5457559,4276.0,4372.0,5478.0,0.905,0.322,-0.267,0.083
5457575,4384.0,4466.0,5536.0,0.904,0.322,-0.267,0.085
5457602,4392.0,4554.0,5602.0,0.904,0.322,-0.268,0.085
5457618,4360.0,4344.0,5640.0,0.904,0.321,-0.268,0.086
5457635,4370.0,4414.0,5602.0,0.904,0.321,-0.268,0.086
5457652,4280.0,4058.0,5498.0,0.905,0.32,-0.268,0.086
5457668,4308.0,4160.0,5556.0,0.905,0.32,-0.268,0.086
5457685,4228.0,4150.0,5566.0,0.905,0.32,-0.268,0.086
5457701,4220.0,4194.0,5562.0,0.904,0.321,-0.268,0.086
5457718,4280.0,4278.0,5510.0,0.904,0.321,-0.269,0.086
5457744,4280.0,4328.0,5452.0,0.903,0.322,-0.269,0.086
5457761,4360.0,4298.0,5468.0,0.903,0.323,-0.269,0.087
5457777,4392.0,4452.0,5392.0,0.903,0.324,-0.27,0.087
5457793,4450.0,4446.0,5342.0,0.902,0.325,-0.27,0.087
