timestamp,ax,ay,az,q0,q1,q2,q3
7586190,7709.0,2623.0,-170.0,0.309,0.702,-0.156,0.623
7586206,7813.0,2319.0,-170.0,0.309,0.701,-0.158,0.623
7586222,7771.0,2347.0,-192.0,0.31,0.7,-0.159,0.623
7586238,7843.0,2533.0,-178.0,0.311,0.7,-0.16,0.623
7586255,7833.0,2485.0,-166.0,0.312,0.699,-0.161,0.623
7586271,7809.0,2503.0,-194.0,0.312,0.699,-0.162,0.623
7586287,7831.0,2421.0,-200.0,0.313,0.698,-0.163,0.623
7586304,7807.0,2559.0,-170.0,0.314,0.697,-0.164,0.623
7586331,7741.0,2577.0,-68.0,0.315,0.697,-0.166,0.622
7586348,7933.0,2245.0,-194.0,0.316,0.697,-0.167,0.622
7586364,7937.0,2331.0,-220.0,0.317,0.696,-0.168,0.622
7586381,7881.0,2385.0,-136.0,0.318,0.696,-0.168,0.621
7586398,7785.0,2469.0,-64.0,0.319,0.696,-0.169,0.621
7586414,7963.0,2397.0,-96.0,0.32,0.696,-0.17,0.62
7586430,7995.0,2331.0,-76.0,0.32,0.696,-0.171,0.62
7586447,7907.0,2333.0,-128.0,0.321,0.696,-0.172,0.619
7586464,7929.0,2337.0,-96.0,0.321,0.696,-0.172,0.619
7586481,7783.0,2553.0,-50.0,0.322,0.696,-0.173,0.618
7586508,7799.0,2173.0,-100.0,0.322,0.696,-0.174,0.618
7586525,7875.0,2437.0,-104.0,0.322,0.696,-0.174,0.617
7586541,7733.0,2563.0,-6.0,0.323,0.696,-0.175,0.617
7586558,7801.0,2469.0,4.0,0.323,0.696,-0.177,0.617
7586574,8037.0,2247.0,-76.0,0.324,0.696,-0.178,0.616
7586591,7957.0,2337.0,-104.0,0.324,0.695,-0.179,0.616
7586607,7901.0,2457.0,18.0,0.324,0.695,-0.18,0.616
7586623,7789.0,2383.0,100.0,0.325,0.695,-0.182,0.616
7586649,7943.0,2431.0,-10.0,0.326,0.694,-0.184,0.615
7586665,7907.0,2315.0,-10.0,0.327,0.694,-0.186,0.614
7586682,7909.0,2423.0,48.0,0.328,0.693,-0.188,0.614
7586698,7851.0,2385.0,46.0,0.329,0.692,-0.191,0.613
7586714,7927.0,2453.0,40.0,0.331,0.691,-0.194,0.612
7586730,7929.0,2451.0,82.0,0.334,0.69,-0.197,0.611
7586756,7927.0,2377.0,122.0,0.336,0.689,-0.201,0.61
7586772,7887.0,2287.0,74.0,0.34,0.687,-0.206,0.608
7586788,7833.0,2609.0,166.0,0.343,0.685,-0.211,0.607
7586805,7659.0,2549.0,250.0,0.347,0.683,-0.216,0.605
7586821,7737.0,2671.0,254.0,0.351,0.681,-0.223,0.603
7586837,7729.0,2919.0,292.0,0.355,0.678,-0.231,0.601
7586863,8007.0,1925.0,-60.0,0.361,0.674,-0.24,0.598
7586880,8137.0,729.0,48.0,0.366,0.671,-0.248,0.596
7586896,8197.0,1851.0,18.0,0.37,0.668,-0.254,0.594
7586912,8061.0,2519.0,92.0,0.375,0.664,-0.261,0.592
7586928,8013.0,2217.0,238.0,0.38,0.66,-0.268,0.59
7586944,7951.0,1833.0,342.0,0.385,0.655,-0.276,0.588
7586961,8065.0,1371.0,356.0,0.391,0.651,-0.283,0.586
7586978,8157.0,1905.0,288.0,0.396,0.648,-0.29,0.583
7587004,8161.0,2161.0,232.0,0.401,0.644,-0.298,0.58
7587020,8279.0,1329.0,288.0,0.406,0.64,-0.305,0.576
7587036,8255.0,1661.0,252.0,0.411,0.637,-0.312,0.573
7587052,8215.0,1975.0,230.0,0.417,0.633,-0.318,0.569
7587068,8227.0,1639.0,292.0,0.422,0.63,-0.325,0.566
7587084,8163.0,1695.0,306.0,0.427,0.626,-0.332,0.562
7587110,8319.0,1593.0,200.0,0.433,0.623,-0.338,0.558
7587126,8123.0,1611.0,248.0,0.438,0.619,-0.344,0.554
7587142,8031.0,1691.0,272.0,0.443,0.616,-0.349,0.55
7587158,8103.0,1571.0,236.0,0.448,0.613,-0.354,0.546
7587174,8109.0,1511.0,244.0,0.453,0.61,-0.36,0.543
7587190,8027.0,1749.0,176.0,0.457,0.606,-0.364,0.539
7587216,7893.0,1473.0,332.0,0.461,0.603,-0.369,0.536
7587232,8015.0,1419.0,318.0,0.465,0.6,-0.373,0.533
7587248,7997.0,1715.0,280.0,0.468,0.597,-0.377,0.531
7587265,7945.0,1663.0,336.0,0.472,0.595,-0.38,0.528
7587281,8131.0,1387.0,324.0,0.475,0.592,-0.384,0.526
7587298,8089.0,1445.0,308.0,0.478,0.59,-0.387,0.524
7587314,8073.0,1625.0,332.0,0.48,0.588,-0.389,0.522
7587331,7965.0,1395.0,360.0,0.482,0.586,-0.391,0.52
7587357,8037.0,1411.0,386.0,0.484,0.585,-0.393,0.519
7587373,8039.0,1441.0,368.0,0.486,0.584,-0.395,0.517
7587389,8131.0,1479.0,312.0,0.487,0.583,-0.396,0.516
7587405,8077.0,1485.0,370.0,0.488,0.583,-0.397,0.515
7587421,8091.0,1531.0,238.0,0.488,0.582,-0.398,0.514
7587437,8009.0,1511.0,404.0,0.489,0.582,-0.399,0.513
7587463,8077.0,1453.0,450.0,0.489,0.582,-0.399,0.512
7587479,8133.0,1595.0,400.0,0.489,0.582,-0.399,0.512
7587495,8127.0,1557.0,276.0,0.49,0.583,-0.399,0.511
7587511,8153.0,1093.0,336.0,0.49,0.583,-0.399,0.511
7587527,8179.0,1491.0,348.0,0.489,0.584,-0.398,0.511
7587543,8101.0,1581.0,392.0,0.489,0.585,-0.397,0.511
7587569,8115.0,1501.0,424.0,0.489,0.586,-0.396,0.511
7587585,8067.0,1589.0,356.0,0.488,0.587,-0.395,0.511
7587601,7969.0,1385.0,480.0,0.488,0.588,-0.393,0.512
7587617,8109.0,1349.0,400.0,0.487,0.589,-0.392,0.512
7587633,8187.0,1597.0,228.0,0.486,0.591,-0.39,0.512
7587659,8161.0,1497.0,340.0,0.485,0.592,-0.389,0.513
7587675,8053.0,1583.0,388.0,0.484,0.593,-0.387,0.513
7587691,8111.0,1447.0,400.0,0.483,0.595,-0.385,0.514
7587707,8087.0,1599.0,400.0,0.482,0.596,-0.383,0.515
7587723,8105.0,1659.0,320.0,0.481,0.598,-0.381,0.516
7587739,8063.0,1613.0,456.0,0.479,0.599,-0.38,0.517
7587765,8053.0,1593.0,358.0,0.478,0.601,-0.378,0.517
7587781,8067.0,1541.0,390.0,0.477,0.602,-0.376,0.518
7587797,8113.0,1651.0,356.0,0.475,0.603,-0.375,0.519
7587813,8121.0,1551.0,326.0,0.474,0.604,-0.374,0.52
7587829,8059.0,1597.0,358.0,0.473,0.605,-0.372,0.521
7587845,7985.0,1865.0,340.0,0.471,0.606,-0.371,0.522
7587871,8153.0,1669.0,342.0,0.47,0.607,-0.369,0.523
7587887,8107.0,1641.0,360.0,0.469,0.608,-0.368,0.524
7587903,8103.0,1717.0,326.0,0.468,0.608,-0.367,0.526
7587919,8089.0,1769.0,316.0,0.467,0.609,-0.366,0.527
7587935,8069.0,1671.0,324.0,0.466,0.609,-0.366,0.527
7587951,8129.0,1603.0,370.0,0.465,0.609,-0.365,0.528
7587977,8053.0,1605.0,308.0,0.464,0.609,-0.365,0.529
7587993,8109.0,1717.0,272.0,0.464,0.61,-0.364,0.53
7588009,8063.0,1703.0,328.0,0.463,0.61,-0.364,0.531
7588025,8089.0,1673.0,328.0,0.462,0.61,-0.364,0.531
7588041,8193.0,1759.0,256.0,0.462,0.61,-0.364,0.532
7588057,8073.0,1747.0,220.0,0.462,0.609,-0.364,0.532
7588083,8025.0,1821.0,252.0,0.462,0.609,-0.364,0.533
7588099,8069.0,1713.0,348.0,0.462,0.608,-0.364,0.533
7588115,8073.0,1781.0,276.0,0.462,0.608,-0.365,0.533
7588131,8123.0,1717.0,220.0,0.462,0.607,-0.365,0.533
7588147,8095.0,1677.0,228.0,0.462,0.606,-0.366,0.533
7588163,8073.0,1655.0,258.0,0.463,0.605,-0.367,0.533
7588189,8097.0,1713.0,262.0,0.463,0.605,-0.368,0.534
7588205,8013.0,1751.0,324.0,0.464,0.604,-0.369,0.533
7588221,7995.0,1491.0,308.0,0.464,0.603,-0.37,0.533
7588237,8189.0,1665.0,164.0,0.464,0.603,-0.371,0.532
