timeMs,ax,ay,az,q0,q1,q2,q3
1342146,8416.0,1304.0,-767.0,0.62,0.371,-0.625,0.295
1342163,7938.0,2226.0,-563.0,0.623,0.372,-0.622,0.295
1342179,7702.0,2174.0,-587.0,0.626,0.37,-0.62,0.293
1342195,7386.0,1446.0,-863.0,0.629,0.368,-0.62,0.292
1342212,7900.0,960.0,-323.0,0.631,0.365,-0.62,0.29
1342229,8828.0,800.0,-389.0,0.632,0.362,-0.621,0.289
1342246,8314.0,284.0,-277.0,0.633,0.36,-0.622,0.289
1342272,7996.0,-38.0,-625.0,0.633,0.359,-0.622,0.289
1342289,7708.0,-248.0,-541.0,0.633,0.359,-0.622,0.29
1342305,7608.0,254.0,-789.0,0.632,0.36,-0.621,0.292
1342321,7694.0,1206.0,-849.0,0.632,0.361,-0.62,0.293
1342337,8064.0,1358.0,-433.0,0.632,0.36,-0.62,0.295
1342353,7908.0,1568.0,-755.0,0.633,0.357,-0.62,0.296
1342379,7720.0,882.0,-141.0,0.635,0.352,-0.62,0.298
1342396,7658.0,-336.0,161.0,0.636,0.347,-0.62,0.3
1342413,7970.0,870.0,187.0,0.637,0.343,-0.62,0.303
1342430,8572.0,1780.0,79.0,0.638,0.339,-0.621,0.305
1342446,8852.0,1662.0,255.0,0.639,0.332,-0.622,0.307
1342462,8370.0,228.0,651.0,0.641,0.324,-0.624,0.307
1342478,8012.0,-1270.0,729.0,0.644,0.318,-0.626,0.306
1342495,8354.0,-104.0,1091.0,0.646,0.314,-0.626,0.305
1342512,8714.0,378.0,911.0,0.648,0.31,-0.626,0.303
1342529,8872.0,-202.0,945.0,0.65,0.306,-0.626,0.302
1342556,8770.0,-42.0,1043.0,0.653,0.304,-0.625,0.301
1342573,7282.0,-68.0,1265.0,0.655,0.302,-0.624,0.301
1342590,7522.0,108.0,1239.0,0.656,0.302,-0.623,0.3
1342606,8362.0,686.0,661.0,0.656,0.302,-0.623,0.3
1342623,8548.0,320.0,323.0,0.657,0.302,-0.622,0.3
1342639,8342.0,-38.0,83.0,0.659,0.301,-0.621,0.299
1342655,8090.0,-76.0,213.0,0.661,0.301,-0.618,0.299
1342671,7924.0,440.0,449.0,0.663,0.301,-0.616,0.3
1342688,8064.0,656.0,455.0,0.666,0.301,-0.613,0.3
1342714,8208.0,648.0,455.0,0.669,0.3,-0.611,0.299
1342730,7818.0,658.0,633.0,0.672,0.299,-0.609,0.298
1342746,7556.0,366.0,973.0,0.674,0.297,-0.607,0.297
1342762,7946.0,474.0,993.0,0.676,0.295,-0.607,0.296
1342778,7908.0,634.0,1421.0,0.678,0.294,-0.606,0.295
1342794,7522.0,624.0,1561.0,0.678,0.292,-0.607,0.294
1342821,8420.0,728.0,1201.0,0.678,0.291,-0.609,0.291
1342837,8808.0,410.0,847.0,0.678,0.289,-0.611,0.288
1342853,8486.0,-180.0,575.0,0.679,0.287,-0.613,0.284
1342870,8110.0,-666.0,603.0,0.68,0.286,-0.614,0.28
1342886,8438.0,-342.0,525.0,0.682,0.286,-0.614,0.277
1342902,8598.0,714.0,859.0,0.685,0.286,-0.612,0.274
1342919,8232.0,1190.0,1067.0,0.688,0.286,-0.61,0.271
1342945,8202.0,1308.0,1219.0,0.691,0.284,-0.608,0.268
1342961,7938.0,1244.0,1357.0,0.694,0.282,-0.607,0.264
1342978,7724.0,1132.0,1511.0,0.697,0.279,-0.607,0.26
1342995,8092.0,808.0,1283.0,0.7,0.275,-0.607,0.257
1343012,7850.0,636.0,1205.0,0.702,0.272,-0.608,0.252
1343029,7942.0,706.0,1133.0,0.704,0.268,-0.609,0.248
1343046,7958.0,896.0,1069.0,0.706,0.265,-0.61,0.244
1343062,7940.0,754.0,999.0,0.708,0.261,-0.611,0.239
1343078,8346.0,822.0,911.0,0.71,0.257,-0.612,0.235
1343095,8070.0,796.0,909.0,0.712,0.252,-0.613,0.231
1343122,8174.0,702.0,1031.0,0.714,0.248,-0.614,0.228
1343138,8266.0,504.0,1089.0,0.716,0.243,-0.615,0.225
1343154,8196.0,312.0,1165.0,0.718,0.238,-0.615,0.222
1343170,7878.0,244.0,1317.0,0.72,0.234,-0.616,0.22
1343186,8070.0,256.0,1455.0,0.721,0.231,-0.616,0.218
1343203,8124.0,242.0,1355.0,0.722,0.227,-0.617,0.216
1343219,8160.0,122.0,1249.0,0.723,0.225,-0.617,0.214
1343245,8074.0,-36.0,1185.0,0.724,0.222,-0.617,0.212
1343261,8156.0,68.0,1285.0,0.725,0.22,-0.617,0.211
1343277,8118.0,286.0,1317.0,0.726,0.219,-0.617,0.21
1343293,7966.0,226.0,1293.0,0.726,0.218,-0.617,0.209
1343309,8168.0,132.0,1161.0,0.727,0.217,-0.618,0.209
1343325,7940.0,58.0,1151.0,0.726,0.216,-0.618,0.209
1343352,7974.0,-88.0,1129.0,0.726,0.215,-0.619,0.209
1343368,7904.0,148.0,1137.0,0.726,0.215,-0.619,0.209
1343384,8126.0,198.0,1233.0,0.726,0.215,-0.619,0.21
1343400,7998.0,116.0,1199.0,0.725,0.216,-0.619,0.211
1343416,7940.0,-90.0,1381.0,0.724,0.216,-0.619,0.212
1343432,7854.0,-62.0,1273.0,0.723,0.217,-0.62,0.213
1343458,8142.0,40.0,1233.0,0.722,0.218,-0.62,0.215
1343475,8120.0,104.0,1179.0,0.721,0.219,-0.621,0.217
1343492,8016.0,-144.0,1285.0,0.719,0.221,-0.621,0.219
1343509,7970.0,6.0,1227.0,0.718,0.223,-0.621,0.221
1343525,8072.0,210.0,1173.0,0.717,0.226,-0.621,0.223
1343541,8286.0,378.0,1161.0,0.715,0.228,-0.621,0.224
1343557,8154.0,180.0,1155.0,0.714,0.23,-0.621,0.226
1343573,8302.0,288.0,1215.0,0.713,0.232,-0.621,0.228
1343599,7978.0,298.0,1139.0,0.712,0.235,-0.621,0.23
1343616,7848.0,86.0,1147.0,0.711,0.237,-0.62,0.231
1343632,8146.0,262.0,1105.0,0.71,0.239,-0.62,0.233
1343649,8426.0,522.0,937.0,0.709,0.242,-0.62,0.235
1343665,8104.0,384.0,989.0,0.708,0.244,-0.619,0.236
1343681,7936.0,202.0,1115.0,0.708,0.246,-0.619,0.237
1343697,8140.0,748.0,1077.0,0.707,0.248,-0.618,0.238
1343723,8386.0,802.0,995.0,0.707,0.25,-0.617,0.238
1343740,8242.0,704.0,1023.0,0.707,0.252,-0.617,0.239
1343757,8082.0,712.0,1201.0,0.707,0.253,-0.616,0.239
1343774,8064.0,1042.0,1235.0,0.707,0.254,-0.615,0.239
1343790,8178.0,1012.0,1229.0,0.707,0.255,-0.615,0.239
1343806,8202.0,738.0,1149.0,0.707,0.255,-0.615,0.238
1343823,8050.0,734.0,1099.0,0.708,0.254,-0.615,0.238
1343839,8064.0,662.0,1227.0,0.708,0.254,-0.614,0.238
1343865,7984.0,762.0,1237.0,0.709,0.253,-0.614,0.237
1343882,8224.0,686.0,1161.0,0.709,0.252,-0.614,0.237
1343899,7918.0,508.0,1133.0,0.71,0.251,-0.615,0.236
1343915,7998.0,416.0,1217.0,0.71,0.25,-0.615,0.236
1343931,8324.0,608.0,1051.0,0.71,0.249,-0.615,0.235
1343947,8216.0,480.0,1121.0,0.711,0.247,-0.615,0.235
1343963,8038.0,326.0,1205.0,0.711,0.246,-0.615,0.235
1343989,8156.0,498.0,1197.0,0.711,0.245,-0.616,0.235
1344006,7986.0,430.0,1159.0,0.711,0.243,-0.616,0.235
1344022,7872.0,256.0,1199.0,0.711,0.241,-0.617,0.235
