timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
259011,7946.0,5078.0,-1256.0,-579.0,-290.0,-532.0,0.582,-0.026,-0.718,-0.381
259033,8226.0,5248.0,-904.0,-470.0,-308.0,-707.0,0.578,-0.025,-0.718,-0.388
259045,8160.0,5464.0,-824.0,-427.0,-386.0,-880.0,0.572,-0.023,-0.719,-0.395
259067,8258.0,5922.0,-1008.0,-552.0,-416.0,-621.0,0.567,-0.023,-0.719,-0.402
259079,7652.0,5888.0,-1282.0,-699.0,-682.0,-1025.0,0.558,-0.022,-0.72,-0.412
259101,7488.0,5574.0,-1152.0,-799.0,-723.0,-1086.0,0.549,-0.021,-0.721,-0.422
259113,7414.0,5612.0,-1276.0,-844.0,-718.0,-1123.0,0.54,-0.021,-0.721,-0.434
259135,6952.0,6190.0,-1384.0,-998.0,-748.0,-1247.0,0.529,-0.02,-0.721,-0.446
259157,6764.0,5572.0,-1442.0,-1123.0,-787.0,-1379.0,0.518,-0.02,-0.721,-0.46
259169,6714.0,7004.0,-1496.0,-1375.0,-771.0,-1355.0,0.507,-0.02,-0.719,-0.475
259191,6676.0,6634.0,-1122.0,-1586.0,-833.0,-1576.0,0.494,-0.021,-0.716,-0.493
259203,6460.0,6800.0,-920.0,-1754.0,-844.0,-1563.0,0.481,-0.022,-0.712,-0.512
259225,5880.0,7242.0,-1074.0,-1924.0,-890.0,-1749.0,0.466,-0.023,-0.707,-0.532
259237,5928.0,8090.0,-1170.0,-2017.0,-934.0,-1956.0,0.45,-0.023,-0.701,-0.553
259259,5592.0,7708.0,-964.0,-2295.0,-1086.0,-2152.0,0.432,-0.024,-0.694,-0.576
259271,5954.0,7038.0,-824.0,-2280.0,-1220.0,-2096.0,0.412,-0.026,-0.687,-0.598
259293,5304.0,8680.0,-1096.0,-2300.0,-1100.0,-2004.0,0.393,-0.027,-0.678,-0.62
259315,5146.0,8038.0,-1218.0,-2285.0,-1267.0,-2167.0,0.372,-0.029,-0.67,-0.642
259327,5356.0,8338.0,-852.0,-2271.0,-1240.0,-2143.0,0.351,-0.031,-0.661,-0.663
259349,4898.0,8932.0,-292.0,-2434.0,-1285.0,-2076.0,0.33,-0.033,-0.65,-0.683
259361,4954.0,10102.0,-214.0,-2387.0,-1320.0,-2170.0,0.308,-0.035,-0.639,-0.704
259383,5148.0,9426.0,0.0,-2505.0,-1372.0,-2214.0,0.285,-0.038,-0.627,-0.724
259395,4562.0,9482.0,62.0,-2700.0,-1368.0,-2211.0,0.261,-0.041,-0.613,-0.744
259417,4516.0,9316.0,686.0,-2748.0,-1405.0,-2283.0,0.237,-0.044,-0.598,-0.764
259439,4466.0,8960.0,1386.0,-2680.0,-1321.0,-2358.0,0.212,-0.046,-0.582,-0.783
259451,3776.0,8836.0,1356.0,-2779.0,-1247.0,-2375.0,0.187,-0.047,-0.565,-0.802
259463,3668.0,10682.0,1568.0,-2972.0,-1155.0,-2435.0,0.162,-0.047,-0.546,-0.821
259485,3130.0,8268.0,1102.0,-3090.0,-1189.0,-2488.0,0.136,-0.048,-0.525,-0.839
259507,2602.0,6274.0,488.0,-2758.0,-1070.0,-2464.0,0.111,-0.047,-0.506,-0.854
259519,2342.0,6762.0,82.0,-2303.0,-1001.0,-2344.0,0.087,-0.047,-0.489,-0.866
259541,2188.0,5866.0,238.0,-2259.0,-1034.0,-2289.0,0.063,-0.046,-0.473,-0.878
259553,2050.0,5354.0,372.0,-2260.0,-1059.0,-2228.0,0.04,-0.046,-0.456,-0.888
259575,1798.0,5306.0,1476.0,-2019.0,-1060.0,-2116.0,0.017,-0.046,-0.44,-0.897
259587,1488.0,4076.0,2348.0,-1770.0,-1030.0,-1949.0,0.004,0.047,0.426,0.903
259609,1532.0,2276.0,1372.0,-1565.0,-979.0,-1752.0,0.023,0.048,0.413,0.909
259621,1532.0,2440.0,986.0,-1155.0,-956.0,-1653.0,0.041,0.05,0.404,0.912
259643,1710.0,3548.0,1328.0,-843.0,-1127.0,-1522.0,0.058,0.053,0.397,0.914
259665,1800.0,3992.0,2380.0,-905.0,-1217.0,-1354.0,0.075,0.058,0.389,0.916
259677,912.0,1026.0,3322.0,-949.0,-1152.0,-1239.0,0.089,0.062,0.381,0.918
259699,910.0,1430.0,3164.0,-192.0,-1236.0,-1177.0,0.104,0.068,0.379,0.917
259711,972.0,1960.0,2822.0,185.0,-1192.0,-849.0,0.114,0.075,0.38,0.915
259733,1100.0,2788.0,2892.0,443.0,-1291.0,-599.0,0.123,0.085,0.383,0.912
259745,1826.0,3508.0,2450.0,532.0,-1397.0,-422.0,0.131,0.095,0.386,0.908
259767,1458.0,3426.0,3036.0,401.0,-1406.0,-281.0,0.138,0.107,0.388,0.905
259779,2868.0,3720.0,4394.0,502.0,-1413.0,-208.0,0.143,0.118,0.391,0.902
259801,3124.0,3742.0,4938.0,703.0,-1262.0,-175.0,0.148,0.129,0.395,0.897
259823,2610.0,4192.0,4636.0,770.0,-1107.0,-67.0,0.152,0.139,0.4,0.893
259835,2920.0,4284.0,5076.0,846.0,-1031.0,-16.0,0.154,0.148,0.406,0.889
259857,2920.0,4594.0,6450.0,1069.0,-1030.0,32.0,0.156,0.159,0.413,0.883
259869,3452.0,5530.0,8198.0,1279.0,-886.0,61.0,0.156,0.168,0.422,0.877
259891,3610.0,9080.0,8118.0,1107.0,-1016.0,6.0,0.158,0.177,0.43,0.871
259903,6964.0,15276.0,9632.0,-583.0,-379.0,656.0,0.155,0.182,0.423,0.874
259925,2192.0,3422.0,9112.0,-832.0,-14.0,-232.0,0.158,0.18,0.417,0.877
259937,5718.0,7064.0,12568.0,-330.0,-11.0,-458.0,0.161,0.177,0.415,0.878
259959,2990.0,2862.0,9418.0,-626.0,587.0,55.0,0.159,0.172,0.411,0.881
259971,3898.0,6514.0,9410.0,-175.0,588.0,48.0,0.157,0.167,0.41,0.883
259993,5154.0,6206.0,10582.0,-118.0,1067.0,-450.0,0.156,0.156,0.412,0.884
260015,2986.0,5496.0,9000.0,-105.0,1136.0,-232.0,0.153,0.145,0.413,0.886
260027,3458.0,4042.0,8262.0,291.0,1280.0,-191.0,0.149,0.134,0.417,0.886
260049,2008.0,3732.0,8304.0,337.0,1669.0,-12.0,0.142,0.121,0.422,0.887
260061,2578.0,4178.0,7906.0,709.0,2028.0,211.0,0.131,0.105,0.431,0.887
260083,2868.0,5614.0,7764.0,661.0,2467.0,135.0,0.119,0.086,0.439,0.886
260095,2400.0,6668.0,7884.0,232.0,2717.0,99.0,0.107,0.064,0.444,0.887
260117,2786.0,6486.0,8456.0,-403.0,3112.0,580.0,0.089,0.04,0.443,0.891
260129,2300.0,5566.0,8158.0,-988.0,3387.0,786.0,0.069,0.015,0.437,0.897
260151,2472.0,4892.0,7716.0,-1385.0,3456.0,887.0,0.047,-0.012,0.427,0.903
260173,2886.0,5206.0,7892.0,-1660.0,3624.0,1043.0,0.024,-0.039,0.415,0.909
260185,2658.0,4898.0,7590.0,-1909.0,3704.0,1302.0,0.003,0.066,-0.399,-0.914
260207,2804.0,4600.0,7154.0,-2031.0,3732.0,1543.0,0.031,0.091,-0.382,-0.919
260219,3088.0,4844.0,6744.0,-1970.0,3965.0,1813.0,0.063,0.117,-0.365,-0.921
260241,2048.0,5922.0,6852.0,-2528.0,3711.0,1993.0,0.095,0.14,-0.343,-0.924
260253,2032.0,4744.0,6572.0,-2403.0,3646.0,2168.0,0.129,0.161,-0.322,-0.924
260275,872.0,6728.0,5200.0,-2626.0,3430.0,2269.0,0.162,0.18,-0.299,-0.923
260287,-290.0,5660.0,4294.0,-3161.0,2877.0,2266.0,0.195,0.194,-0.271,-0.923
260309,-772.0,4166.0,4346.0,-3298.0,2364.0,2347.0,0.227,0.202,-0.242,-0.922
260331,-1282.0,3634.0,4186.0,-3127.0,1903.0,2470.0,0.257,0.206,-0.216,-0.919
260343,-1630.0,4710.0,3432.0,-2873.0,1457.0,2647.0,0.288,0.206,-0.193,-0.915
260365,-1930.0,5310.0,2512.0,-2917.0,959.0,2721.0,0.318,0.201,-0.17,-0.911
260377,-2188.0,4716.0,2280.0,-2946.0,479.0,2805.0,0.348,0.192,-0.149,-0.906
260399,-2116.0,4886.0,2766.0,-2705.0,27.0,2863.0,0.376,0.179,-0.131,-0.9
260411,-1420.0,5474.0,2690.0,-2358.0,-327.0,2794.0,0.403,0.165,-0.117,-0.893
260433,-970.0,6430.0,3634.0,-2036.0,-478.0,2755.0,0.428,0.15,-0.107,-0.885
260445,-696.0,7106.0,5466.0,-1662.0,-589.0,2363.0,0.448,0.137,-0.1,-0.878
260467,-860.0,6180.0,6164.0,-1370.0,-660.0,1744.0,0.463,0.124,-0.095,-0.872
260479,1088.0,3824.0,3988.0,-745.0,-303.0,2418.0,0.483,0.117,-0.093,-0.863
260501,-3112.0,11058.0,5708.0,-1180.0,-1316.0,-1118.0,0.474,0.102,-0.088,-0.87
260523,786.0,7474.0,7926.0,-1745.0,-1206.0,952.0,0.482,0.083,-0.08,-0.868
260535,516.0,208.0,8552.0,291.0,-206.0,900.0,0.489,0.082,-0.084,-0.864
260557,3310.0,12802.0,24852.0,2995.0,1427.0,807.0,0.495,0.106,-0.102,-0.857
260569,-382.0,11858.0,3100.0,957.0,1412.0,1946.0,0.51,0.12,-0.105,-0.845
260591,-4770.0,2174.0,6626.0,-586.0,-38.0,307.0,0.513,0.118,-0.101,-0.844
260603,-552.0,1880.0,7052.0,-256.0,73.0,-997.0,0.506,0.118,-0.097,-0.849
260625,-1150.0,1786.0,6230.0,78.0,213.0,-237.0,0.504,0.12,-0.097,-0.85
260637,-946.0,2596.0,7420.0,76.0,46.0,-33.0,0.504,0.121,-0.097,-0.85
260659,-14.0,2578.0,9668.0,-132.0,-42.0,-79.0,0.503,0.12,-0.096,-0.851
260681,-632.0,968.0,8076.0,-411.0,-138.0,231.0,0.505,0.117,-0.093,-0.85
260693,-90.0,556.0,8506.0,-168.0,-25.0,529.0,0.51,0.115,-0.093,-0.848
260710,-438.0,1310.0,8132.0,-10.0,64.0,347.0,0.512,0.115,-0.092,-0.846
260732,56.0,2266.0,7992.0,147.0,96.0,119.0,0.513,0.116,-0.093,-0.845
260744,144.0,2348.0,7938.0,200.0,134.0,161.0,0.515,0.118,-0.095,-0.844
260766,44.0,2614.0,7826.0,177.0,120.0,216.0,0.516,0.119,-0.096,-0.843
260778,-104.0,3254.0,7784.0,104.0,104.0,206.0,0.518,0.12,-0.097,-0.841
260800,-318.0,3206.0,7892.0,43.0,78.0,19.0,0.518,0.121,-0.097,-0.841
260812,-498.0,2500.0,7792.0,-2.0,43.0,-164.0,0.517,0.121,-0.096,-0.842
260834,-660.0,2168.0,7754.0,70.0,118.0,-250.0,0.515,0.123,-0.096,-0.843
260856,-926.0,2538.0,7892.0,95.0,218.0,-244.0,0.513,0.125,-0.096,-0.844
260868,-1440.0,2496.0,7902.0,-6.0,166.0,-231.0,0.511,0.127,-0.094,-0.845
260890,-1428.0,2576.0,7958.0,-84.0,96.0,-247.0,0.51,0.127,-0.093,-0.846
260902,-1412.0,2752.0,8144.0,-164.0,-6.0,-206.0,0.508,0.127,-0.091,-0.847
260924,-1456.0,2240.0,8004.0,-280.0,-72.0,-127.0,0.507,0.125,-0.089,-0.848
260936,-1056.0,1770.0,7706.0,-305.0,-60.0,-88.0,0.507,0.123,-0.087,-0.849
260958,-1606.0,1166.0,8146.0,-107.0,-9.0,-51.0,0.507,0.123,-0.086,-0.849
260970,-712.0,1482.0,8052.0,129.0,65.0,2.0,0.507,0.124,-0.086,-0.849
260992,-1124.0,2444.0,7942.0,290.0,53.0,46.0,0.507,0.126,-0.089,-0.848
261014,-1066.0,2206.0,7912.0,274.0,-47.0,-120.0,0.505,0.127,-0.091,-0.849
261026,-886.0,2000.0,7980.0,473.0,241.0,275.0,0.507,0.13,-0.094,-0.847
261048,-1168.0,2394.0,7996.0,606.0,228.0,124.0,0.508,0.135,-0.097,-0.845
261060,-924.0,2444.0,7618.0,630.0,235.0,193.0,0.509,0.14,-0.102,-0.843
261082,-1376.0,3122.0,7552.0,555.0,220.0,208.0,0.51,0.144,-0.105,-0.841
261094,-1450.0,3246.0,7598.0,400.0,174.0,223.0,0.511,0.147,-0.108,-0.84
261116,-1610.0,3088.0,7610.0,216.0,94.0,246.0,0.513,0.149,-0.109,-0.838
261128,-1498.0,3206.0,7760.0,91.0,59.0,239.0,0.515,0.149,-0.11,-0.837
261150,-1492.0,2702.0,7230.0,12.0,0.0,191.0,0.516,0.149,-0.111,-0.836
261162,-1238.0,2742.0,7826.0,91.0,8.0,214.0,0.518,0.15,-0.112,-0.835
261184,-1234.0,3340.0,7638.0,61.0,0.0,235.0,0.519,0.15,-0.112,-0.834
261206,-952.0,3042.0,7842.0,-55.0,-51.0,229.0,0.521,0.149,-0.113,-0.833
261218,-1428.0,1710.0,7972.0,-16.0,-222.0,241.0,0.523,0.147,-0.114,-0.832
261240,-528.0,2884.0,7488.0,79.0,-21.0,201.0,0.524,0.147,-0.115,-0.831
261252,-728.0,2368.0,7506.0,148.0,-150.0,148.0,0.525,0.146,-0.117,-0.83
261274,456.0,3214.0,7162.0,342.0,9.0,-58.0,0.524,0.148,-0.12,-0.83
261286,-48.0,2712.0,6450.0,587.0,81.0,-148.0,0.522,0.151,-0.123,-0.83
