timeMs,ax,ay,az,q0,q1,q2,q3
913962,7786.0,1182.0,-104.0,0.685,-0.043,-0.714,-0.139
913978,7784.0,1070.0,-142.0,0.684,-0.043,-0.715,-0.14
913995,7844.0,970.0,-156.0,0.683,-0.044,-0.715,-0.141
914011,7884.0,1048.0,-190.0,0.682,-0.044,-0.716,-0.142
914027,7878.0,1056.0,-198.0,0.681,-0.044,-0.717,-0.143
914044,7972.0,1054.0,-224.0,0.681,-0.045,-0.717,-0.143
914061,7974.0,1028.0,-270.0,0.68,-0.045,-0.718,-0.143
914088,8004.0,1298.0,-200.0,0.679,-0.046,-0.718,-0.144
914105,8068.0,1118.0,-256.0,0.679,-0.046,-0.718,-0.144
914122,8040.0,1106.0,-262.0,0.678,-0.047,-0.719,-0.144
914139,8240.0,1288.0,-282.0,0.678,-0.047,-0.719,-0.145
914156,8210.0,1368.0,-180.0,0.678,-0.048,-0.719,-0.145
914173,8138.0,1290.0,-258.0,0.678,-0.049,-0.719,-0.145
914190,8340.0,1296.0,-210.0,0.678,-0.05,-0.719,-0.145
914207,8272.0,1372.0,-270.0,0.677,-0.051,-0.719,-0.146
914224,8348.0,1412.0,-290.0,0.677,-0.052,-0.719,-0.146
914240,8332.0,1240.0,-302.0,0.677,-0.053,-0.719,-0.146
914257,8496.0,1134.0,-330.0,0.677,-0.055,-0.719,-0.146
914274,8366.0,1266.0,-304.0,0.678,-0.056,-0.718,-0.146
914291,8276.0,1330.0,-254.0,0.678,-0.057,-0.718,-0.146
914317,8312.0,1246.0,-264.0,0.679,-0.059,-0.717,-0.146
914334,8228.0,1132.0,-356.0,0.679,-0.06,-0.716,-0.146
914351,8238.0,1128.0,-312.0,0.68,-0.061,-0.716,-0.146
914368,8190.0,1252.0,-236.0,0.681,-0.062,-0.715,-0.146
914385,8164.0,1278.0,-296.0,0.682,-0.063,-0.714,-0.146
914402,8120.0,1348.0,-210.0,0.683,-0.064,-0.713,-0.146
914419,8062.0,1264.0,-270.0,0.684,-0.065,-0.712,-0.146
914435,8076.0,1176.0,-136.0,0.685,-0.067,-0.71,-0.146
914451,8272.0,1072.0,-110.0,0.687,-0.068,-0.709,-0.145
914477,8288.0,1158.0,-354.0,0.688,-0.068,-0.708,-0.144
914494,8152.0,1318.0,-210.0,0.69,-0.068,-0.706,-0.143
914511,8050.0,1452.0,-152.0,0.692,-0.069,-0.704,-0.142
914528,7956.0,1224.0,-122.0,0.694,-0.069,-0.703,-0.141
914545,8052.0,1170.0,-138.0,0.695,-0.07,-0.702,-0.139
914561,8092.0,1056.0,-110.0,0.697,-0.07,-0.701,-0.138
914577,8254.0,1110.0,-132.0,0.698,-0.07,-0.699,-0.136
914594,8300.0,1114.0,-62.0,0.7,-0.069,-0.698,-0.133
914611,7944.0,1116.0,-20.0,0.702,-0.069,-0.697,-0.131
914628,8136.0,1262.0,62.0,0.703,-0.068,-0.696,-0.128
914654,8178.0,1030.0,-20.0,0.705,-0.067,-0.695,-0.126
914671,8188.0,780.0,76.0,0.707,-0.066,-0.694,-0.123
914688,8258.0,1156.0,148.0,0.708,-0.064,-0.693,-0.12
914705,8270.0,838.0,26.0,0.71,-0.062,-0.691,-0.118
914721,8282.0,950.0,230.0,0.712,-0.06,-0.69,-0.115
914737,8306.0,1058.0,252.0,0.714,-0.057,-0.688,-0.112
914753,8304.0,780.0,254.0,0.716,-0.055,-0.687,-0.11
914770,8302.0,892.0,336.0,0.719,-0.052,-0.685,-0.107
914796,8092.0,828.0,400.0,0.721,-0.05,-0.683,-0.104
914813,8126.0,590.0,400.0,0.724,-0.047,-0.681,-0.101
914829,8276.0,632.0,338.0,0.726,-0.043,-0.679,-0.098
914845,8262.0,744.0,378.0,0.729,-0.039,-0.676,-0.096
914861,8212.0,596.0,478.0,0.732,-0.035,-0.674,-0.093
914878,8310.0,850.0,624.0,0.735,-0.03,-0.671,-0.091
914894,8104.0,728.0,810.0,0.737,-0.025,-0.669,-0.088
914911,8114.0,428.0,708.0,0.74,-0.02,-0.667,-0.085
914928,8108.0,610.0,868.0,0.742,-0.015,-0.665,-0.083
914954,8120.0,442.0,1032.0,0.744,-0.009,-0.664,-0.08
914970,8044.0,388.0,1226.0,0.745,-0.002,-0.662,-0.078
914986,8266.0,236.0,1086.0,0.747,0.004,-0.661,-0.077
915003,8372.0,658.0,1218.0,0.749,0.011,-0.659,-0.075
915019,8114.0,740.0,1312.0,0.751,0.017,-0.656,-0.074
915035,7884.0,1094.0,1528.0,0.753,0.023,-0.654,-0.072
915061,7518.0,724.0,1676.0,0.755,0.028,-0.651,-0.07
915077,7556.0,534.0,1742.0,0.757,0.033,-0.65,-0.068
915093,7868.0,452.0,1668.0,0.758,0.038,-0.648,-0.066
915110,7748.0,578.0,1720.0,0.759,0.044,-0.646,-0.064
915127,7676.0,1184.0,1734.0,0.761,0.049,-0.644,-0.062
915143,7704.0,1196.0,1778.0,0.762,0.053,-0.642,-0.06
915160,7626.0,804.0,1866.0,0.764,0.056,-0.64,-0.058
915176,7368.0,834.0,1916.0,0.765,0.059,-0.639,-0.056
915202,7704.0,972.0,1854.0,0.767,0.061,-0.637,-0.054
915218,7706.0,734.0,1916.0,0.768,0.064,-0.635,-0.052
915234,7640.0,936.0,1892.0,0.769,0.067,-0.633,-0.05
915251,7856.0,1264.0,1762.0,0.771,0.07,-0.632,-0.048
915268,7646.0,1230.0,1984.0,0.772,0.072,-0.63,-0.046
915284,7380.0,1124.0,2104.0,0.773,0.074,-0.629,-0.044
915300,7264.0,928.0,2192.0,0.774,0.075,-0.628,-0.042
915326,7136.0,710.0,2212.0,0.774,0.077,-0.628,-0.04
915342,7192.0,604.0,2058.0,0.773,0.08,-0.628,-0.038
915358,7114.0,906.0,2090.0,0.773,0.083,-0.628,-0.036
915375,6906.0,1162.0,1938.0,0.772,0.087,-0.628,-0.035
915392,6860.0,1404.0,1994.0,0.772,0.09,-0.629,-0.033
915409,6782.0,908.0,1916.0,0.771,0.093,-0.629,-0.031
915425,6922.0,944.0,1838.0,0.77,0.097,-0.63,-0.029
915442,6964.0,1290.0,1786.0,0.769,0.101,-0.63,-0.026
915469,7370.0,1250.0,1638.0,0.769,0.105,-0.631,-0.024
915485,7340.0,1298.0,1568.0,0.768,0.109,-0.631,-0.021
915502,7414.0,1264.0,1600.0,0.767,0.114,-0.631,-0.018
915518,7284.0,1310.0,1570.0,0.766,0.118,-0.632,-0.014
915535,7384.0,1416.0,1582.0,0.764,0.123,-0.634,-0.011
915552,7446.0,1304.0,1492.0,0.761,0.128,-0.635,-0.007
915568,7604.0,1774.0,1336.0,0.759,0.132,-0.638,-0.004
915584,7792.0,1992.0,1180.0,0.756,0.137,-0.64,-0.001
915610,7736.0,1862.0,1120.0,0.754,0.14,-0.642,0.002
915627,8016.0,1732.0,1006.0,0.751,0.143,-0.644,0.005
915644,7986.0,1156.0,1036.0,0.749,0.146,-0.647,0.008
915660,7996.0,1064.0,862.0,0.746,0.149,-0.649,0.011
915677,8144.0,1644.0,678.0,0.744,0.154,-0.65,0.013
915694,7910.0,2182.0,720.0,0.742,0.157,-0.652,0.016
915710,7832.0,2020.0,752.0,0.74,0.159,-0.653,0.019
915727,7776.0,1914.0,698.0,0.738,0.16,-0.655,0.022
