timeMs,ax,ay,az,q0,q1,q2,q3
2644894,8155.0,1655.0,-18.0,0.7,0.127,-0.703,-0.022
2644913,8149.0,1577.0,-20.0,0.699,0.128,-0.703,-0.021
2644930,8085.0,1571.0,44.0,0.699,0.129,-0.703,-0.02
2644949,8049.0,1697.0,26.0,0.699,0.13,-0.703,-0.019
2644967,8105.0,1785.0,34.0,0.699,0.131,-0.703,-0.019
2644985,8137.0,1673.0,-56.0,0.699,0.132,-0.703,-0.018
2645005,8047.0,1763.0,56.0,0.699,0.132,-0.703,-0.017
2645026,7979.0,1583.0,182.0,0.699,0.133,-0.703,-0.017
2645037,8117.0,1651.0,74.0,0.699,0.133,-0.703,-0.016
2645056,8225.0,1685.0,-154.0,0.698,0.134,-0.703,-0.016
2645075,8103.0,1703.0,-22.0,0.698,0.134,-0.703,-0.016
2645094,8003.0,1451.0,172.0,0.699,0.135,-0.703,-0.016
2645111,8253.0,1677.0,68.0,0.699,0.135,-0.702,-0.015
2645131,8231.0,1655.0,-88.0,0.699,0.135,-0.702,-0.015
2645141,7915.0,1711.0,340.0,0.699,0.135,-0.702,-0.016
2645161,8093.0,1675.0,226.0,0.699,0.135,-0.702,-0.016
2645181,8303.0,1887.0,16.0,0.698,0.134,-0.703,-0.016
2645201,8135.0,1483.0,-102.0,0.698,0.133,-0.703,-0.016
2645211,8215.0,1319.0,-58.0,0.698,0.132,-0.704,-0.017
2645231,8139.0,1301.0,-42.0,0.698,0.132,-0.704,-0.017
2645251,8153.0,1503.0,-54.0,0.697,0.131,-0.704,-0.017
2645270,8099.0,1577.0,-110.0,0.697,0.131,-0.704,-0.016
2645289,8107.0,1491.0,-82.0,0.697,0.131,-0.704,-0.016
2645298,8241.0,1549.0,-126.0,0.698,0.13,-0.704,-0.016
2645317,8227.0,1449.0,-80.0,0.698,0.13,-0.704,-0.015
2645334,8155.0,1395.0,-34.0,0.698,0.13,-0.704,-0.015
2645352,8107.0,1395.0,-22.0,0.698,0.131,-0.704,-0.014
2645371,8117.0,1447.0,-22.0,0.699,0.131,-0.703,-0.013
2645390,8221.0,1497.0,-62.0,0.699,0.132,-0.703,-0.012
2645410,8081.0,1249.0,-58.0,0.699,0.133,-0.703,-0.011
2645429,8063.0,1543.0,-54.0,0.699,0.134,-0.703,-0.009
2645439,8049.0,1647.0,18.0,0.699,0.135,-0.702,-0.009
2645458,8069.0,1485.0,-40.0,0.699,0.136,-0.702,-0.008
2645477,8161.0,1463.0,-106.0,0.699,0.137,-0.702,-0.006
2645499,8139.0,1279.0,-48.0,0.699,0.138,-0.702,-0.005
2645508,8107.0,1341.0,30.0,0.699,0.14,-0.702,-0.004
2645527,8051.0,1301.0,-58.0,0.698,0.141,-0.702,-0.002
2645547,8131.0,1671.0,-108.0,0.698,0.143,-0.702,-0.001
2645567,8075.0,1449.0,-86.0,0.698,0.144,-0.701,0.001
2645585,8145.0,1435.0,-124.0,0.698,0.146,-0.701,0.003
2645595,8181.0,1683.0,-114.0,0.698,0.148,-0.701,0.004
2645613,8059.0,1537.0,-88.0,0.697,0.149,-0.701,0.006
2645633,8003.0,1527.0,62.0,0.697,0.151,-0.701,0.007
2645652,8167.0,1541.0,20.0,0.697,0.152,-0.701,0.009
2645670,8145.0,1587.0,28.0,0.697,0.153,-0.701,0.011
2645689,8177.0,1489.0,-22.0,0.697,0.154,-0.701,0.012
2645708,8149.0,1531.0,52.0,0.696,0.155,-0.701,0.014
2645717,8201.0,1411.0,62.0,0.696,0.156,-0.7,0.016
2645734,8121.0,1471.0,-4.0,0.696,0.157,-0.7,0.017
2645752,8099.0,1433.0,82.0,0.696,0.159,-0.7,0.019
2645770,8073.0,1417.0,32.0,0.696,0.16,-0.7,0.021
2645789,8009.0,1597.0,120.0,0.696,0.162,-0.699,0.023
2645808,8059.0,1663.0,68.0,0.696,0.163,-0.699,0.025
2645826,8129.0,1749.0,-46.0,0.695,0.164,-0.699,0.027
2645843,8109.0,1763.0,32.0,0.695,0.165,-0.699,0.029
2645861,8093.0,1673.0,84.0,0.695,0.166,-0.699,0.031
2645880,8085.0,1615.0,204.0,0.695,0.167,-0.699,0.032
2645898,8037.0,1605.0,154.0,0.695,0.168,-0.698,0.034
2645916,8139.0,1777.0,46.0,0.695,0.17,-0.698,0.036
2645936,8315.0,1781.0,64.0,0.695,0.171,-0.698,0.037
2645946,8133.0,2027.0,76.0,0.695,0.172,-0.698,0.038
2645966,8087.0,1527.0,44.0,0.695,0.172,-0.697,0.039
2645984,8215.0,1795.0,-32.0,0.695,0.172,-0.697,0.04
2646004,8207.0,1641.0,-18.0,0.695,0.173,-0.697,0.04
2646026,8225.0,1543.0,-70.0,0.695,0.173,-0.696,0.041
2646038,8189.0,1551.0,-126.0,0.696,0.173,-0.696,0.041
2646058,8103.0,1695.0,48.0,0.696,0.173,-0.696,0.04
2646069,8119.0,1571.0,18.0,0.696,0.172,-0.696,0.04
2646086,8201.0,1481.0,-124.0,0.697,0.172,-0.695,0.039
2646105,8127.0,1441.0,-112.0,0.697,0.171,-0.695,0.039
2646125,8061.0,1315.0,0.0,0.698,0.17,-0.695,0.038
2646145,8109.0,1393.0,148.0,0.698,0.169,-0.695,0.037
2646155,8157.0,1397.0,-74.0,0.698,0.168,-0.695,0.036
2646175,8153.0,1403.0,-48.0,0.698,0.166,-0.695,0.035
2646195,7883.0,1197.0,68.0,0.699,0.165,-0.695,0.033
2646214,8087.0,1163.0,84.0,0.699,0.163,-0.696,0.032
2646233,8033.0,1323.0,34.0,0.699,0.162,-0.696,0.031
2646244,8041.0,1223.0,22.0,0.699,0.16,-0.696,0.03
2646263,8009.0,1335.0,198.0,0.699,0.159,-0.697,0.029
2646282,8067.0,1391.0,278.0,0.699,0.158,-0.697,0.028
2646302,8175.0,1535.0,216.0,0.699,0.157,-0.697,0.027
2646310,8109.0,1465.0,250.0,0.699,0.156,-0.698,0.027
2646328,8115.0,1301.0,210.0,0.699,0.155,-0.698,0.026
2646346,8043.0,1331.0,282.0,0.699,0.154,-0.698,0.026
2646364,7985.0,1357.0,240.0,0.699,0.154,-0.698,0.026
2646382,8017.0,1469.0,276.0,0.699,0.155,-0.698,0.026
2646400,8069.0,1613.0,228.0,0.699,0.155,-0.697,0.027
2646418,8143.0,1813.0,114.0,0.699,0.156,-0.697,0.027
2646435,8055.0,1737.0,186.0,0.699,0.156,-0.697,0.027
2646452,8187.0,1495.0,178.0,0.699,0.157,-0.697,0.027
2646470,8113.0,1617.0,248.0,0.699,0.157,-0.697,0.027
2646488,8065.0,1525.0,280.0,0.699,0.157,-0.697,0.027
2646505,8109.0,1475.0,118.0,0.699,0.157,-0.697,0.027
2646522,8093.0,1507.0,-16.0,0.699,0.157,-0.697,0.026
2646540,8097.0,1643.0,60.0,0.699,0.157,-0.697,0.026
2646558,7873.0,1613.0,170.0,0.699,0.157,-0.697,0.025
2646576,8067.0,1759.0,48.0,0.699,0.157,-0.697,0.024
2646594,8073.0,1699.0,-70.0,0.699,0.156,-0.697,0.023
2646613,8119.0,1703.0,-48.0,0.7,0.155,-0.697,0.021
2646633,8041.0,1691.0,56.0,0.7,0.154,-0.697,0.019
2646652,8023.0,1761.0,-18.0,0.7,0.152,-0.697,0.017
2646661,7943.0,1741.0,-98.0,0.7,0.149,-0.698,0.014
2646681,8069.0,1685.0,-36.0,0.701,0.147,-0.698,0.011
2646702,8115.0,1603.0,2.0,0.701,0.144,-0.699,0.008
2646720,8125.0,1577.0,-62.0,0.701,0.14,-0.7,0.004
2646740,8189.0,1649.0,6.0,0.7,0.137,-0.7,0.001
2646750,8157.0,1633.0,-164.0,0.7,0.133,-0.701,-0.003
2646771,8241.0,1465.0,-92.0,0.7,0.129,-0.702,-0.007
2646790,8221.0,1427.0,-60.0,0.7,0.125,-0.703,-0.011
2646810,8227.0,1435.0,-10.0,0.701,0.121,-0.703,-0.015
2646819,8213.0,1427.0,22.0,0.701,0.117,-0.703,-0.02
2646835,8265.0,1495.0,-56.0,0.701,0.113,-0.704,-0.024
2646852,8297.0,1411.0,-2.0,0.701,0.109,-0.704,-0.028
2646871,8249.0,1425.0,132.0,0.701,0.104,-0.704,-0.032
2646890,8169.0,1479.0,86.0,0.702,0.1,-0.704,-0.036
2646908,8131.0,1369.0,160.0,0.702,0.096,-0.705,-0.04
