timeMs,ax,ay,az,q0,q1,q2,q3
450565,-4040.0,-1902.0,-2348.0,0.012,0.492,0.569,-0.658
450582,-4156.0,-5134.0,-1034.0,0.022,0.492,0.566,-0.661
450600,-3638.0,-6570.0,-1180.0,0.03,0.491,0.561,-0.666
450617,-3856.0,-3612.0,-1184.0,0.039,0.49,0.557,-0.669
450634,-3944.0,-5664.0,-968.0,0.046,0.489,0.554,-0.672
450651,-4130.0,-6008.0,-1762.0,0.053,0.487,0.551,-0.676
450667,-4950.0,-3684.0,-2104.0,0.059,0.484,0.548,-0.68
450693,-4986.0,-6572.0,-1686.0,0.064,0.481,0.545,-0.684
450710,-4636.0,-3972.0,-630.0,0.066,0.478,0.541,-0.689
450727,-4156.0,-2180.0,758.0,0.068,0.474,0.538,-0.693
450743,-4066.0,-3726.0,576.0,0.07,0.471,0.537,-0.696
450760,-3970.0,-6338.0,-18.0,0.068,0.469,0.534,-0.7
450776,-4252.0,-7460.0,-670.0,0.062,0.468,0.528,-0.706
450793,-4958.0,-5838.0,-1566.0,0.052,0.468,0.52,-0.713
450810,-5512.0,-4208.0,-2128.0,0.042,0.467,0.512,-0.72
450827,-6050.0,-4674.0,-1112.0,0.031,0.466,0.503,-0.727
450843,-5072.0,-2876.0,38.0,0.022,0.464,0.496,-0.734
450869,-5532.0,-2320.0,-370.0,0.014,0.46,0.491,-0.739
450886,-5964.0,-3026.0,-1748.0,0.007,0.456,0.489,-0.744
450903,-4710.0,-6148.0,-1890.0,0.001,-0.449,-0.486,0.749
450920,-5072.0,-4716.0,-1432.0,0.007,-0.442,-0.482,0.757
450936,-3138.0,-3556.0,880.0,0.012,-0.434,-0.477,0.764
450952,-3168.0,-5414.0,1748.0,0.017,-0.427,-0.472,0.771
450968,-2476.0,-3978.0,190.0,0.022,-0.42,-0.466,0.778
450984,-3690.0,-5670.0,16.0,0.029,-0.415,-0.457,0.786
451011,-3610.0,-11524.0,1614.0,0.031,-0.413,-0.443,0.795
451028,-2186.0,-3892.0,2868.0,0.042,-0.407,-0.427,0.806
451045,-3536.0,2146.0,3902.0,0.051,-0.403,-0.419,0.812
451061,-4156.0,-6490.0,3718.0,0.051,-0.401,-0.413,0.816
451077,-5292.0,-12534.0,2922.0,0.051,-0.401,-0.396,0.824
451093,-1908.0,-3630.0,-1230.0,0.059,-0.397,-0.374,0.836
451110,178.0,5426.0,1102.0,0.074,-0.391,-0.358,0.845
451127,-6016.0,5176.0,4862.0,0.081,-0.388,-0.355,0.847
451144,-5936.0,-4920.0,6292.0,0.083,-0.384,-0.358,0.847
451161,-6652.0,-9048.0,7108.0,0.088,-0.38,-0.352,0.851
