timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
1241555,4100.0,5632.0,4315.0,-83.0,117.0,-110.0,0.134,0.393,0.283,0.865
1241577,4332.0,5262.0,4509.0,-58.0,109.0,-47.0,0.134,0.391,0.283,0.865
1241589,4254.0,5368.0,4233.0,27.0,193.0,-18.0,0.133,0.39,0.283,0.866
1241611,4128.0,6038.0,3889.0,84.0,127.0,-103.0,0.133,0.389,0.285,0.866
1241633,4202.0,5740.0,4201.0,0.0,51.0,-168.0,0.135,0.388,0.286,0.866
1241645,4328.0,5546.0,4687.0,73.0,131.0,-154.0,0.135,0.386,0.287,0.866
1241667,4278.0,5598.0,4859.0,166.0,313.0,-78.0,0.134,0.383,0.289,0.867
1241679,3894.0,5856.0,4671.0,182.0,375.0,-76.0,0.133,0.38,0.292,0.867
1241701,3884.0,5448.0,4577.0,315.0,432.0,-310.0,0.133,0.376,0.296,0.868
1241713,4160.0,6660.0,4385.0,350.0,608.0,-211.0,0.132,0.371,0.301,0.869
1241735,3582.0,5956.0,4597.0,314.0,607.0,-232.0,0.131,0.366,0.305,0.87
1241747,3606.0,6304.0,4815.0,422.0,735.0,-188.0,0.129,0.36,0.31,0.871
1241769,2946.0,6460.0,4983.0,409.0,680.0,-215.0,0.127,0.354,0.315,0.871
1241781,2830.0,6678.0,5321.0,353.0,577.0,-245.0,0.126,0.348,0.32,0.872
1241803,2884.0,7088.0,5131.0,301.0,495.0,-346.0,0.126,0.344,0.324,0.872
1241825,3270.0,6864.0,5315.0,302.0,488.0,-409.0,0.127,0.339,0.328,0.872
1241837,2720.0,7742.0,4659.0,432.0,615.0,-553.0,0.128,0.333,0.334,0.872
1241859,3364.0,7912.0,4789.0,433.0,740.0,-438.0,0.128,0.326,0.34,0.873
1241871,2856.0,7950.0,4687.0,336.0,860.0,-415.0,0.127,0.318,0.345,0.874
1241893,2568.0,8138.0,4597.0,274.0,692.0,-761.0,0.13,0.31,0.35,0.874
1241905,2454.0,8448.0,4831.0,185.0,698.0,-886.0,0.135,0.302,0.355,0.874
1241927,1962.0,8488.0,5065.0,131.0,652.0,-980.0,0.14,0.293,0.36,0.875
1241949,1762.0,8160.0,4787.0,36.0,729.0,-916.0,0.144,0.284,0.364,0.875
1241961,1250.0,8768.0,4321.0,-28.0,679.0,-1042.0,0.151,0.275,0.367,0.876
1241983,1242.0,9184.0,4899.0,-181.0,519.0,-1235.0,0.159,0.266,0.37,0.876
1241995,1988.0,7290.0,5869.0,-501.0,507.0,-1094.0,0.167,0.258,0.369,0.877
1242017,2454.0,6408.0,5357.0,-707.0,699.0,-968.0,0.174,0.248,0.366,0.88
1242029,2226.0,4988.0,5785.0,-776.0,854.0,-1020.0,0.181,0.236,0.364,0.883
1242051,1654.0,6308.0,5785.0,-907.0,876.0,-1072.0,0.189,0.223,0.36,0.886
1242063,792.0,5462.0,6121.0,-900.0,891.0,-1183.0,0.198,0.21,0.356,0.889
1242085,434.0,6972.0,4745.0,-762.0,769.0,-1511.0,0.209,0.197,0.355,0.89
1242107,-602.0,7664.0,3747.0,-851.0,807.0,-1479.0,0.22,0.184,0.352,0.891
1242119,-346.0,8590.0,4193.0,-982.0,502.0,-1473.0,0.232,0.173,0.348,0.892
1242141,-154.0,7458.0,4447.0,-859.0,261.0,-1689.0,0.247,0.163,0.344,0.891
1242153,-356.0,7020.0,4303.0,-737.0,372.0,-1746.0,0.261,0.152,0.342,0.89
1242175,-82.0,7776.0,3685.0,-586.0,246.0,-1989.0,0.278,0.143,0.341,0.887
1242187,-464.0,8142.0,3533.0,-622.0,315.0,-1965.0,0.293,0.132,0.34,0.884
1242209,-916.0,7290.0,3887.0,-400.0,177.0,-2058.0,0.31,0.123,0.34,0.879
1242221,-836.0,7322.0,3579.0,-180.0,35.0,-2195.0,0.328,0.116,0.342,0.873
1242243,-994.0,7824.0,3537.0,-51.0,-55.0,-2218.0,0.346,0.109,0.344,0.866
1242255,-544.0,7088.0,3225.0,31.0,-157.0,-2153.0,0.364,0.104,0.347,0.858
1242277,-1614.0,6384.0,2133.0,187.0,-118.0,-2223.0,0.382,0.098,0.35,0.85
1242289,-1128.0,7060.0,2075.0,169.0,-433.0,-2255.0,0.4,0.095,0.352,0.84
1242311,-1140.0,5460.0,2101.0,228.0,-663.0,-2347.0,0.421,0.094,0.354,0.83
1242333,-1248.0,4930.0,2303.0,235.0,-1125.0,-2306.0,0.442,0.096,0.353,0.819
1242345,-1672.0,4580.0,3007.0,458.0,-1120.0,-2157.0,0.461,0.099,0.353,0.808
1242367,-1664.0,3428.0,3499.0,620.0,-1273.0,-1901.0,0.479,0.105,0.354,0.796
1242379,-948.0,3488.0,3573.0,857.0,-1355.0,-1744.0,0.495,0.113,0.356,0.784
1242401,-646.0,3342.0,2953.0,907.0,-1410.0,-1581.0,0.511,0.122,0.358,0.772
1242413,-732.0,4390.0,4163.0,983.0,-1583.0,-1444.0,0.525,0.134,0.359,0.76
1242435,-606.0,1986.0,4251.0,1094.0,-1543.0,-1266.0,0.538,0.146,0.36,0.748
1242447,-690.0,3354.0,4157.0,1303.0,-1329.0,-993.0,0.547,0.158,0.364,0.737
1242469,-238.0,5020.0,4623.0,1240.0,-1639.0,-849.0,0.557,0.173,0.365,0.726
1242491,124.0,4100.0,4979.0,1254.0,-1596.0,-790.0,0.565,0.188,0.366,0.715
1242503,-3502.0,12582.0,2459.0,906.0,-1822.0,-1403.0,0.579,0.2,0.365,0.701
1242525,5360.0,5232.0,5933.0,-66.0,-338.0,919.0,0.575,0.205,0.361,0.705
1242537,-1140.0,7044.0,5791.0,131.0,-427.0,2126.0,0.562,0.216,0.355,0.715
