timeMs,ax,ay,az,q0,q1,q2,q3
8422381,-789.0,-662.0,8160.0,0.982,-0.032,0.056,-0.175
8422397,-837.0,-690.0,8078.0,0.982,-0.032,0.056,-0.175
8422423,-821.0,-658.0,8150.0,0.982,-0.032,0.056,-0.175
8422439,-795.0,-678.0,8188.0,0.982,-0.032,0.056,-0.175
8422456,-827.0,-714.0,8110.0,0.982,-0.032,0.056,-0.175
8422472,-809.0,-682.0,8108.0,0.982,-0.032,0.056,-0.175
8422488,-783.0,-684.0,8172.0,0.982,-0.032,0.056,-0.175
8422505,-793.0,-706.0,8140.0,0.982,-0.032,0.056,-0.175
8422521,-803.0,-706.0,8114.0,0.982,-0.032,0.056,-0.175
8422547,-801.0,-664.0,8122.0,0.982,-0.032,0.056,-0.175
8422564,-817.0,-658.0,8150.0,0.982,-0.032,0.056,-0.175
8422580,-835.0,-710.0,8120.0,0.982,-0.032,0.056,-0.175
8422596,-811.0,-646.0,8150.0,0.982,-0.032,0.056,-0.175
8422612,-795.0,-646.0,8120.0,0.982,-0.032,0.056,-0.175
8422628,-795.0,-708.0,8132.0,0.982,-0.032,0.056,-0.175
8422654,-807.0,-700.0,8148.0,0.982,-0.032,0.056,-0.175
8422670,-807.0,-694.0,8130.0,0.982,-0.032,0.056,-0.175
8422686,-765.0,-678.0,8142.0,0.982,-0.032,0.056,-0.175
8422702,-801.0,-676.0,8148.0,0.982,-0.032,0.056,-0.175
8422718,-821.0,-728.0,8136.0,0.982,-0.032,0.056,-0.175
8422735,-801.0,-712.0,8098.0,0.982,-0.032,0.056,-0.175
8422752,-763.0,-736.0,8116.0,0.982,-0.032,0.056,-0.175
8422769,-799.0,-696.0,8186.0,0.982,-0.032,0.056,-0.175
8422795,-807.0,-660.0,8144.0,0.982,-0.032,0.056,-0.175
8422811,-847.0,-680.0,8114.0,0.982,-0.032,0.056,-0.175
8422827,-801.0,-702.0,8120.0,0.982,-0.032,0.056,-0.175
8422843,-857.0,-684.0,8176.0,0.982,-0.032,0.056,-0.175
8422859,-803.0,-676.0,8138.0,0.982,-0.032,0.056,-0.175
8422875,-805.0,-680.0,8102.0,0.982,-0.032,0.056,-0.175
8422901,-807.0,-716.0,8140.0,0.982,-0.032,0.056,-0.175
8422918,-805.0,-640.0,8156.0,0.982,-0.032,0.056,-0.175
8422935,-821.0,-712.0,8162.0,0.982,-0.032,0.056,-0.175
8422951,-797.0,-700.0,8156.0,0.982,-0.032,0.056,-0.175
8422967,-807.0,-658.0,8144.0,0.982,-0.032,0.056,-0.175
8422983,-809.0,-662.0,8152.0,0.982,-0.032,0.056,-0.175
8422999,-803.0,-700.0,8132.0,0.982,-0.032,0.056,-0.175
8423025,-807.0,-698.0,8094.0,0.982,-0.032,0.056,-0.175
8423041,-841.0,-686.0,8130.0,0.982,-0.032,0.056,-0.175
8423057,-865.0,-702.0,8162.0,0.982,-0.032,0.056,-0.175
8423073,-785.0,-692.0,8138.0,0.982,-0.032,0.056,-0.175
8423089,-819.0,-686.0,8104.0,0.982,-0.032,0.056,-0.175
8423105,-793.0,-714.0,8136.0,0.982,-0.032,0.056,-0.175
8423131,-795.0,-686.0,8164.0,0.982,-0.032,0.056,-0.175
8423148,-837.0,-692.0,8138.0,0.982,-0.032,0.056,-0.175
8423164,-837.0,-712.0,8166.0,0.982,-0.032,0.056,-0.175
8423180,-791.0,-706.0,8126.0,0.982,-0.032,0.056,-0.175
8423196,-825.0,-658.0,8174.0,0.982,-0.032,0.056,-0.175
8423212,-785.0,-734.0,8136.0,0.982,-0.032,0.056,-0.175
8423229,-793.0,-718.0,8128.0,0.982,-0.032,0.056,-0.175
8423255,-829.0,-666.0,8100.0,0.982,-0.032,0.056,-0.175
8423272,-779.0,-622.0,8162.0,0.982,-0.032,0.056,-0.175
8423289,-781.0,-644.0,8176.0,0.982,-0.032,0.056,-0.175
8423305,-825.0,-710.0,8082.0,0.982,-0.032,0.056,-0.175
8423321,-779.0,-662.0,8132.0,0.983,-0.032,0.056,-0.175
8423338,-801.0,-724.0,8136.0,0.982,-0.032,0.056,-0.175
8423354,-797.0,-700.0,8158.0,0.982,-0.032,0.056,-0.175
8423380,-831.0,-698.0,8146.0,0.982,-0.032,0.056,-0.175
8423397,-801.0,-670.0,8106.0,0.982,-0.032,0.056,-0.175
8423413,-787.0,-682.0,8184.0,0.982,-0.032,0.056,-0.175
8423429,-811.0,-692.0,8132.0,0.982,-0.032,0.056,-0.175
8423445,-755.0,-686.0,8156.0,0.982,-0.032,0.056,-0.175
8423461,-851.0,-708.0,8132.0,0.982,-0.032,0.056,-0.175
8423477,-825.0,-672.0,8132.0,0.982,-0.032,0.056,-0.175
8423503,-833.0,-670.0,8112.0,0.982,-0.032,0.056,-0.175
8423520,-799.0,-728.0,8110.0,0.982,-0.032,0.056,-0.175
8423536,-825.0,-688.0,8144.0,0.982,-0.032,0.056,-0.175
8423553,-825.0,-642.0,8132.0,0.982,-0.032,0.056,-0.175
8423570,-779.0,-686.0,8112.0,0.982,-0.032,0.056,-0.175
8423586,-797.0,-716.0,8098.0,0.983,-0.032,0.056,-0.175
8423602,-809.0,-732.0,8144.0,0.983,-0.032,0.056,-0.175
8423619,-791.0,-672.0,8162.0,0.982,-0.032,0.056,-0.175
8423645,-807.0,-680.0,8182.0,0.982,-0.032,0.056,-0.175
8423661,-787.0,-670.0,8134.0,0.982,-0.032,0.056,-0.175
