timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
2229713,4570.0,5712.0,3930.0,125.0,221.0,-43.0,0.032,-0.341,-0.386,-0.857
2229725,4558.0,5764.0,4062.0,126.0,213.0,-59.0,0.033,-0.338,-0.387,-0.857
2229747,4726.0,6030.0,4292.0,102.0,192.0,-87.0,0.033,-0.336,-0.388,-0.857
2229759,4864.0,6078.0,4392.0,66.0,202.0,-131.0,0.033,-0.334,-0.389,-0.858
2229781,4876.0,5904.0,4406.0,69.0,243.0,-187.0,0.033,-0.331,-0.391,-0.858
2229793,4872.0,5818.0,4512.0,78.0,275.0,-253.0,0.032,-0.328,-0.392,-0.859
2229815,5004.0,5870.0,4698.0,134.0,331.0,-346.0,0.031,-0.324,-0.394,-0.859
2229837,5032.0,5838.0,4784.0,129.0,394.0,-397.0,0.03,-0.32,-0.396,-0.86
2229849,4898.0,5596.0,4676.0,127.0,456.0,-425.0,0.029,-0.314,-0.398,-0.861
2229871,4588.0,5220.0,4396.0,151.0,510.0,-431.0,0.028,-0.308,-0.401,-0.862
2229883,4150.0,5152.0,4130.0,211.0,543.0,-448.0,0.027,-0.302,-0.403,-0.863
2229905,3890.0,4988.0,4088.0,245.0,540.0,-431.0,0.026,-0.296,-0.407,-0.864
2229917,3504.0,5018.0,4058.0,250.0,511.0,-388.0,0.026,-0.291,-0.409,-0.864
2229939,3144.0,5056.0,4000.0,269.0,468.0,-342.0,0.026,-0.286,-0.412,-0.865
2229951,2976.0,5370.0,3862.0,249.0,401.0,-302.0,0.026,-0.281,-0.415,-0.865
2229973,2716.0,5620.0,3900.0,164.0,322.0,-256.0,0.025,-0.277,-0.417,-0.865
2229995,2552.0,5592.0,3778.0,131.0,246.0,-211.0,0.025,-0.275,-0.419,-0.865
2230007,2514.0,5774.0,3642.0,175.0,176.0,-191.0,0.025,-0.272,-0.421,-0.865
2230029,2620.0,6056.0,3584.0,193.0,122.0,-167.0,0.024,-0.271,-0.423,-0.865
2230041,2764.0,6512.0,3668.0,188.0,79.0,-155.0,0.024,-0.269,-0.425,-0.864
2230063,2826.0,6680.0,3736.0,161.0,41.0,-133.0,0.023,-0.268,-0.427,-0.863
2230075,2932.0,6954.0,3804.0,112.0,8.0,-127.0,0.022,-0.267,-0.428,-0.863
2230097,3132.0,7286.0,3828.0,37.0,-31.0,-142.0,0.021,-0.267,-0.429,-0.863
2230109,3258.0,7168.0,3826.0,-37.0,-48.0,-161.0,0.019,-0.266,-0.429,-0.863
2230131,3286.0,6990.0,3824.0,-28.0,-51.0,-215.0,0.017,-0.266,-0.43,-0.863
2230143,3354.0,6940.0,3804.0,-4.0,-42.0,-288.0,0.015,-0.265,-0.431,-0.863
2230165,3390.0,6810.0,3940.0,1.0,-40.0,-368.0,0.012,-0.264,-0.432,-0.862
2230187,3600.0,6980.0,4062.0,-88.0,-64.0,-460.0,0.008,-0.262,-0.432,-0.863
2230199,3774.0,6694.0,4200.0,-218.0,-76.0,-492.0,0.003,-0.261,-0.432,-0.863
2230221,3936.0,6356.0,4194.0,-302.0,-77.0,-532.0,0.002,0.259,0.431,0.864
2230233,4036.0,5970.0,4190.0,-337.0,-64.0,-545.0,0.008,0.258,0.429,0.865
2230255,4190.0,5738.0,4270.0,-320.0,-35.0,-562.0,0.013,0.256,0.428,0.867
2230267,4194.0,5614.0,4332.0,-328.0,-9.0,-546.0,0.018,0.254,0.427,0.868
2230289,4188.0,5414.0,4388.0,-292.0,36.0,-512.0,0.022,0.252,0.425,0.869
2230301,4024.0,5306.0,4416.0,-236.0,78.0,-476.0,0.026,0.249,0.425,0.87
2230323,3844.0,5146.0,4380.0,-161.0,127.0,-410.0,0.029,0.247,0.424,0.871
