timeMs,ax,ay,az,q0,q1,q2,q3
400638,1572.0,2482.0,8240.0,0.243,0.142,0.157,0.947
400664,1436.0,2508.0,8034.0,0.242,0.142,0.157,0.947
400680,1292.0,2674.0,7732.0,0.241,0.142,0.158,0.947
400696,1264.0,2872.0,7520.0,0.24,0.143,0.16,0.947
400712,1364.0,3182.0,7366.0,0.239,0.143,0.163,0.947
400728,1404.0,3250.0,7242.0,0.237,0.143,0.167,0.946
400744,1552.0,3368.0,7222.0,0.236,0.143,0.172,0.946
400770,1750.0,3582.0,7258.0,0.235,0.143,0.177,0.945
400786,1742.0,3496.0,7396.0,0.234,0.143,0.182,0.944
400802,1760.0,3528.0,7536.0,0.233,0.142,0.186,0.944
400818,1764.0,3476.0,7584.0,0.233,0.14,0.19,0.943
400834,1766.0,3674.0,7516.0,0.232,0.139,0.193,0.943
400851,1646.0,3660.0,7448.0,0.232,0.137,0.195,0.943
400868,1496.0,3670.0,7398.0,0.231,0.135,0.196,0.943
400885,1390.0,3684.0,7312.0,0.231,0.133,0.197,0.944
400911,1362.0,3654.0,7228.0,0.23,0.133,0.197,0.944
400927,1320.0,3348.0,7344.0,0.23,0.133,0.196,0.944
400944,1384.0,3216.0,7320.0,0.229,0.133,0.195,0.944
400960,1360.0,3150.0,7404.0,0.229,0.135,0.194,0.944
400977,1368.0,3120.0,7552.0,0.229,0.136,0.193,0.944
400994,1406.0,3052.0,7686.0,0.229,0.137,0.193,0.944
401010,1390.0,3056.0,7766.0,0.229,0.138,0.193,0.944
401027,1440.0,3088.0,7822.0,0.229,0.14,0.193,0.944
401053,1478.0,3116.0,7754.0,0.228,0.141,0.194,0.944
401069,1498.0,3356.0,7620.0,0.228,0.142,0.196,0.943
401085,1490.0,3954.0,7464.0,0.228,0.142,0.198,0.943
401101,1570.0,3294.0,7558.0,0.228,0.143,0.2,0.942
401117,1428.0,3876.0,7468.0,0.228,0.143,0.203,0.941
401133,1298.0,3980.0,7432.0,0.228,0.143,0.206,0.941
401159,1250.0,3984.0,7286.0,0.227,0.143,0.209,0.941
401175,1368.0,4084.0,7138.0,0.226,0.143,0.211,0.94
401192,1334.0,4228.0,7026.0,0.224,0.144,0.213,0.94
401208,1504.0,4268.0,6856.0,0.223,0.144,0.215,0.94
401224,1510.0,4066.0,6870.0,0.222,0.144,0.216,0.94
401240,1512.0,4252.0,6942.0,0.221,0.144,0.216,0.94
401257,1332.0,4298.0,7124.0,0.22,0.143,0.216,0.941
401274,1386.0,4148.0,7338.0,0.22,0.143,0.214,0.941
401301,1444.0,3922.0,7482.0,0.219,0.142,0.212,0.942
401317,1594.0,3744.0,7474.0,0.219,0.142,0.21,0.942
401333,1582.0,3646.0,7416.0,0.22,0.142,0.208,0.942
401349,1626.0,3660.0,7356.0,0.22,0.142,0.206,0.943
401365,1666.0,3550.0,7318.0,0.221,0.142,0.205,0.943
401381,1694.0,3566.0,7282.0,0.222,0.142,0.203,0.943
401407,1736.0,3462.0,7260.0,0.224,0.142,0.201,0.943
