timeMs,ax,ay,az,q0,q1,q2,q3
834072,4618.0,6356.0,2968.0,0.447,0.55,0.194,0.678
834088,4804.0,6560.0,2994.0,0.446,0.552,0.195,0.678
834114,4916.0,6746.0,2828.0,0.445,0.553,0.195,0.677
834130,4894.0,6940.0,2778.0,0.444,0.554,0.195,0.677
834147,5016.0,6656.0,2876.0,0.444,0.555,0.194,0.676
834163,5046.0,6082.0,3040.0,0.444,0.556,0.194,0.676
834179,4724.0,5896.0,2972.0,0.443,0.556,0.194,0.676
834195,4332.0,5966.0,2854.0,0.443,0.556,0.194,0.676
834212,4254.0,5992.0,3024.0,0.442,0.557,0.194,0.676
834238,4152.0,6250.0,3228.0,0.44,0.556,0.195,0.677
834254,4072.0,6686.0,3298.0,0.439,0.556,0.197,0.678
834270,4146.0,6922.0,3280.0,0.439,0.555,0.196,0.679
834286,4502.0,6498.0,3216.0,0.44,0.553,0.195,0.68
834302,4868.0,6286.0,3076.0,0.441,0.552,0.193,0.681
834318,5024.0,6766.0,2930.0,0.442,0.551,0.192,0.681
834344,4920.0,7448.0,2966.0,0.443,0.551,0.19,0.681
834360,5038.0,7942.0,3536.0,0.445,0.551,0.186,0.681
834376,5128.0,8228.0,4190.0,0.449,0.551,0.179,0.68
834392,5338.0,7964.0,5588.0,0.453,0.551,0.171,0.68
834408,4958.0,9604.0,6666.0,0.458,0.55,0.16,0.68
834424,4860.0,9302.0,7816.0,0.464,0.547,0.146,0.681
834450,5484.0,10538.0,8654.0,0.469,0.544,0.131,0.683
834466,5954.0,8224.0,7704.0,0.476,0.537,0.115,0.687
834482,5204.0,4638.0,6478.0,0.479,0.53,0.101,0.693
834498,4432.0,1286.0,5456.0,0.479,0.523,0.09,0.7
834514,5946.0,-1648.0,4892.0,0.471,0.517,0.082,0.71
834540,6436.0,-2522.0,4458.0,0.456,0.513,0.088,0.722
834556,7924.0,-486.0,5008.0,0.435,0.504,0.114,0.737
834573,7552.0,3044.0,4412.0,0.413,0.488,0.15,0.754
834589,3094.0,7178.0,3490.0,0.393,0.466,0.19,0.77
834606,4768.0,11816.0,4220.0,0.383,0.441,0.226,0.779
834623,3904.0,10680.0,3140.0,0.384,0.411,0.256,0.786
834639,1966.0,8374.0,2306.0,0.384,0.382,0.283,0.792
834655,1772.0,8698.0,2598.0,0.382,0.353,0.306,0.798
834681,2070.0,8672.0,2478.0,0.38,0.324,0.327,0.803
834697,1754.0,7406.0,2368.0,0.377,0.296,0.348,0.805
834713,1390.0,6680.0,2222.0,0.375,0.272,0.372,0.804
834729,1226.0,6456.0,1904.0,0.376,0.252,0.4,0.797
834745,682.0,5364.0,1414.0,0.38,0.235,0.433,0.783
834771,168.0,4270.0,980.0,0.384,0.223,0.474,0.76
834788,-520.0,5468.0,-284.0,0.387,0.217,0.522,0.729
834804,-1244.0,7372.0,-1498.0,0.39,0.216,0.57,0.69
834821,-1414.0,9214.0,-2196.0,0.393,0.217,0.613,0.65
834837,-1272.0,9932.0,-2018.0,0.397,0.22,0.648,0.611
834854,-1398.0,10764.0,-1956.0,0.404,0.224,0.674,0.577
834871,-1264.0,10662.0,-1704.0,0.413,0.228,0.691,0.548
834888,-956.0,9844.0,-1138.0,0.425,0.231,0.701,0.525
834905,-814.0,8686.0,-814.0,0.436,0.233,0.705,0.508
834921,-782.0,7288.0,-662.0,0.448,0.234,0.707,0.494
834937,-774.0,6170.0,-600.0,0.459,0.236,0.708,0.482
834964,-844.0,5618.0,-602.0,0.468,0.239,0.711,0.468
834980,-1460.0,5528.0,-470.0,0.474,0.244,0.716,0.452
834996,-1694.0,6210.0,-592.0,0.478,0.249,0.721,0.435
835013,-2318.0,6120.0,-602.0,0.482,0.255,0.726,0.42
835030,-2440.0,5404.0,-488.0,0.483,0.259,0.731,0.406
835047,-2996.0,5526.0,-752.0,0.483,0.265,0.737,0.392
835063,-3514.0,6222.0,-1142.0,0.482,0.27,0.743,0.378
835080,-3742.0,6196.0,-1436.0,0.479,0.275,0.748,0.367
835106,-4000.0,5358.0,-1598.0,0.477,0.28,0.752,0.358
835122,-3112.0,5818.0,-1438.0,0.474,0.285,0.756,0.351
835138,-3904.0,7394.0,-1982.0,0.472,0.289,0.758,0.347
835154,-3512.0,5346.0,-2104.0,0.47,0.292,0.76,0.342
835170,-4016.0,6180.0,-2248.0,0.467,0.296,0.762,0.338
835186,-4026.0,7114.0,-2176.0,0.466,0.298,0.762,0.336
835203,-3948.0,6546.0,-2228.0,0.465,0.3,0.763,0.335
835230,-3696.0,5414.0,-2334.0,0.463,0.302,0.764,0.334
835246,-3722.0,5722.0,-2552.0,0.461,0.305,0.765,0.332
835263,-3712.0,6364.0,-2648.0,0.458,0.308,0.766,0.331
835280,-3948.0,6462.0,-2634.0,0.455,0.31,0.766,0.332
835296,-4004.0,6738.0,-2752.0,0.453,0.311,0.766,0.333
835313,-4242.0,6990.0,-2886.0,0.452,0.312,0.764,0.337
835329,-4716.0,8846.0,-3180.0,0.454,0.311,0.761,0.345
835345,-4916.0,8634.0,-3220.0,0.46,0.306,0.752,0.359
835362,-4638.0,7368.0,-2732.0,0.47,0.299,0.739,0.379
835389,-4668.0,7042.0,-2578.0,0.482,0.291,0.723,0.401
835405,-4578.0,7330.0,-2600.0,0.495,0.28,0.703,0.426
835421,-4358.0,6446.0,-2112.0,0.51,0.269,0.681,0.451
835437,-4262.0,6482.0,-1600.0,0.523,0.26,0.659,0.474
835453,-4442.0,7752.0,-1474.0,0.538,0.25,0.633,0.498
835470,-4730.0,6494.0,-524.0,0.552,0.24,0.606,0.52
835486,-4112.0,5960.0,1016.0,0.567,0.233,0.578,0.539
835512,-3042.0,7830.0,2310.0,0.581,0.227,0.549,0.557
835528,-2730.0,7644.0,3232.0,0.595,0.216,0.517,0.575
835544,-2770.0,5310.0,3986.0,0.609,0.204,0.484,0.595
835560,-2112.0,3694.0,4716.0,0.62,0.193,0.452,0.612
835576,-1506.0,2170.0,5170.0,0.627,0.186,0.426,0.626
835592,-1528.0,2278.0,5080.0,0.63,0.184,0.408,0.635
835618,-2056.0,2994.0,5300.0,0.63,0.185,0.395,0.643
