timeMs,ax,ay,az,q0,q1,q2,q3
1457443,-382.0,392.0,8442.0,0.994,0.024,0.017,-0.107
1457460,-364.0,422.0,8328.0,0.994,0.024,0.017,-0.107
1457476,-274.0,320.0,8410.0,0.994,0.024,0.017,-0.107
1457492,-280.0,394.0,8394.0,0.994,0.024,0.017,-0.107
1457509,-318.0,350.0,8384.0,0.994,0.024,0.017,-0.107
1457526,-350.0,388.0,8416.0,0.994,0.024,0.017,-0.107
1457552,-372.0,386.0,8382.0,0.994,0.024,0.017,-0.107
1457569,-296.0,382.0,8420.0,0.994,0.024,0.017,-0.107
1457586,-302.0,400.0,8344.0,0.994,0.024,0.017,-0.107
1457603,-308.0,382.0,8340.0,0.994,0.024,0.017,-0.107
1457619,-330.0,346.0,8380.0,0.994,0.024,0.017,-0.107
1457636,-360.0,362.0,8366.0,0.994,0.024,0.017,-0.107
1457653,-322.0,374.0,8388.0,0.994,0.024,0.017,-0.107
1457669,-340.0,376.0,8388.0,0.994,0.024,0.017,-0.107
1457686,-342.0,450.0,8362.0,0.994,0.024,0.017,-0.107
1457703,-284.0,370.0,8422.0,0.994,0.024,0.017,-0.107
1457729,-272.0,338.0,8390.0,0.994,0.024,0.017,-0.107
1457746,-334.0,384.0,8398.0,0.994,0.024,0.017,-0.107
1457763,-352.0,372.0,8356.0,0.994,0.024,0.017,-0.107
1457780,-328.0,380.0,8378.0,0.994,0.024,0.017,-0.107
1457797,-308.0,356.0,8394.0,0.994,0.024,0.017,-0.107
1457814,-332.0,358.0,8340.0,0.994,0.024,0.017,-0.107
1457830,-340.0,398.0,8336.0,0.994,0.024,0.017,-0.107
1457847,-270.0,360.0,8408.0,0.994,0.024,0.017,-0.107
1457863,-320.0,354.0,8398.0,0.994,0.024,0.017,-0.107
1457880,-318.0,344.0,8384.0,0.994,0.024,0.017,-0.107
1457907,-330.0,398.0,8384.0,0.994,0.024,0.017,-0.107
1457924,-344.0,370.0,8366.0,0.994,0.024,0.017,-0.107
1457941,-306.0,380.0,8398.0,0.994,0.024,0.017,-0.107
1457958,-350.0,370.0,8378.0,0.994,0.024,0.017,-0.107
1457974,-342.0,316.0,8342.0,0.994,0.024,0.017,-0.107
1457990,-342.0,330.0,8406.0,0.994,0.024,0.017,-0.107
1458007,-378.0,416.0,8382.0,0.994,0.024,0.017,-0.107
1458024,-342.0,398.0,8354.0,0.994,0.024,0.017,-0.107
1458043,-370.0,384.0,8366.0,0.994,0.024,0.017,-0.107
1458060,-366.0,366.0,8404.0,0.994,0.024,0.017,-0.107
1458076,-378.0,372.0,8402.0,0.994,0.024,0.017,-0.107
1458093,-342.0,352.0,8352.0,0.994,0.024,0.017,-0.107
1458110,-314.0,356.0,8364.0,0.994,0.024,0.017,-0.107
1458137,-384.0,330.0,8376.0,0.994,0.024,0.017,-0.107
1458154,-336.0,380.0,8380.0,0.994,0.024,0.017,-0.107
1458170,-324.0,390.0,8374.0,0.994,0.024,0.017,-0.107
1458187,-340.0,380.0,8346.0,0.994,0.024,0.017,-0.107
1458204,-356.0,374.0,8402.0,0.994,0.024,0.017,-0.107
1458221,-312.0,402.0,8366.0,0.994,0.024,0.017,-0.108
1458238,-360.0,340.0,8388.0,0.994,0.024,0.017,-0.108
1458255,-324.0,390.0,8326.0,0.994,0.024,0.017,-0.108
1458272,-330.0,396.0,8360.0,0.994,0.024,0.017,-0.108
1458289,-302.0,378.0,8396.0,0.994,0.024,0.017,-0.108
1458306,-290.0,364.0,8388.0,0.994,0.024,0.017,-0.108
1458323,-322.0,376.0,8382.0,0.994,0.024,0.017,-0.108
1458340,-322.0,424.0,8386.0,0.994,0.024,0.017,-0.108
1458367,-306.0,340.0,8356.0,0.994,0.024,0.017,-0.108
1458384,-374.0,370.0,8372.0,0.994,0.024,0.017,-0.108
1458401,-344.0,332.0,8344.0,0.994,0.024,0.017,-0.108
1458418,-330.0,352.0,8392.0,0.994,0.024,0.017,-0.108
1458435,-336.0,320.0,8360.0,0.994,0.024,0.017,-0.108
1458452,-362.0,316.0,8386.0,0.994,0.024,0.017,-0.108
1458469,-344.0,412.0,8468.0,0.994,0.024,0.017,-0.108
1458486,-356.0,400.0,8326.0,0.994,0.024,0.017,-0.107
1458503,-236.0,384.0,8346.0,0.994,0.024,0.017,-0.107
1458519,-338.0,398.0,8418.0,0.994,0.024,0.017,-0.107
1458535,-404.0,362.0,8348.0,0.994,0.024,0.017,-0.107
1458561,-344.0,338.0,8378.0,0.994,0.024,0.017,-0.107
1458578,-304.0,338.0,8364.0,0.994,0.024,0.017,-0.107
1458596,-264.0,332.0,8412.0,0.994,0.024,0.017,-0.107
1458614,-378.0,328.0,8374.0,0.994,0.024,0.017,-0.107
1458631,-338.0,376.0,8386.0,0.994,0.024,0.017,-0.107
1458649,-312.0,368.0,8392.0,0.994,0.024,0.017,-0.107
1458667,-310.0,348.0,8326.0,0.994,0.024,0.017,-0.107
1458684,-298.0,406.0,8336.0,0.994,0.024,0.017,-0.107
1458701,-366.0,372.0,8366.0,0.994,0.024,0.017,-0.107
1458718,-348.0,352.0,8396.0,0.994,0.024,0.017,-0.107
1458735,-348.0,386.0,8344.0,0.994,0.024,0.017,-0.107
1458751,-348.0,392.0,8364.0,0.994,0.024,0.017,-0.107
1458768,-322.0,380.0,8370.0,0.994,0.024,0.017,-0.108
1458785,-300.0,360.0,8366.0,0.994,0.024,0.017,-0.108
1458801,-328.0,370.0,8384.0,0.994,0.024,0.017,-0.108
1458818,-356.0,392.0,8354.0,0.994,0.024,0.017,-0.108
1458844,-352.0,396.0,8360.0,0.994,0.024,0.017,-0.108
1458861,-326.0,388.0,8392.0,0.994,0.024,0.017,-0.108
1458878,-380.0,384.0,8364.0,0.994,0.024,0.017,-0.108
1458895,-274.0,392.0,8336.0,0.994,0.024,0.017,-0.108
1458912,-312.0,346.0,8412.0,0.994,0.024,0.017,-0.108
1458929,-304.0,356.0,8406.0,0.994,0.024,0.017,-0.108
1458946,-314.0,404.0,8358.0,0.994,0.024,0.017,-0.108
1458963,-326.0,348.0,8392.0,0.994,0.024,0.017,-0.108
1458980,-324.0,386.0,8408.0,0.994,0.024,0.017,-0.108
1458997,-244.0,384.0,8314.0,0.994,0.024,0.017,-0.108
1459014,-260.0,326.0,8400.0,0.994,0.024,0.017,-0.108
1459032,-394.0,308.0,8384.0,0.994,0.024,0.017,-0.108
1459049,-358.0,422.0,8362.0,0.994,0.024,0.017,-0.108
1459066,-300.0,328.0,8372.0,0.994,0.024,0.017,-0.108
1459092,-306.0,326.0,8284.0,0.994,0.024,0.017,-0.108
1459109,-292.0,372.0,8402.0,0.994,0.024,0.017,-0.108
1459126,-366.0,350.0,8384.0,0.994,0.024,0.017,-0.108
1459142,-366.0,364.0,8358.0,0.994,0.024,0.017,-0.108
1459159,-348.0,336.0,8354.0,0.994,0.024,0.017,-0.108
1459176,-290.0,402.0,8374.0,0.994,0.024,0.017,-0.108
1459193,-316.0,322.0,8364.0,0.994,0.024,0.017,-0.108
1459211,-342.0,304.0,8396.0,0.994,0.024,0.017,-0.108
1459228,-352.0,402.0,8374.0,0.994,0.024,0.017,-0.108
1459245,-352.0,350.0,8374.0,0.994,0.024,0.017,-0.108
1459262,-348.0,418.0,8366.0,0.994,0.024,0.017,-0.108
1459279,-316.0,334.0,8348.0,0.994,0.024,0.017,-0.108
1459296,-340.0,370.0,8412.0,0.994,0.024,0.017,-0.108
1459323,-356.0,350.0,8398.0,0.994,0.024,0.017,-0.108
