timeMs,ax,ay,az,q0,q1,q2,q3
461473,-40.0,-90.0,8406.0,0.563,-0.004,-0.004,0.826
461489,-4.0,-42.0,8480.0,0.563,-0.004,-0.004,0.826
461505,-6.0,-140.0,8460.0,0.563,-0.004,-0.004,0.826
461521,-2.0,-94.0,8402.0,0.563,-0.004,-0.004,0.826
461537,-50.0,-104.0,8428.0,0.563,-0.004,-0.004,0.826
461563,-14.0,-104.0,8440.0,0.563,-0.004,-0.004,0.826
461579,-26.0,-140.0,8482.0,0.563,-0.004,-0.004,0.826
461596,-12.0,-100.0,8428.0,0.563,-0.004,-0.004,0.826
461613,18.0,-64.0,8478.0,0.563,-0.004,-0.004,0.826
461629,-14.0,-50.0,8446.0,0.563,-0.004,-0.004,0.826
461646,34.0,-76.0,8446.0,0.563,-0.004,-0.004,0.826
461662,-34.0,-56.0,8426.0,0.563,-0.004,-0.004,0.826
461678,8.0,-118.0,8458.0,0.563,-0.004,-0.004,0.826
461704,-40.0,-80.0,8422.0,0.563,-0.004,-0.004,0.826
461720,10.0,-98.0,8430.0,0.563,-0.004,-0.004,0.826
461736,4.0,-80.0,8398.0,0.563,-0.004,-0.004,0.826
461752,-28.0,-92.0,8446.0,0.563,-0.004,-0.004,0.826
461768,-6.0,-30.0,8478.0,0.563,-0.004,-0.004,0.826
461784,-16.0,-80.0,8438.0,0.563,-0.004,-0.004,0.826
461810,-10.0,-40.0,8436.0,0.563,-0.004,-0.004,0.826
461826,12.0,-38.0,8436.0,0.563,-0.004,-0.004,0.826
461842,-44.0,-98.0,8476.0,0.563,-0.004,-0.004,0.826
461858,-32.0,-70.0,8464.0,0.563,-0.004,-0.004,0.826
461874,-32.0,-104.0,8434.0,0.563,-0.004,-0.004,0.826
461890,-28.0,-76.0,8460.0,0.563,-0.004,-0.004,0.826
461916,-18.0,-76.0,8484.0,0.563,-0.004,-0.004,0.826
461932,22.0,-78.0,8444.0,0.563,-0.004,-0.004,0.826
461948,0.0,-126.0,8442.0,0.563,-0.004,-0.004,0.826
461964,-2.0,-70.0,8426.0,0.563,-0.004,-0.004,0.826
461981,-12.0,-56.0,8440.0,0.563,-0.004,-0.004,0.826
461998,-76.0,-106.0,8472.0,0.563,-0.004,-0.004,0.826
462014,8.0,-118.0,8446.0,0.563,-0.004,-0.004,0.826
462041,22.0,-94.0,8434.0,0.563,-0.004,-0.004,0.826
462057,-6.0,-90.0,8440.0,0.563,-0.004,-0.004,0.826
462073,-6.0,-118.0,8442.0,0.563,-0.004,-0.004,0.826
462089,-48.0,-140.0,8422.0,0.563,-0.004,-0.004,0.826
462106,-62.0,-110.0,8460.0,0.563,-0.004,-0.004,0.826
462122,-48.0,-82.0,8464.0,0.563,-0.004,-0.004,0.826
462138,-32.0,-102.0,8454.0,0.563,-0.004,-0.004,0.826
462165,-56.0,-68.0,8454.0,0.563,-0.004,-0.004,0.826
462182,8.0,-88.0,8436.0,0.563,-0.004,-0.004,0.826
462198,-4.0,-46.0,8474.0,0.563,-0.004,-0.004,0.826
462214,-56.0,-114.0,8406.0,0.563,-0.004,-0.004,0.826
462231,-26.0,-58.0,8408.0,0.563,-0.004,-0.004,0.826
462248,2.0,-112.0,8440.0,0.563,-0.004,-0.004,0.826
462264,-16.0,-68.0,8454.0,0.563,-0.004,-0.004,0.826
462281,10.0,-90.0,8464.0,0.563,-0.004,-0.004,0.826
462297,-42.0,-74.0,8428.0,0.563,-0.004,-0.004,0.826
462324,-38.0,-80.0,8380.0,0.563,-0.004,-0.004,0.826
462340,-12.0,-94.0,8464.0,0.563,-0.004,-0.004,0.826
462356,10.0,-52.0,8458.0,0.563,-0.004,-0.004,0.826
462372,-32.0,-100.0,8446.0,0.563,-0.004,-0.004,0.826
462388,-60.0,-122.0,8404.0,0.563,-0.004,-0.004,0.826
462404,-42.0,-82.0,8482.0,0.563,-0.004,-0.004,0.826
462430,26.0,-70.0,8448.0,0.563,-0.004,-0.004,0.826
462446,2.0,-92.0,8424.0,0.563,-0.004,-0.004,0.826
462462,-8.0,-70.0,8466.0,0.563,-0.004,-0.004,0.826
462478,4.0,-74.0,8462.0,0.563,-0.004,-0.004,0.826
462495,-4.0,-90.0,8474.0,0.563,-0.004,-0.004,0.826
462512,-46.0,-80.0,8430.0,0.563,-0.004,-0.004,0.826
462529,-14.0,-32.0,8470.0,0.563,-0.004,-0.004,0.826
462545,-14.0,-46.0,8446.0,0.563,-0.004,-0.004,0.826
462571,-34.0,-90.0,8440.0,0.563,-0.004,-0.004,0.826
462587,6.0,-126.0,8428.0,0.563,-0.004,-0.004,0.826
462603,-8.0,-72.0,8436.0,0.563,-0.004,-0.004,0.826
462620,32.0,-102.0,8506.0,0.563,-0.004,-0.004,0.826
462636,10.0,-90.0,8440.0,0.563,-0.004,-0.004,0.826
462653,2.0,-110.0,8438.0,0.563,-0.004,-0.004,0.826
462669,16.0,-122.0,8434.0,0.563,-0.004,-0.004,0.826
462696,6.0,-94.0,8428.0,0.563,-0.004,-0.004,0.826
462712,-14.0,-78.0,8468.0,0.563,-0.004,-0.004,0.826
462729,4.0,-98.0,8414.0,0.563,-0.004,-0.004,0.826
462746,24.0,-68.0,8440.0,0.563,-0.004,-0.004,0.826
462763,-10.0,-104.0,8448.0,0.563,-0.004,-0.004,0.826
462780,-24.0,-106.0,8416.0,0.563,-0.004,-0.004,0.826
462797,42.0,-44.0,8426.0,0.563,-0.004,-0.004,0.826
462814,130.0,-772.0,8854.0,0.564,-0.003,-0.004,0.826
462831,230.0,154.0,8378.0,0.564,-0.003,-0.005,0.826
