timeMs,ax,ay,az,q0,q1,q2,q3
2872656,-2953.0,6249.0,-2147.0,0.094,-0.155,0.578,0.796
2872673,-2555.0,6823.0,-3713.0,0.094,-0.146,0.602,0.779
2872689,-2245.0,7597.0,-4907.0,0.095,-0.135,0.629,0.76
2872715,-2237.0,7933.0,-6059.0,0.097,-0.123,0.656,0.739
2872731,-2527.0,8147.0,-6161.0,0.102,-0.108,0.682,0.716
2872747,-3129.0,8003.0,-5529.0,0.111,-0.091,0.708,0.691
2872763,-3175.0,8099.0,-4655.0,0.126,-0.071,0.734,0.664
2872779,-2929.0,9595.0,-3851.0,0.144,-0.05,0.76,0.632
2872796,-4837.0,32767.0,-32767.0,0.181,-0.107,0.709,0.673
2872813,-6265.0,-24733.0,10169.0,0.157,-0.096,0.673,0.716
2872840,-603.0,-6107.0,10161.0,0.161,-0.109,0.669,0.717
2872857,-5787.0,6343.0,5683.0,0.166,-0.119,0.676,0.708
2872874,-3505.0,7503.0,3303.0,0.17,-0.127,0.674,0.707
2872890,-3777.0,4559.0,2655.0,0.174,-0.13,0.672,0.708
2872906,-3347.0,5501.0,2147.0,0.177,-0.129,0.67,0.709
2872922,-4235.0,6725.0,2413.0,0.182,-0.125,0.669,0.71
2872939,-4437.0,5249.0,2413.0,0.188,-0.119,0.67,0.708
2872956,-5301.0,6031.0,949.0,0.198,-0.109,0.677,0.7
2872972,-3423.0,8827.0,883.0,0.205,-0.095,0.688,0.69
2872999,-2477.0,10885.0,1207.0,0.208,-0.084,0.696,0.683
2873015,-3265.0,10869.0,1747.0,0.207,-0.076,0.698,0.681
2873031,-3605.0,9903.0,2113.0,0.204,-0.073,0.696,0.685
2873048,-3431.0,8331.0,2099.0,0.2,-0.074,0.689,0.692
2873064,-2915.0,7933.0,1935.0,0.195,-0.078,0.682,0.701
2873080,-2921.0,7907.0,1507.0,0.187,-0.088,0.672,0.711
2873096,-3177.0,7831.0,799.0,0.177,-0.1,0.66,0.723
2873122,-3693.0,8963.0,-43.0,0.168,-0.115,0.646,0.736
2873139,-3903.0,9391.0,-933.0,0.158,-0.133,0.629,0.75
2873156,-4007.0,8975.0,-1435.0,0.149,-0.151,0.608,0.765
2873173,-4221.0,8219.0,-1541.0,0.14,-0.168,0.588,0.779
2873190,-4433.0,6831.0,-1441.0,0.132,-0.183,0.571,0.79
2873207,-4491.0,5259.0,-1449.0,0.124,-0.194,0.557,0.798
2873224,-4489.0,4263.0,-1649.0,0.118,-0.201,0.55,0.802
2873241,-4263.0,3661.0,-2135.0,0.113,-0.204,0.55,0.802
2873257,-3821.0,3407.0,-2825.0,0.109,-0.202,0.559,0.797
2873274,-3199.0,3783.0,-3615.0,0.106,-0.196,0.576,0.787
2873291,-2885.0,5045.0,-4723.0,0.104,-0.187,0.601,0.77
2873317,-3005.0,6899.0,-6051.0,0.103,-0.174,0.629,0.751
2873334,-2641.0,8989.0,-7281.0,0.104,-0.159,0.655,0.731
2873350,-2671.0,9437.0,-7499.0,0.108,-0.141,0.678,0.713
2873367,-2949.0,8419.0,-6527.0,0.116,-0.121,0.7,0.694
2873384,-3879.0,8743.0,-5655.0,0.13,-0.1,0.721,0.673
2873400,-3393.0,9907.0,-4387.0,0.15,-0.079,0.741,0.65
2873417,-25519.0,32767.0,-32767.0,0.162,-0.144,0.691,0.69
2873433,-4411.0,-29179.0,2585.0,0.138,-0.134,0.644,0.741
2873459,-2521.0,-10513.0,8133.0,0.14,-0.145,0.638,0.743
2873475,-4969.0,8461.0,6163.0,0.144,-0.156,0.637,0.741
2873491,-2763.0,3649.0,3153.0,0.147,-0.165,0.633,0.742
2873507,-4001.0,1903.0,2459.0,0.15,-0.168,0.63,0.743
2873523,-3961.0,5099.0,2987.0,0.152,-0.167,0.631,0.742
2873539,-4309.0,6701.0,3667.0,0.155,-0.163,0.632,0.742
2873566,-4629.0,6843.0,3587.0,0.161,-0.158,0.635,0.738
2873582,-5303.0,6767.0,1547.0,0.171,-0.151,0.645,0.729
2873598,-4903.0,7109.0,-625.0,0.18,-0.139,0.659,0.717
2873614,-3231.0,8903.0,-967.0,0.185,-0.124,0.671,0.707
2873631,-2725.0,9123.0,-535.0,0.187,-0.111,0.68,0.701
2873648,-3153.0,8641.0,-97.0,0.186,-0.102,0.685,0.697
2873665,-3489.0,8717.0,313.0,0.185,-0.097,0.687,0.696
2873681,-3815.0,9755.0,339.0,0.185,-0.097,0.687,0.696
2873698,-3627.0,9655.0,121.0,0.184,-0.099,0.683,0.7
2873725,-3631.0,8405.0,-95.0,0.181,-0.104,0.676,0.707
2873741,-3297.0,7277.0,-335.0,0.177,-0.11,0.666,0.716
2873757,-2957.0,6333.0,-523.0,0.173,-0.118,0.654,0.726
2873774,-3135.0,6303.0,-501.0,0.169,-0.127,0.643,0.736
2873791,-3487.0,6855.0,-389.0,0.165,-0.138,0.633,0.743
2873808,-3993.0,7805.0,-457.0,0.162,-0.148,0.625,0.749
2873825,-4051.0,8019.0,-549.0,0.159,-0.158,0.618,0.753
2873842,-4075.0,7415.0,-829.0,0.156,-0.166,0.613,0.756
2873859,-4025.0,6327.0,-943.0,0.153,-0.172,0.611,0.758
2873876,-3853.0,5153.0,-1007.0,0.15,-0.176,0.609,0.759
2873893,-3945.0,4495.0,-1001.0,0.147,-0.176,0.611,0.758
2873920,-4145.0,4867.0,-833.0,0.145,-0.174,0.616,0.755
