timeMs,ax,ay,az,q0,q1,q2,q3
6571618,-4020.0,8222.0,32.0,0.124,-0.234,0.721,0.641
6571644,-4312.0,7576.0,330.0,0.137,-0.245,0.72,0.635
6571660,-4074.0,6890.0,132.0,0.15,-0.256,0.717,0.631
6571677,-4584.0,5986.0,8.0,0.163,-0.266,0.714,0.627
6571693,-4988.0,5202.0,-358.0,0.174,-0.277,0.71,0.624
6571710,-5068.0,3634.0,-186.0,0.185,-0.286,0.705,0.622
6571727,-5306.0,2158.0,-296.0,0.194,-0.294,0.701,0.62
6571744,-5138.0,976.0,-200.0,0.201,-0.299,0.699,0.618
6571760,-5340.0,558.0,-48.0,0.207,-0.302,0.699,0.614
6571776,-5806.0,1670.0,140.0,0.213,-0.304,0.701,0.608
6571802,-6218.0,2552.0,764.0,0.219,-0.306,0.704,0.602
6571818,-6304.0,3752.0,730.0,0.224,-0.308,0.707,0.596
6571835,-6322.0,4564.0,510.0,0.227,-0.308,0.71,0.592
6571852,-6436.0,5066.0,380.0,0.228,-0.307,0.711,0.591
6571869,-5928.0,4914.0,154.0,0.227,-0.306,0.711,0.591
6571885,-5612.0,4382.0,-550.0,0.226,-0.305,0.712,0.591
6571902,-5318.0,5488.0,-1002.0,0.225,-0.307,0.711,0.591
6571919,-6438.0,5718.0,-828.0,0.225,-0.31,0.71,0.591
6571936,-6758.0,5952.0,-1010.0,0.226,-0.313,0.708,0.592
6571953,-6304.0,5016.0,-770.0,0.226,-0.317,0.706,0.591
6571980,-5138.0,5136.0,-1326.0,0.227,-0.32,0.706,0.589
6571997,-692.0,4338.0,-2254.0,0.226,-0.323,0.704,0.591
6572014,-916.0,1512.0,-2536.0,0.224,-0.325,0.698,0.597
6572031,-2710.0,1730.0,-1198.0,0.221,-0.325,0.692,0.605
6572048,-3882.0,1734.0,324.0,0.217,-0.321,0.69,0.611
6572065,-4996.0,2816.0,1332.0,0.212,-0.314,0.696,0.61
6572082,-5382.0,7992.0,266.0,0.208,-0.308,0.707,0.602
6572099,-5392.0,11478.0,-2376.0,0.207,-0.305,0.714,0.595
6572116,-4544.0,11782.0,-3500.0,0.206,-0.305,0.715,0.594
6572133,-4254.0,9424.0,-3090.0,0.202,-0.307,0.711,0.6
6572150,-4778.0,8212.0,-2698.0,0.198,-0.312,0.703,0.609
