timeMs,ax,ay,az,q0,q1,q2,q3
2529335,-4097.0,7089.0,833.0,0.16,-0.187,0.66,0.71
2529352,-4105.0,7079.0,803.0,0.16,-0.187,0.66,0.71
2529369,-4105.0,7021.0,767.0,0.16,-0.186,0.66,0.71
2529385,-4139.0,7119.0,759.0,0.16,-0.186,0.66,0.71
2529401,-4125.0,7069.0,757.0,0.16,-0.186,0.66,0.71
2529417,-4093.0,7005.0,787.0,0.16,-0.186,0.66,0.71
2529433,-4089.0,7063.0,801.0,0.16,-0.186,0.66,0.71
2529460,-4109.0,7031.0,693.0,0.16,-0.186,0.66,0.71
2529476,-4075.0,7039.0,721.0,0.16,-0.186,0.66,0.71
2529492,-4055.0,7029.0,753.0,0.16,-0.186,0.66,0.71
2529509,-4121.0,7109.0,759.0,0.16,-0.186,0.66,0.71
2529526,-4071.0,7067.0,751.0,0.16,-0.186,0.66,0.71
2529543,-4073.0,7025.0,667.0,0.16,-0.186,0.66,0.71
2529560,-4107.0,7025.0,759.0,0.159,-0.186,0.66,0.71
2529577,-4051.0,7075.0,739.0,0.159,-0.186,0.661,0.71
2529594,-3987.0,7103.0,689.0,0.159,-0.185,0.661,0.71
2529611,-4037.0,7213.0,721.0,0.159,-0.185,0.661,0.71
2529628,-4013.0,7177.0,723.0,0.158,-0.185,0.661,0.71
2529655,-4041.0,7125.0,703.0,0.158,-0.185,0.661,0.71
2529672,-3981.0,7113.0,701.0,0.158,-0.185,0.661,0.71
2529689,-3995.0,7103.0,681.0,0.157,-0.185,0.661,0.71
2529706,-3993.0,7165.0,703.0,0.157,-0.185,0.66,0.71
2529723,-4033.0,7133.0,691.0,0.157,-0.185,0.66,0.71
2529740,-4037.0,7087.0,679.0,0.157,-0.186,0.66,0.711
2529757,-4057.0,7097.0,683.0,0.157,-0.186,0.66,0.711
2529773,-4061.0,7061.0,691.0,0.157,-0.186,0.66,0.711
2529790,-4059.0,6999.0,669.0,0.157,-0.186,0.66,0.711
2529807,-4027.0,7007.0,671.0,0.157,-0.186,0.66,0.71
2529824,-4061.0,7023.0,675.0,0.157,-0.186,0.66,0.71
2529841,-4095.0,7013.0,671.0,0.157,-0.187,0.661,0.71
2529858,-4105.0,7003.0,665.0,0.157,-0.187,0.661,0.71
2529885,-4169.0,7023.0,685.0,0.158,-0.187,0.661,0.709
2529902,-4183.0,6931.0,677.0,0.158,-0.187,0.661,0.709
2529919,-4183.0,6965.0,703.0,0.158,-0.187,0.662,0.709
2529936,-4201.0,6955.0,687.0,0.158,-0.187,0.662,0.708
2529953,-4205.0,7081.0,689.0,0.159,-0.187,0.662,0.708
2529970,-4227.0,6937.0,661.0,0.159,-0.187,0.663,0.707
2529987,-4251.0,7003.0,647.0,0.159,-0.187,0.663,0.707
2530004,-4227.0,6959.0,681.0,0.159,-0.187,0.663,0.707
2530021,-4167.0,6989.0,651.0,0.159,-0.187,0.663,0.707
2530038,-4155.0,7011.0,617.0,0.159,-0.187,0.664,0.706
2530054,-4223.0,7029.0,635.0,0.159,-0.187,0.664,0.706
2530080,-4171.0,7067.0,651.0,0.16,-0.186,0.664,0.706
2530097,-4217.0,7029.0,599.0,0.16,-0.186,0.665,0.706
2530114,-4113.0,7073.0,597.0,0.16,-0.186,0.665,0.706
2530131,-4111.0,7093.0,625.0,0.16,-0.186,0.665,0.706
2530147,-4133.0,7101.0,561.0,0.16,-0.185,0.665,0.706
2530164,-4123.0,7025.0,613.0,0.16,-0.185,0.665,0.706
2530180,-4135.0,7015.0,537.0,0.16,-0.185,0.665,0.705
2530199,-4109.0,7081.0,567.0,0.16,-0.185,0.665,0.705
