timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
141716,-1094.0,6544.0,4430.0,159.0,-1183.0,62.0,0.483,0.374,-0.306,-0.73
141728,-980.0,7092.0,3572.0,-130.0,-1186.0,345.0,0.482,0.365,-0.312,-0.733
141750,-514.0,6472.0,3826.0,-26.0,-1182.0,422.0,0.482,0.355,-0.319,-0.735
141762,-924.0,7174.0,4258.0,-96.0,-1088.0,572.0,0.483,0.345,-0.325,-0.736
141784,-1250.0,5760.0,4174.0,-48.0,-1059.0,605.0,0.484,0.336,-0.331,-0.737
141796,-1120.0,6856.0,4850.0,143.0,-1106.0,543.0,0.484,0.327,-0.339,-0.737
141818,-1194.0,5402.0,5368.0,223.0,-1044.0,408.0,0.483,0.32,-0.346,-0.738
141840,-760.0,5868.0,4878.0,661.0,-908.0,317.0,0.48,0.315,-0.356,-0.737
141852,-518.0,6830.0,4388.0,693.0,-821.0,493.0,0.479,0.311,-0.366,-0.735
141874,-714.0,7512.0,4172.0,706.0,-784.0,478.0,0.477,0.307,-0.375,-0.733
141886,-514.0,10430.0,4132.0,791.0,-768.0,346.0,0.475,0.304,-0.385,-0.731
141908,-668.0,8934.0,5430.0,-154.0,-441.0,1874.0,0.486,0.294,-0.391,-0.724
141920,-554.0,8920.0,6798.0,-485.0,-233.0,1956.0,0.5,0.283,-0.395,-0.717
141942,-916.0,7754.0,5772.0,-819.0,25.0,1634.0,0.513,0.273,-0.393,-0.713
141954,-100.0,6986.0,4132.0,-1147.0,213.0,1298.0,0.525,0.264,-0.388,-0.71
141976,-1410.0,7306.0,496.0,-1336.0,-225.0,-550.0,0.523,0.259,-0.379,-0.718
141998,2226.0,7776.0,2080.0,-1377.0,-619.0,-631.0,0.52,0.25,-0.372,-0.727
142010,1150.0,5152.0,2930.0,-1644.0,-512.0,-388.0,0.52,0.24,-0.363,-0.735
142032,440.0,7058.0,3866.0,-1386.0,-737.0,-378.0,0.518,0.23,-0.356,-0.743
142044,940.0,6610.0,4098.0,-1548.0,-669.0,-13.0,0.518,0.218,-0.349,-0.75
142066,1548.0,10254.0,4202.0,-1394.0,-691.0,439.0,0.522,0.205,-0.343,-0.754
142078,1508.0,2770.0,3230.0,-1249.0,-620.0,325.0,0.525,0.193,-0.338,-0.757
142100,3066.0,6490.0,3818.0,-1027.0,-773.0,231.0,0.526,0.182,-0.335,-0.76
142112,1662.0,8158.0,4718.0,-1305.0,-586.0,75.0,0.528,0.172,-0.329,-0.764
