timeMs,ax,ay,az,q0,q1,q2,q3
542948,2898.0,7392.0,1812.0,0.687,0.641,0.054,0.339
542974,2902.0,7444.0,1792.0,0.687,0.641,0.053,0.338
542990,2904.0,7430.0,1790.0,0.687,0.641,0.053,0.338
543006,2892.0,7438.0,1822.0,0.687,0.641,0.053,0.338
543022,2880.0,7460.0,1786.0,0.687,0.641,0.053,0.338
543038,2872.0,7418.0,1798.0,0.688,0.641,0.052,0.337
543054,2876.0,7436.0,1854.0,0.688,0.641,0.052,0.337
543080,2840.0,7418.0,1826.0,0.688,0.641,0.052,0.337
543097,2872.0,7422.0,1804.0,0.688,0.64,0.051,0.336
543113,2926.0,7496.0,1662.0,0.689,0.64,0.051,0.336
543129,2904.0,7382.0,1710.0,0.69,0.639,0.051,0.336
543145,2812.0,7300.0,1850.0,0.691,0.639,0.051,0.335
543161,2912.0,7654.0,1916.0,0.691,0.638,0.051,0.335
543187,2876.0,7536.0,1858.0,0.692,0.637,0.051,0.334
543204,2778.0,7322.0,1812.0,0.693,0.637,0.051,0.333
543220,2786.0,7298.0,1834.0,0.694,0.637,0.05,0.333
543237,2972.0,7502.0,1792.0,0.695,0.636,0.05,0.332
543254,2832.0,7512.0,1960.0,0.696,0.635,0.05,0.331
543270,2764.0,7184.0,1952.0,0.697,0.635,0.049,0.331
543287,2800.0,7310.0,1922.0,0.697,0.634,0.048,0.33
543303,2786.0,7306.0,2080.0,0.698,0.634,0.048,0.33
543319,2790.0,7374.0,1948.0,0.698,0.634,0.047,0.329
543346,2750.0,7364.0,1932.0,0.698,0.635,0.046,0.328
543363,2742.0,7422.0,1912.0,0.698,0.635,0.045,0.327
543380,2810.0,7506.0,1770.0,0.698,0.635,0.045,0.326
543396,2862.0,7492.0,1830.0,0.699,0.636,0.044,0.326
543412,2854.0,7480.0,1882.0,0.699,0.635,0.044,0.325
543429,2834.0,7400.0,1832.0,0.699,0.635,0.044,0.325
543446,2900.0,7332.0,1872.0,0.7,0.635,0.044,0.325
543463,2886.0,7440.0,1916.0,0.7,0.634,0.044,0.325
543480,2814.0,7340.0,1974.0,0.7,0.634,0.044,0.325
543497,2834.0,7350.0,1932.0,0.701,0.634,0.043,0.325
543523,2820.0,7488.0,1928.0,0.701,0.633,0.043,0.325
543540,2868.0,7308.0,2002.0,0.702,0.633,0.043,0.325
543556,2770.0,7278.0,2016.0,0.702,0.632,0.043,0.325
543572,2836.0,7374.0,2020.0,0.702,0.632,0.042,0.325
543588,2782.0,7466.0,1970.0,0.703,0.632,0.042,0.324
543604,2822.0,7382.0,1992.0,0.703,0.632,0.042,0.324
543620,2782.0,7496.0,1954.0,0.703,0.631,0.041,0.324
543646,2782.0,7404.0,1934.0,0.704,0.631,0.041,0.324
543662,2798.0,7428.0,1962.0,0.704,0.631,0.041,0.324
543678,2820.0,7324.0,1922.0,0.704,0.631,0.04,0.323
543694,2762.0,7500.0,2028.0,0.705,0.631,0.04,0.323
543710,2668.0,7302.0,1970.0,0.705,0.631,0.04,0.322
543727,2780.0,7390.0,1914.0,0.705,0.631,0.039,0.322
543753,2730.0,7424.0,1858.0,0.706,0.631,0.039,0.321
543770,2776.0,7466.0,2018.0,0.706,0.631,0.038,0.32
543786,2836.0,7516.0,2038.0,0.706,0.63,0.038,0.32
543802,2810.0,7424.0,2030.0,0.707,0.63,0.037,0.319
543819,2790.0,7368.0,2040.0,0.708,0.63,0.037,0.319
543835,2836.0,7292.0,2104.0,0.708,0.629,0.036,0.318
543851,2734.0,7326.0,2102.0,0.709,0.629,0.035,0.318
543877,2868.0,7324.0,2056.0,0.709,0.629,0.035,0.318
543894,2784.0,7320.0,2068.0,0.709,0.629,0.034,0.317
543910,2842.0,7356.0,2088.0,0.71,0.628,0.034,0.317
543926,2836.0,7384.0,2096.0,0.71,0.628,0.033,0.317
543942,2778.0,7348.0,2096.0,0.711,0.628,0.032,0.317
543958,2776.0,7292.0,2084.0,0.711,0.627,0.032,0.316
543975,2806.0,7420.0,2132.0,0.711,0.627,0.031,0.316
544001,2784.0,7294.0,2108.0,0.712,0.626,0.03,0.316
544018,2756.0,7362.0,2086.0,0.712,0.626,0.029,0.316
544035,2776.0,7342.0,2082.0,0.713,0.626,0.028,0.316
544051,2714.0,7382.0,2114.0,0.713,0.625,0.027,0.315
544067,2896.0,7328.0,1918.0,0.714,0.625,0.025,0.314
544083,2860.0,7248.0,1504.0,0.714,0.625,0.024,0.314
544099,2888.0,7662.0,2304.0,0.715,0.625,0.022,0.313
544125,2716.0,7314.0,2200.0,0.716,0.625,0.02,0.311
544142,2862.0,7772.0,2168.0,0.716,0.625,0.018,0.309
544158,2864.0,7596.0,2068.0,0.718,0.625,0.016,0.307
544175,3170.0,6464.0,1866.0,0.719,0.623,0.013,0.306
544191,2794.0,7250.0,2012.0,0.721,0.623,0.01,0.305
544207,2898.0,7328.0,2142.0,0.722,0.622,0.008,0.303
544223,2866.0,7308.0,2226.0,0.724,0.621,0.005,0.301
544249,2896.0,7258.0,2336.0,0.726,0.619,0.003,0.3
544265,2920.0,6966.0,2440.0,0.727,0.618,-0.0,0.299
544282,2710.0,6862.0,2136.0,0.728,0.617,-0.003,0.298
544298,3124.0,7124.0,2280.0,0.73,0.616,-0.005,0.297
544314,3218.0,7258.0,2474.0,0.73,0.615,-0.008,0.296
544331,3290.0,7018.0,2752.0,0.731,0.615,-0.011,0.296
544348,3324.0,7166.0,2524.0,0.731,0.615,-0.014,0.295
544364,3232.0,7264.0,2330.0,0.732,0.615,-0.017,0.293
544390,2484.0,7406.0,2002.0,0.732,0.615,-0.021,0.292
544406,3592.0,7400.0,1994.0,0.733,0.615,-0.024,0.29
544422,3612.0,7540.0,1736.0,0.733,0.615,-0.028,0.289
544438,3398.0,7534.0,1488.0,0.734,0.614,-0.031,0.289
544454,3438.0,7674.0,1622.0,0.735,0.613,-0.033,0.288
544470,3372.0,7692.0,1700.0,0.737,0.612,-0.036,0.286
544487,3486.0,7340.0,1998.0,0.739,0.609,-0.039,0.285
544513,3178.0,7360.0,2252.0,0.741,0.608,-0.041,0.283
544530,3208.0,7636.0,1928.0,0.743,0.606,-0.044,0.28
544546,3534.0,7910.0,2094.0,0.745,0.605,-0.046,0.278
544562,3446.0,7600.0,1772.0,0.747,0.603,-0.047,0.275
544579,3758.0,7672.0,2056.0,0.749,0.601,-0.049,0.273
544596,3182.0,7582.0,1958.0,0.752,0.599,-0.05,0.271
544612,2918.0,7338.0,2310.0,0.756,0.595,-0.051,0.268
544638,3010.0,7470.0,2340.0,0.76,0.592,-0.053,0.264
544655,3054.0,6892.0,2604.0,0.763,0.588,-0.053,0.261
544672,3058.0,7404.0,2856.0,0.767,0.585,-0.053,0.259
544689,3140.0,6192.0,3092.0,0.771,0.58,-0.053,0.256
544705,2850.0,6254.0,3294.0,0.775,0.576,-0.053,0.254
544721,2648.0,6596.0,3648.0,0.779,0.572,-0.052,0.252
544738,2640.0,6404.0,3838.0,0.782,0.568,-0.052,0.25
544755,2802.0,6336.0,3910.0,0.785,0.565,-0.051,0.249
544772,2860.0,6292.0,3898.0,0.787,0.562,-0.05,0.249
544789,2828.0,6050.0,3884.0,0.789,0.56,-0.05,0.25
544806,2940.0,6002.0,3682.0,0.789,0.559,-0.048,0.251
544833,3120.0,6178.0,3696.0,0.789,0.558,-0.047,0.253
544850,3124.0,6146.0,3678.0,0.788,0.558,-0.045,0.256
544867,3238.0,6472.0,3534.0,0.786,0.559,-0.042,0.26
544883,3202.0,6374.0,3568.0,0.784,0.56,-0.04,0.263
544899,3188.0,6350.0,3416.0,0.782,0.562,-0.037,0.267
544915,3180.0,6406.0,3404.0,0.78,0.564,-0.034,0.271
544931,3366.0,6474.0,3374.0,0.777,0.566,-0.032,0.274
544957,3366.0,6622.0,3246.0,0.774,0.568,-0.029,0.277
544973,3276.0,6578.0,3144.0,0.771,0.571,-0.027,0.28
544989,3238.0,6348.0,3162.0,0.768,0.574,-0.024,0.283
545005,3104.0,6820.0,2988.0,0.764,0.578,-0.022,0.285
545021,2630.0,7546.0,2680.0,0.761,0.582,-0.02,0.286
545037,2646.0,8334.0,2896.0,0.758,0.586,-0.018,0.286
545063,2376.0,8710.0,2482.0,0.756,0.588,-0.017,0.287
545079,1996.0,8088.0,1990.0,0.754,0.59,-0.016,0.288
545095,2098.0,8206.0,2274.0,0.754,0.59,-0.016,0.289
545112,2148.0,7422.0,2650.0,0.754,0.59,-0.017,0.289
545128,2272.0,7686.0,2638.0,0.754,0.59,-0.017,0.289
545144,2578.0,7340.0,2830.0,0.755,0.589,-0.018,0.289
