timeMs,ax,ay,az,q0,q1,q2,q3
1933448,-4732.0,6448.0,-215.0,0.606,0.711,0.046,-0.355
1933467,-4554.0,6596.0,-297.0,0.606,0.71,0.045,-0.356
1933486,-4434.0,6558.0,-237.0,0.605,0.711,0.045,-0.357
1933503,-4508.0,6992.0,-219.0,0.604,0.711,0.044,-0.357
1933521,-4538.0,6746.0,-157.0,0.604,0.711,0.044,-0.357
1933541,-4668.0,6634.0,-79.0,0.604,0.711,0.043,-0.358
1933560,-4692.0,6672.0,-67.0,0.604,0.711,0.043,-0.358
1933578,-4714.0,6766.0,-101.0,0.603,0.711,0.042,-0.358
1933595,-4698.0,7130.0,-209.0,0.603,0.711,0.042,-0.359
1933612,-4756.0,6848.0,-123.0,0.603,0.711,0.042,-0.359
1933632,-4744.0,6598.0,-21.0,0.603,0.711,0.041,-0.36
1933652,-4690.0,6626.0,-25.0,0.603,0.711,0.041,-0.361
1933672,-4644.0,6716.0,-31.0,0.603,0.71,0.041,-0.362
1933684,-4594.0,6822.0,-25.0,0.603,0.71,0.04,-0.362
1933704,-4618.0,6948.0,-31.0,0.603,0.709,0.04,-0.363
1933724,-4672.0,7372.0,-191.0,0.604,0.708,0.041,-0.364
1933733,-4822.0,7028.0,-147.0,0.605,0.707,0.042,-0.364
1933753,-4900.0,6620.0,-99.0,0.607,0.705,0.042,-0.364
1933772,-4724.0,6310.0,41.0,0.607,0.705,0.042,-0.365
1933791,-4724.0,6356.0,-11.0,0.608,0.704,0.042,-0.365
1933811,-4666.0,6442.0,-47.0,0.607,0.704,0.042,-0.367
1933829,-4528.0,6614.0,-81.0,0.607,0.703,0.041,-0.368
1933840,-4538.0,6590.0,33.0,0.606,0.703,0.04,-0.368
1933860,-4618.0,7058.0,-33.0,0.606,0.703,0.04,-0.369
1933879,-4718.0,6852.0,89.0,0.607,0.703,0.039,-0.369
1933899,-4678.0,6638.0,159.0,0.607,0.703,0.038,-0.37
1933909,-4542.0,6692.0,49.0,0.606,0.703,0.037,-0.37
1933930,-4458.0,6680.0,151.0,0.605,0.703,0.037,-0.371
1933948,-4572.0,6052.0,221.0,0.604,0.704,0.038,-0.371
1933966,-4708.0,6966.0,199.0,0.603,0.704,0.039,-0.372
1933986,-4970.0,7134.0,213.0,0.603,0.704,0.04,-0.373
1933997,-4602.0,6790.0,177.0,0.604,0.703,0.04,-0.374
1934016,-4382.0,6624.0,51.0,0.605,0.702,0.04,-0.374
1934036,-4744.0,6800.0,121.0,0.605,0.702,0.04,-0.374
1934055,-5120.0,6972.0,197.0,0.605,0.701,0.04,-0.374
1934074,-5174.0,7110.0,185.0,0.606,0.701,0.04,-0.375
1934084,-4904.0,6802.0,131.0,0.607,0.699,0.039,-0.375
1934103,-4614.0,6642.0,147.0,0.608,0.698,0.038,-0.376
1934122,-4574.0,6572.0,161.0,0.609,0.697,0.038,-0.377
1934139,-4678.0,6654.0,221.0,0.609,0.696,0.037,-0.378
1934158,-4816.0,6736.0,191.0,0.609,0.695,0.037,-0.379
1934178,-4760.0,6696.0,283.0,0.61,0.694,0.036,-0.38
1934198,-4552.0,6448.0,253.0,0.61,0.693,0.036,-0.382
1934208,-4562.0,6500.0,155.0,0.61,0.692,0.035,-0.383
1934227,-4616.0,6662.0,163.0,0.611,0.692,0.035,-0.384
1934244,-4738.0,6632.0,225.0,0.611,0.691,0.034,-0.385
1934264,-4812.0,6682.0,285.0,0.61,0.691,0.034,-0.386
1934284,-4884.0,6842.0,269.0,0.61,0.691,0.033,-0.386
1934292,-4726.0,6838.0,321.0,0.609,0.692,0.032,-0.387
1934310,-4600.0,6852.0,381.0,0.609,0.691,0.032,-0.387
1934329,-4598.0,6792.0,413.0,0.609,0.691,0.032,-0.388
1934347,-4568.0,6718.0,419.0,0.609,0.691,0.032,-0.388
1934366,-4642.0,6796.0,451.0,0.61,0.69,0.032,-0.388
1934385,-4674.0,6828.0,531.0,0.611,0.689,0.032,-0.389
1934405,-4650.0,6788.0,577.0,0.612,0.687,0.032,-0.389
1934422,-4674.0,6728.0,519.0,0.614,0.686,0.033,-0.39
1934441,-4796.0,6908.0,497.0,0.615,0.684,0.033,-0.39
1934453,-4774.0,6680.0,653.0,0.617,0.682,0.034,-0.391
1934472,-4932.0,6680.0,579.0,0.618,0.681,0.034,-0.392
1934489,-4822.0,6532.0,637.0,0.619,0.679,0.033,-0.394
1934509,-4944.0,6590.0,623.0,0.62,0.677,0.033,-0.395
1934528,-4752.0,6546.0,601.0,0.62,0.676,0.033,-0.397
1934539,-4874.0,6664.0,605.0,0.621,0.674,0.033,-0.398
1934559,-4856.0,6528.0,665.0,0.621,0.673,0.033,-0.4
1934577,-4752.0,6472.0,707.0,0.621,0.672,0.032,-0.401
1934597,-4732.0,6496.0,695.0,0.621,0.672,0.032,-0.403
1934614,-4666.0,6456.0,679.0,0.621,0.671,0.031,-0.404
1934636,-4574.0,6496.0,803.0,0.621,0.67,0.031,-0.405
1934647,-4612.0,6510.0,749.0,0.621,0.67,0.031,-0.406
1934668,-4786.0,6496.0,789.0,0.621,0.67,0.031,-0.406
1934679,-4874.0,6866.0,821.0,0.621,0.669,0.03,-0.407
1934699,-4926.0,6798.0,845.0,0.621,0.669,0.03,-0.407
1934718,-4724.0,6716.0,841.0,0.621,0.669,0.029,-0.408
1934737,-4724.0,6624.0,927.0,0.621,0.668,0.029,-0.408
1934756,-4690.0,6578.0,1033.0,0.622,0.668,0.029,-0.409
1934766,-4748.0,6716.0,1045.0,0.622,0.667,0.029,-0.409
1934786,-4746.0,6568.0,1131.0,0.623,0.666,0.029,-0.41
1934806,-4868.0,6536.0,1225.0,0.624,0.664,0.028,-0.41
1934827,-4698.0,6846.0,1123.0,0.625,0.663,0.028,-0.411
1934836,-4656.0,6844.0,977.0,0.626,0.661,0.028,-0.412
1934856,-4830.0,6672.0,1019.0,0.628,0.659,0.028,-0.413
1934876,-4862.0,6382.0,1115.0,0.629,0.658,0.027,-0.414
1934894,-4826.0,6444.0,1179.0,0.629,0.657,0.027,-0.415
1934914,-4858.0,6274.0,1131.0,0.629,0.656,0.026,-0.416
1934925,-4670.0,6454.0,1137.0,0.629,0.656,0.025,-0.417
1934943,-4602.0,6682.0,1131.0,0.628,0.656,0.025,-0.418
1934963,-4668.0,6532.0,1183.0,0.628,0.656,0.024,-0.419
1934983,-4746.0,6720.0,1247.0,0.627,0.656,0.024,-0.419
1934993,-4726.0,6624.0,1227.0,0.627,0.656,0.024,-0.42
1935012,-4742.0,6442.0,1317.0,0.626,0.656,0.023,-0.42
1935031,-4666.0,6416.0,1235.0,0.626,0.657,0.023,-0.421
1935051,-4676.0,6464.0,1137.0,0.625,0.657,0.023,-0.421
1935072,-4696.0,6438.0,1119.0,0.625,0.658,0.024,-0.42
1935082,-4692.0,6464.0,1185.0,0.624,0.658,0.024,-0.42
1935101,-4710.0,6528.0,1181.0,0.624,0.659,0.024,-0.419
1935120,-4932.0,6588.0,1157.0,0.623,0.66,0.024,-0.419
1935141,-4978.0,6628.0,1139.0,0.623,0.661,0.024,-0.418
1935148,-4906.0,6608.0,1113.0,0.622,0.662,0.024,-0.417
1935167,-4796.0,6606.0,1089.0,0.621,0.663,0.023,-0.416
1935189,-4694.0,6584.0,1079.0,0.621,0.665,0.023,-0.416
1935210,-4546.0,6646.0,1011.0,0.62,0.666,0.023,-0.414
1935221,-4546.0,6644.0,1085.0,0.62,0.667,0.023,-0.413
1935241,-4624.0,6642.0,1115.0,0.62,0.668,0.023,-0.412
1935263,-4662.0,6624.0,1083.0,0.62,0.668,0.023,-0.41
1935274,-4760.0,6666.0,1041.0,0.62,0.669,0.023,-0.409
1935295,-4822.0,6704.0,965.0,0.62,0.67,0.022,-0.408
1935314,-4748.0,6844.0,909.0,0.62,0.67,0.022,-0.407
1935331,-4838.0,6632.0,847.0,0.62,0.671,0.022,-0.406
