timeMs,ax,ay,az,q0,q1,q2,q3
731579,7904.0,7722.0,414.0,0.266,0.827,-0.018,0.495
731595,7880.0,7878.0,248.0,0.262,0.827,-0.02,0.496
731611,7582.0,7928.0,52.0,0.259,0.828,-0.021,0.497
731627,7752.0,7662.0,-536.0,0.259,0.827,-0.021,0.498
731643,7630.0,7652.0,-368.0,0.26,0.827,-0.02,0.499
731659,7494.0,7474.0,-492.0,0.263,0.826,-0.018,0.499
731685,7394.0,7868.0,-1212.0,0.267,0.825,-0.016,0.498
731701,6962.0,7502.0,-612.0,0.274,0.823,-0.012,0.497
731718,6458.0,7280.0,-690.0,0.283,0.823,-0.008,0.493
731735,5480.0,12842.0,-3576.0,0.301,0.823,-0.006,0.483
731751,7966.0,3590.0,-196.0,0.317,0.821,-0.006,0.474
731768,5958.0,4548.0,-918.0,0.329,0.822,0.001,0.465
731785,4970.0,9668.0,-4044.0,0.34,0.822,0.007,0.457
731801,5876.0,9932.0,-4290.0,0.356,0.819,0.01,0.449
731827,6062.0,7358.0,-3388.0,0.376,0.814,0.011,0.442
731843,5590.0,6216.0,-3526.0,0.393,0.809,0.014,0.436
731859,5074.0,7908.0,-3866.0,0.411,0.803,0.017,0.431
731876,5180.0,7706.0,-3706.0,0.43,0.796,0.02,0.425
731892,5054.0,7364.0,-3056.0,0.45,0.788,0.023,0.42
731908,4706.0,6440.0,-2610.0,0.469,0.779,0.027,0.415
731934,4388.0,7988.0,-3040.0,0.488,0.771,0.031,0.409
731951,4966.0,7154.0,-2752.0,0.509,0.761,0.033,0.401
731968,4032.0,6384.0,-2130.0,0.529,0.752,0.037,0.392
731985,3646.0,7722.0,-2142.0,0.547,0.745,0.04,0.38
732001,3586.0,7996.0,-2612.0,0.567,0.736,0.041,0.367
732018,3890.0,8096.0,-3010.0,0.587,0.727,0.04,0.354
732035,3822.0,7350.0,-2636.0,0.607,0.718,0.039,0.34
732051,2958.0,6970.0,-2162.0,0.626,0.708,0.037,0.325
732067,3098.0,6346.0,-2042.0,0.644,0.698,0.034,0.311
732093,2722.0,6268.0,-1780.0,0.661,0.689,0.029,0.297
732109,2368.0,5972.0,-1390.0,0.678,0.678,0.023,0.282
732125,2062.0,5316.0,-1250.0,0.695,0.668,0.016,0.266
732141,1878.0,4576.0,-872.0,0.711,0.657,0.006,0.251
732157,1578.0,3720.0,-708.0,0.726,0.646,-0.005,0.236
732173,1472.0,3800.0,-88.0,0.74,0.635,-0.018,0.222
732199,1602.0,3176.0,230.0,0.753,0.624,-0.032,0.208
732216,1914.0,2374.0,596.0,0.763,0.615,-0.047,0.196
732233,2078.0,2788.0,394.0,0.771,0.607,-0.063,0.184
732250,2378.0,3774.0,82.0,0.777,0.599,-0.079,0.174
732267,3238.0,2918.0,654.0,0.783,0.591,-0.097,0.165
732284,3808.0,2396.0,1342.0,0.788,0.583,-0.117,0.158
732301,5754.0,4058.0,3080.0,0.794,0.572,-0.138,0.154
