timeMs,ax,ay,az,q0,q1,q2,q3
2280265,3824.0,-338.0,7478.0,0.911,0.062,-0.252,0.32
2280281,3796.0,-448.0,7466.0,0.911,0.062,-0.252,0.32
2280298,3928.0,-314.0,7376.0,0.911,0.063,-0.254,0.32
2280314,4092.0,-182.0,7274.0,0.911,0.063,-0.255,0.319
2280330,4200.0,-212.0,7152.0,0.91,0.064,-0.256,0.319
2280346,4364.0,-224.0,7110.0,0.91,0.064,-0.258,0.318
2280372,4452.0,-224.0,7068.0,0.91,0.064,-0.26,0.317
2280388,4572.0,-346.0,7046.0,0.91,0.063,-0.261,0.316
2280404,4538.0,-498.0,6994.0,0.91,0.062,-0.263,0.315
2280420,4562.0,-588.0,6940.0,0.91,0.061,-0.264,0.314
2280436,4518.0,-730.0,6890.0,0.91,0.059,-0.265,0.313
2280452,4508.0,-780.0,6854.0,0.91,0.058,-0.266,0.312
2280479,4564.0,-772.0,6824.0,0.911,0.056,-0.266,0.311
2280495,4492.0,-862.0,6784.0,0.911,0.055,-0.266,0.311
2280511,4504.0,-916.0,6830.0,0.911,0.054,-0.266,0.31
2280527,4434.0,-1022.0,6846.0,0.911,0.053,-0.266,0.31
2280544,4418.0,-1012.0,6852.0,0.911,0.052,-0.266,0.311
2280560,4238.0,-1154.0,6896.0,0.911,0.052,-0.265,0.312
2280576,4118.0,-1210.0,7066.0,0.911,0.052,-0.263,0.313
2280602,4008.0,-1084.0,7142.0,0.911,0.052,-0.262,0.314
2280618,4038.0,-1068.0,7202.0,0.911,0.053,-0.261,0.315
2280634,4090.0,-998.0,7210.0,0.911,0.054,-0.26,0.316
2280650,4122.0,-870.0,7124.0,0.91,0.056,-0.259,0.318
2280666,4220.0,-770.0,7146.0,0.91,0.057,-0.258,0.319
2280692,4190.0,-608.0,7202.0,0.91,0.059,-0.257,0.32
2280708,4234.0,-632.0,7200.0,0.91,0.06,-0.255,0.321
2280724,4258.0,-492.0,7178.0,0.91,0.062,-0.255,0.322
2280740,4304.0,-456.0,7120.0,0.91,0.063,-0.254,0.323
2280756,4238.0,-460.0,7080.0,0.91,0.064,-0.253,0.323
2280772,4178.0,-450.0,7152.0,0.91,0.064,-0.252,0.324
2280798,4128.0,-442.0,7070.0,0.91,0.064,-0.252,0.324
2280814,4062.0,-474.0,7080.0,0.91,0.065,-0.251,0.324
2280830,3994.0,-530.0,7108.0,0.91,0.065,-0.25,0.324
2280846,4076.0,-510.0,7104.0,0.91,0.066,-0.249,0.325
2280862,4128.0,-526.0,7102.0,0.91,0.066,-0.249,0.325
2280878,4054.0,-542.0,7200.0,0.91,0.066,-0.248,0.325
2280904,4010.0,-484.0,7234.0,0.911,0.067,-0.246,0.325
2280920,3920.0,-462.0,7344.0,0.911,0.067,-0.245,0.325
2280942,3914.0,-434.0,7428.0,0.911,0.068,-0.243,0.325
2280958,3864.0,-384.0,7436.0,0.911,0.069,-0.242,0.326
2280974,3808.0,-266.0,7364.0,0.911,0.07,-0.241,0.326
2280990,3852.0,-212.0,7334.0,0.912,0.072,-0.24,0.327
2281006,3806.0,-110.0,7376.0,0.912,0.073,-0.239,0.327
2281022,3862.0,-74.0,7358.0,0.912,0.074,-0.238,0.327
2281038,3978.0,-22.0,7330.0,0.912,0.074,-0.237,0.327
2281054,3976.0,-46.0,7302.0,0.912,0.075,-0.237,0.328
2281080,3946.0,-44.0,7284.0,0.912,0.075,-0.236,0.328
2281096,3974.0,-62.0,7276.0,0.912,0.075,-0.236,0.327
2281112,4012.0,-156.0,7204.0,0.912,0.074,-0.237,0.327
2281128,4038.0,-212.0,7234.0,0.912,0.073,-0.237,0.327
2281144,4054.0,-324.0,7212.0,0.912,0.072,-0.237,0.326
2281170,4108.0,-406.0,7198.0,0.912,0.07,-0.238,0.326
2281186,4074.0,-516.0,7184.0,0.912,0.069,-0.238,0.326
2281202,4070.0,-640.0,7182.0,0.912,0.068,-0.238,0.326
2281218,4028.0,-656.0,7188.0,0.913,0.067,-0.238,0.326
2281234,3996.0,-736.0,7180.0,0.913,0.066,-0.239,0.326
2281250,3994.0,-732.0,7208.0,0.912,0.066,-0.238,0.326
2281276,3942.0,-704.0,7266.0,0.912,0.065,-0.238,0.327
2281292,3886.0,-722.0,7306.0,0.912,0.066,-0.238,0.327
2281308,3930.0,-604.0,7328.0,0.912,0.066,-0.237,0.328
2281324,3918.0,-494.0,7294.0,0.912,0.067,-0.237,0.329
2281340,3836.0,-436.0,7342.0,0.911,0.068,-0.237,0.33
2281356,3820.0,-344.0,7368.0,0.911,0.069,-0.236,0.331
2281382,3782.0,-302.0,7348.0,0.91,0.07,-0.236,0.332
2281398,3840.0,-276.0,7278.0,0.91,0.071,-0.236,0.333
2281414,3852.0,-196.0,7268.0,0.91,0.071,-0.236,0.333
2281430,3880.0,-102.0,7280.0,0.91,0.072,-0.236,0.334
2281449,3928.0,-164.0,7238.0,0.91,0.072,-0.237,0.334
2281465,3916.0,-198.0,7244.0,0.909,0.072,-0.237,0.334
2281481,3940.0,-210.0,7218.0,0.909,0.071,-0.237,0.334
2281497,4000.0,-282.0,7270.0,0.909,0.071,-0.238,0.334
2281523,4028.0,-354.0,7226.0,0.909,0.07,-0.238,0.334
2281539,4058.0,-372.0,7202.0,0.909,0.069,-0.239,0.334
2281555,4066.0,-492.0,7214.0,0.909,0.069,-0.239,0.334
2281571,4058.0,-512.0,7210.0,0.909,0.068,-0.239,0.334
2281587,4032.0,-590.0,7222.0,0.909,0.068,-0.239,0.334
2281604,3994.0,-658.0,7212.0,0.909,0.068,-0.239,0.334
2281630,3902.0,-622.0,7222.0,0.909,0.068,-0.238,0.335
2281646,3892.0,-646.0,7248.0,0.909,0.068,-0.238,0.335
2281662,3914.0,-606.0,7252.0,0.909,0.069,-0.237,0.336
2281678,3906.0,-530.0,7290.0,0.909,0.069,-0.237,0.336
2281694,3864.0,-498.0,7258.0,0.909,0.07,-0.236,0.337
2281710,3932.0,-396.0,7290.0,0.909,0.071,-0.236,0.337
2281736,3954.0,-372.0,7284.0,0.908,0.072,-0.236,0.338
2281752,3932.0,-380.0,7262.0,0.908,0.072,-0.235,0.338
2281768,3894.0,-286.0,7244.0,0.908,0.073,-0.235,0.338
2281784,3910.0,-268.0,7304.0,0.908,0.073,-0.235,0.339
2281800,3852.0,-208.0,7218.0,0.908,0.074,-0.234,0.339
2281816,3850.0,-208.0,7258.0,0.908,0.074,-0.234,0.339
2281842,3890.0,-224.0,7310.0,0.908,0.074,-0.234,0.339
2281858,3872.0,-258.0,7320.0,0.908,0.074,-0.234,0.339
2281874,3896.0,-208.0,7324.0,0.908,0.074,-0.234,0.338
2281890,3876.0,-280.0,7306.0,0.908,0.074,-0.234,0.338
2281906,3912.0,-298.0,7316.0,0.908,0.074,-0.234,0.338
2281922,3936.0,-346.0,7226.0,0.908,0.074,-0.234,0.338
2281948,3956.0,-332.0,7296.0,0.908,0.074,-0.234,0.338
2281964,4018.0,-342.0,7224.0,0.908,0.073,-0.235,0.338
2281980,4012.0,-310.0,7226.0,0.908,0.073,-0.235,0.338
2281996,4036.0,-396.0,7232.0,0.908,0.073,-0.235,0.338
2282012,4004.0,-390.0,7254.0,0.908,0.073,-0.235,0.339
2282028,4044.0,-446.0,7244.0,0.908,0.073,-0.235,0.339
2282054,3978.0,-454.0,7290.0,0.908,0.073,-0.235,0.339
2282070,4000.0,-432.0,7298.0,0.908,0.073,-0.235,0.339
2282086,3984.0,-398.0,7324.0,0.908,0.073,-0.235,0.339
2282102,3956.0,-466.0,7296.0,0.908,0.073,-0.235,0.34
2282118,3956.0,-370.0,7284.0,0.908,0.073,-0.235,0.34
2282134,3938.0,-352.0,7314.0,0.908,0.073,-0.235,0.341
2282160,3930.0,-390.0,7258.0,0.907,0.073,-0.235,0.341
2282176,3912.0,-422.0,7252.0,0.907,0.073,-0.234,0.341
2282192,3904.0,-384.0,7246.0,0.907,0.073,-0.234,0.341
2282208,3908.0,-386.0,7240.0,0.907,0.074,-0.234,0.341
2282224,3944.0,-388.0,7230.0,0.907,0.074,-0.234,0.342
2282240,3968.0,-388.0,7192.0,0.907,0.074,-0.234,0.342
2282266,3990.0,-412.0,7192.0,0.907,0.074,-0.234,0.342
2282282,3936.0,-396.0,7246.0,0.907,0.073,-0.234,0.342
2282298,3916.0,-390.0,7256.0,0.907,0.073,-0.234,0.343
2282314,3902.0,-392.0,7270.0,0.907,0.073,-0.234,0.343
2282330,3844.0,-390.0,7280.0,0.907,0.074,-0.234,0.343
2282356,3810.0,-504.0,7372.0,0.907,0.074,-0.234,0.343
2282372,3830.0,-346.0,7316.0,0.906,0.074,-0.234,0.344
2282388,3790.0,-342.0,7320.0,0.906,0.074,-0.234,0.344
2282404,3866.0,-266.0,7282.0,0.906,0.075,-0.234,0.344
2282420,3938.0,-264.0,7320.0,0.906,0.075,-0.234,0.344
2282436,3964.0,-228.0,7338.0,0.906,0.076,-0.234,0.345
2282462,4046.0,-224.0,7276.0,0.906,0.076,-0.235,0.345
2282478,4098.0,-188.0,7238.0,0.906,0.076,-0.235,0.345
2282494,4098.0,-248.0,7228.0,0.906,0.075,-0.235,0.345
2282510,4116.0,-294.0,7212.0,0.906,0.075,-0.235,0.345
2282526,4090.0,-342.0,7178.0,0.906,0.074,-0.235,0.345
2282542,4012.0,-414.0,7182.0,0.906,0.073,-0.236,0.345
2282568,3946.0,-484.0,7226.0,0.906,0.073,-0.236,0.345
2282584,3836.0,-532.0,7266.0,0.905,0.072,-0.236,0.345
2282600,3706.0,-626.0,7308.0,0.905,0.071,-0.236,0.345
2282616,3692.0,-680.0,7326.0,0.905,0.071,-0.236,0.346
2282632,3738.0,-658.0,7372.0,0.905,0.071,-0.237,0.346
2282648,3870.0,-638.0,7290.0,0.905,0.072,-0.237,0.346
2282674,3954.0,-524.0,7302.0,0.905,0.072,-0.238,0.346
2282690,4048.0,-476.0,7280.0,0.904,0.073,-0.238,0.347
2282706,4210.0,-276.0,7268.0,0.904,0.074,-0.238,0.347
2282722,4272.0,-194.0,7196.0,0.904,0.075,-0.238,0.347
2282738,4188.0,-196.0,7152.0,0.904,0.075,-0.238,0.347
2282754,4148.0,-252.0,7180.0,0.904,0.075,-0.237,0.348
2282780,4056.0,-274.0,7246.0,0.904,0.075,-0.237,0.348
2282796,3942.0,-370.0,7226.0,0.904,0.075,-0.237,0.348
2282812,3896.0,-380.0,7262.0,0.904,0.074,-0.236,0.348
2282828,3906.0,-422.0,7264.0,0.904,0.074,-0.236,0.349
2282844,3882.0,-472.0,7254.0,0.904,0.073,-0.236,0.349
2282860,3934.0,-564.0,7246.0,0.904,0.073,-0.236,0.349
2282886,3982.0,-598.0,7232.0,0.904,0.073,-0.236,0.349
2282903,3954.0,-588.0,7236.0,0.904,0.073,-0.236,0.349
2282920,3924.0,-594.0,7300.0,0.904,0.073,-0.236,0.35
2282937,3884.0,-586.0,7304.0,0.904,0.073,-0.236,0.35
2282953,3938.0,-510.0,7266.0,0.904,0.073,-0.236,0.35
2282969,3872.0,-448.0,7270.0,0.903,0.074,-0.236,0.35
2282985,3966.0,-400.0,7306.0,0.903,0.074,-0.236,0.351
2283001,3962.0,-336.0,7252.0,0.903,0.075,-0.236,0.351
2283028,3994.0,-332.0,7278.0,0.903,0.075,-0.236,0.351
2283044,3984.0,-276.0,7262.0,0.903,0.076,-0.236,0.351
2283060,3982.0,-266.0,7286.0,0.903,0.076,-0.236,0.351
2283076,3962.0,-252.0,7262.0,0.903,0.076,-0.235,0.351
2283092,4016.0,-274.0,7254.0,0.903,0.076,-0.235,0.351
