timeMs,ax,ay,az,q0,q1,q2,q3
917673,-7307.0,1303.0,3334.0,0.331,-0.453,0.317,0.764
917695,-7671.0,1371.0,3546.0,0.33,-0.454,0.317,0.764
917707,-7519.0,1653.0,3506.0,0.33,-0.455,0.318,0.764
917729,-7551.0,1891.0,3388.0,0.328,-0.455,0.319,0.764
917741,-6997.0,1999.0,3084.0,0.327,-0.454,0.32,0.764
917763,-7049.0,1981.0,3398.0,0.326,-0.455,0.321,0.764
917775,-7519.0,1837.0,3790.0,0.326,-0.454,0.322,0.764
917797,-7659.0,2033.0,3458.0,0.325,-0.454,0.325,0.764
917809,-7141.0,2219.0,2444.0,0.322,-0.454,0.328,0.763
917831,-5659.0,1881.0,2352.0,0.318,-0.461,0.329,0.761
917853,-6893.0,1693.0,486.0,0.308,-0.485,0.33,0.749
917865,-7657.0,1663.0,2404.0,0.299,-0.505,0.329,0.74
917887,-7619.0,1713.0,2434.0,0.29,-0.523,0.328,0.731
917899,-7493.0,1583.0,1828.0,0.281,-0.541,0.327,0.722
917921,-7773.0,665.0,1588.0,0.272,-0.56,0.324,0.713
917933,-8303.0,599.0,1530.0,0.263,-0.579,0.321,0.701
917955,-8373.0,909.0,1326.0,0.252,-0.601,0.319,0.688
917967,-7801.0,1027.0,996.0,0.239,-0.626,0.319,0.67
917989,-7075.0,1145.0,436.0,0.225,-0.653,0.317,0.65
918001,-7175.0,1153.0,254.0,0.215,-0.676,0.313,0.632
918023,-8917.0,1005.0,914.0,0.211,-0.691,0.309,0.619
918045,-10191.0,597.0,1538.0,0.212,-0.695,0.308,0.615
918057,-9491.0,929.0,784.0,0.214,-0.692,0.313,0.614
918079,-7509.0,1431.0,-308.0,0.217,-0.688,0.32,0.614
918091,-6865.0,1431.0,-1000.0,0.222,-0.683,0.327,0.614
918113,-7263.0,1291.0,-1692.0,0.23,-0.678,0.332,0.614
918125,-7921.0,613.0,-2412.0,0.239,-0.675,0.336,0.613
918142,-8777.0,391.0,-2768.0,0.244,-0.674,0.337,0.611
918164,-9013.0,387.0,-2610.0,0.245,-0.673,0.338,0.611
918176,-8467.0,131.0,-2778.0,0.242,-0.675,0.337,0.61
918198,-8449.0,-55.0,-2374.0,0.239,-0.678,0.334,0.61
918220,-8071.0,143.0,-2416.0,0.235,-0.679,0.33,0.612
918232,-7693.0,569.0,-3316.0,0.233,-0.679,0.323,0.617
918254,-7673.0,263.0,-4868.0,0.231,-0.676,0.312,0.627
918266,-7685.0,-7621.0,-5694.0,0.221,-0.677,0.294,0.637
918288,-9203.0,-3177.0,-5368.0,0.197,-0.693,0.27,0.639
918300,-4983.0,-2255.0,-6504.0,0.167,-0.699,0.232,0.655
918322,-4825.0,-2171.0,-2254.0,0.131,-0.711,0.18,0.667
918334,-7105.0,-3417.0,2212.0,0.105,-0.713,0.123,0.682
918356,-11397.0,-4179.0,-38.0,0.077,-0.732,0.076,0.673
918368,-13653.0,-3857.0,632.0,0.047,-0.738,0.042,0.672
918390,-11615.0,-3515.0,354.0,0.01,-0.751,0.02,0.66
918412,-8731.0,-2133.0,-738.0,0.029,0.764,-0.004,-0.644
918424,-4749.0,-1853.0,1082.0,0.059,0.773,0.013,-0.631
918446,-4645.0,477.0,-460.0,0.077,0.785,0.037,-0.613
918458,-7933.0,-715.0,-1282.0,0.087,0.788,0.061,-0.606
918480,-9827.0,-141.0,-3340.0,0.096,0.792,0.083,-0.597
918492,-8883.0,-653.0,-1508.0,0.106,0.795,0.099,-0.589
918514,-7135.0,-563.0,-812.0,0.113,0.795,0.112,-0.585
