timeMs,ax,ay,az,q0,q1,q2,q3
1589617,954.0,7268.0,4140.0,0.034,-0.06,-0.5,-0.863
1589633,926.0,7642.0,4064.0,0.034,-0.059,-0.502,-0.862
1589649,1046.0,7244.0,4084.0,0.033,-0.058,-0.503,-0.862
1589665,1120.0,7052.0,3938.0,0.031,-0.057,-0.504,-0.861
1589681,1042.0,7134.0,3794.0,0.03,-0.057,-0.505,-0.861
1589697,1036.0,7130.0,3740.0,0.029,-0.057,-0.505,-0.861
1589723,980.0,7180.0,3756.0,0.028,-0.057,-0.506,-0.86
1589740,876.0,7296.0,3760.0,0.026,-0.058,-0.506,-0.86
1589757,832.0,6998.0,3880.0,0.024,-0.058,-0.506,-0.86
1589774,902.0,6858.0,4052.0,0.022,-0.059,-0.508,-0.859
1589791,1008.0,6902.0,3846.0,0.019,-0.059,-0.511,-0.857
1589808,936.0,7704.0,3530.0,0.016,-0.059,-0.515,-0.855
1589825,1016.0,7368.0,3602.0,0.014,-0.059,-0.519,-0.853
1589842,1040.0,6724.0,3950.0,0.012,-0.059,-0.523,-0.85
1589859,970.0,6904.0,3918.0,0.011,-0.058,-0.527,-0.848
1589876,840.0,7204.0,3948.0,0.01,-0.057,-0.532,-0.845
1589892,974.0,7378.0,4050.0,0.009,-0.057,-0.535,-0.843
1589909,892.0,7626.0,3990.0,0.009,-0.055,-0.538,-0.841
1589935,750.0,7640.0,3778.0,0.008,-0.054,-0.54,-0.84
1589952,532.0,7724.0,3534.0,0.008,-0.053,-0.541,-0.839
1589969,512.0,7516.0,3276.0,0.008,-0.052,-0.541,-0.839
1589985,620.0,7152.0,3246.0,0.007,-0.051,-0.54,-0.84
1590001,484.0,7286.0,2942.0,0.007,-0.051,-0.539,-0.841
1590017,420.0,7280.0,3182.0,0.006,-0.051,-0.536,-0.842
1590034,428.0,7428.0,3198.0,0.005,-0.053,-0.534,-0.844
1590050,584.0,6922.0,3558.0,0.004,-0.055,-0.53,-0.846
1590076,542.0,6998.0,3836.0,0.004,-0.057,-0.528,-0.847
1590093,918.0,6974.0,4144.0,0.003,-0.059,-0.528,-0.847
1590110,296.0,6498.0,4074.0,0.0,-0.061,-0.532,-0.844
1590127,492.0,6610.0,3946.0,0.003,0.062,0.542,0.838
1590143,886.0,7874.0,2908.0,0.008,0.062,0.556,0.829
1590159,476.0,8896.0,2044.0,0.013,0.061,0.569,0.82
1590175,712.0,9954.0,1576.0,0.019,0.059,0.581,0.812
1590201,496.0,9528.0,1438.0,0.026,0.056,0.59,0.805
1590217,426.0,8870.0,1508.0,0.033,0.054,0.596,0.801
1590233,480.0,7598.0,1896.0,0.04,0.053,0.6,0.797
1590249,436.0,6940.0,2414.0,0.046,0.052,0.603,0.794
1590265,300.0,6494.0,2832.0,0.05,0.052,0.607,0.791
1590281,-174.0,6544.0,2546.0,0.053,0.053,0.61,0.789
1590307,6.0,7072.0,2774.0,0.054,0.056,0.613,0.786
1590323,-236.0,7456.0,2722.0,0.054,0.058,0.615,0.784
1590340,-264.0,7626.0,3098.0,0.053,0.062,0.616,0.783
1590357,-80.0,7820.0,3202.0,0.052,0.065,0.617,0.782
1590373,-200.0,7786.0,2842.0,0.05,0.07,0.619,0.781
1590389,284.0,8124.0,2256.0,0.049,0.074,0.62,0.779
1590405,442.0,9424.0,1428.0,0.05,0.079,0.618,0.78
1590431,932.0,9818.0,912.0,0.051,0.084,0.609,0.787
1590447,948.0,8066.0,1276.0,0.052,0.09,0.592,0.799
1590463,1016.0,5188.0,2506.0,0.053,0.095,0.581,0.807
1590479,1132.0,5950.0,3154.0,0.054,0.098,0.58,0.807
1590495,1514.0,8206.0,3156.0,0.054,0.101,0.587,0.802
1590511,1518.0,9614.0,2862.0,0.054,0.102,0.593,0.797
1590537,1722.0,9050.0,2858.0,0.053,0.102,0.595,0.796
1590553,1524.0,8032.0,2600.0,0.053,0.102,0.594,0.796
1590569,1200.0,7436.0,2490.0,0.052,0.101,0.593,0.797
1590585,1102.0,7646.0,2360.0,0.051,0.101,0.593,0.797
1590602,978.0,8250.0,2288.0,0.049,0.1,0.593,0.798
1590618,968.0,8724.0,2282.0,0.048,0.098,0.591,0.799
1590634,660.0,8488.0,2256.0,0.048,0.097,0.588,0.801
1590660,460.0,8028.0,2554.0,0.047,0.095,0.585,0.804
1590676,472.0,8102.0,2756.0,0.047,0.094,0.581,0.807
1590692,416.0,7698.0,3094.0,0.047,0.092,0.577,0.81
1590709,464.0,7664.0,3384.0,0.048,0.09,0.574,0.813
1590725,630.0,7942.0,3304.0,0.049,0.087,0.571,0.815
1590742,572.0,8364.0,3152.0,0.05,0.085,0.567,0.818
1590758,710.0,7794.0,3082.0,0.051,0.083,0.563,0.821
1590784,552.0,7370.0,2894.0,0.053,0.081,0.558,0.824
1590800,660.0,6670.0,2996.0,0.054,0.08,0.554,0.827
1590816,56.0,6238.0,2650.0,0.055,0.079,0.552,0.828
1590832,66.0,5982.0,2670.0,0.056,0.08,0.551,0.829
1590848,2.0,6224.0,2760.0,0.055,0.082,0.552,0.828
1590864,-134.0,6894.0,2850.0,0.054,0.085,0.552,0.827
1590890,40.0,7032.0,3098.0,0.052,0.089,0.553,0.827
1590906,258.0,7680.0,3142.0,0.05,0.094,0.553,0.826
1590922,432.0,7588.0,3232.0,0.047,0.098,0.553,0.826
1590938,744.0,7570.0,3270.0,0.045,0.101,0.554,0.825
1590954,894.0,7724.0,3506.0,0.042,0.104,0.555,0.825
1590980,1102.0,8178.0,3588.0,0.039,0.105,0.556,0.823
1590996,1250.0,8532.0,3828.0,0.037,0.105,0.558,0.823
1591012,1508.0,8642.0,3758.0,0.035,0.104,0.558,0.822
1591028,1694.0,8292.0,3578.0,0.034,0.101,0.559,0.822
1591044,1730.0,8228.0,3020.0,0.033,0.097,0.56,0.822
1591060,1466.0,7996.0,2340.0,0.033,0.093,0.562,0.821
1591086,1318.0,7752.0,1948.0,0.032,0.09,0.563,0.821
1591102,1194.0,7440.0,1918.0,0.032,0.087,0.564,0.821
1591118,1132.0,6996.0,1986.0,0.032,0.086,0.564,0.821
1591134,928.0,7052.0,2172.0,0.031,0.086,0.564,0.82
1591150,850.0,6882.0,2546.0,0.031,0.088,0.565,0.82
1591166,678.0,7200.0,3234.0,0.03,0.091,0.565,0.82
1591192,938.0,7264.0,3770.0,0.029,0.094,0.564,0.82
1591208,1018.0,7534.0,3760.0,0.028,0.097,0.564,0.82
1591224,1016.0,7956.0,3700.0,0.028,0.099,0.563,0.82
1591240,890.0,8386.0,3360.0,0.028,0.101,0.563,0.82
1591256,734.0,8514.0,3138.0,0.029,0.102,0.562,0.82
1591273,680.0,8112.0,2996.0,0.031,0.103,0.56,0.821
1591289,886.0,7980.0,3112.0,0.033,0.103,0.56,0.822
1591315,1104.0,7624.0,3366.0,0.034,0.103,0.559,0.822
1591331,784.0,7970.0,2768.0,0.036,0.102,0.558,0.823
1591347,1000.0,7192.0,2944.0,0.036,0.101,0.556,0.824
1591363,1536.0,6780.0,3130.0,0.036,0.101,0.553,0.826
1591379,1298.0,8336.0,2850.0,0.034,0.099,0.549,0.829
1591395,986.0,5566.0,3610.0,0.03,0.097,0.544,0.833
1591421,942.0,7036.0,3632.0,0.029,0.097,0.541,0.835
1591438,1034.0,7234.0,3486.0,0.027,0.098,0.539,0.836
1591455,768.0,7198.0,3674.0,0.024,0.098,0.536,0.838
1591471,336.0,7534.0,3866.0,0.022,0.098,0.533,0.84
1591488,468.0,7616.0,3940.0,0.021,0.098,0.53,0.842
1591505,422.0,7670.0,4032.0,0.02,0.098,0.526,0.844
1591521,484.0,7934.0,3982.0,0.02,0.097,0.523,0.847
1591538,578.0,7780.0,4126.0,0.02,0.095,0.519,0.849
1591564,828.0,7464.0,4234.0,0.02,0.094,0.514,0.852
1591580,978.0,7168.0,3936.0,0.021,0.093,0.51,0.855
1591596,1046.0,6638.0,3594.0,0.022,0.091,0.507,0.857
1591612,740.0,6434.0,3372.0,0.023,0.091,0.507,0.857
1591628,730.0,6260.0,2982.0,0.024,0.091,0.509,0.856
1591644,996.0,6178.0,3184.0,0.024,0.092,0.512,0.854
1591670,944.0,6262.0,2874.0,0.023,0.095,0.514,0.852
1591687,1006.0,6416.0,3198.0,0.022,0.1,0.514,0.851
1591704,1162.0,6480.0,3640.0,0.02,0.107,0.513,0.851
1591721,1144.0,6922.0,4192.0,0.018,0.113,0.511,0.852
1591738,1508.0,7950.0,4618.0,0.016,0.119,0.509,0.853
1591755,1724.0,8570.0,4968.0,0.015,0.123,0.506,0.853
1591771,1860.0,8794.0,4982.0,0.015,0.125,0.504,0.855
1591788,1996.0,8296.0,4914.0,0.017,0.125,0.501,0.856
1591804,1734.0,7560.0,4794.0,0.019,0.123,0.499,0.858
1591821,1584.0,7158.0,4592.0,0.021,0.12,0.498,0.859
1591838,1484.0,6984.0,4274.0,0.023,0.118,0.497,0.86
1591865,1570.0,6724.0,3898.0,0.025,0.116,0.496,0.86
1591881,1414.0,6452.0,3684.0,0.026,0.114,0.494,0.861
1591897,1142.0,6480.0,3486.0,0.027,0.113,0.492,0.863
1591913,1164.0,4926.0,3214.0,0.026,0.114,0.49,0.864
1591929,1228.0,5336.0,3308.0,0.023,0.117,0.49,0.864
1591945,1148.0,6096.0,3296.0,0.019,0.121,0.489,0.863
1591971,1350.0,7514.0,3638.0,0.015,0.127,0.488,0.863
1591988,1700.0,7592.0,4154.0,0.012,0.132,0.485,0.865
1592005,1856.0,8368.0,4332.0,0.008,0.136,0.479,0.867
1592021,1906.0,8200.0,4310.0,0.007,0.14,0.471,0.871
1592038,2280.0,7950.0,4550.0,0.006,0.142,0.462,0.875
1592054,2426.0,7908.0,5100.0,0.008,0.143,0.453,0.88
1592071,2128.0,6254.0,5350.0,0.011,0.142,0.443,0.885
1592087,2566.0,6078.0,5414.0,0.014,0.14,0.435,0.889
1592103,2930.0,6646.0,5390.0,0.018,0.136,0.428,0.893
1592130,3050.0,7236.0,5834.0,0.024,0.129,0.422,0.897
1592146,2388.0,6688.0,6322.0,0.031,0.119,0.418,0.9
1592162,1762.0,5794.0,6170.0,0.036,0.11,0.417,0.902
1592178,1028.0,5074.0,5036.0,0.042,0.101,0.418,0.902
1592194,1080.0,3434.0,4222.0,0.045,0.094,0.422,0.901
1592210,122.0,3826.0,4172.0,0.047,0.089,0.432,0.896
1592236,666.0,5594.0,4400.0,0.047,0.086,0.443,0.891
1592253,38.0,6996.0,4366.0,0.047,0.084,0.453,0.886
1592270,114.0,7740.0,4172.0,0.046,0.083,0.46,0.883
1592286,236.0,7872.0,4006.0,0.045,0.083,0.464,0.881
1592303,568.0,7570.0,4194.0,0.045,0.082,0.466,0.88
1592320,386.0,7042.0,4334.0,0.045,0.082,0.467,0.879
