timeMs,ax,ay,az,q0,q1,q2,q3
10163449,9294.0,5752.0,-2086.0,0.123,-0.597,-0.375,-0.698
10163466,8886.0,4718.0,-1516.0,0.137,-0.59,-0.357,-0.711
10163483,9290.0,5208.0,-1498.0,0.15,-0.584,-0.341,-0.722
10163500,9216.0,4884.0,-1256.0,0.161,-0.577,-0.325,-0.732
10163526,9166.0,4642.0,-1148.0,0.172,-0.571,-0.31,-0.741
10163542,8768.0,4494.0,-800.0,0.18,-0.566,-0.297,-0.748
10163558,8640.0,4514.0,-968.0,0.186,-0.562,-0.286,-0.754
10163574,8192.0,4250.0,-940.0,0.191,-0.559,-0.276,-0.758
10163591,8108.0,4436.0,-1136.0,0.194,-0.557,-0.27,-0.761
10163608,7640.0,4284.0,-1036.0,0.194,-0.556,-0.266,-0.763
10163625,7338.0,4436.0,-1222.0,0.194,-0.557,-0.264,-0.764
10163641,7054.0,4624.0,-1242.0,0.192,-0.557,-0.264,-0.763
10163668,6914.0,4534.0,-1266.0,0.188,-0.559,-0.266,-0.762
10163684,7000.0,4738.0,-1374.0,0.184,-0.561,-0.27,-0.76
10163700,7042.0,4896.0,-1510.0,0.178,-0.564,-0.276,-0.758
10163717,7264.0,4906.0,-1502.0,0.17,-0.567,-0.283,-0.754
10163734,7396.0,4984.0,-1442.0,0.162,-0.571,-0.293,-0.75
10163750,7694.0,5114.0,-1548.0,0.152,-0.575,-0.303,-0.745
10163766,8186.0,5324.0,-1788.0,0.141,-0.58,-0.316,-0.738
10163792,8272.0,5434.0,-1700.0,0.128,-0.585,-0.329,-0.73
10163809,8630.0,5686.0,-1898.0,0.113,-0.591,-0.344,-0.721
10163825,8918.0,5744.0,-2138.0,0.097,-0.597,-0.36,-0.711
10163841,9104.0,6016.0,-2174.0,0.08,-0.602,-0.376,-0.7
10163858,9468.0,6140.0,-2350.0,0.061,-0.609,-0.393,-0.687
10163875,9668.0,6394.0,-2514.0,0.041,-0.615,-0.41,-0.673
10163892,10158.0,6812.0,-2770.0,0.02,-0.62,-0.427,-0.658
10163908,11094.0,7172.0,-3158.0,0.002,0.626,0.444,0.641
10163924,10838.0,6580.0,-3166.0,0.025,0.631,0.462,0.623
10163950,10470.0,7618.0,-3012.0,0.051,0.635,0.481,0.603
10163966,9938.0,7772.0,-3404.0,0.078,0.639,0.499,0.58
10163982,9554.0,7600.0,-3598.0,0.106,0.643,0.516,0.556
10163998,9452.0,7878.0,-3952.0,0.134,0.646,0.531,0.532
10164014,9584.0,7660.0,-4234.0,0.16,0.648,0.546,0.507
10164040,8124.0,6694.0,-3578.0,0.187,0.649,0.559,0.481
10164056,7518.0,7508.0,-3744.0,0.213,0.65,0.572,0.453
10164072,7112.0,6624.0,-4202.0,0.238,0.65,0.584,0.425
10164089,6246.0,6774.0,-3992.0,0.261,0.649,0.595,0.396
10164105,4788.0,5852.0,-3506.0,0.282,0.647,0.605,0.368
10164121,4170.0,5580.0,-3868.0,0.301,0.646,0.615,0.338
10164138,3782.0,6438.0,-3914.0,0.32,0.643,0.624,0.308
10164155,3218.0,6024.0,-4108.0,0.337,0.641,0.631,0.278
10164172,2594.0,5738.0,-4186.0,0.354,0.639,0.637,0.248
10164199,2180.0,5674.0,-4332.0,0.37,0.636,0.641,0.217
10164215,1040.0,5072.0,-4272.0,0.387,0.632,0.644,0.187
10164232,732.0,5124.0,-4322.0,0.402,0.628,0.647,0.158
10164248,-922.0,3858.0,-3632.0,0.417,0.624,0.648,0.128
10164264,-930.0,4212.0,-3928.0,0.431,0.619,0.649,0.098
10164280,-1110.0,4482.0,-3882.0,0.443,0.614,0.649,0.069
10164306,-1690.0,3986.0,-3516.0,0.456,0.609,0.648,0.041
10164322,-2028.0,3702.0,-3312.0,0.467,0.603,0.646,0.014
10164339,-1798.0,4124.0,-3618.0,0.478,0.598,0.644,-0.013
10164356,-2316.0,3006.0,-3244.0,0.487,0.591,0.641,-0.039
10164372,-1998.0,3338.0,-3346.0,0.495,0.585,0.639,-0.064
10164389,-2826.0,2382.0,-2934.0,0.501,0.579,0.637,-0.088
10164405,-3434.0,3256.0,-2378.0,0.507,0.574,0.634,-0.11
10164422,-3700.0,2766.0,-1990.0,0.512,0.567,0.632,-0.131
10164439,-4134.0,2218.0,-1324.0,0.517,0.561,0.629,-0.15
10164455,-4604.0,2050.0,-690.0,0.521,0.555,0.626,-0.168
10164482,-5160.0,2144.0,-66.0,0.526,0.548,0.624,-0.182
10164498,-5000.0,1080.0,34.0,0.528,0.544,0.623,-0.193
10164514,-5548.0,892.0,784.0,0.528,0.542,0.623,-0.201
10164530,-5602.0,674.0,1398.0,0.525,0.542,0.623,-0.205
10164546,-5152.0,1584.0,1228.0,0.521,0.545,0.624,-0.205
10164562,-5492.0,1778.0,1094.0,0.515,0.55,0.627,-0.199
10164588,-5340.0,1520.0,698.0,0.507,0.557,0.63,-0.19
10164605,-4986.0,1476.0,2.0,0.497,0.566,0.634,-0.176
10164622,-4998.0,1768.0,-494.0,0.486,0.576,0.638,-0.159
10164638,-4634.0,2520.0,-1142.0,0.473,0.585,0.644,-0.139
10164655,-4242.0,2830.0,-1616.0,0.461,0.595,0.649,-0.116
10164672,-3480.0,3090.0,-2360.0,0.448,0.604,0.653,-0.09
10164689,-2964.0,2852.0,-2958.0,0.435,0.612,0.657,-0.062
10164705,-2324.0,3274.0,-3630.0,0.421,0.621,0.661,-0.033
10164722,-2162.0,3902.0,-3728.0,0.406,0.628,0.664,-0.002
10164739,-1792.0,3958.0,-3976.0,0.391,0.634,0.667,0.031
10164766,-124.0,4226.0,-5456.0,0.376,0.639,0.668,0.064
10164783,-1260.0,4096.0,-4312.0,0.359,0.643,0.669,0.098
10164799,28.0,4252.0,-4860.0,0.343,0.646,0.669,0.131
10164815,342.0,4788.0,-5036.0,0.327,0.649,0.668,0.164
10164831,-80.0,4730.0,-4350.0,0.31,0.651,0.664,0.198
10164847,2836.0,5054.0,-6312.0,0.29,0.653,0.659,0.233
10164863,2856.0,5158.0,-6226.0,0.267,0.655,0.654,0.268
10164889,2852.0,6324.0,-5626.0,0.244,0.656,0.647,0.301
10164905,4360.0,6004.0,-6116.0,0.223,0.656,0.639,0.333
10164922,4438.0,6674.0,-5652.0,0.201,0.656,0.63,0.364
10164938,6148.0,6050.0,-6504.0,0.179,0.654,0.621,0.394
10164955,6152.0,6856.0,-5816.0,0.156,0.652,0.611,0.422
10164972,6192.0,6694.0,-4978.0,0.135,0.65,0.599,0.447
10164989,7452.0,7060.0,-5140.0,0.115,0.649,0.587,0.471
10165005,8354.0,5970.0,-5322.0,0.095,0.647,0.574,0.493
10165022,8206.0,6816.0,-4594.0,0.075,0.645,0.56,0.514
10165049,8666.0,6646.0,-4398.0,0.056,0.643,0.547,0.533
10165065,8796.0,6190.0,-4088.0,0.037,0.641,0.533,0.552
10165081,8528.0,5854.0,-3514.0,0.019,0.637,0.519,0.569
10165097,9214.0,6122.0,-3856.0,0.001,0.633,0.505,0.587
10165113,9214.0,5872.0,-3528.0,0.018,-0.628,-0.491,-0.603
10165130,8664.0,6404.0,-2930.0,0.035,-0.623,-0.477,-0.619
10165146,8752.0,5714.0,-2560.0,0.052,-0.618,-0.462,-0.634
10165163,8910.0,5728.0,-2716.0,0.068,-0.613,-0.446,-0.649
10165189,8672.0,5328.0,-2216.0,0.083,-0.607,-0.431,-0.663
10165206,9136.0,5484.0,-2406.0,0.099,-0.601,-0.415,-0.676
