timeMs,ax,ay,az,q0,q1,q2,q3
2685849,440.0,7413.0,-5689.0,0.377,0.912,-0.056,-0.155
2685876,28.0,6761.0,-5443.0,0.354,0.915,-0.043,-0.19
2685892,58.0,5027.0,-5521.0,0.331,0.916,-0.031,-0.224
2685909,-18.0,4967.0,-5583.0,0.308,0.916,-0.021,-0.257
2685926,-1002.0,4593.0,-4819.0,0.286,0.914,-0.014,-0.289
2685943,-942.0,4807.0,-4737.0,0.265,0.91,-0.008,-0.32
2685960,-1916.0,61.0,-4425.0,0.247,0.904,-0.003,-0.348
2685977,-2000.0,3539.0,-3633.0,0.229,0.898,-0.0,-0.376
2685994,-2226.0,2699.0,-3435.0,0.214,0.89,0.002,-0.403
2686011,-2164.0,2037.0,-2777.0,0.199,0.882,0.004,-0.427
2686028,-1990.0,2193.0,-2685.0,0.186,0.874,0.006,-0.45
2686054,-2410.0,1501.0,-1725.0,0.175,0.865,0.007,-0.47
2686070,-2780.0,1877.0,-983.0,0.166,0.857,0.007,-0.488
2686086,-2692.0,1509.0,89.0,0.16,0.849,0.009,-0.503
2686102,-2714.0,1023.0,447.0,0.156,0.843,0.011,-0.515
2686118,-2734.0,1143.0,1211.0,0.155,0.839,0.012,-0.522
2686134,-3030.0,699.0,2343.0,0.157,0.837,0.015,-0.524
2686150,-2838.0,191.0,2111.0,0.161,0.838,0.016,-0.521
2686176,-2948.0,625.0,2055.0,0.165,0.843,0.016,-0.512
2686193,-3132.0,431.0,1251.0,0.171,0.85,0.015,-0.498
2686210,-3558.0,1037.0,427.0,0.177,0.86,0.013,-0.479
2686227,-3666.0,1677.0,-831.0,0.184,0.871,0.01,-0.456
2686244,-3968.0,1005.0,-1811.0,0.19,0.882,0.008,-0.432
2686261,-3826.0,2941.0,-2837.0,0.197,0.892,0.006,-0.406
2686278,-3332.0,2307.0,-4123.0,0.205,0.902,0.003,-0.379
2686295,-2616.0,1515.0,-5053.0,0.211,0.913,-0.0,-0.35
2686312,-2238.0,3181.0,-6243.0,0.215,0.922,-0.003,-0.321
2686329,-3026.0,4099.0,-5795.0,0.221,0.931,-0.007,-0.292
