timeMs,ax,ay,az,q0,q1,q2,q3
2818468,2439.0,3455.0,-806.0,0.608,0.574,-0.545,0.056
2818476,2489.0,2261.0,-854.0,0.609,0.573,-0.546,0.053
2818494,2779.0,2735.0,-1232.0,0.61,0.572,-0.547,0.05
2818513,3085.0,2789.0,-1390.0,0.61,0.571,-0.547,0.048
2818532,3117.0,2743.0,-1282.0,0.611,0.57,-0.547,0.045
2818550,3687.0,2871.0,-1462.0,0.613,0.569,-0.547,0.042
2818569,3779.0,2939.0,-1522.0,0.614,0.569,-0.547,0.04
2818587,3569.0,2709.0,-1140.0,0.614,0.569,-0.546,0.038
2818605,3431.0,4353.0,-1434.0,0.614,0.569,-0.546,0.036
2818626,4367.0,4225.0,-1910.0,0.615,0.568,-0.546,0.034
2818635,4567.0,3431.0,-1912.0,0.615,0.568,-0.546,0.033
2818653,4891.0,4005.0,-2020.0,0.614,0.569,-0.546,0.032
2818671,5083.0,5969.0,-2656.0,0.612,0.57,-0.547,0.032
2818690,5415.0,5485.0,-2312.0,0.612,0.569,-0.549,0.032
2818708,5833.0,4459.0,-2306.0,0.61,0.569,-0.55,0.031
2818726,5457.0,5247.0,-2226.0,0.608,0.569,-0.552,0.032
2818745,6075.0,5937.0,-2794.0,0.606,0.57,-0.554,0.032
2818764,5823.0,6059.0,-2514.0,0.604,0.569,-0.557,0.032
2818783,6425.0,6125.0,-2762.0,0.602,0.567,-0.56,0.032
2818791,6145.0,4191.0,-2598.0,0.6,0.567,-0.564,0.032
2818809,5749.0,5385.0,-2586.0,0.597,0.567,-0.567,0.034
2818827,5803.0,7687.0,-2650.0,0.595,0.566,-0.57,0.034
2818845,5587.0,5189.0,-2122.0,0.593,0.563,-0.574,0.033
2818864,6069.0,4953.0,-2754.0,0.592,0.561,-0.578,0.032
2818881,6163.0,4371.0,-2688.0,0.59,0.56,-0.581,0.032
2818900,5983.0,6099.0,-2896.0,0.589,0.559,-0.583,0.033
2818917,6063.0,6747.0,-2416.0,0.588,0.557,-0.586,0.034
2818935,6227.0,4659.0,-2798.0,0.589,0.553,-0.588,0.033
2818953,5833.0,3977.0,-2384.0,0.589,0.551,-0.59,0.033
2818970,6103.0,5233.0,-2434.0,0.589,0.55,-0.591,0.034
2818989,5857.0,6247.0,-2440.0,0.589,0.548,-0.593,0.034
2819007,6839.0,6197.0,-2400.0,0.59,0.544,-0.596,0.035
2819025,6407.0,3805.0,-2478.0,0.591,0.54,-0.599,0.035
2819043,6359.0,4065.0,-2402.0,0.591,0.537,-0.601,0.036
2819061,7351.0,5903.0,-2728.0,0.592,0.535,-0.602,0.039
2819080,6927.0,5397.0,-2230.0,0.593,0.531,-0.604,0.042
2819090,7171.0,4713.0,-2238.0,0.594,0.527,-0.606,0.045
2819108,6675.0,4065.0,-2174.0,0.596,0.523,-0.608,0.049
2819126,6789.0,4111.0,-2116.0,0.596,0.519,-0.61,0.052
2819144,7987.0,5721.0,-2408.0,0.597,0.516,-0.611,0.057
2819163,7773.0,5095.0,-2150.0,0.598,0.511,-0.614,0.061
2819181,7913.0,3941.0,-2384.0,0.6,0.507,-0.616,0.065
2819200,7491.0,4025.0,-2446.0,0.601,0.503,-0.617,0.069
2819218,7311.0,4241.0,-2200.0,0.602,0.5,-0.618,0.074
2819235,7851.0,4889.0,-2056.0,0.603,0.497,-0.619,0.079
2819252,7795.0,4783.0,-1922.0,0.605,0.492,-0.621,0.082
2819270,8125.0,3073.0,-2304.0,0.606,0.488,-0.622,0.085
2819287,7935.0,2675.0,-2464.0,0.608,0.485,-0.623,0.089
2819307,7467.0,3961.0,-1878.0,0.609,0.483,-0.622,0.095
2819317,7377.0,4205.0,-1776.0,0.61,0.481,-0.622,0.1
2819334,7453.0,3819.0,-1632.0,0.612,0.477,-0.622,0.104
2819351,7491.0,3605.0,-1640.0,0.615,0.473,-0.622,0.109
2819368,8137.0,3079.0,-2240.0,0.617,0.468,-0.623,0.114
2819385,8145.0,3215.0,-1646.0,0.619,0.464,-0.622,0.121
2819402,8095.0,3333.0,-1250.0,0.621,0.46,-0.622,0.127
2819419,8443.0,3517.0,-1402.0,0.623,0.456,-0.622,0.132
2819437,9003.0,3705.0,-1384.0,0.624,0.452,-0.623,0.136
2819455,9339.0,3331.0,-1324.0,0.626,0.448,-0.623,0.139
2819472,10117.0,3141.0,-1590.0,0.627,0.445,-0.624,0.143
2819490,9923.0,2787.0,-1122.0,0.627,0.443,-0.624,0.146
2819508,10323.0,3357.0,-1418.0,0.627,0.443,-0.623,0.148
2819525,10453.0,3863.0,-1032.0,0.626,0.444,-0.623,0.149
2819543,10397.0,3617.0,-1138.0,0.625,0.447,-0.624,0.147
2819560,10821.0,4343.0,-1176.0,0.623,0.45,-0.624,0.144
2819578,11029.0,4861.0,-1088.0,0.62,0.453,-0.625,0.138
2819596,11139.0,3879.0,-1516.0,0.618,0.456,-0.627,0.13
2819614,10949.0,3713.0,-1812.0,0.616,0.46,-0.628,0.121
2819632,10787.0,5019.0,-1710.0,0.613,0.466,-0.628,0.111
2819651,10451.0,5465.0,-1832.0,0.611,0.471,-0.628,0.101
2819670,10365.0,5461.0,-2070.0,0.608,0.476,-0.629,0.09
2819688,9969.0,4919.0,-2140.0,0.605,0.48,-0.63,0.079
2819705,9717.0,5135.0,-2302.0,0.603,0.485,-0.63,0.068
2819723,9259.0,5527.0,-2230.0,0.601,0.49,-0.629,0.057
2819742,8683.0,5473.0,-2308.0,0.599,0.494,-0.629,0.046
2819761,8239.0,5227.0,-2440.0,0.598,0.498,-0.627,0.037
2819770,7503.0,5061.0,-1984.0,0.596,0.502,-0.625,0.028
2819788,7565.0,5593.0,-2412.0,0.596,0.506,-0.623,0.02
2819806,6913.0,5401.0,-2114.0,0.596,0.509,-0.621,0.013
2819824,6851.0,5213.0,-2014.0,0.596,0.511,-0.619,0.006
2819843,6725.0,5041.0,-2314.0,0.596,0.514,-0.617,0.001
2819862,5985.0,5281.0,-1890.0,0.597,0.516,-0.614,-0.004
2819881,6211.0,5587.0,-2224.0,0.598,0.518,-0.611,-0.009
2819900,6045.0,5617.0,-2168.0,0.6,0.519,-0.609,-0.013
2819918,5959.0,4419.0,-2110.0,0.602,0.52,-0.606,-0.015
2819936,5653.0,5429.0,-2148.0,0.603,0.522,-0.603,-0.017
2819944,5195.0,5117.0,-1956.0,0.605,0.522,-0.6,-0.017
2819962,5089.0,5253.0,-1890.0,0.608,0.523,-0.597,-0.016
2819981,4985.0,4929.0,-2024.0,0.61,0.524,-0.595,-0.014
2820000,3997.0,5129.0,-1658.0,0.612,0.524,-0.592,-0.011
2820019,3707.0,5981.0,-1570.0,0.614,0.524,-0.59,-0.008
2820037,3455.0,5013.0,-1596.0,0.616,0.522,-0.59,-0.006
2820055,3503.0,4153.0,-1612.0,0.617,0.52,-0.59,-0.003
2820073,2913.0,3277.0,-1452.0,0.617,0.519,-0.592,0.0
2820091,2515.0,4949.0,-1558.0,0.615,0.519,-0.594,0.004
2820108,2931.0,4557.0,-1990.0,0.614,0.517,-0.596,0.006
2820126,3181.0,3071.0,-2084.0,0.614,0.514,-0.599,0.008
2820144,2633.0,2551.0,-1824.0,0.613,0.514,-0.6,0.01
2820162,2181.0,3685.0,-1612.0,0.612,0.514,-0.602,0.01
2820181,2137.0,3367.0,-1598.0,0.611,0.513,-0.603,0.009
2820190,2531.0,1841.0,-1642.0,0.61,0.512,-0.604,0.007
2820207,2617.0,1399.0,-1564.0,0.609,0.514,-0.604,0.005
2820225,2611.0,2009.0,-1232.0,0.607,0.516,-0.604,0.003
2820243,2747.0,2299.0,-1252.0,0.605,0.519,-0.603,0.001
2820261,2997.0,2937.0,-1104.0,0.604,0.521,-0.604,-0.001
2820280,3533.0,2115.0,-1280.0,0.602,0.523,-0.604,-0.003
2820299,3887.0,2609.0,-1236.0,0.599,0.526,-0.604,-0.004
2820317,4247.0,3311.0,-1330.0,0.597,0.528,-0.604,-0.005
2820336,4561.0,3681.0,-1640.0,0.595,0.531,-0.604,-0.005
2820354,4535.0,4053.0,-1466.0,0.593,0.533,-0.603,-0.005
2820373,4749.0,3029.0,-1598.0,0.591,0.535,-0.603,-0.004
2820382,5255.0,4563.0,-2194.0,0.589,0.538,-0.602,-0.002
2820400,4729.0,4101.0,-1652.0,0.587,0.541,-0.602,0.0
2820419,5209.0,5319.0,-2386.0,0.585,0.544,-0.601,0.003
2820437,5643.0,5609.0,-2654.0,0.584,0.546,-0.601,0.006
2820455,5847.0,4199.0,-2376.0,0.583,0.547,-0.601,0.01
