timeMs,ax,ay,az,q0,q1,q2,q3
5387048,4077.0,3452.0,6324.0,0.709,0.34,-0.057,0.615
5387074,4101.0,3430.0,6254.0,0.709,0.34,-0.058,0.615
5387090,4145.0,3438.0,6206.0,0.71,0.34,-0.058,0.615
5387106,4043.0,3446.0,6226.0,0.71,0.34,-0.059,0.614
5387122,4147.0,3426.0,6294.0,0.71,0.34,-0.06,0.613
5387138,4127.0,3388.0,6266.0,0.711,0.34,-0.06,0.613
5387154,4101.0,3320.0,6236.0,0.711,0.34,-0.061,0.612
5387180,4107.0,3328.0,6290.0,0.712,0.34,-0.061,0.612
5387196,4073.0,3260.0,6286.0,0.712,0.34,-0.061,0.612
5387212,4109.0,3300.0,6262.0,0.712,0.339,-0.061,0.611
5387228,4111.0,3330.0,6270.0,0.713,0.339,-0.062,0.611
5387244,4039.0,3368.0,6266.0,0.713,0.339,-0.062,0.611
5387260,4097.0,3380.0,6258.0,0.713,0.339,-0.062,0.61
5387286,4089.0,3382.0,6280.0,0.713,0.339,-0.062,0.61
5387302,4123.0,3334.0,6290.0,0.714,0.339,-0.063,0.61
5387318,4073.0,3378.0,6274.0,0.714,0.339,-0.063,0.61
5387334,4047.0,3406.0,6302.0,0.714,0.339,-0.063,0.609
5387350,4167.0,3360.0,6234.0,0.714,0.339,-0.063,0.609
5387366,4135.0,3372.0,6282.0,0.715,0.339,-0.063,0.609
5387392,4071.0,3394.0,6316.0,0.715,0.339,-0.063,0.608
5387408,4115.0,3420.0,6282.0,0.715,0.339,-0.063,0.608
5387424,4091.0,3368.0,6248.0,0.715,0.338,-0.063,0.608
5387440,4161.0,3372.0,6306.0,0.716,0.338,-0.063,0.608
5387456,4069.0,3350.0,6290.0,0.716,0.338,-0.063,0.608
5387472,4045.0,3278.0,6296.0,0.716,0.338,-0.062,0.607
5387498,4045.0,3328.0,6254.0,0.716,0.338,-0.062,0.607
5387514,4087.0,3354.0,6238.0,0.716,0.338,-0.062,0.607
5387530,4133.0,3446.0,6286.0,0.717,0.338,-0.062,0.607
5387546,4075.0,3400.0,6274.0,0.717,0.338,-0.062,0.607
5387562,4045.0,3380.0,6306.0,0.717,0.338,-0.062,0.606
5387578,4117.0,3328.0,6312.0,0.717,0.338,-0.062,0.606
5387604,4103.0,3346.0,6310.0,0.717,0.338,-0.062,0.606
5387620,4099.0,3382.0,6324.0,0.718,0.338,-0.062,0.606
5387636,4075.0,3380.0,6238.0,0.718,0.339,-0.061,0.605
5387652,4023.0,3380.0,6252.0,0.718,0.339,-0.061,0.605
5387668,4051.0,3476.0,6310.0,0.718,0.339,-0.061,0.605
5387684,4043.0,3494.0,6248.0,0.718,0.339,-0.06,0.605
5387710,3965.0,3470.0,6276.0,0.718,0.339,-0.06,0.604
5387726,4029.0,3548.0,6314.0,0.719,0.339,-0.06,0.604
5387742,3961.0,3538.0,6298.0,0.719,0.339,-0.06,0.604
5387758,3995.0,3432.0,6254.0,0.719,0.339,-0.06,0.603
5387774,4003.0,3450.0,6218.0,0.719,0.339,-0.06,0.603
5387790,3991.0,3484.0,6260.0,0.72,0.339,-0.06,0.603
5387816,4025.0,3452.0,6312.0,0.72,0.339,-0.06,0.603
5387832,4013.0,3396.0,6326.0,0.72,0.339,-0.06,0.602
5387848,4015.0,3424.0,6324.0,0.72,0.339,-0.06,0.602
5387864,4067.0,3390.0,6308.0,0.721,0.339,-0.06,0.601
5387880,4101.0,3376.0,6326.0,0.721,0.339,-0.06,0.601
5387906,4073.0,3476.0,6270.0,0.721,0.34,-0.059,0.601
5387922,4017.0,3398.0,6272.0,0.721,0.34,-0.059,0.6
5387938,4025.0,3448.0,6282.0,0.722,0.34,-0.059,0.6
5387954,4109.0,3372.0,6244.0,0.722,0.34,-0.059,0.6
5387970,3973.0,3492.0,6108.0,0.722,0.34,-0.059,0.6
5387986,4093.0,3142.0,6296.0,0.722,0.34,-0.058,0.6
5388012,3957.0,3098.0,6326.0,0.721,0.34,-0.057,0.6
5388028,4017.0,3432.0,6374.0,0.721,0.341,-0.056,0.601
5388044,4005.0,3582.0,6378.0,0.72,0.342,-0.054,0.601
5388060,3965.0,3592.0,6306.0,0.72,0.343,-0.053,0.601
5388076,3809.0,3826.0,6162.0,0.72,0.344,-0.051,0.601
5388092,3935.0,4058.0,6112.0,0.72,0.345,-0.051,0.601
5388118,3929.0,4032.0,6234.0,0.72,0.345,-0.051,0.6
5388134,3905.0,3902.0,6372.0,0.721,0.345,-0.051,0.6
5388150,3831.0,3714.0,6414.0,0.721,0.344,-0.051,0.599
5388166,3773.0,3664.0,6342.0,0.722,0.344,-0.052,0.598
5388182,3743.0,3794.0,6114.0,0.722,0.344,-0.054,0.598
5388198,3923.0,3876.0,6034.0,0.723,0.343,-0.055,0.597
5388224,4335.0,3766.0,6144.0,0.724,0.342,-0.057,0.596
5388240,4159.0,3160.0,6644.0,0.725,0.34,-0.058,0.596
5388256,3837.0,2490.0,6468.0,0.725,0.34,-0.059,0.596
5388272,4047.0,3040.0,6126.0,0.725,0.341,-0.059,0.596
5388288,4261.0,3392.0,6128.0,0.725,0.342,-0.059,0.596
5388304,4071.0,3620.0,6036.0,0.724,0.343,-0.058,0.595
5388330,4161.0,3702.0,6108.0,0.724,0.343,-0.058,0.595
5388346,4125.0,3680.0,6172.0,0.724,0.343,-0.058,0.595
5388362,4013.0,3618.0,6180.0,0.725,0.343,-0.058,0.595
5388378,3875.0,3562.0,6250.0,0.725,0.343,-0.058,0.595
5388394,3841.0,3600.0,6266.0,0.725,0.342,-0.057,0.595
5388410,3773.0,3746.0,6128.0,0.725,0.342,-0.057,0.595
5388436,3715.0,3668.0,6294.0,0.725,0.342,-0.057,0.595
5388452,3903.0,3398.0,6630.0,0.725,0.341,-0.056,0.595
5388468,3807.0,3484.0,6534.0,0.725,0.341,-0.055,0.595
5388484,3903.0,3616.0,6294.0,0.725,0.342,-0.055,0.595
5388500,3865.0,3818.0,6132.0,0.726,0.342,-0.054,0.595
5388516,3951.0,3798.0,6254.0,0.726,0.342,-0.055,0.594
5388542,4045.0,3762.0,6334.0,0.727,0.342,-0.055,0.593
5388558,4081.0,3604.0,6402.0,0.727,0.341,-0.055,0.593
5388574,4155.0,3410.0,6388.0,0.728,0.341,-0.056,0.592
5388590,4069.0,3368.0,6332.0,0.728,0.341,-0.057,0.592
5388606,3993.0,3434.0,6094.0,0.729,0.341,-0.058,0.591
5388622,4307.0,3814.0,5952.0,0.729,0.341,-0.06,0.59
5388648,4399.0,3344.0,6408.0,0.73,0.34,-0.06,0.59
5388664,3899.0,2706.0,6486.0,0.73,0.339,-0.061,0.59
5388680,3971.0,2998.0,6250.0,0.73,0.34,-0.061,0.59
5388696,4197.0,3296.0,6168.0,0.729,0.341,-0.06,0.591
5388712,4045.0,3542.0,6106.0,0.728,0.342,-0.06,0.591
5388738,4067.0,3628.0,6104.0,0.728,0.343,-0.059,0.591
5388754,3983.0,3796.0,6186.0,0.728,0.343,-0.059,0.591
5388770,3981.0,3758.0,6192.0,0.727,0.343,-0.058,0.591
5388786,3817.0,3822.0,6086.0,0.727,0.344,-0.058,0.591
5388802,3883.0,3614.0,6310.0,0.727,0.343,-0.057,0.592
5388818,3775.0,3472.0,6410.0,0.727,0.343,-0.057,0.592
5388844,3681.0,3722.0,6322.0,0.727,0.343,-0.056,0.592
5388860,3697.0,3936.0,6238.0,0.727,0.344,-0.055,0.592
5388876,3737.0,3948.0,6266.0,0.727,0.343,-0.055,0.592
5388892,3751.0,3914.0,6268.0,0.728,0.343,-0.054,0.591
5388908,3767.0,3912.0,6266.0,0.728,0.343,-0.055,0.591
5388924,3877.0,3758.0,6404.0,0.729,0.342,-0.056,0.59
5388950,3893.0,3522.0,6446.0,0.73,0.341,-0.056,0.589
5388966,3923.0,3436.0,6374.0,0.731,0.34,-0.057,0.588
5388982,3921.0,3450.0,6224.0,0.732,0.34,-0.059,0.588
5388998,4181.0,3714.0,5968.0,0.733,0.339,-0.06,0.587
5389014,4379.0,3224.0,6402.0,0.734,0.338,-0.061,0.586
5389030,3935.0,2678.0,6508.0,0.735,0.337,-0.062,0.586
5389056,4023.0,2746.0,6228.0,0.735,0.337,-0.062,0.586
5389072,4221.0,3060.0,6108.0,0.734,0.338,-0.061,0.586
5389088,4287.0,3508.0,6062.0,0.733,0.34,-0.061,0.586
5389104,4305.0,3598.0,6048.0,0.733,0.341,-0.06,0.586
5389120,4283.0,3746.0,6142.0,0.732,0.341,-0.06,0.586
5389136,4065.0,3696.0,6138.0,0.732,0.341,-0.059,0.586
5389162,4025.0,3404.0,6394.0,0.732,0.341,-0.059,0.587
5389178,3869.0,3292.0,6546.0,0.732,0.342,-0.058,0.587
5389194,3711.0,3640.0,6366.0,0.731,0.342,-0.056,0.587
5389210,3685.0,3856.0,6230.0,0.731,0.343,-0.055,0.587
5389226,3675.0,3988.0,6176.0,0.731,0.344,-0.054,0.587
5389242,3779.0,4068.0,6172.0,0.73,0.345,-0.053,0.587
5389268,3837.0,4060.0,6250.0,0.731,0.345,-0.052,0.587
5389284,3777.0,3854.0,6356.0,0.731,0.345,-0.052,0.587
5389300,3683.0,3872.0,6182.0,0.731,0.345,-0.052,0.586
5389316,3897.0,4032.0,6028.0,0.732,0.344,-0.053,0.586
5389332,4257.0,3930.0,6430.0,0.733,0.343,-0.053,0.585
5389348,3737.0,3670.0,6502.0,0.734,0.341,-0.054,0.584
5389374,3757.0,2978.0,6296.0,0.735,0.34,-0.054,0.584
5389390,3927.0,3152.0,6226.0,0.735,0.34,-0.055,0.584
5389406,4073.0,3188.0,6184.0,0.735,0.34,-0.055,0.584
5389422,4115.0,3358.0,6184.0,0.735,0.34,-0.055,0.583
5389438,4123.0,3480.0,6260.0,0.736,0.34,-0.055,0.583
5389454,4161.0,3548.0,6224.0,0.736,0.341,-0.055,0.583
5389480,4091.0,3444.0,6258.0,0.736,0.341,-0.055,0.583
5389496,4001.0,3516.0,6298.0,0.736,0.341,-0.054,0.583
5389512,3891.0,3548.0,6290.0,0.735,0.342,-0.054,0.583
5389528,3815.0,3674.0,6158.0,0.735,0.342,-0.053,0.583
5389544,3811.0,3758.0,6264.0,0.735,0.343,-0.053,0.583
5389560,3823.0,3874.0,6258.0,0.735,0.343,-0.052,0.583
5389586,3783.0,4010.0,6302.0,0.735,0.343,-0.052,0.583
5389602,3779.0,4008.0,6372.0,0.735,0.343,-0.052,0.583
5389618,3779.0,3888.0,6442.0,0.735,0.343,-0.052,0.583
5389634,3767.0,3862.0,6412.0,0.735,0.343,-0.053,0.583
5389650,3709.0,3768.0,6358.0,0.735,0.343,-0.053,0.583
5389676,3765.0,3742.0,6250.0,0.735,0.343,-0.054,0.582
5389692,3923.0,3528.0,6068.0,0.736,0.343,-0.055,0.582
5389708,3909.0,3322.0,5870.0,0.736,0.343,-0.055,0.581
5389724,4271.0,3558.0,5892.0,0.737,0.343,-0.055,0.581
5389740,4183.0,3428.0,6048.0,0.737,0.342,-0.054,0.58
5389756,4275.0,3714.0,6248.0,0.737,0.342,-0.053,0.58
5389782,4151.0,3684.0,6364.0,0.738,0.341,-0.053,0.58
5389798,3997.0,3592.0,6402.0,0.738,0.341,-0.052,0.58
5389814,3901.0,3504.0,6282.0,0.738,0.341,-0.051,0.58
5389830,3729.0,3408.0,6272.0,0.738,0.341,-0.05,0.581
5389846,3617.0,3460.0,6258.0,0.738,0.341,-0.049,0.581
5389862,3541.0,3530.0,6358.0,0.737,0.341,-0.048,0.581
5389888,3513.0,3670.0,6416.0,0.737,0.341,-0.047,0.582
5389904,3483.0,3818.0,6408.0,0.737,0.341,-0.047,0.582
5389921,3593.0,3852.0,6416.0,0.737,0.341,-0.046,0.582
5389937,3653.0,3826.0,6360.0,0.737,0.341,-0.046,0.581
5389953,3709.0,3788.0,6312.0,0.737,0.342,-0.047,0.581
5389969,3787.0,3786.0,6232.0,0.738,0.342,-0.047,0.58
5389985,3825.0,3822.0,6264.0,0.738,0.342,-0.047,0.58
5390011,3851.0,3868.0,6298.0,0.738,0.343,-0.048,0.579
5390027,3929.0,3902.0,6238.0,0.739,0.343,-0.048,0.579
5390043,3983.0,3882.0,6236.0,0.739,0.343,-0.049,0.578
5390059,3991.0,3838.0,6138.0,0.739,0.343,-0.049,0.578
5390075,3983.0,3756.0,6142.0,0.74,0.343,-0.049,0.577
5390101,4033.0,3680.0,6186.0,0.74,0.343,-0.05,0.577
5390120,3995.0,3556.0,6206.0,0.74,0.342,-0.05,0.577
5390136,3943.0,3482.0,6226.0,0.74,0.342,-0.05,0.577
5390152,3905.0,3528.0,6296.0,0.74,0.342,-0.049,0.577
5390168,3813.0,3584.0,6336.0,0.74,0.342,-0.049,0.577
5390184,3787.0,3656.0,6276.0,0.74,0.342,-0.049,0.577
5390200,3767.0,3752.0,6366.0,0.74,0.342,-0.048,0.577
5390216,3749.0,3768.0,6368.0,0.74,0.342,-0.048,0.577
5390242,3665.0,3698.0,6372.0,0.74,0.343,-0.048,0.577
5390258,3667.0,3796.0,6296.0,0.74,0.343,-0.048,0.577
5390274,3733.0,3882.0,6290.0,0.739,0.344,-0.048,0.577
5390290,3863.0,3976.0,6266.0,0.739,0.344,-0.048,0.577
5390306,3995.0,3998.0,6050.0,0.739,0.345,-0.048,0.576
5390322,4037.0,3950.0,6060.0,0.74,0.345,-0.049,0.576
5390348,3995.0,3794.0,6056.0,0.74,0.344,-0.049,0.576
5390364,4003.0,3610.0,6146.0,0.74,0.344,-0.05,0.576
5390380,3917.0,3454.0,6226.0,0.74,0.343,-0.05,0.576
5390396,3879.0,3482.0,6274.0,0.741,0.343,-0.05,0.576
5390412,3751.0,3580.0,6282.0,0.74,0.342,-0.05,0.576
5390428,3585.0,3668.0,6322.0,0.74,0.342,-0.05,0.577
5390454,3405.0,3796.0,6362.0,0.74,0.342,-0.05,0.577
5390470,3349.0,3878.0,6358.0,0.74,0.342,-0.051,0.577
5390487,3439.0,3950.0,6352.0,0.74,0.341,-0.051,0.577
5390503,3645.0,3976.0,6364.0,0.74,0.341,-0.052,0.577
5390519,3771.0,3910.0,6430.0,0.741,0.34,-0.054,0.577
5390536,3989.0,3730.0,6478.0,0.741,0.339,-0.056,0.577
5390552,4173.0,3422.0,6456.0,0.742,0.338,-0.058,0.576
5390578,4287.0,3296.0,6356.0,0.742,0.338,-0.061,0.576
5390594,4415.0,3214.0,6192.0,0.742,0.338,-0.063,0.576
5390610,4499.0,3204.0,6088.0,0.742,0.338,-0.064,0.575
5390626,4449.0,3256.0,5950.0,0.742,0.338,-0.066,0.575
5390642,4315.0,3320.0,6002.0,0.742,0.338,-0.067,0.574
5390658,4205.0,3318.0,6014.0,0.742,0.338,-0.067,0.574
5390684,3991.0,3318.0,6122.0,0.742,0.338,-0.068,0.574
5390700,3877.0,3484.0,6214.0,0.742,0.339,-0.068,0.575
5390716,3761.0,3686.0,6358.0,0.741,0.339,-0.068,0.575
5390732,3669.0,3880.0,6392.0,0.741,0.339,-0.067,0.576
5390748,3667.0,3816.0,6406.0,0.741,0.339,-0.067,0.576
5390764,3687.0,3726.0,6404.0,0.74,0.339,-0.067,0.576
