timestamp,ax,ay,az,q0,q1,q2,q3
6718269,13905.0,1641.0,2081.0,0.416,0.564,-0.529,0.479
6718285,14089.0,267.0,1659.0,0.44,0.551,-0.518,0.484
6718311,14625.0,1635.0,1755.0,0.465,0.537,-0.505,0.491
6718327,15007.0,2169.0,2113.0,0.494,0.519,-0.49,0.497
6718343,15379.0,1441.0,2971.0,0.523,0.5,-0.473,0.503
6718359,15525.0,537.0,4293.0,0.55,0.481,-0.454,0.51
6718375,16381.0,1285.0,3761.0,0.575,0.464,-0.433,0.516
6718401,17217.0,3345.0,3493.0,0.601,0.446,-0.412,0.519
6718417,17659.0,2961.0,2503.0,0.628,0.426,-0.391,0.521
6718433,16791.0,1779.0,1969.0,0.654,0.404,-0.369,0.522
6718449,16121.0,1749.0,1415.0,0.68,0.381,-0.346,0.523
6718465,14521.0,1733.0,1183.0,0.704,0.356,-0.32,0.524
6718481,13289.0,2135.0,1977.0,0.727,0.331,-0.295,0.525
6718497,12227.0,1525.0,2611.0,0.748,0.305,-0.269,0.525
6718523,11221.0,1797.0,2499.0,0.766,0.281,-0.244,0.524
6718539,10133.0,2139.0,2371.0,0.782,0.258,-0.219,0.523
6718555,8953.0,1503.0,2043.0,0.796,0.236,-0.196,0.522
6718571,7897.0,1687.0,1799.0,0.808,0.216,-0.175,0.52
6718587,7025.0,2201.0,2563.0,0.818,0.196,-0.156,0.517
6718603,6145.0,385.0,2455.0,0.827,0.177,-0.138,0.515
6718629,5695.0,299.0,2117.0,0.834,0.161,-0.121,0.513
6718647,5037.0,1997.0,1597.0,0.84,0.146,-0.105,0.512
6718664,4905.0,1937.0,755.0,0.845,0.129,-0.09,0.512
6718680,4269.0,565.0,409.0,0.849,0.11,-0.077,0.511
6718696,3297.0,-243.0,675.0,0.852,0.091,-0.065,0.511
6718712,3127.0,-329.0,985.0,0.855,0.072,-0.052,0.511
6718729,1643.0,683.0,1059.0,0.857,0.055,-0.04,0.511
6718745,1675.0,659.0,937.0,0.859,0.038,-0.029,0.51
6718772,1357.0,-1315.0,431.0,0.86,0.021,-0.019,0.51
6718788,523.0,-1997.0,-179.0,0.861,0.007,-0.008,0.508
6718804,-473.0,-1109.0,-387.0,0.862,-0.003,0.003,0.507
6718820,-1229.0,-471.0,-647.0,0.863,-0.012,0.011,0.505
6718836,-2011.0,-1137.0,-791.0,0.863,-0.019,0.017,0.504
6718852,-2393.0,-1929.0,-447.0,0.864,-0.023,0.02,0.503
6718868,-2369.0,-2007.0,-481.0,0.864,-0.023,0.02,0.502
6718894,-1877.0,-1877.0,-419.0,0.865,-0.018,0.019,0.501
6718911,-1883.0,-1997.0,-255.0,0.866,-0.011,0.016,0.5
6718927,-1789.0,-1813.0,185.0,0.867,0.001,0.011,0.499
6718944,-1187.0,-1469.0,417.0,0.867,0.015,0.004,0.498
6718961,-539.0,-881.0,373.0,0.867,0.032,-0.005,0.497
6718978,523.0,-971.0,589.0,0.867,0.051,-0.016,0.496
6718995,1357.0,-791.0,835.0,0.866,0.071,-0.028,0.495
6719012,1711.0,-707.0,1423.0,0.864,0.092,-0.041,0.493
6719028,2395.0,415.0,1227.0,0.861,0.116,-0.055,0.492
6719054,3411.0,721.0,2131.0,0.857,0.14,-0.071,0.49
6719070,4283.0,847.0,2167.0,0.852,0.165,-0.088,0.489
6719086,5021.0,2307.0,2165.0,0.845,0.19,-0.107,0.488
6719102,6355.0,1791.0,2707.0,0.837,0.215,-0.127,0.487
6719118,7445.0,2287.0,2241.0,0.827,0.24,-0.148,0.487
6719134,8319.0,3639.0,2419.0,0.816,0.263,-0.168,0.487
6719160,8737.0,2863.0,3319.0,0.805,0.283,-0.188,0.487
6719177,9015.0,1163.0,3675.0,0.791,0.304,-0.207,0.488
6719193,9435.0,3503.0,3617.0,0.776,0.327,-0.225,0.489
6719209,10227.0,4849.0,3159.0,0.76,0.349,-0.245,0.49
6719225,12165.0,2499.0,3823.0,0.744,0.369,-0.264,0.49
6719241,12241.0,2997.0,3019.0,0.727,0.389,-0.28,0.491
6719267,12179.0,4373.0,2983.0,0.711,0.408,-0.295,0.491
6719283,12203.0,4333.0,3377.0,0.694,0.425,-0.312,0.49
6719299,12611.0,2793.0,3039.0,0.676,0.443,-0.328,0.489
6719315,13661.0,3693.0,2875.0,0.658,0.46,-0.343,0.488
6719331,13655.0,2701.0,2065.0,0.639,0.477,-0.356,0.487
6719347,13917.0,4633.0,1657.0,0.622,0.492,-0.367,0.487
6719373,12961.0,4007.0,1919.0,0.605,0.505,-0.378,0.487
6719389,12995.0,2769.0,2151.0,0.587,0.517,-0.389,0.486
6719405,12809.0,1963.0,2157.0,0.568,0.531,-0.399,0.485
6719421,12817.0,4525.0,1573.0,0.548,0.546,-0.408,0.486
6719437,12441.0,4669.0,1053.0,0.528,0.557,-0.418,0.485
6719453,12405.0,3877.0,1505.0,0.51,0.567,-0.429,0.483
6719479,11357.0,1861.0,1735.0,0.492,0.577,-0.44,0.481
6719495,11273.0,2279.0,2113.0,0.473,0.587,-0.45,0.479
6719511,11371.0,2609.0,1649.0,0.454,0.597,-0.459,0.477
6719527,11597.0,3891.0,791.0,0.436,0.606,-0.467,0.475
6719543,10451.0,2351.0,749.0,0.421,0.612,-0.475,0.472
6719560,10397.0,1591.0,1739.0,0.405,0.618,-0.482,0.471
6719586,9967.0,4275.0,1145.0,0.389,0.624,-0.49,0.469
6719602,9969.0,3229.0,1471.0,0.373,0.628,-0.499,0.467
6719618,10199.0,2579.0,1527.0,0.358,0.632,-0.508,0.463
6719634,10075.0,1947.0,1661.0,0.343,0.635,-0.517,0.459
6719650,10007.0,2421.0,1381.0,0.329,0.639,-0.525,0.457
6719666,9869.0,3221.0,1487.0,0.317,0.641,-0.532,0.454
6719692,9845.0,2211.0,2107.0,0.307,0.642,-0.539,0.45
6719708,10025.0,3635.0,2117.0,0.3,0.642,-0.546,0.448
6719724,9963.0,2797.0,1845.0,0.297,0.64,-0.552,0.444
6719740,10077.0,1273.0,2171.0,0.297,0.638,-0.556,0.442
6719756,10159.0,1729.0,2729.0,0.298,0.637,-0.558,0.441
6719772,10483.0,1841.0,2803.0,0.302,0.636,-0.557,0.441
6719798,10421.0,2085.0,2279.0,0.308,0.634,-0.555,0.442
6719814,10987.0,2891.0,2371.0,0.316,0.632,-0.551,0.443
6719830,11131.0,1895.0,2361.0,0.327,0.629,-0.546,0.446
6719846,11343.0,1885.0,2093.0,0.34,0.626,-0.539,0.45
6719862,11839.0,2127.0,2191.0,0.355,0.621,-0.53,0.455
6719878,12041.0,2021.0,1909.0,0.372,0.616,-0.518,0.461
6719896,12427.0,1637.0,2265.0,0.39,0.611,-0.505,0.469
6719922,12945.0,2339.0,2449.0,0.409,0.605,-0.489,0.478
6719938,13347.0,3901.0,1749.0,0.429,0.597,-0.471,0.487
6719954,13331.0,4135.0,1911.0,0.452,0.588,-0.454,0.494
6719971,13371.0,3095.0,1833.0,0.475,0.577,-0.437,0.5
6719987,13909.0,4171.0,1165.0,0.499,0.566,-0.42,0.505
6720003,14339.0,4721.0,931.0,0.523,0.552,-0.403,0.509
6720029,14719.0,3467.0,757.0,0.548,0.536,-0.388,0.512
6720045,15187.0,2587.0,757.0,0.573,0.519,-0.37,0.515
6720061,15441.0,3877.0,889.0,0.597,0.501,-0.351,0.519
6720078,15053.0,3625.0,1531.0,0.621,0.483,-0.332,0.521
6720095,15075.0,3695.0,1351.0,0.643,0.464,-0.312,0.523
6720111,14499.0,4167.0,1759.0,0.665,0.445,-0.293,0.523
6720128,13879.0,3105.0,2611.0,0.686,0.426,-0.275,0.522
6720144,13137.0,2573.0,2377.0,0.705,0.408,-0.256,0.52
6720170,12933.0,2993.0,2415.0,0.723,0.39,-0.238,0.517
6720186,11971.0,5103.0,2025.0,0.741,0.372,-0.219,0.515
6720202,11325.0,3777.0,2353.0,0.758,0.349,-0.203,0.512
6720218,10871.0,2751.0,1719.0,0.775,0.325,-0.186,0.51
6720234,9871.0,-671.0,3311.0,0.791,0.299,-0.167,0.506
6720250,8393.0,501.0,2317.0,0.805,0.276,-0.149,0.504
6720276,7393.0,679.0,2573.0,0.817,0.254,-0.129,0.502
6720292,5769.0,1351.0,2165.0,0.827,0.234,-0.108,0.499
6720308,5077.0,2321.0,2019.0,0.836,0.215,-0.09,0.497
6720324,4419.0,2629.0,1851.0,0.843,0.195,-0.075,0.495
6720340,3831.0,-73.0,1839.0,0.849,0.176,-0.062,0.495
6720356,3537.0,-105.0,1017.0,0.853,0.161,-0.048,0.494
6720382,3399.0,1751.0,-191.0,0.856,0.146,-0.034,0.495
6720398,2337.0,1067.0,-691.0,0.858,0.13,-0.022,0.497
6720414,797.0,185.0,-831.0,0.859,0.114,-0.01,0.499
6720430,-121.0,-145.0,-1103.0,0.859,0.101,-0.0,0.501
6720447,-841.0,-555.0,-1655.0,0.86,0.091,0.006,0.503
6720463,-581.0,-661.0,-1597.0,0.859,0.084,0.01,0.505
