timeMs,ax,ay,az,q0,q1,q2,q3
3218930,5635.0,6881.0,-1727.0,0.337,0.637,0.048,0.692
3218946,5313.0,7701.0,-877.0,0.305,0.642,0.099,0.696
3218962,4893.0,6717.0,29.0,0.283,0.642,0.134,0.7
3218979,4827.0,4741.0,317.0,0.267,0.641,0.155,0.703
3219005,4985.0,2377.0,565.0,0.253,0.641,0.169,0.705
3219021,5547.0,1005.0,835.0,0.236,0.642,0.183,0.706
3219037,6645.0,1445.0,415.0,0.216,0.646,0.199,0.705
3219053,7575.0,3621.0,-113.0,0.193,0.648,0.214,0.705
3219069,7397.0,5003.0,71.0,0.173,0.649,0.228,0.705
3219085,8215.0,5581.0,-717.0,0.156,0.647,0.236,0.708
3219101,7465.0,5663.0,-1007.0,0.144,0.642,0.239,0.714
3219127,7417.0,5609.0,-1389.0,0.137,0.637,0.236,0.72
3219145,7177.0,6157.0,-1871.0,0.136,0.632,0.226,0.728
3219162,7279.0,6959.0,-2223.0,0.144,0.626,0.207,0.738
3219179,6669.0,8475.0,-2371.0,0.165,0.618,0.172,0.749
3219195,6391.0,6867.0,-2053.0,0.197,0.607,0.121,0.76
3219212,6679.0,4157.0,-2481.0,0.236,0.594,0.059,0.767
3219229,7053.0,1569.0,-2923.0,0.276,0.577,-0.006,0.768
3219246,7047.0,513.0,-2447.0,0.313,0.559,-0.07,0.765
3219262,6987.0,1371.0,-973.0,0.346,0.54,-0.132,0.756
3219279,7443.0,1137.0,133.0,0.376,0.521,-0.191,0.742
3219305,8337.0,207.0,781.0,0.406,0.502,-0.246,0.723
3219321,8841.0,-569.0,335.0,0.433,0.482,-0.292,0.703
3219337,8041.0,-2237.0,1129.0,0.458,0.463,-0.328,0.684
3219353,8117.0,-3609.0,2891.0,0.478,0.449,-0.354,0.666
3219370,8093.0,-4595.0,4113.0,0.492,0.444,-0.367,0.653
3219386,8895.0,-4761.0,4237.0,0.5,0.448,-0.366,0.645
3219412,9237.0,-2637.0,4915.0,0.501,0.458,-0.355,0.643
3219429,9337.0,-1809.0,5519.0,0.499,0.472,-0.336,0.645
3219446,9311.0,-2437.0,5597.0,0.495,0.488,-0.31,0.648
3219462,8769.0,-2887.0,4835.0,0.487,0.508,-0.276,0.654
3219479,8165.0,-2395.0,4249.0,0.473,0.531,-0.235,0.663
3219495,7649.0,-1425.0,3891.0,0.452,0.556,-0.189,0.671
3219512,7221.0,-443.0,3085.0,0.426,0.581,-0.14,0.679
3219529,6763.0,891.0,2017.0,0.395,0.606,-0.087,0.685
3219545,6361.0,2737.0,1507.0,0.361,0.629,-0.034,0.688
3219562,5843.0,4193.0,1441.0,0.326,0.65,0.016,0.686
3219588,5695.0,5267.0,1551.0,0.292,0.669,0.062,0.68
3219604,5901.0,5021.0,1415.0,0.261,0.686,0.104,0.672
3219620,6631.0,5829.0,723.0,0.232,0.699,0.143,0.662
3219636,7219.0,7163.0,-35.0,0.207,0.707,0.176,0.653
3219652,7315.0,9081.0,-815.0,0.19,0.71,0.201,0.648
3219668,6965.0,9081.0,-1253.0,0.184,0.707,0.214,0.649
3219694,6317.0,7513.0,-1769.0,0.187,0.701,0.215,0.654
3219711,6085.0,6141.0,-2175.0,0.198,0.694,0.206,0.661
3219728,5975.0,6473.0,-2807.0,0.216,0.685,0.187,0.671
3219745,5975.0,9157.0,-3165.0,0.245,0.672,0.153,0.682
3219762,5615.0,8365.0,-3301.0,0.287,0.654,0.102,0.693
3219779,6061.0,5661.0,-3325.0,0.337,0.63,0.04,0.699
3219796,6595.0,3699.0,-2819.0,0.388,0.601,-0.027,0.699
3219812,7207.0,1301.0,-1955.0,0.435,0.568,-0.092,0.693
3219829,7467.0,-1027.0,-177.0,0.474,0.534,-0.151,0.683
3219846,7525.0,-3629.0,2115.0,0.501,0.506,-0.196,0.674
3219863,7421.0,-5305.0,4271.0,0.514,0.491,-0.221,0.668
3219880,7467.0,-7519.0,5717.0,0.508,0.496,-0.22,0.669
3219906,8323.0,-6277.0,5051.0,0.483,0.524,-0.189,0.676
3219922,8337.0,-2847.0,2535.0,0.444,0.567,-0.132,0.681
3219938,7745.0,2265.0,-895.0,0.396,0.618,-0.058,0.676
3219954,8335.0,7365.0,-3461.0,0.346,0.665,0.024,0.661
3219970,9021.0,12917.0,-4343.0,0.303,0.699,0.103,0.639
3219996,9331.0,16595.0,-3801.0,0.276,0.717,0.17,0.617
3220012,9455.0,18397.0,-2879.0,0.271,0.719,0.216,0.602
3220029,8375.0,14847.0,-1549.0,0.283,0.711,0.244,0.595
3220045,7241.0,9153.0,-1177.0,0.303,0.7,0.261,0.591
3220062,6063.0,6911.0,-1051.0,0.323,0.691,0.275,0.585
3220078,5125.0,6761.0,-1049.0,0.342,0.685,0.288,0.575
3220095,5321.0,8955.0,-1507.0,0.361,0.68,0.301,0.563
3220112,6121.0,10637.0,-1965.0,0.385,0.672,0.312,0.551
3220129,7029.0,10861.0,-2117.0,0.415,0.657,0.32,0.542
3220155,6985.0,10617.0,-1747.0,0.448,0.638,0.328,0.533
3220171,5883.0,9713.0,-1017.0,0.481,0.618,0.335,0.524
3220187,4749.0,9071.0,-703.0,0.515,0.597,0.341,0.512
3220203,3949.0,7671.0,-347.0,0.547,0.577,0.346,0.497
3220219,3587.0,6595.0,-247.0,0.576,0.56,0.353,0.48
3220235,3357.0,6233.0,-63.0,0.601,0.546,0.361,0.46
3220261,2795.0,6949.0,179.0,0.621,0.534,0.371,0.436
3220278,2275.0,7519.0,475.0,0.641,0.523,0.382,0.412
3220295,1227.0,6817.0,779.0,0.661,0.511,0.391,0.386
3220312,1227.0,6215.0,751.0,0.68,0.498,0.4,0.36
3220328,1211.0,6327.0,921.0,0.697,0.486,0.409,0.333
3220345,741.0,6495.0,1011.0,0.712,0.473,0.417,0.307
3220362,203.0,5561.0,1217.0,0.727,0.46,0.425,0.281
