timeMs,ax,ay,az,q0,q1,q2,q3
1647540,-6398.0,-4433.0,2163.0,0.143,-0.541,-0.253,0.789
1647557,-6550.0,-4369.0,2197.0,0.143,-0.542,-0.253,0.789
1647574,-6542.0,-4361.0,2213.0,0.142,-0.542,-0.253,0.789
1647590,-6524.0,-4321.0,2279.0,0.142,-0.542,-0.254,0.789
1647606,-6552.0,-4371.0,2377.0,0.142,-0.541,-0.255,0.788
1647623,-6494.0,-4585.0,2451.0,0.142,-0.541,-0.257,0.788
1647640,-6632.0,-4921.0,2429.0,0.142,-0.54,-0.259,0.788
1647666,-6894.0,-4937.0,2365.0,0.143,-0.54,-0.261,0.787
1647682,-6788.0,-4853.0,2431.0,0.144,-0.539,-0.263,0.787
1647699,-6766.0,-4537.0,2515.0,0.146,-0.538,-0.265,0.787
1647715,-6524.0,-4473.0,2609.0,0.146,-0.536,-0.269,0.787
1647731,-6072.0,-4753.0,2601.0,0.146,-0.536,-0.273,0.786
1647748,-5884.0,-5379.0,2553.0,0.146,-0.535,-0.278,0.784
1647765,-5730.0,-5641.0,2553.0,0.147,-0.535,-0.281,0.783
1647782,-5560.0,-5437.0,2419.0,0.148,-0.535,-0.284,0.782
1647799,-5424.0,-5355.0,2177.0,0.149,-0.536,-0.286,0.78
1647817,-5192.0,-5381.0,2055.0,0.15,-0.536,-0.288,0.779
1647834,-5582.0,-5455.0,1817.0,0.151,-0.537,-0.288,0.778
1647851,-5988.0,-5425.0,1539.0,0.152,-0.539,-0.288,0.777
1647878,-6126.0,-5469.0,1397.0,0.153,-0.54,-0.286,0.777
1647894,-6324.0,-5349.0,1223.0,0.155,-0.541,-0.284,0.777
1647910,-6524.0,-5277.0,1035.0,0.157,-0.542,-0.28,0.777
1647926,-6568.0,-5127.0,921.0,0.158,-0.542,-0.277,0.778
1647943,-6716.0,-4919.0,789.0,0.16,-0.542,-0.273,0.778
1647959,-6914.0,-4709.0,847.0,0.162,-0.542,-0.269,0.779
1647976,-7026.0,-4349.0,1253.0,0.163,-0.541,-0.267,0.78
1647993,-6848.0,-3969.0,1861.0,0.162,-0.54,-0.268,0.781
1648020,-6660.0,-4077.0,2557.0,0.158,-0.539,-0.272,0.781
1648036,-6600.0,-4995.0,2837.0,0.153,-0.539,-0.28,0.78
1648052,-6686.0,-5899.0,3233.0,0.147,-0.54,-0.289,0.777
1648069,-6684.0,-6907.0,3103.0,0.141,-0.543,-0.297,0.773
1648086,-6638.0,-7743.0,2679.0,0.138,-0.547,-0.3,0.769
1648102,-7114.0,-7851.0,2049.0,0.139,-0.552,-0.298,0.767
1648119,-7144.0,-6841.0,1503.0,0.144,-0.556,-0.29,0.766
1648136,-7202.0,-5635.0,1025.0,0.15,-0.56,-0.279,0.766
1648153,-7320.0,-4801.0,577.0,0.157,-0.562,-0.267,0.767
1648179,-7522.0,-4197.0,69.0,0.162,-0.563,-0.257,0.768
1648196,-7546.0,-3367.0,-149.0,0.165,-0.563,-0.249,0.77
1648213,-7374.0,-2885.0,-41.0,0.165,-0.562,-0.246,0.773
1648229,-6942.0,-2813.0,257.0,0.162,-0.559,-0.247,0.775
1648246,-6420.0,-3211.0,723.0,0.157,-0.554,-0.252,0.778
1648262,-5972.0,-3679.0,943.0,0.151,-0.549,-0.259,0.78
1648279,-6022.0,-4683.0,893.0,0.146,-0.543,-0.266,0.783
1648296,-6184.0,-5159.0,999.0,0.143,-0.536,-0.27,0.787
1648313,-6408.0,-4815.0,1279.0,0.142,-0.529,-0.271,0.791
1648330,-6286.0,-4087.0,1617.0,0.142,-0.522,-0.271,0.796
1648356,-6218.0,-4111.0,1441.0,0.143,-0.514,-0.271,0.801
1648372,-6682.0,-4545.0,1283.0,0.144,-0.507,-0.271,0.805
1648388,-7238.0,-4641.0,1129.0,0.147,-0.5,-0.27,0.809
1648405,-7268.0,-4569.0,1221.0,0.151,-0.493,-0.27,0.813
1648422,-7240.0,-4359.0,1267.0,0.155,-0.485,-0.27,0.817
1648439,-6964.0,-4899.0,811.0,0.159,-0.477,-0.272,0.821
1648456,-7154.0,-5633.0,113.0,0.163,-0.467,-0.274,0.825
1648473,-7744.0,-5625.0,-13.0,0.167,-0.455,-0.28,0.829
1648489,-7578.0,-5271.0,-77.0,0.169,-0.441,-0.29,0.832
1648506,-7350.0,-6655.0,143.0,0.165,-0.426,-0.306,0.835
1648533,-6624.0,-8251.0,213.0,0.159,-0.41,-0.322,0.839
1648550,-5604.0,-8941.0,565.0,0.151,-0.393,-0.334,0.843
1648567,-4750.0,-9369.0,627.0,0.145,-0.376,-0.341,0.849
1648584,-4350.0,-8617.0,523.0,0.139,-0.359,-0.342,0.857
1648601,-3930.0,-7055.0,485.0,0.133,-0.344,-0.341,0.865
1648620,-3968.0,-7145.0,289.0,0.126,-0.33,-0.34,0.872
1648637,-3762.0,-7315.0,333.0,0.117,-0.315,-0.339,0.879
1648653,-3166.0,-6031.0,687.0,0.107,-0.299,-0.335,0.887
1648670,-2486.0,-5795.0,825.0,0.095,-0.282,-0.33,0.896
1648687,-2144.0,-5811.0,1301.0,0.083,-0.264,-0.324,0.904
1648704,-1292.0,-4545.0,1829.0,0.071,-0.244,-0.316,0.914
1648721,-678.0,-3907.0,2517.0,0.058,-0.223,-0.307,0.923
1648738,120.0,-3449.0,3211.0,0.045,-0.201,-0.297,0.932
1648755,996.0,-2983.0,3955.0,0.033,-0.178,-0.286,0.941
1648781,1706.0,-2483.0,5037.0,0.022,-0.154,-0.274,0.949
1648798,2558.0,-2393.0,5423.0,0.011,-0.131,-0.262,0.956
1648814,3310.0,-2619.0,5703.0,0.001,-0.11,-0.249,0.962
1648831,4568.0,-2147.0,5555.0,0.008,0.089,0.233,-0.968
1648848,4202.0,-2305.0,5697.0,0.015,0.07,0.215,-0.974
1648864,4370.0,-1467.0,5981.0,0.021,0.05,0.194,-0.979
1648881,3596.0,-849.0,7391.0,0.024,0.028,0.174,-0.984
1648898,3112.0,-887.0,9125.0,0.025,0.007,0.156,-0.987
1648915,2546.0,-1671.0,9665.0,0.023,-0.013,0.14,-0.99
1648932,2608.0,-1911.0,10069.0,0.02,-0.031,0.125,-0.991
1648949,2970.0,-2049.0,10397.0,0.017,-0.045,0.11,-0.993
1648976,3136.0,-2195.0,10641.0,0.014,-0.056,0.097,-0.994
1648992,3054.0,-2993.0,10015.0,0.012,-0.065,0.084,-0.994
1649008,2910.0,-2883.0,8851.0,0.01,-0.071,0.068,-0.995
1649025,2676.0,-1701.0,8495.0,0.008,-0.077,0.051,-0.996
