timeMs,ax,ay,az,q0,q1,q2,q3
6121225,4784.0,1817.0,6282.0,0.798,0.264,-0.211,0.499
6121241,4818.0,1809.0,6288.0,0.798,0.265,-0.211,0.499
6121257,4792.0,1757.0,6262.0,0.798,0.265,-0.21,0.499
6121273,4882.0,1823.0,6256.0,0.798,0.265,-0.211,0.499
6121289,4920.0,1803.0,6248.0,0.798,0.265,-0.211,0.499
6121305,4912.0,1765.0,6242.0,0.798,0.265,-0.211,0.499
6121331,5028.0,1797.0,6238.0,0.798,0.265,-0.212,0.498
6121347,5062.0,1763.0,6184.0,0.798,0.265,-0.212,0.498
6121363,5000.0,1731.0,6196.0,0.798,0.265,-0.212,0.498
6121379,4990.0,1773.0,6192.0,0.798,0.264,-0.213,0.497
6121395,5000.0,1695.0,6212.0,0.799,0.264,-0.213,0.497
6121411,4964.0,1649.0,6248.0,0.799,0.264,-0.213,0.497
6121437,4948.0,1683.0,6284.0,0.799,0.264,-0.213,0.497
6121453,4924.0,1621.0,6254.0,0.799,0.264,-0.213,0.497
6121470,4904.0,1621.0,6304.0,0.799,0.264,-0.213,0.497
6121486,4848.0,1663.0,6328.0,0.799,0.264,-0.213,0.497
6121502,4940.0,1641.0,6274.0,0.799,0.264,-0.213,0.497
6121518,4866.0,1677.0,6262.0,0.799,0.265,-0.213,0.497
6121534,4942.0,1711.0,6268.0,0.799,0.265,-0.213,0.497
6121560,4912.0,1743.0,6280.0,0.799,0.265,-0.213,0.497
6121576,4890.0,1789.0,6202.0,0.799,0.265,-0.213,0.497
6121592,4940.0,1833.0,6210.0,0.799,0.266,-0.213,0.497
6121609,4916.0,1757.0,6272.0,0.798,0.266,-0.213,0.496
6121625,4914.0,1799.0,6274.0,0.798,0.266,-0.213,0.496
6121641,4888.0,1817.0,6254.0,0.798,0.266,-0.213,0.496
6121667,5016.0,1819.0,6206.0,0.798,0.267,-0.213,0.496
6121683,5010.0,1815.0,6242.0,0.798,0.267,-0.213,0.496
6121699,4976.0,1785.0,6188.0,0.798,0.267,-0.213,0.496
6121715,4942.0,1835.0,6196.0,0.798,0.267,-0.213,0.496
6121731,5010.0,1845.0,6182.0,0.798,0.267,-0.213,0.496
6121747,4924.0,1807.0,6188.0,0.799,0.267,-0.213,0.496
6121773,4922.0,1759.0,6198.0,0.799,0.267,-0.213,0.496
6121790,4986.0,1785.0,6204.0,0.799,0.267,-0.213,0.496
6121806,4940.0,1791.0,6240.0,0.799,0.266,-0.213,0.496
6121822,4958.0,1693.0,6220.0,0.799,0.266,-0.214,0.496
6121838,4994.0,1719.0,6224.0,0.799,0.266,-0.214,0.495
6121854,4974.0,1683.0,6196.0,0.799,0.266,-0.214,0.495
6121880,5008.0,1645.0,6218.0,0.799,0.265,-0.214,0.495
6121896,5002.0,1625.0,6230.0,0.799,0.265,-0.214,0.495
6121913,5016.0,1605.0,6218.0,0.799,0.265,-0.214,0.495
6121930,5032.0,1617.0,6184.0,0.8,0.265,-0.214,0.495
6121946,4918.0,1631.0,6180.0,0.8,0.265,-0.213,0.494
6121962,4906.0,1657.0,6276.0,0.8,0.265,-0.213,0.494
6121978,4904.0,1643.0,6288.0,0.8,0.265,-0.213,0.494
6121994,4778.0,1721.0,6310.0,0.8,0.266,-0.212,0.494
6122021,4730.0,1773.0,6338.0,0.801,0.266,-0.212,0.494
6122037,4726.0,1805.0,6328.0,0.8,0.266,-0.212,0.494
6122053,4746.0,1837.0,6324.0,0.8,0.267,-0.211,0.493
6122069,4744.0,1907.0,6338.0,0.8,0.267,-0.211,0.493
6122086,4828.0,1937.0,6358.0,0.8,0.268,-0.212,0.494
6122102,4816.0,1965.0,6368.0,0.8,0.269,-0.212,0.494
6122119,4934.0,1921.0,6258.0,0.799,0.269,-0.212,0.493
6122145,4982.0,2007.0,6170.0,0.799,0.27,-0.213,0.493
6122161,5050.0,1983.0,6146.0,0.799,0.27,-0.214,0.493
6122177,5054.0,1937.0,6102.0,0.799,0.271,-0.214,0.493
6122193,5136.0,1867.0,6084.0,0.798,0.271,-0.215,0.493
6122209,5106.0,1847.0,6014.0,0.798,0.27,-0.215,0.493
6122225,5088.0,1759.0,6094.0,0.798,0.27,-0.216,0.493
6122251,5120.0,1735.0,6064.0,0.798,0.27,-0.217,0.493
6122267,5070.0,1737.0,6090.0,0.798,0.269,-0.217,0.493
6122283,5108.0,1659.0,6136.0,0.799,0.269,-0.217,0.493
6122299,5140.0,1659.0,6132.0,0.799,0.268,-0.218,0.493
6122315,5140.0,1619.0,6162.0,0.799,0.268,-0.218,0.493
6122331,5144.0,1645.0,6166.0,0.799,0.268,-0.218,0.493
6122357,5084.0,1643.0,6138.0,0.798,0.267,-0.218,0.494
6122373,5060.0,1667.0,6198.0,0.798,0.267,-0.217,0.494
6122389,5042.0,1673.0,6224.0,0.798,0.267,-0.217,0.494
6122405,4994.0,1715.0,6264.0,0.798,0.267,-0.216,0.495
6122421,4978.0,1675.0,6236.0,0.798,0.268,-0.216,0.495
6122437,4932.0,1659.0,6228.0,0.797,0.268,-0.215,0.496
6122463,4856.0,1759.0,6332.0,0.797,0.268,-0.215,0.496
6122479,4780.0,1739.0,6274.0,0.797,0.269,-0.215,0.497
6122495,4818.0,1843.0,6214.0,0.797,0.269,-0.214,0.497
6122511,4784.0,1809.0,6240.0,0.797,0.269,-0.214,0.497
6122528,4776.0,1761.0,6242.0,0.797,0.27,-0.214,0.497
6122544,4856.0,1751.0,6224.0,0.797,0.27,-0.213,0.497
6122570,5040.0,1833.0,6204.0,0.797,0.27,-0.214,0.497
6122586,5100.0,1859.0,6158.0,0.796,0.27,-0.214,0.497
6122602,5134.0,1879.0,6128.0,0.796,0.27,-0.214,0.497
6122618,5118.0,1865.0,6044.0,0.796,0.27,-0.214,0.497
6122635,5130.0,1791.0,6070.0,0.796,0.27,-0.214,0.497
6122652,5076.0,1767.0,6156.0,0.796,0.27,-0.214,0.497
6122669,4922.0,1767.0,6276.0,0.797,0.27,-0.213,0.497
6122685,4924.0,1715.0,6318.0,0.797,0.269,-0.213,0.497
6122711,4850.0,1771.0,6290.0,0.797,0.269,-0.212,0.497
6122727,4874.0,1799.0,6284.0,0.797,0.269,-0.212,0.497
6122743,4864.0,1861.0,6272.0,0.797,0.27,-0.212,0.497
6122759,4868.0,1859.0,6260.0,0.797,0.27,-0.211,0.497
6122775,4928.0,1823.0,6222.0,0.797,0.27,-0.211,0.497
6122791,4902.0,1803.0,6248.0,0.797,0.27,-0.211,0.497
6122818,4946.0,1813.0,6208.0,0.797,0.27,-0.211,0.497
6122835,4954.0,1833.0,6208.0,0.797,0.27,-0.211,0.497
6122851,4962.0,1865.0,6150.0,0.797,0.27,-0.211,0.497
6122867,5022.0,1829.0,6164.0,0.797,0.27,-0.211,0.496
6122883,5008.0,1831.0,6180.0,0.797,0.27,-0.211,0.496
6122899,5026.0,1817.0,6164.0,0.797,0.27,-0.211,0.496
6122915,5012.0,1837.0,6120.0,0.798,0.271,-0.211,0.496
6122941,4974.0,1737.0,6156.0,0.798,0.271,-0.211,0.496
6122957,4970.0,1779.0,6228.0,0.798,0.271,-0.211,0.496
6122974,4930.0,1777.0,6172.0,0.798,0.271,-0.211,0.496
6122990,4932.0,1795.0,6204.0,0.798,0.271,-0.21,0.496
6123006,4892.0,1809.0,6180.0,0.798,0.271,-0.21,0.496
6123022,4948.0,1779.0,6270.0,0.798,0.271,-0.21,0.496
6123039,4902.0,1851.0,6224.0,0.797,0.272,-0.21,0.496
