timeMs,ax,ay,az,q0,q1,q2,q3
1835153,8114.0,668.0,868.0,0.7,0.274,-0.61,0.251
1835169,8020.0,596.0,918.0,0.7,0.274,-0.61,0.251
1835185,7978.0,582.0,892.0,0.7,0.274,-0.61,0.25
1835211,8006.0,656.0,916.0,0.7,0.275,-0.61,0.25
1835227,8048.0,612.0,820.0,0.7,0.275,-0.61,0.25
1835243,8070.0,606.0,870.0,0.7,0.276,-0.609,0.249
1835259,8028.0,670.0,866.0,0.701,0.276,-0.609,0.249
1835275,7978.0,734.0,896.0,0.701,0.277,-0.609,0.249
1835291,8066.0,688.0,830.0,0.701,0.277,-0.608,0.249
1835317,8124.0,686.0,874.0,0.701,0.277,-0.608,0.248
1835333,7942.0,574.0,930.0,0.701,0.277,-0.608,0.248
1835349,8006.0,564.0,920.0,0.701,0.278,-0.608,0.248
1835365,8108.0,668.0,886.0,0.701,0.278,-0.608,0.248
1835381,8166.0,724.0,872.0,0.701,0.279,-0.607,0.248
1835397,8210.0,680.0,928.0,0.702,0.279,-0.607,0.248
1835423,8028.0,648.0,980.0,0.702,0.279,-0.607,0.248
1835439,7952.0,612.0,936.0,0.702,0.279,-0.606,0.249
1835455,8108.0,614.0,916.0,0.702,0.279,-0.606,0.249
1835471,8070.0,708.0,918.0,0.702,0.28,-0.606,0.249
1835487,8110.0,668.0,878.0,0.702,0.28,-0.606,0.249
1835503,8032.0,724.0,902.0,0.702,0.28,-0.606,0.25
1835529,8110.0,684.0,910.0,0.702,0.28,-0.606,0.25
1835545,8092.0,658.0,928.0,0.702,0.28,-0.605,0.25
1835561,7914.0,730.0,914.0,0.702,0.28,-0.605,0.251
1835577,7966.0,748.0,902.0,0.702,0.28,-0.605,0.251
1835593,8020.0,752.0,888.0,0.702,0.279,-0.605,0.251
1835619,7986.0,710.0,902.0,0.702,0.279,-0.606,0.251
1835635,8026.0,740.0,900.0,0.702,0.279,-0.606,0.252
1835651,7998.0,770.0,850.0,0.702,0.278,-0.606,0.252
1835668,8066.0,736.0,830.0,0.702,0.277,-0.606,0.252
1835684,7986.0,622.0,878.0,0.702,0.276,-0.607,0.251
1835701,7992.0,672.0,878.0,0.701,0.275,-0.607,0.251
1835718,7984.0,702.0,846.0,0.701,0.275,-0.608,0.251
1835735,8026.0,714.0,822.0,0.701,0.274,-0.608,0.251
1835752,8046.0,718.0,814.0,0.701,0.273,-0.609,0.25
1835778,8012.0,762.0,816.0,0.701,0.273,-0.61,0.25
1835794,7920.0,724.0,802.0,0.701,0.272,-0.61,0.249
1835810,8086.0,668.0,754.0,0.701,0.271,-0.611,0.248
1835826,8004.0,706.0,810.0,0.701,0.27,-0.612,0.247
1835842,8058.0,804.0,804.0,0.702,0.269,-0.612,0.246
1835858,8132.0,568.0,806.0,0.702,0.268,-0.613,0.246
1835884,8100.0,714.0,820.0,0.702,0.267,-0.613,0.245
1835901,8036.0,656.0,890.0,0.702,0.267,-0.613,0.244
1835918,8064.0,698.0,956.0,0.702,0.266,-0.614,0.243
1835934,8032.0,668.0,936.0,0.703,0.266,-0.614,0.242
1835951,8158.0,558.0,966.0,0.703,0.265,-0.614,0.242
1835967,8106.0,622.0,1008.0,0.703,0.265,-0.614,0.241
1835984,8126.0,606.0,990.0,0.703,0.265,-0.614,0.241
1836000,8108.0,602.0,1016.0,0.703,0.265,-0.614,0.241
1836017,8084.0,596.0,968.0,0.703,0.266,-0.614,0.241
1836043,8058.0,578.0,992.0,0.703,0.266,-0.614,0.241
1836059,8100.0,638.0,956.0,0.703,0.267,-0.613,0.241
1836075,8146.0,574.0,800.0,0.703,0.267,-0.613,0.242
1836091,8080.0,588.0,826.0,0.703,0.268,-0.612,0.242
1836107,8022.0,626.0,816.0,0.703,0.268,-0.612,0.243
1836124,8044.0,662.0,792.0,0.703,0.269,-0.612,0.243
1836150,8010.0,584.0,710.0,0.703,0.269,-0.612,0.244
1836166,8032.0,640.0,726.0,0.703,0.27,-0.611,0.245
1836182,8058.0,688.0,634.0,0.702,0.27,-0.611,0.245
1836198,8012.0,648.0,710.0,0.702,0.271,-0.611,0.246
1836214,7892.0,610.0,692.0,0.701,0.271,-0.611,0.247
1836230,8044.0,570.0,750.0,0.701,0.271,-0.611,0.248
1836256,8174.0,628.0,756.0,0.7,0.272,-0.611,0.249
1836272,8148.0,694.0,710.0,0.699,0.273,-0.611,0.251
1836288,8028.0,628.0,862.0,0.699,0.273,-0.611,0.252
1836305,7970.0,620.0,958.0,0.698,0.273,-0.611,0.253
1836321,7988.0,384.0,992.0,0.697,0.274,-0.611,0.255
1836337,8008.0,368.0,1028.0,0.697,0.275,-0.611,0.257
1836353,7956.0,480.0,1008.0,0.696,0.277,-0.61,0.259
1836380,8038.0,628.0,1012.0,0.695,0.278,-0.61,0.261
1836396,8198.0,542.0,972.0,0.694,0.28,-0.61,0.262
1836413,8122.0,490.0,922.0,0.693,0.281,-0.609,0.264
1836429,8168.0,534.0,866.0,0.692,0.283,-0.608,0.266
1836445,8090.0,608.0,822.0,0.692,0.284,-0.608,0.267
1836462,8170.0,658.0,820.0,0.691,0.285,-0.607,0.269
1836478,8050.0,520.0,822.0,0.691,0.286,-0.607,0.27
1836504,8098.0,626.0,732.0,0.69,0.287,-0.606,0.271
1836520,8094.0,744.0,766.0,0.69,0.287,-0.606,0.272
1836536,8064.0,818.0,796.0,0.69,0.288,-0.606,0.272
1836552,8066.0,708.0,788.0,0.69,0.287,-0.606,0.272
1836568,8084.0,618.0,804.0,0.69,0.287,-0.606,0.272
1836584,8112.0,614.0,766.0,0.69,0.286,-0.607,0.272
1836610,8080.0,614.0,802.0,0.69,0.286,-0.607,0.271
1836626,7984.0,616.0,876.0,0.691,0.286,-0.607,0.27
1836642,8006.0,616.0,872.0,0.691,0.285,-0.607,0.27
1836658,8098.0,646.0,878.0,0.691,0.285,-0.607,0.269
1836674,8034.0,616.0,932.0,0.692,0.284,-0.607,0.268
1836690,8066.0,526.0,922.0,0.692,0.283,-0.608,0.267
1836716,8102.0,432.0,932.0,0.693,0.283,-0.608,0.266
1836733,8094.0,396.0,884.0,0.693,0.283,-0.608,0.265
1836750,8166.0,524.0,816.0,0.693,0.283,-0.608,0.265
1836767,8098.0,676.0,786.0,0.694,0.283,-0.608,0.264
1836784,7986.0,630.0,760.0,0.694,0.282,-0.608,0.264
1836801,7900.0,544.0,776.0,0.694,0.282,-0.608,0.263
