timeMs,ax,ay,az,q0,q1,q2,q3
3702007,8026.0,-360.0,-1778.0,0.494,0.479,-0.619,0.378
3702023,8182.0,-78.0,-1906.0,0.492,0.483,-0.616,0.381
3702039,8188.0,434.0,-1950.0,0.49,0.487,-0.613,0.384
3702055,8012.0,350.0,-1880.0,0.488,0.49,-0.611,0.386
3702081,8148.0,26.0,-1862.0,0.485,0.494,-0.608,0.389
3702098,8028.0,150.0,-1856.0,0.483,0.497,-0.605,0.392
3702114,7990.0,132.0,-1818.0,0.481,0.5,-0.602,0.394
3702130,7880.0,140.0,-1778.0,0.479,0.504,-0.599,0.397
3702146,7864.0,280.0,-1690.0,0.476,0.507,-0.597,0.399
3702163,7894.0,140.0,-1778.0,0.474,0.511,-0.594,0.402
3702179,7840.0,200.0,-1828.0,0.472,0.514,-0.592,0.404
3702205,7990.0,218.0,-1806.0,0.47,0.517,-0.589,0.406
3702222,7958.0,20.0,-1832.0,0.468,0.52,-0.587,0.408
3702239,7978.0,246.0,-1820.0,0.466,0.523,-0.584,0.41
3702255,7976.0,422.0,-1858.0,0.465,0.526,-0.581,0.412
3702271,7880.0,330.0,-1828.0,0.464,0.528,-0.579,0.413
3702287,7910.0,346.0,-1796.0,0.463,0.53,-0.576,0.415
3702303,7958.0,238.0,-1876.0,0.462,0.532,-0.574,0.416
3702329,8024.0,396.0,-1858.0,0.462,0.534,-0.572,0.417
3702345,7998.0,382.0,-1880.0,0.461,0.535,-0.571,0.419
3702361,7966.0,438.0,-1774.0,0.461,0.536,-0.57,0.42
3702377,7980.0,332.0,-1846.0,0.461,0.536,-0.569,0.42
3702393,8004.0,202.0,-1954.0,0.46,0.536,-0.569,0.421
3702410,7980.0,288.0,-1858.0,0.46,0.537,-0.568,0.421
3702427,8010.0,158.0,-1800.0,0.46,0.537,-0.568,0.421
3702454,8026.0,274.0,-1804.0,0.46,0.537,-0.568,0.421
3702471,8058.0,216.0,-1878.0,0.46,0.537,-0.569,0.42
3702488,8096.0,26.0,-1838.0,0.461,0.537,-0.569,0.42
3702504,8092.0,66.0,-1824.0,0.461,0.537,-0.569,0.419
3702520,8038.0,266.0,-1842.0,0.462,0.536,-0.569,0.419
3702537,8126.0,284.0,-1862.0,0.463,0.536,-0.569,0.418
