timeMs,ax,ay,az,q0,q1,q2,q3
6690241,-3331.0,5627.0,4991.0,0.896,0.373,0.239,0.026
6690257,-3341.0,5635.0,4991.0,0.896,0.373,0.239,0.026
6690273,-3327.0,5649.0,5021.0,0.896,0.373,0.239,0.026
6690299,-3361.0,5613.0,5005.0,0.896,0.373,0.239,0.026
6690315,-3299.0,5643.0,5009.0,0.896,0.373,0.239,0.027
6690331,-3303.0,5647.0,4947.0,0.896,0.373,0.239,0.027
6690347,-3335.0,5675.0,4999.0,0.896,0.373,0.24,0.027
6690363,-3333.0,5661.0,4973.0,0.896,0.374,0.24,0.028
6690379,-3297.0,5679.0,4995.0,0.896,0.374,0.24,0.028
6690405,-3377.0,5673.0,5003.0,0.895,0.374,0.24,0.028
6690421,-3359.0,5693.0,5001.0,0.895,0.374,0.241,0.029
6690437,-3399.0,5663.0,4961.0,0.895,0.374,0.241,0.029
6690453,-3389.0,5669.0,5053.0,0.895,0.374,0.241,0.03
6690469,-3441.0,5631.0,5035.0,0.895,0.374,0.241,0.03
6690492,-3431.0,5673.0,4975.0,0.895,0.374,0.242,0.03
6690508,-3403.0,5637.0,4997.0,0.895,0.374,0.242,0.031
6690524,-3409.0,5637.0,5013.0,0.895,0.374,0.242,0.031
6690540,-3417.0,5585.0,4979.0,0.895,0.374,0.242,0.031
6690556,-3375.0,5677.0,4973.0,0.895,0.374,0.242,0.032
6690582,-3379.0,5705.0,4917.0,0.894,0.374,0.242,0.032
6690598,-3387.0,5651.0,4973.0,0.894,0.374,0.243,0.033
6690614,-3329.0,5669.0,4979.0,0.894,0.374,0.243,0.033
6690630,-3399.0,5693.0,4975.0,0.894,0.374,0.243,0.034
6690646,-3333.0,5683.0,4927.0,0.894,0.374,0.243,0.034
6690662,-3375.0,5749.0,4915.0,0.894,0.375,0.244,0.034
6690688,-3347.0,5637.0,4867.0,0.894,0.375,0.244,0.034
6690704,-3387.0,5775.0,4927.0,0.894,0.375,0.244,0.035
6690720,-3343.0,5869.0,4947.0,0.894,0.374,0.244,0.035
6690736,-3373.0,5823.0,4925.0,0.894,0.374,0.245,0.036
6690752,-3497.0,5701.0,4955.0,0.894,0.372,0.245,0.036
