timestamp,ax,ay,az,q0,q1,q2,q3
3160400,2769.0,3993.0,6459.0,0.927,0.297,-0.178,0.147
3160416,2727.0,4083.0,6415.0,0.926,0.298,-0.177,0.148
3160432,2677.0,4153.0,6409.0,0.926,0.299,-0.176,0.149
3160448,2621.0,4163.0,6405.0,0.926,0.3,-0.175,0.149
3160464,2523.0,4261.0,6397.0,0.926,0.301,-0.174,0.15
3160490,2519.0,4271.0,6351.0,0.925,0.301,-0.174,0.151
3160506,2411.0,4235.0,6377.0,0.925,0.302,-0.173,0.151
3160522,2379.0,4283.0,6361.0,0.925,0.302,-0.172,0.152
3160539,2389.0,4305.0,6357.0,0.925,0.302,-0.172,0.152
3160555,2411.0,4261.0,6391.0,0.925,0.302,-0.171,0.152
3160571,2459.0,4259.0,6381.0,0.925,0.302,-0.171,0.153
3160597,2507.0,4133.0,6393.0,0.925,0.302,-0.171,0.153
3160613,2523.0,4127.0,6397.0,0.925,0.302,-0.171,0.153
3160629,2581.0,4069.0,6429.0,0.926,0.302,-0.171,0.153
3160646,2579.0,3987.0,6497.0,0.926,0.301,-0.171,0.153
3160663,2669.0,3903.0,6455.0,0.926,0.301,-0.171,0.153
3160680,2691.0,3823.0,6509.0,0.926,0.3,-0.171,0.153
3160696,2677.0,3777.0,6497.0,0.926,0.3,-0.171,0.153
3160712,2703.0,3779.0,6471.0,0.926,0.299,-0.17,0.153
3160738,2705.0,3761.0,6489.0,0.926,0.299,-0.17,0.153
3160755,2733.0,3737.0,6513.0,0.926,0.299,-0.17,0.154
3160772,2711.0,3761.0,6501.0,0.926,0.299,-0.17,0.154
3160788,2723.0,3787.0,6511.0,0.926,0.299,-0.17,0.154
3160805,2655.0,3821.0,6491.0,0.926,0.299,-0.17,0.155
3160821,2695.0,3891.0,6491.0,0.926,0.299,-0.169,0.156
3160837,2633.0,3937.0,6483.0,0.926,0.299,-0.169,0.156
3160863,2587.0,3989.0,6411.0,0.926,0.299,-0.169,0.157
3160879,2591.0,3977.0,6493.0,0.926,0.3,-0.168,0.157
3160895,2613.0,4031.0,6463.0,0.926,0.3,-0.168,0.158
3160911,2581.0,4065.0,6449.0,0.926,0.3,-0.168,0.158
3160927,2635.0,4063.0,6435.0,0.926,0.3,-0.168,0.159
3160943,2605.0,4059.0,6431.0,0.925,0.3,-0.167,0.159
3160969,2583.0,4077.0,6495.0,0.925,0.3,-0.167,0.16
3160986,2565.0,4015.0,6461.0,0.925,0.3,-0.167,0.16
3161003,2569.0,3949.0,6415.0,0.925,0.3,-0.167,0.16
3161019,2577.0,3953.0,6417.0,0.925,0.3,-0.167,0.161
3161035,2595.0,3949.0,6477.0,0.925,0.3,-0.166,0.161
3161051,2679.0,3921.0,6435.0,0.926,0.3,-0.166,0.161
3161067,2677.0,3901.0,6433.0,0.926,0.3,-0.166,0.161
3161093,2687.0,3925.0,6443.0,0.926,0.3,-0.166,0.161
3161110,2703.0,3895.0,6491.0,0.926,0.3,-0.166,0.162
3161126,2729.0,3911.0,6471.0,0.926,0.3,-0.165,0.162
3161142,2681.0,3883.0,6491.0,0.926,0.3,-0.165,0.162
3161158,2675.0,3907.0,6459.0,0.926,0.3,-0.165,0.162
3161175,2663.0,3863.0,6483.0,0.926,0.3,-0.164,0.163
3161191,2681.0,3905.0,6453.0,0.926,0.3,-0.164,0.163
3161208,2617.0,3909.0,6423.0,0.926,0.3,-0.164,0.163
3161234,2633.0,3959.0,6485.0,0.926,0.3,-0.163,0.164
3161250,2627.0,3885.0,6471.0,0.925,0.3,-0.163,0.164
3161266,2643.0,3953.0,6455.0,0.925,0.3,-0.163,0.164
3161283,2631.0,3977.0,6465.0,0.925,0.3,-0.163,0.165
3161300,2669.0,4013.0,6465.0,0.925,0.3,-0.162,0.165
3161316,2633.0,3967.0,6435.0,0.925,0.3,-0.162,0.165
3161332,2591.0,4013.0,6455.0,0.925,0.301,-0.162,0.165
3161358,2605.0,3981.0,6439.0,0.925,0.301,-0.161,0.166
3161374,2645.0,3961.0,6471.0,0.925,0.301,-0.161,0.166
3161390,2621.0,4015.0,6481.0,0.925,0.301,-0.16,0.166
3161406,2605.0,4007.0,6461.0,0.925,0.301,-0.16,0.166
3161422,2561.0,3941.0,6441.0,0.925,0.301,-0.16,0.167
3161438,2575.0,3933.0,6479.0,0.925,0.301,-0.159,0.167
3161465,2589.0,3995.0,6493.0,0.925,0.301,-0.159,0.167
3161481,2607.0,3951.0,6481.0,0.925,0.301,-0.159,0.167
3161497,2637.0,3987.0,6487.0,0.925,0.301,-0.158,0.168
3161513,2583.0,3909.0,6485.0,0.925,0.301,-0.158,0.168
3161529,2611.0,3949.0,6475.0,0.925,0.301,-0.158,0.168
3161546,2601.0,3925.0,6431.0,0.925,0.301,-0.157,0.169
3161562,2625.0,3965.0,6407.0,0.925,0.301,-0.157,0.169
3161588,2601.0,3947.0,6475.0,0.925,0.301,-0.157,0.169
3161605,2601.0,4007.0,6447.0,0.925,0.302,-0.156,0.17
3161621,2573.0,4059.0,6437.0,0.925,0.302,-0.156,0.17
3161637,2613.0,3979.0,6459.0,0.925,0.302,-0.156,0.17
3161654,2613.0,4013.0,6457.0,0.925,0.302,-0.156,0.171
3161670,2547.0,3951.0,6481.0,0.925,0.302,-0.155,0.171
3161687,2617.0,3991.0,6427.0,0.925,0.302,-0.155,0.171
3161704,2577.0,4013.0,6437.0,0.925,0.302,-0.155,0.171
3161730,2555.0,4027.0,6501.0,0.925,0.302,-0.155,0.172
3161747,2571.0,4013.0,6461.0,0.925,0.302,-0.154,0.172
3161764,2577.0,3979.0,6463.0,0.925,0.302,-0.154,0.172
3161780,2625.0,3973.0,6437.0,0.925,0.302,-0.154,0.172
3161796,2595.0,3995.0,6449.0,0.925,0.302,-0.154,0.173
3161813,2551.0,3981.0,6469.0,0.925,0.302,-0.154,0.173
3161829,2639.0,3989.0,6441.0,0.925,0.302,-0.153,0.173
3161845,2623.0,3941.0,6449.0,0.925,0.302,-0.153,0.174
3161871,2597.0,4007.0,6439.0,0.925,0.302,-0.153,0.174
3161888,2633.0,3977.0,6471.0,0.925,0.302,-0.153,0.174
3161904,2605.0,3971.0,6465.0,0.925,0.302,-0.153,0.174
3161920,2625.0,3987.0,6439.0,0.925,0.302,-0.153,0.175
3161936,2601.0,4039.0,6455.0,0.925,0.302,-0.152,0.175
3161952,2565.0,3997.0,6465.0,0.925,0.302,-0.152,0.175
3161969,2579.0,4021.0,6509.0,0.925,0.302,-0.152,0.175
3161996,2583.0,3997.0,6463.0,0.925,0.302,-0.152,0.176
3162012,2589.0,4009.0,6473.0,0.925,0.302,-0.152,0.176
3162029,2595.0,3985.0,6517.0,0.925,0.302,-0.151,0.176
3162046,2587.0,3933.0,6473.0,0.925,0.301,-0.151,0.176
3162063,2589.0,3979.0,6459.0,0.925,0.301,-0.151,0.177
3162079,2641.0,3973.0,6497.0,0.925,0.301,-0.151,0.177
3162095,2613.0,3953.0,6429.0,0.925,0.301,-0.151,0.177
3162112,2591.0,3967.0,6433.0,0.925,0.301,-0.15,0.177
3162128,2573.0,4001.0,6449.0,0.925,0.301,-0.15,0.178
3162154,2611.0,3991.0,6453.0,0.925,0.301,-0.15,0.178
3162171,2649.0,3999.0,6451.0,0.925,0.301,-0.15,0.178
3162188,2615.0,3979.0,6467.0,0.925,0.301,-0.15,0.178
3162205,2601.0,4005.0,6497.0,0.925,0.301,-0.149,0.179
3162222,2561.0,3971.0,6411.0,0.925,0.301,-0.149,0.179
3162239,2605.0,3975.0,6487.0,0.925,0.301,-0.149,0.179
3162255,2571.0,3953.0,6465.0,0.925,0.301,-0.149,0.179
3162271,2557.0,3971.0,6445.0,0.925,0.301,-0.149,0.18
3162297,2621.0,3963.0,6465.0,0.925,0.301,-0.148,0.18
3162314,2619.0,3997.0,6487.0,0.925,0.301,-0.148,0.18
3162331,2599.0,4033.0,6423.0,0.925,0.301,-0.148,0.18
3162348,2597.0,3943.0,6443.0,0.925,0.301,-0.148,0.18
3162364,2601.0,3985.0,6431.0,0.925,0.301,-0.148,0.181
3162380,2589.0,4043.0,6503.0,0.925,0.301,-0.148,0.181
3162396,2617.0,3997.0,6491.0,0.925,0.301,-0.147,0.181
3162412,2561.0,3977.0,6441.0,0.925,0.301,-0.147,0.181
3162438,2583.0,4005.0,6437.0,0.925,0.301,-0.147,0.181
