timestamp,ax,ay,az,q0,q1,q2,q3
8172030,-1540.0,8098.0,-70.0,0.616,0.551,0.453,0.336
8172047,-1626.0,8104.0,30.0,0.615,0.551,0.453,0.336
8172063,-1784.0,8046.0,106.0,0.615,0.551,0.454,0.335
8172079,-1676.0,7900.0,72.0,0.614,0.551,0.455,0.335
8172105,-1732.0,8010.0,-42.0,0.613,0.552,0.456,0.334
8172121,-1760.0,8114.0,-108.0,0.612,0.552,0.458,0.334
8172137,-1788.0,8102.0,-194.0,0.61,0.553,0.459,0.334
8172153,-1640.0,7986.0,-132.0,0.609,0.553,0.461,0.334
8172169,-1688.0,7990.0,-180.0,0.607,0.554,0.462,0.334
8172185,-1764.0,8076.0,-232.0,0.605,0.555,0.464,0.334
8172211,-1760.0,8092.0,-292.0,0.603,0.555,0.466,0.334
8172227,-1844.0,8138.0,-360.0,0.601,0.555,0.468,0.334
8172244,-1854.0,8086.0,-354.0,0.599,0.556,0.469,0.334
8172261,-1810.0,8034.0,-300.0,0.598,0.556,0.471,0.335
8172277,-1836.0,8020.0,-278.0,0.597,0.556,0.472,0.335
8172294,-1808.0,8012.0,-374.0,0.595,0.556,0.473,0.336
8172311,-1828.0,8140.0,-450.0,0.594,0.556,0.475,0.336
8172328,-1822.0,8106.0,-512.0,0.592,0.556,0.476,0.337
8172345,-1842.0,8320.0,-730.0,0.591,0.556,0.477,0.338
8172362,-1770.0,8712.0,-1054.0,0.59,0.555,0.478,0.339
8172388,-1978.0,8658.0,-1136.0,0.591,0.553,0.478,0.342
8172405,-1888.0,8658.0,-906.0,0.592,0.551,0.477,0.345
8172422,-1706.0,8690.0,-888.0,0.595,0.547,0.475,0.348
8172439,-1638.0,8852.0,-902.0,0.598,0.544,0.472,0.352
8172456,-1736.0,8242.0,-480.0,0.602,0.539,0.469,0.357
8172473,-1624.0,7360.0,112.0,0.605,0.535,0.466,0.361
8172489,-1540.0,7486.0,314.0,0.608,0.532,0.464,0.365
8172505,-1820.0,8116.0,398.0,0.61,0.528,0.462,0.369
8172531,-1522.0,7710.0,710.0,0.613,0.524,0.459,0.373
8172548,-1490.0,7156.0,788.0,0.615,0.521,0.457,0.376
8172564,-1314.0,7186.0,1078.0,0.615,0.519,0.457,0.379
8172580,-1446.0,7126.0,1182.0,0.615,0.518,0.457,0.38
8172596,-1386.0,7668.0,912.0,0.614,0.517,0.459,0.381
8172612,-1422.0,8084.0,706.0,0.612,0.517,0.46,0.382
8172628,-1452.0,8116.0,330.0,0.611,0.517,0.462,0.382
8172654,-1456.0,8914.0,64.0,0.609,0.517,0.463,0.383
8172671,-1594.0,8478.0,62.0,0.609,0.516,0.463,0.385
8172688,-1654.0,7800.0,142.0,0.608,0.515,0.464,0.387
8172705,-2496.0,7302.0,1194.0,0.604,0.517,0.466,0.388
8172722,-1602.0,8184.0,556.0,0.598,0.521,0.47,0.387
8172738,-1456.0,8610.0,66.0,0.591,0.526,0.474,0.385
8172755,-1356.0,9288.0,-286.0,0.587,0.529,0.477,0.385
8172771,-656.0,8568.0,-934.0,0.584,0.531,0.479,0.385
8172788,-638.0,7326.0,-166.0,0.582,0.531,0.48,0.386
8172805,-890.0,7130.0,32.0,0.58,0.533,0.481,0.385
8172822,-1034.0,7284.0,136.0,0.579,0.534,0.482,0.384
8172849,-1432.0,7680.0,-142.0,0.578,0.535,0.482,0.383
8172865,-1280.0,8732.0,-956.0,0.578,0.536,0.483,0.382
8172881,-1650.0,9892.0,-456.0,0.577,0.537,0.483,0.381
8172897,-1572.0,8452.0,-866.0,0.577,0.536,0.483,0.382
8172913,-1542.0,8042.0,-756.0,0.579,0.535,0.482,0.382
8172929,-1444.0,8010.0,-490.0,0.581,0.533,0.481,0.383
8172955,-1498.0,7782.0,-284.0,0.583,0.531,0.48,0.383
8172971,-1762.0,7912.0,-214.0,0.585,0.53,0.48,0.383
8172987,-1582.0,8834.0,-390.0,0.585,0.53,0.48,0.383
8173003,-1844.0,8522.0,-550.0,0.587,0.529,0.479,0.383
8173019,-1924.0,8288.0,-578.0,0.589,0.527,0.478,0.383
8173035,-1962.0,8078.0,-240.0,0.592,0.524,0.476,0.384
8173061,-1984.0,7986.0,-8.0,0.596,0.522,0.473,0.386
8173077,-1990.0,7798.0,64.0,0.599,0.519,0.471,0.386
8173093,-1932.0,7976.0,174.0,0.602,0.517,0.47,0.387
8173109,-1842.0,7894.0,392.0,0.604,0.516,0.468,0.387
8173125,-1716.0,7646.0,452.0,0.606,0.514,0.468,0.387
8173143,-1694.0,7302.0,466.0,0.607,0.513,0.468,0.386
8173159,-1634.0,7194.0,482.0,0.607,0.513,0.469,0.386
8173176,-1744.0,7646.0,212.0,0.606,0.512,0.471,0.385
8173202,-2064.0,9676.0,-144.0,0.607,0.511,0.472,0.386
8173218,-1776.0,9386.0,106.0,0.609,0.507,0.471,0.388
8173234,-1826.0,7974.0,308.0,0.612,0.503,0.469,0.391
8173250,-1688.0,7606.0,894.0,0.614,0.5,0.468,0.393
8173266,-1636.0,7358.0,1662.0,0.614,0.499,0.468,0.393
8173292,-1800.0,7660.0,1904.0,0.614,0.5,0.469,0.392
8173308,-1792.0,8600.0,1022.0,0.613,0.501,0.469,0.391
8173324,-1922.0,9214.0,484.0,0.614,0.502,0.467,0.391
8173340,-1754.0,9000.0,364.0,0.616,0.502,0.464,0.392
8173356,-1486.0,8248.0,370.0,0.617,0.502,0.461,0.394
8173372,-1298.0,7730.0,808.0,0.618,0.502,0.458,0.395
8173389,-1400.0,7540.0,942.0,0.619,0.503,0.456,0.395
