timestamp,ax,ay,az,q0,q1,q2,q3
4064948,3218.0,7555.0,-1147.0,0.632,0.741,-0.203,0.101
4064964,3111.0,7481.0,-1137.0,0.632,0.741,-0.202,0.101
4064980,3152.0,7488.0,-1060.0,0.632,0.741,-0.202,0.101
4064996,3180.0,7536.0,-1073.0,0.632,0.742,-0.201,0.101
4065022,3192.0,7524.0,-1067.0,0.632,0.742,-0.2,0.101
4065038,3076.0,7478.0,-1125.0,0.632,0.742,-0.2,0.101
4065054,3104.0,7584.0,-1077.0,0.632,0.742,-0.199,0.101
4065070,3072.0,7510.0,-1097.0,0.632,0.742,-0.199,0.101
4065087,3230.0,7508.0,-1081.0,0.633,0.742,-0.199,0.101
4065104,3042.0,7592.0,-1051.0,0.633,0.741,-0.198,0.1
4065120,3036.0,7478.0,-1003.0,0.634,0.741,-0.198,0.1
4065146,3078.0,7516.0,-1091.0,0.634,0.741,-0.197,0.1
4065163,3074.0,7568.0,-1099.0,0.634,0.741,-0.197,0.1
4065179,3070.0,7534.0,-1103.0,0.634,0.741,-0.197,0.1
4065196,3136.0,7520.0,-1051.0,0.634,0.741,-0.197,0.1
4065213,3118.0,7508.0,-1061.0,0.633,0.742,-0.197,0.101
4065230,3112.0,7554.0,-1067.0,0.633,0.742,-0.197,0.101
4065246,3110.0,7578.0,-1071.0,0.633,0.742,-0.197,0.101
4065262,3110.0,7538.0,-1083.0,0.633,0.742,-0.197,0.101
4065288,3130.0,7546.0,-1101.0,0.633,0.742,-0.197,0.102
4065305,3166.0,7542.0,-1091.0,0.633,0.742,-0.197,0.102
4065322,3206.0,7598.0,-1063.0,0.632,0.742,-0.197,0.102
4065339,3150.0,7614.0,-1115.0,0.632,0.742,-0.197,0.103
4065355,3154.0,7572.0,-1085.0,0.632,0.742,-0.197,0.103
4065371,3140.0,7520.0,-1107.0,0.632,0.742,-0.196,0.104
4065388,3166.0,7490.0,-1043.0,0.632,0.742,-0.196,0.104
4065405,3118.0,7502.0,-1073.0,0.632,0.742,-0.196,0.104
4065421,3098.0,7552.0,-1109.0,0.632,0.742,-0.196,0.105
4065448,3150.0,7566.0,-1127.0,0.632,0.742,-0.195,0.105
4065464,3108.0,7538.0,-1107.0,0.632,0.742,-0.195,0.105
4065480,3142.0,7482.0,-1069.0,0.632,0.742,-0.195,0.105
4065496,3128.0,7488.0,-1099.0,0.632,0.742,-0.195,0.105
4065512,3196.0,7488.0,-1141.0,0.632,0.742,-0.195,0.106
