timestamp,ax,ay,az,q0,q1,q2,q3
3909373,-1528.0,7962.0,755.0,0.668,0.617,0.327,0.257
3909390,-1734.0,7446.0,1097.0,0.667,0.612,0.335,0.261
3909406,-2450.0,7850.0,1599.0,0.667,0.608,0.341,0.263
3909422,-2592.0,8014.0,1673.0,0.667,0.606,0.344,0.264
3909438,-2496.0,7796.0,1553.0,0.667,0.606,0.345,0.263
3909455,-2482.0,8034.0,1369.0,0.668,0.606,0.344,0.26
3909472,-2408.0,8022.0,1237.0,0.67,0.607,0.342,0.258
3909488,-2022.0,7876.0,1085.0,0.671,0.608,0.339,0.255
3909505,-1698.0,7880.0,927.0,0.673,0.61,0.335,0.252
3909531,-1570.0,8054.0,699.0,0.674,0.611,0.332,0.25
3909548,-1356.0,8180.0,455.0,0.676,0.611,0.329,0.249
3909565,-1268.0,8146.0,497.0,0.677,0.611,0.327,0.249
3909581,-1230.0,8340.0,451.0,0.678,0.609,0.326,0.25
3909597,-1512.0,7810.0,561.0,0.68,0.607,0.325,0.252
3909614,-1806.0,7984.0,579.0,0.681,0.605,0.324,0.254
3909630,-1954.0,7868.0,859.0,0.683,0.602,0.324,0.256
3909646,-1916.0,7380.0,1053.0,0.684,0.6,0.324,0.259
3909672,-1988.0,7560.0,1015.0,0.685,0.598,0.324,0.26
3909688,-1858.0,7752.0,863.0,0.686,0.597,0.324,0.261
3909704,-1820.0,7850.0,813.0,0.687,0.595,0.325,0.262
3909720,-1872.0,7874.0,751.0,0.687,0.594,0.325,0.263
3909736,-1824.0,7980.0,831.0,0.688,0.593,0.325,0.264
3909752,-1768.0,7934.0,817.0,0.689,0.591,0.325,0.265
3909778,-1818.0,8054.0,759.0,0.69,0.59,0.325,0.266
3909794,-1978.0,8020.0,879.0,0.691,0.588,0.325,0.268
3909811,-1730.0,7742.0,893.0,0.692,0.587,0.324,0.269
3909827,-1850.0,7652.0,1097.0,0.692,0.586,0.324,0.269
3909843,-1688.0,7902.0,1047.0,0.693,0.585,0.324,0.269
3909859,-1436.0,7752.0,1005.0,0.694,0.584,0.324,0.269
3909885,-1700.0,7858.0,1043.0,0.695,0.584,0.324,0.268
3909902,-1538.0,7518.0,1179.0,0.696,0.583,0.324,0.267
3909919,-1748.0,7896.0,1175.0,0.696,0.583,0.324,0.266
3909935,-1560.0,8170.0,1041.0,0.697,0.583,0.324,0.265
3909952,-1512.0,8018.0,1131.0,0.698,0.582,0.324,0.264
3909969,-1604.0,7972.0,1183.0,0.699,0.581,0.324,0.263
3909986,-1628.0,7782.0,1189.0,0.7,0.581,0.324,0.262
3910003,-1644.0,7750.0,1233.0,0.7,0.58,0.324,0.261
3910019,-1762.0,7960.0,1267.0,0.701,0.579,0.324,0.261
3910036,-1810.0,8054.0,1371.0,0.702,0.578,0.323,0.26
3910053,-1848.0,7886.0,1383.0,0.704,0.577,0.323,0.259
3910070,-1752.0,7936.0,1365.0,0.705,0.576,0.322,0.259
3910097,-1858.0,7926.0,1365.0,0.706,0.575,0.321,0.259
3910114,-1842.0,7620.0,1445.0,0.708,0.574,0.32,0.258
3910131,-1782.0,7896.0,1353.0,0.709,0.573,0.32,0.258
3910147,-1724.0,7940.0,1395.0,0.71,0.572,0.319,0.258
3910164,-1732.0,7604.0,1559.0,0.711,0.571,0.318,0.258
3910180,-1768.0,7844.0,1543.0,0.713,0.57,0.317,0.258
3910196,-1764.0,7586.0,1675.0,0.714,0.569,0.317,0.258
3910212,-1854.0,7576.0,1767.0,0.715,0.568,0.316,0.258
3910238,-1784.0,7844.0,1567.0,0.715,0.568,0.316,0.257
3910254,-1562.0,7748.0,1517.0,0.716,0.567,0.316,0.257
3910271,-1750.0,7652.0,1633.0,0.716,0.567,0.316,0.257
3910288,-1634.0,7882.0,1555.0,0.716,0.566,0.317,0.256
3910304,-1644.0,7594.0,1765.0,0.716,0.566,0.317,0.256
3910320,-1784.0,7668.0,1839.0,0.716,0.567,0.318,0.255
3910336,-1774.0,7782.0,1655.0,0.715,0.567,0.319,0.255
3910362,-1746.0,7666.0,1581.0,0.715,0.568,0.32,0.254
3910378,-1768.0,7716.0,1675.0,0.714,0.568,0.321,0.254
3910394,-1810.0,7648.0,1687.0,0.713,0.569,0.322,0.254
3910410,-1862.0,7598.0,1629.0,0.712,0.57,0.323,0.253
3910426,-1926.0,7700.0,1509.0,0.711,0.571,0.324,0.253
3910452,-1780.0,7696.0,1447.0,0.709,0.572,0.326,0.252
3910468,-1802.0,7880.0,1405.0,0.708,0.573,0.327,0.253
3910485,-1904.0,7864.0,1355.0,0.706,0.574,0.329,0.253
3910501,-1892.0,7748.0,1391.0,0.705,0.574,0.33,0.253
3910518,-2036.0,7856.0,1337.0,0.703,0.575,0.332,0.254
3910534,-1986.0,7760.0,1323.0,0.702,0.575,0.334,0.255
3910550,-1974.0,7780.0,1181.0,0.7,0.576,0.335,0.256
3910566,-1822.0,8160.0,853.0,0.699,0.577,0.337,0.257
3910592,-1882.0,7934.0,913.0,0.697,0.577,0.338,0.258
3910609,-2020.0,7786.0,1063.0,0.696,0.577,0.34,0.26
3910625,-2148.0,7768.0,1111.0,0.695,0.577,0.341,0.262
3910642,-2128.0,7704.0,1141.0,0.694,0.577,0.342,0.263
3910659,-2006.0,7692.0,1087.0,0.692,0.578,0.343,0.264
3910676,-1930.0,7980.0,915.0,0.691,0.579,0.344,0.264
