timestamp,ax,ay,az,q0,q1,q2,q3
1093980,7604.0,410.0,1942.0,0.367,0.606,-0.275,0.65
1093996,7552.0,580.0,1822.0,0.362,0.608,-0.267,0.654
1094012,7536.0,816.0,1544.0,0.357,0.611,-0.259,0.657
1094038,7462.0,780.0,1308.0,0.353,0.614,-0.252,0.66
1094054,7444.0,856.0,1150.0,0.348,0.616,-0.246,0.662
1094070,7422.0,1052.0,1074.0,0.344,0.618,-0.24,0.665
1094086,7402.0,1068.0,1082.0,0.34,0.62,-0.236,0.667
1094102,7488.0,1088.0,1018.0,0.337,0.622,-0.232,0.668
1094119,7424.0,938.0,990.0,0.334,0.623,-0.229,0.669
1094135,7568.0,1012.0,946.0,0.331,0.625,-0.227,0.67
1094153,7638.0,1066.0,904.0,0.328,0.627,-0.226,0.67
1094180,7764.0,946.0,868.0,0.326,0.628,-0.226,0.669
1094196,7818.0,908.0,964.0,0.324,0.629,-0.226,0.669
1094212,7854.0,880.0,1096.0,0.323,0.631,-0.228,0.668
1094229,7916.0,834.0,1188.0,0.323,0.631,-0.229,0.667
1094245,7830.0,768.0,1288.0,0.322,0.632,-0.231,0.666
1094262,7982.0,614.0,1362.0,0.322,0.633,-0.233,0.665
1094279,8110.0,588.0,1384.0,0.321,0.634,-0.235,0.664
1094295,8246.0,552.0,1400.0,0.321,0.634,-0.236,0.663
1094321,8294.0,506.0,1334.0,0.32,0.634,-0.237,0.662
1094338,8254.0,474.0,1446.0,0.32,0.635,-0.238,0.662
1094355,8260.0,280.0,1486.0,0.319,0.635,-0.237,0.662
1094372,8134.0,350.0,1374.0,0.317,0.636,-0.235,0.663
1094388,8058.0,658.0,1170.0,0.316,0.637,-0.233,0.663
1094405,7920.0,934.0,968.0,0.314,0.638,-0.23,0.664
1094421,7874.0,952.0,870.0,0.313,0.639,-0.227,0.665
1094437,7726.0,884.0,732.0,0.312,0.64,-0.223,0.666
1094463,7536.0,934.0,540.0,0.31,0.642,-0.22,0.666
1094479,7594.0,982.0,494.0,0.308,0.643,-0.216,0.667
1094495,7640.0,1070.0,456.0,0.306,0.644,-0.213,0.668
1094511,7634.0,1218.0,324.0,0.304,0.645,-0.21,0.668
1094527,7852.0,1256.0,304.0,0.302,0.647,-0.208,0.669
1094543,8086.0,1362.0,224.0,0.3,0.648,-0.206,0.669
1094569,8232.0,1430.0,280.0,0.298,0.649,-0.206,0.669
1094585,8274.0,1440.0,410.0,0.296,0.65,-0.206,0.669
1094601,8258.0,1338.0,264.0,0.294,0.651,-0.207,0.669
1094617,8236.0,1248.0,220.0,0.293,0.651,-0.209,0.668
1094633,8042.0,1180.0,292.0,0.292,0.652,-0.211,0.667
1094649,8016.0,1074.0,328.0,0.291,0.653,-0.213,0.666
1094675,7988.0,1064.0,274.0,0.291,0.654,-0.215,0.665
1094691,8050.0,1004.0,264.0,0.291,0.655,-0.218,0.663
1094708,8070.0,974.0,190.0,0.291,0.655,-0.221,0.661
1094724,8134.0,956.0,224.0,0.291,0.656,-0.223,0.659
1094741,8166.0,990.0,194.0,0.292,0.657,-0.227,0.657
1094758,8154.0,838.0,104.0,0.293,0.657,-0.23,0.655
1094774,8194.0,898.0,120.0,0.294,0.658,-0.233,0.653
1094790,8306.0,964.0,88.0,0.295,0.658,-0.236,0.651
1094816,8370.0,870.0,152.0,0.296,0.658,-0.239,0.649
1094832,8374.0,968.0,168.0,0.297,0.658,-0.242,0.648
1094849,8424.0,976.0,232.0,0.298,0.658,-0.245,0.646
1094865,8510.0,1006.0,178.0,0.3,0.658,-0.248,0.645
1094881,8508.0,1030.0,194.0,0.302,0.657,-0.251,0.643
1094897,8460.0,1000.0,316.0,0.304,0.657,-0.253,0.642
1094914,8456.0,990.0,304.0,0.307,0.656,-0.256,0.641
1094940,8468.0,934.0,300.0,0.309,0.655,-0.258,0.639
1094956,8608.0,884.0,214.0,0.311,0.654,-0.26,0.638
1094973,8634.0,852.0,198.0,0.314,0.653,-0.262,0.638
1094989,8564.0,832.0,252.0,0.316,0.652,-0.263,0.637
1095005,8588.0,794.0,364.0,0.319,0.65,-0.264,0.637
1095021,8510.0,734.0,342.0,0.321,0.649,-0.264,0.637
1095047,8506.0,740.0,412.0,0.324,0.648,-0.263,0.637
1095063,8316.0,804.0,460.0,0.326,0.647,-0.261,0.638
1095079,8272.0,680.0,378.0,0.329,0.646,-0.259,0.638
