timestamp,ax,ay,az,q0,q1,q2,q3
5164605,2780.0,3523.0,6826.0,0.956,0.221,-0.192,0.002
5164621,2608.0,3775.0,6858.0,0.956,0.222,-0.191,0.003
5164638,2682.0,3733.0,6926.0,0.956,0.222,-0.191,0.004
5164654,2766.0,3721.0,6930.0,0.956,0.221,-0.191,0.005
5164680,2880.0,3661.0,6828.0,0.957,0.22,-0.191,0.006
5164696,3156.0,3371.0,6892.0,0.957,0.219,-0.192,0.007
5164712,3396.0,3139.0,6898.0,0.957,0.219,-0.192,0.008
5164729,3414.0,3185.0,6838.0,0.956,0.22,-0.191,0.008
5164745,3292.0,3273.0,6682.0,0.956,0.222,-0.191,0.008
5164762,3084.0,3409.0,6730.0,0.956,0.223,-0.19,0.008
5164778,2894.0,3619.0,6640.0,0.956,0.224,-0.189,0.008
5164804,2850.0,3577.0,6752.0,0.956,0.225,-0.189,0.009
5164820,2662.0,3881.0,6744.0,0.956,0.225,-0.189,0.01
5164837,2630.0,3759.0,6732.0,0.956,0.224,-0.189,0.01
5164854,2624.0,3713.0,6770.0,0.956,0.223,-0.189,0.011
5164871,2636.0,3735.0,6810.0,0.957,0.221,-0.189,0.011
5164888,2750.0,3639.0,6944.0,0.957,0.22,-0.189,0.012
5164904,2822.0,3447.0,6900.0,0.957,0.219,-0.19,0.012
5164920,2940.0,3411.0,6958.0,0.957,0.218,-0.19,0.013
5164946,3236.0,3247.0,6860.0,0.957,0.217,-0.191,0.014
5164962,3312.0,3165.0,6810.0,0.957,0.217,-0.191,0.014
5164978,3338.0,3189.0,6772.0,0.957,0.217,-0.191,0.014
5164995,3258.0,3217.0,6720.0,0.957,0.217,-0.191,0.014
5165012,3122.0,3395.0,6716.0,0.957,0.216,-0.191,0.014
5165028,3008.0,3253.0,6812.0,0.958,0.216,-0.191,0.014
5165044,2968.0,3351.0,6748.0,0.958,0.215,-0.191,0.014
5165061,2954.0,3253.0,6904.0,0.958,0.215,-0.191,0.014
5165087,2910.0,3299.0,6908.0,0.958,0.214,-0.191,0.015
5165103,2952.0,3301.0,6904.0,0.958,0.214,-0.191,0.016
5165120,3090.0,3323.0,6936.0,0.958,0.213,-0.191,0.017
5165137,3126.0,3349.0,6918.0,0.958,0.213,-0.191,0.018
5165153,3116.0,3271.0,6930.0,0.958,0.214,-0.19,0.019
5165170,3110.0,3307.0,6824.0,0.958,0.214,-0.19,0.019
5165187,3150.0,3287.0,6888.0,0.958,0.214,-0.19,0.02
5165204,3126.0,3317.0,6870.0,0.958,0.214,-0.189,0.02
5165221,3116.0,3391.0,6830.0,0.958,0.215,-0.189,0.021
5165247,3126.0,3379.0,6816.0,0.958,0.215,-0.189,0.021
5165263,3128.0,3299.0,6734.0,0.958,0.215,-0.189,0.021
5165279,3104.0,3441.0,6722.0,0.958,0.214,-0.189,0.022
5165295,3112.0,3405.0,6812.0,0.958,0.214,-0.189,0.021
5165311,3052.0,3389.0,6848.0,0.958,0.214,-0.189,0.021
5165327,2964.0,3313.0,6910.0,0.958,0.213,-0.189,0.021
5165354,3006.0,3233.0,6928.0,0.958,0.213,-0.189,0.022
5165371,2986.0,3285.0,6940.0,0.958,0.213,-0.189,0.022
5165388,3014.0,3313.0,6884.0,0.958,0.213,-0.189,0.022
5165404,3000.0,3287.0,6918.0,0.958,0.213,-0.189,0.023
5165420,2982.0,3249.0,6914.0,0.958,0.213,-0.189,0.023
5165436,3012.0,3401.0,6928.0,0.958,0.213,-0.189,0.023
5165452,3092.0,3397.0,7036.0,0.958,0.214,-0.189,0.024
5165468,3102.0,3307.0,6904.0,0.958,0.214,-0.188,0.024
5165494,3078.0,3343.0,6874.0,0.958,0.214,-0.188,0.024
5165510,3086.0,3311.0,6852.0,0.958,0.214,-0.188,0.025
5165527,3062.0,3357.0,6862.0,0.958,0.214,-0.188,0.025
5165543,3058.0,3269.0,6868.0,0.958,0.214,-0.188,0.026
5165559,3028.0,3321.0,6950.0,0.958,0.214,-0.188,0.026
5165575,2976.0,3263.0,6910.0,0.958,0.214,-0.188,0.027
5165601,2952.0,3245.0,6906.0,0.958,0.214,-0.187,0.027
5165617,3010.0,3299.0,6882.0,0.958,0.214,-0.187,0.027
5165633,3040.0,3349.0,6908.0,0.958,0.214,-0.187,0.028
5165649,3056.0,3295.0,6880.0,0.958,0.215,-0.187,0.028
