timestamp,ax,ay,az,q0,q1,q2,q3
4719819,3474.0,2873.0,6864.0,0.413,0.277,0.067,0.865
4719835,3462.0,2837.0,6824.0,0.413,0.277,0.067,0.865
4719851,3448.0,2835.0,6846.0,0.412,0.277,0.067,0.865
4719867,3456.0,2837.0,6888.0,0.412,0.277,0.068,0.865
4719883,3434.0,2803.0,6870.0,0.412,0.277,0.068,0.866
4719899,3476.0,2841.0,6818.0,0.411,0.277,0.068,0.866
4719917,3502.0,2831.0,6858.0,0.411,0.277,0.068,0.866
4719944,3482.0,2813.0,6818.0,0.411,0.277,0.068,0.866
4719960,3562.0,2787.0,6918.0,0.41,0.277,0.068,0.866
4719976,3562.0,2791.0,6910.0,0.41,0.277,0.068,0.866
4719993,3494.0,2835.0,6810.0,0.41,0.277,0.069,0.866
4720010,3520.0,2845.0,6888.0,0.41,0.277,0.069,0.866
4720027,3306.0,2835.0,6858.0,0.41,0.277,0.069,0.866
4720044,3362.0,2789.0,6914.0,0.41,0.277,0.07,0.866
4720061,3388.0,2795.0,6882.0,0.41,0.277,0.07,0.866
4720078,3450.0,2955.0,6852.0,0.41,0.277,0.07,0.866
4720094,3496.0,2827.0,6892.0,0.409,0.277,0.07,0.866
4720120,3402.0,2869.0,6856.0,0.409,0.277,0.07,0.867
4720137,3436.0,2889.0,6834.0,0.409,0.277,0.07,0.867
4720154,3472.0,2865.0,6896.0,0.408,0.277,0.07,0.867
4720170,3470.0,2891.0,6830.0,0.408,0.277,0.07,0.867
4720186,3490.0,2911.0,6836.0,0.407,0.276,0.07,0.868
4720202,3516.0,2861.0,6878.0,0.406,0.276,0.07,0.868
4720218,3526.0,2859.0,6856.0,0.406,0.276,0.07,0.868
4720244,3504.0,2867.0,6852.0,0.405,0.276,0.07,0.869
4720260,3494.0,2835.0,6824.0,0.405,0.276,0.07,0.869
4720276,3480.0,2811.0,6882.0,0.404,0.277,0.07,0.869
4720292,3436.0,2839.0,6884.0,0.403,0.277,0.07,0.869
4720308,3488.0,2799.0,6870.0,0.403,0.277,0.07,0.87
4720325,3494.0,2771.0,6828.0,0.402,0.277,0.069,0.87
