timestamp,ax,ay,az,q0,q1,q2,q3
6739600,1917.0,6797.0,4127.0,0.843,0.505,-0.05,0.179
6739616,1957.0,6801.0,4141.0,0.843,0.505,-0.049,0.179
6739633,1953.0,6699.0,4163.0,0.843,0.505,-0.049,0.179
6739649,1890.0,6795.0,4236.0,0.842,0.506,-0.049,0.179
6739666,1851.0,6924.0,4229.0,0.842,0.506,-0.048,0.179
6739692,1921.0,6964.0,4215.0,0.842,0.507,-0.047,0.179
6739708,1933.0,6820.0,4199.0,0.842,0.507,-0.047,0.179
6739724,1727.0,6674.0,4113.0,0.841,0.508,-0.046,0.178
6739740,1775.0,6600.0,4129.0,0.841,0.51,-0.044,0.177
6739757,1857.0,6748.0,4143.0,0.84,0.512,-0.043,0.177
6739773,1799.0,6836.0,4081.0,0.838,0.515,-0.042,0.175
6739799,1785.0,7008.0,3899.0,0.836,0.518,-0.04,0.174
6739815,1781.0,7174.0,3885.0,0.835,0.521,-0.039,0.173
6739831,1551.0,7236.0,3943.0,0.833,0.524,-0.037,0.171
6739847,1741.0,6858.0,3931.0,0.832,0.526,-0.036,0.17
6739864,1677.0,6800.0,3827.0,0.831,0.528,-0.035,0.169
6739880,1641.0,6988.0,3805.0,0.831,0.53,-0.033,0.168
6739906,1553.0,7124.0,3707.0,0.83,0.531,-0.032,0.167
6739922,1413.0,7096.0,3591.0,0.83,0.531,-0.032,0.167
6739938,1457.0,6992.0,3523.0,0.83,0.532,-0.031,0.166
6739954,1399.0,6958.0,3549.0,0.83,0.531,-0.031,0.166
6739975,1329.0,6940.0,3513.0,0.83,0.532,-0.032,0.166
6739991,1409.0,7052.0,3559.0,0.83,0.532,-0.032,0.165
6740007,1311.0,7178.0,3561.0,0.83,0.532,-0.033,0.165
6740024,1477.0,7150.0,3623.0,0.83,0.532,-0.034,0.164
6740040,1577.0,7222.0,3693.0,0.831,0.531,-0.035,0.164
6740056,1701.0,7002.0,3807.0,0.831,0.53,-0.037,0.163
6740082,1799.0,7046.0,3831.0,0.832,0.53,-0.038,0.163
6740098,1947.0,6946.0,3967.0,0.832,0.529,-0.04,0.163
6740114,1999.0,6940.0,4001.0,0.833,0.528,-0.041,0.163
6740130,1949.0,6844.0,3991.0,0.833,0.527,-0.042,0.164
6740146,1863.0,6848.0,3947.0,0.833,0.526,-0.042,0.164
6740163,1865.0,6774.0,3885.0,0.834,0.525,-0.043,0.166
6740189,1689.0,6834.0,3865.0,0.834,0.525,-0.043,0.167
6740205,1627.0,6874.0,3833.0,0.833,0.524,-0.044,0.168
6740222,1639.0,7048.0,3739.0,0.834,0.524,-0.045,0.17
6740238,1801.0,7112.0,3723.0,0.834,0.522,-0.046,0.172
6740255,1865.0,7118.0,3815.0,0.835,0.52,-0.047,0.174
6740272,1877.0,7090.0,3827.0,0.836,0.517,-0.049,0.175
6740289,1929.0,7028.0,3821.0,0.837,0.515,-0.051,0.177
6740306,1959.0,7036.0,3805.0,0.838,0.514,-0.052,0.178
6740323,2113.0,7102.0,3909.0,0.838,0.513,-0.053,0.178
6740339,2169.0,7026.0,3917.0,0.839,0.512,-0.054,0.178
6740366,2293.0,7112.0,3991.0,0.839,0.511,-0.056,0.178
6740382,2167.0,7108.0,4047.0,0.839,0.51,-0.056,0.178
6740398,2187.0,6898.0,4047.0,0.84,0.509,-0.057,0.178
6740414,2193.0,6748.0,4099.0,0.841,0.509,-0.057,0.178
6740430,2239.0,6656.0,4113.0,0.841,0.508,-0.058,0.177
6740446,2187.0,6698.0,4161.0,0.842,0.507,-0.058,0.177
6740472,2197.0,6638.0,4189.0,0.842,0.506,-0.059,0.177
6740488,2339.0,6568.0,4249.0,0.842,0.506,-0.059,0.177
6740504,2269.0,6716.0,4251.0,0.842,0.506,-0.059,0.177
6740520,2097.0,6828.0,4233.0,0.842,0.506,-0.059,0.177
6740536,2025.0,6830.0,4129.0,0.842,0.506,-0.058,0.177
6740552,2001.0,6672.0,4043.0,0.842,0.506,-0.058,0.177
6740578,1947.0,6814.0,3987.0,0.842,0.506,-0.057,0.177
6740595,2053.0,6844.0,3977.0,0.842,0.506,-0.057,0.177
6740611,2123.0,6770.0,4035.0,0.843,0.505,-0.058,0.176
6740627,2105.0,6738.0,4037.0,0.843,0.505,-0.058,0.176
6740643,2077.0,6820.0,4095.0,0.843,0.505,-0.058,0.176
6740659,2045.0,6839.0,4127.0,0.843,0.505,-0.058,0.176
6740685,2104.0,6731.0,4241.0,0.843,0.505,-0.058,0.175
6740701,2124.0,6816.0,4240.0,0.843,0.505,-0.058,0.175
6740717,2168.0,6763.0,4273.0,0.843,0.505,-0.057,0.174
6740733,2130.0,6590.0,4262.0,0.843,0.505,-0.057,0.174
