timestamp,ax,ay,az,q0,q1,q2,q3
1767595,3472.0,2984.0,7098.0,0.862,0.272,-0.117,0.411
1767612,3422.0,2942.0,7134.0,0.862,0.272,-0.116,0.412
1767629,3300.0,2972.0,7208.0,0.861,0.273,-0.114,0.413
1767645,3206.0,3024.0,7192.0,0.861,0.273,-0.112,0.414
1767662,3066.0,2954.0,7214.0,0.861,0.274,-0.111,0.414
1767679,2990.0,3050.0,7212.0,0.861,0.274,-0.109,0.415
1767696,2872.0,3086.0,7220.0,0.86,0.275,-0.107,0.416
1767712,2674.0,3160.0,7246.0,0.86,0.276,-0.105,0.417
1767739,2508.0,3138.0,7236.0,0.859,0.277,-0.103,0.418
1767755,2408.0,3188.0,7138.0,0.859,0.278,-0.102,0.418
1767771,2294.0,3252.0,7202.0,0.858,0.279,-0.101,0.419
1767788,2348.0,3196.0,7206.0,0.858,0.28,-0.1,0.42
1767805,2480.0,3336.0,7262.0,0.857,0.281,-0.1,0.421
1767821,2616.0,3390.0,7302.0,0.856,0.282,-0.1,0.422
1767837,2796.0,3394.0,7226.0,0.855,0.284,-0.1,0.423
1767863,2946.0,3372.0,7064.0,0.854,0.285,-0.1,0.424
1767880,3090.0,3472.0,6868.0,0.853,0.287,-0.1,0.425
1767896,3226.0,3574.0,6736.0,0.852,0.288,-0.1,0.426
1767912,3382.0,3644.0,6688.0,0.852,0.288,-0.1,0.426
1767931,3426.0,3580.0,6838.0,0.851,0.288,-0.1,0.427
1767948,3352.0,3458.0,7002.0,0.851,0.288,-0.1,0.428
1767965,3250.0,3368.0,6978.0,0.851,0.288,-0.099,0.429
1767981,3176.0,3292.0,6942.0,0.85,0.288,-0.099,0.43
1767998,3126.0,3376.0,7036.0,0.85,0.287,-0.098,0.43
1768015,3026.0,3428.0,7048.0,0.85,0.287,-0.097,0.431
1768031,3010.0,3338.0,7036.0,0.85,0.287,-0.097,0.431
1768058,2914.0,3276.0,7112.0,0.85,0.286,-0.096,0.432
1768075,2838.0,3224.0,7102.0,0.85,0.286,-0.095,0.433
1768091,2820.0,3344.0,7102.0,0.85,0.285,-0.093,0.433
1768108,2690.0,3426.0,7104.0,0.849,0.285,-0.092,0.434
1768125,2626.0,3406.0,7144.0,0.849,0.285,-0.092,0.435
1768141,2704.0,3368.0,7148.0,0.849,0.285,-0.091,0.436
1768158,2726.0,3290.0,7214.0,0.848,0.285,-0.091,0.437
1768175,2816.0,3298.0,7184.0,0.848,0.285,-0.091,0.438
1768191,2888.0,3246.0,7168.0,0.847,0.285,-0.091,0.439
1768208,2980.0,3232.0,7166.0,0.847,0.285,-0.092,0.439
1768235,3114.0,3170.0,7132.0,0.847,0.285,-0.092,0.44
1768252,3286.0,3128.0,7046.0,0.846,0.286,-0.092,0.44
1768268,3346.0,3202.0,6964.0,0.846,0.286,-0.093,0.441
1768284,3436.0,3164.0,6966.0,0.845,0.286,-0.093,0.441
1768301,3402.0,3258.0,6994.0,0.845,0.286,-0.092,0.442
1768318,3370.0,3172.0,6980.0,0.845,0.286,-0.092,0.442
1768334,3378.0,3122.0,6972.0,0.845,0.287,-0.091,0.443
1768350,3174.0,3354.0,6980.0,0.845,0.287,-0.09,0.443
1768376,3036.0,3308.0,7014.0,0.844,0.287,-0.088,0.444
1768392,2888.0,3332.0,6978.0,0.844,0.287,-0.087,0.445
1768408,2666.0,3524.0,6940.0,0.843,0.287,-0.085,0.446
1768424,2446.0,3614.0,7018.0,0.843,0.287,-0.083,0.448
1768441,2306.0,3706.0,7130.0,0.842,0.287,-0.082,0.45
1768458,2318.0,3702.0,7232.0,0.841,0.287,-0.081,0.452
1768475,2332.0,3626.0,7222.0,0.84,0.287,-0.081,0.454
1768492,2554.0,3404.0,7212.0,0.838,0.286,-0.082,0.457
1768509,2778.0,3234.0,7142.0,0.837,0.286,-0.082,0.458
1768535,2992.0,3078.0,7142.0,0.836,0.287,-0.082,0.46
1768551,3124.0,3220.0,7060.0,0.836,0.288,-0.083,0.46
1768568,3406.0,3312.0,6928.0,0.835,0.289,-0.083,0.461
1768585,3498.0,3294.0,6838.0,0.835,0.29,-0.084,0.46
1768601,3570.0,3446.0,6782.0,0.835,0.291,-0.084,0.46
1768618,3588.0,3386.0,6804.0,0.835,0.292,-0.085,0.459
1768635,3540.0,3282.0,6922.0,0.835,0.292,-0.085,0.459
1768651,3432.0,3270.0,6934.0,0.835,0.292,-0.084,0.458
1768677,3264.0,3400.0,7014.0,0.835,0.292,-0.084,0.458
1768694,3078.0,3418.0,7034.0,0.836,0.292,-0.083,0.458
1768711,2840.0,3474.0,7068.0,0.836,0.291,-0.083,0.458
1768727,2700.0,3262.0,7168.0,0.836,0.291,-0.082,0.458
1768744,2630.0,3248.0,7136.0,0.836,0.291,-0.081,0.459
1768760,2552.0,3348.0,7024.0,0.835,0.291,-0.081,0.46
1768777,2572.0,3384.0,7094.0,0.835,0.291,-0.08,0.46
1768793,2678.0,3402.0,7136.0,0.834,0.292,-0.08,0.461
1768810,2782.0,3430.0,7066.0,0.833,0.293,-0.08,0.462
1768827,2970.0,3424.0,7002.0,0.832,0.294,-0.079,0.463
1768854,3132.0,3388.0,6978.0,0.832,0.295,-0.079,0.464
1768871,3180.0,3524.0,6886.0,0.831,0.296,-0.079,0.465
1768887,3302.0,3626.0,6866.0,0.83,0.297,-0.079,0.465
1768903,3328.0,3538.0,6886.0,0.83,0.297,-0.078,0.466
1768919,3362.0,3600.0,6846.0,0.829,0.298,-0.078,0.466
1768940,3260.0,3556.0,6910.0,0.829,0.298,-0.077,0.466
1768956,3228.0,3496.0,6888.0,0.829,0.299,-0.076,0.467
1768973,3130.0,3570.0,6938.0,0.829,0.299,-0.076,0.467
1768990,3066.0,3650.0,6892.0,0.829,0.299,-0.075,0.467
1769006,2958.0,3538.0,6996.0,0.829,0.299,-0.074,0.467
1769022,2906.0,3466.0,7026.0,0.829,0.299,-0.074,0.468
1769048,2886.0,3492.0,6988.0,0.829,0.299,-0.074,0.468
1769064,2872.0,3450.0,6980.0,0.828,0.299,-0.073,0.468
1769081,2898.0,3582.0,7020.0,0.828,0.3,-0.073,0.468
1769098,2916.0,3564.0,6970.0,0.828,0.3,-0.072,0.468
1769114,2970.0,3516.0,6910.0,0.828,0.3,-0.072,0.468
1769130,2906.0,3448.0,6890.0,0.828,0.301,-0.071,0.468
1769146,2974.0,3624.0,6892.0,0.827,0.302,-0.071,0.468
1769173,2994.0,3628.0,6856.0,0.827,0.302,-0.07,0.468
