timestamp,ax,ay,az,q0,q1,q2,q3
4607920,2984.0,8164.0,-2190.0,0.617,0.724,-0.308,-0.002
4607937,2946.0,7774.0,-1530.0,0.618,0.725,-0.302,0.004
4607953,1898.0,7634.0,-398.0,0.62,0.727,-0.296,0.012
4607969,1680.0,7648.0,-504.0,0.62,0.729,-0.291,0.02
4607986,1838.0,8188.0,-1214.0,0.62,0.73,-0.286,0.026
4608002,2540.0,7948.0,-1662.0,0.621,0.731,-0.283,0.031
4608019,3002.0,7706.0,-1692.0,0.621,0.731,-0.28,0.037
4608036,3282.0,7516.0,-1324.0,0.623,0.73,-0.278,0.042
4608062,3116.0,7226.0,-1302.0,0.623,0.73,-0.276,0.047
4608078,3238.0,7318.0,-1392.0,0.624,0.73,-0.273,0.052
4608094,3232.0,7478.0,-1542.0,0.624,0.731,-0.271,0.057
4608111,3176.0,7486.0,-1502.0,0.624,0.731,-0.269,0.063
4608127,3058.0,7582.0,-1306.0,0.624,0.732,-0.266,0.068
4608144,3074.0,7480.0,-1034.0,0.624,0.732,-0.265,0.073
4608161,3086.0,7446.0,-980.0,0.624,0.731,-0.264,0.077
4608178,3206.0,7594.0,-954.0,0.624,0.731,-0.263,0.081
4608194,3322.0,7518.0,-1008.0,0.624,0.731,-0.263,0.084
4608220,3272.0,7430.0,-984.0,0.624,0.731,-0.263,0.087
4608236,3182.0,7430.0,-980.0,0.624,0.731,-0.263,0.089
4608253,3186.0,7482.0,-996.0,0.624,0.73,-0.263,0.09
4608269,3084.0,7328.0,-1182.0,0.624,0.73,-0.264,0.091
4608286,3178.0,7314.0,-1272.0,0.624,0.73,-0.264,0.091
4608303,3236.0,7412.0,-1290.0,0.623,0.73,-0.265,0.091
4608319,3100.0,7342.0,-1288.0,0.623,0.73,-0.266,0.091
4608345,3092.0,7248.0,-1396.0,0.623,0.729,-0.268,0.09
4608361,3176.0,7434.0,-1300.0,0.622,0.729,-0.27,0.089
