timestamp,ax,ay,az,q0,q1,q2,q3
8102526,-524.0,8592.0,-102.0,0.638,0.693,0.244,0.231
8102542,-424.0,8936.0,-192.0,0.639,0.691,0.245,0.233
8102558,-334.0,8558.0,-266.0,0.639,0.69,0.245,0.235
8102574,-218.0,8060.0,-230.0,0.64,0.688,0.246,0.237
8102591,-282.0,8532.0,-120.0,0.64,0.687,0.246,0.239
8102607,-350.0,8572.0,-8.0,0.641,0.686,0.246,0.241
8102623,-338.0,8358.0,54.0,0.643,0.685,0.245,0.242
8102649,38.0,7936.0,-124.0,0.644,0.684,0.243,0.242
8102665,74.0,8102.0,-42.0,0.645,0.683,0.243,0.243
8102681,-84.0,8412.0,58.0,0.646,0.682,0.242,0.243
8102697,10.0,8098.0,108.0,0.648,0.68,0.242,0.244
8102713,-22.0,8278.0,140.0,0.649,0.679,0.241,0.244
8102729,22.0,8360.0,206.0,0.65,0.678,0.241,0.245
8102755,160.0,8024.0,186.0,0.652,0.676,0.241,0.245
8102772,36.0,8548.0,158.0,0.653,0.674,0.242,0.246
8102788,-192.0,8304.0,344.0,0.655,0.672,0.243,0.247
8102805,-250.0,8070.0,518.0,0.656,0.669,0.244,0.249
8102821,-342.0,8152.0,576.0,0.658,0.667,0.245,0.25
8102838,-442.0,8304.0,546.0,0.659,0.664,0.246,0.252
8102854,-356.0,8222.0,452.0,0.661,0.661,0.247,0.253
8102880,-484.0,8476.0,548.0,0.664,0.658,0.248,0.256
8102897,-670.0,8218.0,756.0,0.666,0.654,0.249,0.258
8102914,-712.0,8104.0,822.0,0.668,0.651,0.249,0.26
8102931,-782.0,8040.0,824.0,0.671,0.648,0.249,0.261
8102948,-900.0,7980.0,916.0,0.673,0.645,0.249,0.262
8102965,-864.0,8122.0,956.0,0.676,0.643,0.248,0.262
8102982,-732.0,8236.0,950.0,0.679,0.64,0.246,0.262
8102999,-612.0,8090.0,822.0,0.681,0.638,0.245,0.262
8103015,-598.0,8180.0,878.0,0.684,0.636,0.243,0.262
8103031,-762.0,8182.0,982.0,0.686,0.635,0.242,0.261
8103048,-662.0,8218.0,1088.0,0.688,0.633,0.24,0.261
8103065,-652.0,7758.0,1158.0,0.69,0.631,0.239,0.26
8103092,-764.0,8228.0,1184.0,0.692,0.63,0.237,0.26
8103108,-874.0,8114.0,1334.0,0.694,0.629,0.236,0.259
8103125,-632.0,7944.0,1284.0,0.696,0.628,0.234,0.258
8103141,-794.0,8152.0,1310.0,0.698,0.627,0.233,0.257
8103157,-980.0,7766.0,1524.0,0.699,0.626,0.232,0.256
8103174,-866.0,7894.0,1518.0,0.7,0.626,0.23,0.255
8103190,-648.0,8098.0,1300.0,0.701,0.626,0.229,0.253
8103207,-522.0,8198.0,1174.0,0.702,0.626,0.227,0.252
8103233,-436.0,8406.0,1280.0,0.703,0.626,0.226,0.251
8103250,-576.0,7868.0,1658.0,0.704,0.625,0.225,0.251
8103266,-606.0,7952.0,1672.0,0.704,0.626,0.224,0.251
8103282,-514.0,8084.0,1496.0,0.705,0.626,0.223,0.25
8103298,-274.0,7826.0,1534.0,0.705,0.626,0.222,0.25
8103315,-444.0,7994.0,1606.0,0.705,0.626,0.221,0.25
8103332,-466.0,7898.0,1690.0,0.705,0.626,0.221,0.25
8103349,-554.0,7990.0,1748.0,0.704,0.627,0.221,0.249
8103375,-432.0,8152.0,1618.0,0.704,0.627,0.221,0.249
8103391,-456.0,8068.0,1536.0,0.703,0.628,0.222,0.249
8103407,-480.0,8110.0,1538.0,0.702,0.629,0.222,0.249
8103423,-428.0,8066.0,1430.0,0.702,0.629,0.223,0.249
8103439,-420.0,8014.0,1468.0,0.701,0.63,0.223,0.249
8103456,-390.0,8068.0,1390.0,0.699,0.631,0.223,0.25
8103482,-342.0,8114.0,1230.0,0.698,0.632,0.224,0.25
8103498,-412.0,8134.0,1348.0,0.697,0.634,0.224,0.25
8103514,-478.0,8168.0,1312.0,0.695,0.635,0.225,0.251
8103531,-286.0,8238.0,1208.0,0.694,0.636,0.225,0.251
8103547,-308.0,8272.0,1162.0,0.693,0.637,0.225,0.251
8103563,-402.0,8242.0,1016.0,0.692,0.639,0.225,0.252
8103580,-348.0,8102.0,1054.0,0.69,0.64,0.226,0.252
8103597,-274.0,8222.0,936.0,0.689,0.641,0.226,0.252
8103623,-204.0,8234.0,912.0,0.688,0.642,0.226,0.252
8103639,-344.0,8170.0,930.0,0.687,0.643,0.226,0.251
8103655,-330.0,8132.0,862.0,0.686,0.644,0.227,0.251
8103671,-272.0,8138.0,874.0,0.685,0.645,0.227,0.251
8103688,-250.0,8132.0,834.0,0.684,0.646,0.228,0.25
8103704,-236.0,8216.0,704.0,0.684,0.647,0.229,0.249
8103720,-326.0,8178.0,782.0,0.683,0.647,0.231,0.248
8103746,-464.0,8104.0,832.0,0.682,0.648,0.232,0.247
8103762,-456.0,8194.0,794.0,0.681,0.649,0.234,0.246
8103778,-506.0,8242.0,790.0,0.68,0.65,0.235,0.245
8103794,-590.0,8298.0,708.0,0.679,0.651,0.237,0.245
8103810,-646.0,8254.0,750.0,0.678,0.651,0.238,0.244
8103836,-710.0,8202.0,812.0,0.677,0.652,0.239,0.244
8103853,-684.0,8310.0,752.0,0.676,0.653,0.24,0.243
8103870,-446.0,8202.0,602.0,0.674,0.654,0.241,0.243
8103886,-336.0,8320.0,462.0,0.673,0.655,0.241,0.244
8103903,-270.0,8304.0,410.0,0.672,0.656,0.242,0.245
8103919,-372.0,8220.0,438.0,0.671,0.656,0.243,0.246
8103935,-260.0,8444.0,386.0,0.669,0.657,0.243,0.248
