timestamp,ax,ay,az,q0,q1,q2,q3
1699303,3098.0,2688.0,7418.0,0.864,0.307,-0.125,0.379
1699319,2582.0,2572.0,5748.0,0.869,0.298,-0.131,0.372
1699345,3040.0,2622.0,4536.0,0.874,0.291,-0.138,0.364
1699361,3272.0,1618.0,3728.0,0.877,0.286,-0.145,0.356
1699378,3002.0,1418.0,3218.0,0.881,0.283,-0.152,0.349
1699395,2538.0,1566.0,3040.0,0.883,0.28,-0.159,0.341
1699411,2578.0,1268.0,3832.0,0.884,0.28,-0.166,0.335
1699427,3842.0,1518.0,4706.0,0.884,0.282,-0.172,0.33
1699453,6670.0,3646.0,7452.0,0.885,0.28,-0.175,0.327
1699469,8160.0,3754.0,10818.0,0.889,0.271,-0.173,0.327
1699485,6866.0,2758.0,11668.0,0.894,0.255,-0.167,0.328
1699501,3602.0,-258.0,10318.0,0.899,0.238,-0.16,0.33
1699517,2846.0,-396.0,8294.0,0.902,0.225,-0.153,0.335
1699534,2578.0,776.0,6338.0,0.903,0.218,-0.146,0.341
1699550,2714.0,1064.0,5412.0,0.903,0.212,-0.139,0.347
1699566,2724.0,1428.0,5798.0,0.902,0.209,-0.133,0.352
1699593,3192.0,1960.0,6826.0,0.902,0.207,-0.126,0.357
1699609,3490.0,3178.0,8140.0,0.902,0.206,-0.119,0.361
1699625,3554.0,3328.0,8968.0,0.902,0.205,-0.111,0.364
1699641,2890.0,2838.0,8510.0,0.901,0.204,-0.104,0.367
1699657,2492.0,2408.0,7366.0,0.901,0.205,-0.098,0.37
1699673,2344.0,1994.0,6338.0,0.9,0.206,-0.095,0.372
1699699,2220.0,1844.0,5748.0,0.899,0.207,-0.093,0.373
1699715,2344.0,2144.0,5818.0,0.899,0.208,-0.092,0.373
1699731,2530.0,2342.0,6572.0,0.9,0.208,-0.092,0.372
1699747,2558.0,1526.0,7744.0,0.901,0.209,-0.091,0.37
1699763,2124.0,2250.0,8624.0,0.901,0.212,-0.088,0.367
1699779,1786.0,2562.0,8602.0,0.901,0.218,-0.084,0.365
1699805,2094.0,2118.0,8082.0,0.9,0.226,-0.08,0.365
1699822,3078.0,1750.0,7324.0,0.898,0.234,-0.076,0.365
1699838,3046.0,2802.0,7290.0,0.896,0.242,-0.07,0.366
1699855,2522.0,3388.0,7466.0,0.894,0.248,-0.065,0.367
1699872,2270.0,3100.0,7784.0,0.892,0.254,-0.06,0.369
1699888,2300.0,2924.0,7832.0,0.89,0.259,-0.055,0.371
1699904,2208.0,3378.0,7652.0,0.888,0.266,-0.05,0.373
1699920,2162.0,3638.0,7288.0,0.885,0.272,-0.044,0.375
1699946,2128.0,3956.0,7040.0,0.883,0.277,-0.039,0.377
1699962,1896.0,4170.0,7058.0,0.88,0.282,-0.035,0.38
1699978,1718.0,4322.0,7160.0,0.878,0.286,-0.033,0.384
1699994,1794.0,4700.0,6370.0,0.875,0.289,-0.032,0.388
1700010,2270.0,3788.0,6308.0,0.873,0.29,-0.031,0.392
1700036,2056.0,4498.0,6504.0,0.871,0.291,-0.03,0.396
1700053,2004.0,4560.0,6580.0,0.868,0.291,-0.031,0.401
1700069,2252.0,4408.0,6628.0,0.866,0.29,-0.032,0.406
1700086,2338.0,4690.0,6842.0,0.863,0.289,-0.034,0.412
1700102,2404.0,4650.0,6864.0,0.861,0.288,-0.037,0.419
1700118,3058.0,4168.0,6948.0,0.858,0.286,-0.04,0.425
1700135,3228.0,4340.0,7524.0,0.856,0.284,-0.042,0.43
1700151,3162.0,4242.0,7430.0,0.854,0.283,-0.043,0.435
1700168,3254.0,4212.0,7230.0,0.852,0.284,-0.044,0.439
1700194,3332.0,4160.0,6840.0,0.85,0.285,-0.043,0.441
1700210,3184.0,4226.0,6464.0,0.848,0.289,-0.042,0.442
1700226,2888.0,4552.0,6288.0,0.847,0.293,-0.039,0.442
1700242,2776.0,4838.0,6372.0,0.846,0.297,-0.037,0.441
1700258,2618.0,4866.0,6556.0,0.846,0.301,-0.034,0.439
1700274,2618.0,4900.0,6726.0,0.846,0.303,-0.032,0.437
1700300,2508.0,4702.0,6732.0,0.848,0.304,-0.03,0.434
1700316,2470.0,4488.0,6782.0,0.849,0.304,-0.029,0.431
1700332,2506.0,4388.0,6670.0,0.85,0.304,-0.029,0.429
1700348,2484.0,4132.0,6602.0,0.852,0.302,-0.03,0.427
1700364,2546.0,3634.0,6576.0,0.853,0.299,-0.032,0.426
1700382,2698.0,3156.0,6622.0,0.855,0.295,-0.034,0.426
1700398,2866.0,3064.0,6746.0,0.856,0.291,-0.037,0.426
1700424,2944.0,3000.0,6792.0,0.857,0.288,-0.04,0.427
1700441,3084.0,2984.0,7020.0,0.857,0.284,-0.043,0.428
1700457,3220.0,2998.0,7334.0,0.858,0.28,-0.045,0.429
1700474,3296.0,2906.0,7560.0,0.857,0.278,-0.048,0.431
1700490,3244.0,2790.0,7586.0,0.857,0.276,-0.049,0.433
1700506,3212.0,2604.0,7550.0,0.856,0.275,-0.049,0.435
1700522,3038.0,2660.0,7384.0,0.854,0.275,-0.048,0.438
1700548,2804.0,2684.0,7138.0,0.852,0.278,-0.046,0.441
1700564,2698.0,3154.0,6920.0,0.849,0.281,-0.043,0.444
1700580,2566.0,3524.0,6816.0,0.846,0.286,-0.04,0.448
1700597,2596.0,3956.0,6814.0,0.843,0.291,-0.036,0.451
1700615,2484.0,4454.0,6914.0,0.84,0.296,-0.032,0.453
1700632,2492.0,4638.0,6884.0,0.837,0.301,-0.029,0.456
1700649,2462.0,4778.0,6766.0,0.835,0.305,-0.026,0.458
1700665,2450.0,4864.0,6620.0,0.833,0.307,-0.023,0.459
1700691,2474.0,4822.0,6588.0,0.832,0.309,-0.021,0.46
1700707,2390.0,4682.0,6486.0,0.831,0.31,-0.02,0.461
1700723,2468.0,4582.0,6470.0,0.831,0.31,-0.02,0.462
1700740,2470.0,4654.0,6598.0,0.831,0.309,-0.021,0.463
1700756,2584.0,4630.0,6656.0,0.831,0.308,-0.022,0.464
1700772,2716.0,4564.0,6816.0,0.831,0.306,-0.024,0.464
1700789,2790.0,4408.0,6784.0,0.831,0.303,-0.027,0.465
1700805,2808.0,4148.0,6868.0,0.832,0.301,-0.029,0.465
1700832,2840.0,3884.0,6870.0,0.832,0.299,-0.031,0.466
1700849,2870.0,3740.0,6830.0,0.833,0.298,-0.033,0.466
1700865,2906.0,3606.0,6752.0,0.833,0.297,-0.034,0.466
1700881,2874.0,3596.0,6686.0,0.833,0.297,-0.034,0.466
1700897,2848.0,3652.0,6824.0,0.833,0.297,-0.034,0.466
1700914,2880.0,3840.0,6832.0,0.833,0.298,-0.034,0.466
1700930,2936.0,3912.0,6866.0,0.833,0.298,-0.033,0.466
1700947,2902.0,4044.0,6858.0,0.832,0.299,-0.032,0.465
1700974,2812.0,4046.0,6816.0,0.832,0.299,-0.031,0.465
1700991,2752.0,4016.0,6826.0,0.832,0.299,-0.031,0.466
1701007,2724.0,4080.0,6772.0,0.832,0.299,-0.03,0.466
1701023,2706.0,4098.0,6758.0,0.833,0.298,-0.03,0.466
1701040,2672.0,4022.0,6830.0,0.833,0.297,-0.03,0.466
