timestamp,ax,ay,az,q0,q1,q2,q3
4455309,3838.0,6698.0,3259.0,0.8,0.531,-0.086,0.267
4455325,3786.0,6600.0,3397.0,0.802,0.527,-0.088,0.266
4455342,4020.0,6522.0,3655.0,0.805,0.523,-0.09,0.266
4455358,3930.0,6398.0,3889.0,0.807,0.519,-0.092,0.266
4455385,3928.0,6296.0,3961.0,0.809,0.516,-0.093,0.266
4455401,3746.0,6262.0,3879.0,0.81,0.514,-0.094,0.266
4455417,3618.0,6344.0,3759.0,0.811,0.512,-0.094,0.266
4455433,3340.0,6346.0,3645.0,0.812,0.511,-0.095,0.266
4455450,3172.0,6302.0,3607.0,0.813,0.509,-0.096,0.266
4455466,3154.0,6320.0,3751.0,0.815,0.506,-0.097,0.266
4455482,3306.0,6326.0,3953.0,0.816,0.503,-0.099,0.266
4455508,3486.0,6294.0,4101.0,0.818,0.5,-0.1,0.265
4455525,3648.0,6380.0,4163.0,0.819,0.498,-0.101,0.265
4455542,3842.0,6488.0,4133.0,0.82,0.497,-0.102,0.265
4455558,3892.0,6480.0,3967.0,0.82,0.497,-0.102,0.265
4455574,3936.0,6504.0,3863.0,0.82,0.497,-0.102,0.264
4455590,3854.0,6638.0,3667.0,0.82,0.498,-0.101,0.264
4455607,3808.0,6670.0,3521.0,0.82,0.498,-0.101,0.263
4455633,3620.0,6396.0,3595.0,0.821,0.498,-0.101,0.262
4455649,3560.0,6400.0,3667.0,0.821,0.497,-0.101,0.261
4455665,3322.0,6252.0,3841.0,0.822,0.496,-0.102,0.26
4455682,3240.0,5892.0,3987.0,0.824,0.494,-0.103,0.259
4455698,3208.0,5682.0,4197.0,0.825,0.492,-0.104,0.258
4455714,3118.0,5764.0,4513.0,0.826,0.49,-0.104,0.257
4455731,3264.0,5756.0,4663.0,0.828,0.487,-0.105,0.257
4455757,3408.0,5712.0,4657.0,0.829,0.485,-0.106,0.258
4455774,3370.0,5726.0,4541.0,0.829,0.484,-0.106,0.259
4455791,3450.0,5984.0,4341.0,0.828,0.485,-0.106,0.26
4455807,3528.0,6498.0,4161.0,0.827,0.486,-0.105,0.261
4455823,3590.0,6618.0,3837.0,0.827,0.487,-0.105,0.262
4455839,3472.0,6652.0,3653.0,0.826,0.487,-0.106,0.262
4455855,3458.0,6520.0,3613.0,0.827,0.486,-0.107,0.262
4455881,3426.0,6416.0,3649.0,0.828,0.485,-0.108,0.262
4455897,3330.0,6238.0,3839.0,0.829,0.482,-0.11,0.261
4455913,3364.0,6022.0,4159.0,0.831,0.48,-0.112,0.26
4455929,3358.0,6088.0,4441.0,0.832,0.477,-0.113,0.259
4455945,3368.0,6080.0,4615.0,0.834,0.474,-0.115,0.258
4455962,3552.0,5802.0,4635.0,0.835,0.472,-0.116,0.258
4455979,3674.0,5480.0,4447.0,0.836,0.47,-0.116,0.257
4456005,3736.0,5444.0,4327.0,0.837,0.469,-0.116,0.257
4456021,3682.0,5672.0,4349.0,0.837,0.469,-0.116,0.257
4456037,3804.0,6108.0,4355.0,0.837,0.469,-0.115,0.258
4456054,3826.0,6512.0,4521.0,0.837,0.469,-0.115,0.258
4456070,3610.0,6478.0,4447.0,0.837,0.468,-0.115,0.259
4456086,3398.0,6200.0,4303.0,0.837,0.467,-0.116,0.259
4456102,3210.0,6068.0,4161.0,0.838,0.466,-0.117,0.259
4456129,3200.0,6054.0,4145.0,0.838,0.465,-0.118,0.259
4456145,3294.0,6058.0,4249.0,0.839,0.463,-0.12,0.259
4456161,3262.0,5906.0,4349.0,0.84,0.461,-0.123,0.258
4456177,3382.0,5656.0,4295.0,0.841,0.46,-0.125,0.257
4456194,3580.0,5674.0,4447.0,0.842,0.458,-0.127,0.255
4456210,3736.0,5592.0,4541.0,0.843,0.456,-0.13,0.254
4456227,4116.0,5632.0,4633.0,0.845,0.454,-0.132,0.252
4456243,4180.0,5466.0,4749.0,0.846,0.451,-0.133,0.251
4456269,4284.0,5304.0,4833.0,0.847,0.449,-0.134,0.25
4456285,4236.0,5222.0,4983.0,0.848,0.448,-0.134,0.25
4456301,4086.0,5442.0,4981.0,0.847,0.449,-0.134,0.251
4456317,3946.0,5844.0,4827.0,0.846,0.45,-0.133,0.252
4456333,3800.0,6110.0,4565.0,0.845,0.452,-0.132,0.253
4456350,3498.0,6136.0,4287.0,0.844,0.454,-0.132,0.254
4456376,3256.0,5874.0,4035.0,0.844,0.454,-0.132,0.254
4456393,3122.0,5762.0,4047.0,0.844,0.454,-0.133,0.254
4456409,3140.0,5510.0,4229.0,0.844,0.453,-0.134,0.254
4456425,3146.0,5444.0,4483.0,0.844,0.453,-0.136,0.254
4456441,3304.0,5440.0,4775.0,0.844,0.452,-0.137,0.254
4456458,3536.0,5396.0,4971.0,0.844,0.452,-0.138,0.253
4456475,3746.0,5406.0,4977.0,0.844,0.451,-0.139,0.253
4456491,3896.0,5306.0,4951.0,0.844,0.452,-0.139,0.253
4456517,4078.0,5334.0,4815.0,0.843,0.454,-0.138,0.254
4456533,4388.0,5430.0,4655.0,0.841,0.457,-0.137,0.255
4456549,4522.0,5714.0,4435.0,0.839,0.461,-0.135,0.256
4456565,4526.0,6318.0,4261.0,0.836,0.467,-0.133,0.257
4456581,4238.0,6702.0,3997.0,0.833,0.472,-0.131,0.259
4456597,3928.0,6800.0,3675.0,0.83,0.475,-0.129,0.26
4456623,3490.0,6652.0,3557.0,0.829,0.477,-0.128,0.261
4456639,3254.0,6422.0,3627.0,0.829,0.477,-0.129,0.262
4456656,3144.0,6192.0,3857.0,0.829,0.476,-0.13,0.262
4456672,3218.0,5990.0,4153.0,0.83,0.474,-0.132,0.262
4456689,3276.0,5884.0,4411.0,0.831,0.472,-0.134,0.262
4456705,3382.0,5812.0,4655.0,0.832,0.47,-0.137,0.261
4456722,3424.0,5642.0,4703.0,0.833,0.469,-0.138,0.26
4456749,3552.0,5348.0,4587.0,0.833,0.468,-0.14,0.259
4456766,3762.0,5350.0,4419.0,0.833,0.469,-0.141,0.258
4456783,4066.0,5528.0,4271.0,0.832,0.471,-0.141,0.257
4456800,4486.0,5820.0,4195.0,0.831,0.473,-0.141,0.257
4456817,4834.0,6162.0,4021.0,0.829,0.476,-0.14,0.257
4456833,5018.0,6526.0,3901.0,0.827,0.479,-0.139,0.257
4456849,4834.0,6800.0,3773.0,0.826,0.481,-0.138,0.258
4456866,4448.0,6784.0,3645.0,0.826,0.482,-0.137,0.259
4456883,3964.0,6268.0,3629.0,0.827,0.48,-0.137,0.259
4456900,3654.0,5974.0,3855.0,0.828,0.478,-0.137,0.259
4456916,3356.0,5732.0,4129.0,0.829,0.476,-0.138,0.258
