timestamp,ax,ay,az,q0,q1,q2,q3
6072894,4522.0,3573.0,5970.0,0.905,0.289,-0.263,0.169
6072910,4454.0,3633.0,6024.0,0.905,0.288,-0.264,0.168
6072936,4500.0,3475.0,5976.0,0.905,0.287,-0.264,0.168
6072952,4622.0,3517.0,5836.0,0.906,0.285,-0.265,0.168
6072968,4690.0,3505.0,5796.0,0.906,0.284,-0.265,0.168
6072984,4630.0,3465.0,5870.0,0.906,0.282,-0.266,0.168
6073000,4736.0,3473.0,5874.0,0.907,0.281,-0.266,0.168
6073016,4440.0,3525.0,6092.0,0.907,0.279,-0.266,0.169
6073042,4510.0,3409.0,6068.0,0.908,0.277,-0.266,0.169
6073058,4620.0,3253.0,5984.0,0.908,0.276,-0.267,0.169
6073074,4654.0,3155.0,5906.0,0.908,0.274,-0.268,0.169
6073090,4658.0,3087.0,5950.0,0.908,0.273,-0.269,0.169
6073106,4516.0,3079.0,6040.0,0.908,0.272,-0.269,0.168
6073122,4398.0,2959.0,6102.0,0.909,0.272,-0.269,0.168
6073148,4358.0,3021.0,6232.0,0.909,0.271,-0.269,0.168
6073164,4408.0,2997.0,6292.0,0.908,0.271,-0.27,0.168
6073180,4404.0,2855.0,6290.0,0.908,0.272,-0.27,0.169
6073196,4504.0,2993.0,6102.0,0.908,0.272,-0.27,0.169
6073212,4496.0,3071.0,6152.0,0.908,0.273,-0.269,0.17
6073228,4416.0,3167.0,6182.0,0.907,0.274,-0.269,0.171
6073254,4504.0,3233.0,6122.0,0.907,0.275,-0.269,0.171
6073270,4636.0,3357.0,5892.0,0.907,0.276,-0.269,0.172
6073286,4668.0,3351.0,5854.0,0.906,0.277,-0.268,0.173
6073303,4630.0,3555.0,5842.0,0.906,0.277,-0.268,0.173
6073320,4582.0,3559.0,5876.0,0.906,0.277,-0.268,0.174
6073337,4586.0,3579.0,5874.0,0.906,0.278,-0.268,0.174
6073353,4526.0,3449.0,5864.0,0.906,0.278,-0.268,0.174
6073370,4536.0,3373.0,6016.0,0.906,0.278,-0.269,0.173
6073396,4462.0,3411.0,6010.0,0.906,0.278,-0.269,0.173
6073412,4472.0,3439.0,5972.0,0.906,0.278,-0.269,0.173
6073429,4464.0,3403.0,6018.0,0.906,0.278,-0.27,0.173
6073446,4426.0,3303.0,6068.0,0.905,0.278,-0.27,0.173
6073463,4484.0,3333.0,5950.0,0.905,0.278,-0.27,0.173
6073480,4516.0,3263.0,5946.0,0.905,0.278,-0.27,0.173
6073497,4548.0,3201.0,5862.0,0.905,0.279,-0.27,0.173
6073513,4514.0,3305.0,5998.0,0.905,0.279,-0.269,0.173
6073529,4536.0,3367.0,5950.0,0.906,0.279,-0.269,0.173
6073555,4478.0,3317.0,6012.0,0.906,0.278,-0.269,0.174
6073572,4574.0,3291.0,5902.0,0.906,0.278,-0.268,0.174
6073589,4620.0,3185.0,5976.0,0.906,0.278,-0.268,0.175
6073606,4578.0,3335.0,5906.0,0.906,0.278,-0.268,0.176
6073623,4462.0,3673.0,5898.0,0.906,0.278,-0.267,0.176
6073639,4528.0,3453.0,5922.0,0.906,0.278,-0.267,0.176
6073655,4316.0,3625.0,5930.0,0.906,0.277,-0.268,0.176
6073672,4456.0,3679.0,5840.0,0.906,0.276,-0.269,0.175
6073688,4488.0,3379.0,6006.0,0.906,0.274,-0.271,0.174
6073714,4572.0,3171.0,6098.0,0.906,0.272,-0.273,0.172
6073731,4590.0,3055.0,6010.0,0.907,0.271,-0.276,0.169
6073747,4720.0,2835.0,5986.0,0.907,0.269,-0.278,0.167
6073763,4814.0,2687.0,5984.0,0.907,0.267,-0.28,0.165
