timestamp,ax,ay,az,q0,q1,q2,q3
2132285,3846.0,4156.0,6162.0,0.874,0.346,-0.157,0.303
2132301,3836.0,4142.0,6118.0,0.874,0.347,-0.158,0.303
2132327,3854.0,4278.0,5968.0,0.873,0.347,-0.158,0.303
2132343,3936.0,4162.0,5960.0,0.873,0.347,-0.159,0.303
2132359,3962.0,4226.0,5964.0,0.873,0.347,-0.159,0.303
2132375,3980.0,4254.0,5992.0,0.873,0.347,-0.159,0.303
2132391,4004.0,4198.0,5948.0,0.873,0.347,-0.159,0.303
2132407,3966.0,4196.0,5970.0,0.873,0.347,-0.159,0.303
2132433,3958.0,4184.0,5990.0,0.874,0.346,-0.158,0.303
2132449,3900.0,4142.0,6052.0,0.874,0.346,-0.158,0.303
2132465,3874.0,4166.0,6084.0,0.874,0.345,-0.158,0.303
2132481,3822.0,4108.0,6112.0,0.874,0.345,-0.157,0.303
2132497,3788.0,4064.0,6174.0,0.875,0.344,-0.157,0.303
2132514,3800.0,4044.0,6160.0,0.875,0.344,-0.157,0.303
2132540,3816.0,4038.0,6124.0,0.875,0.344,-0.156,0.303
2132556,3804.0,4066.0,6082.0,0.875,0.344,-0.156,0.303
2132572,3888.0,4064.0,6112.0,0.875,0.344,-0.156,0.303
2132588,3912.0,4068.0,6102.0,0.875,0.344,-0.156,0.303
2132604,3902.0,4086.0,6060.0,0.875,0.344,-0.156,0.303
2132620,3916.0,4124.0,6064.0,0.875,0.345,-0.156,0.303
2132637,3862.0,4188.0,6016.0,0.875,0.345,-0.155,0.303
2132664,3858.0,4284.0,6044.0,0.875,0.345,-0.155,0.302
2132681,3864.0,4338.0,5994.0,0.875,0.346,-0.155,0.302
2132697,3804.0,4334.0,6060.0,0.875,0.346,-0.155,0.302
2132713,3842.0,4366.0,6042.0,0.875,0.346,-0.154,0.302
2132729,3804.0,4330.0,6088.0,0.875,0.345,-0.154,0.303
2132745,3780.0,4318.0,6086.0,0.875,0.345,-0.154,0.303
2132762,3708.0,4312.0,6098.0,0.875,0.345,-0.155,0.303
2132788,3686.0,4262.0,6096.0,0.875,0.345,-0.155,0.303
2132804,3728.0,4220.0,6112.0,0.875,0.344,-0.155,0.304
2132821,3744.0,4216.0,6062.0,0.875,0.344,-0.156,0.304
2132838,3766.0,4162.0,6090.0,0.875,0.343,-0.157,0.304
2132855,3774.0,4172.0,6142.0,0.875,0.343,-0.158,0.304
2132871,3772.0,4030.0,6108.0,0.875,0.343,-0.158,0.304
2132887,3664.0,3914.0,6190.0,0.875,0.342,-0.159,0.304
2132904,3738.0,3896.0,6188.0,0.875,0.342,-0.16,0.304
2132921,3848.0,3950.0,6152.0,0.874,0.342,-0.161,0.304
2132947,3964.0,3924.0,6096.0,0.874,0.343,-0.162,0.303
2132963,3982.0,3952.0,6088.0,0.874,0.343,-0.164,0.303
2132979,3918.0,3884.0,6050.0,0.873,0.344,-0.165,0.303
2132995,4008.0,4118.0,6006.0,0.873,0.345,-0.166,0.303
2133011,4052.0,4114.0,5998.0,0.872,0.346,-0.167,0.303
2133027,4016.0,4208.0,5996.0,0.871,0.347,-0.169,0.303
2133044,4078.0,4246.0,5874.0,0.871,0.348,-0.17,0.303
2133071,4126.0,4272.0,5864.0,0.87,0.348,-0.171,0.304
2133087,4256.0,4576.0,5964.0,0.87,0.349,-0.172,0.304
2133103,3820.0,4206.0,5898.0,0.869,0.349,-0.174,0.304
2133119,4006.0,4106.0,5890.0,0.869,0.349,-0.175,0.304
2133135,4116.0,4104.0,6086.0,0.868,0.349,-0.177,0.304
2133151,4056.0,4062.0,6022.0,0.867,0.351,-0.179,0.304
2133177,4196.0,4202.0,5866.0,0.866,0.353,-0.181,0.305
2133194,4464.0,4704.0,5656.0,0.864,0.355,-0.183,0.306
2133211,4694.0,4700.0,5602.0,0.863,0.356,-0.184,0.307
2133227,4836.0,4832.0,5408.0,0.862,0.357,-0.185,0.309
2133243,5116.0,5186.0,5000.0,0.862,0.355,-0.185,0.311
2133260,5228.0,4984.0,4754.0,0.863,0.352,-0.185,0.313
2133277,5576.0,5622.0,4352.0,0.866,0.344,-0.183,0.315
2133294,5296.0,5290.0,4408.0,0.87,0.332,-0.18,0.317
2133310,4848.0,4694.0,4668.0,0.876,0.317,-0.177,0.318
2133337,4508.0,3990.0,5478.0,0.883,0.299,-0.174,0.318
2133353,3998.0,3134.0,6268.0,0.889,0.282,-0.17,0.319
2133369,3636.0,2672.0,6850.0,0.894,0.265,-0.167,0.32
2133385,3462.0,2460.0,7358.0,0.899,0.25,-0.164,0.32
2133402,3240.0,2296.0,7552.0,0.903,0.236,-0.161,0.32
2133419,3012.0,1948.0,7594.0,0.907,0.224,-0.159,0.319
2133435,3062.0,1934.0,7494.0,0.91,0.214,-0.157,0.319
2133451,2920.0,1816.0,7438.0,0.912,0.205,-0.156,0.318
2133469,2940.0,1556.0,7582.0,0.915,0.197,-0.155,0.317
2133495,2874.0,1480.0,7624.0,0.917,0.189,-0.154,0.316
2133512,3006.0,1332.0,7962.0,0.919,0.182,-0.154,0.314
