timestamp,ax,ay,az,q0,q1,q2,q3
4074918,-812.0,8378.0,1059.0,0.641,0.506,0.408,0.408
4074934,-824.0,8344.0,1125.0,0.64,0.507,0.408,0.409
4074950,-754.0,8166.0,1143.0,0.641,0.506,0.407,0.409
4074976,-854.0,7868.0,1259.0,0.641,0.506,0.406,0.41
4074992,-888.0,7888.0,1269.0,0.641,0.506,0.406,0.409
4075008,-810.0,7952.0,1137.0,0.642,0.506,0.405,0.409
4075024,-710.0,8132.0,1011.0,0.643,0.506,0.404,0.408
4075040,-742.0,8136.0,1071.0,0.644,0.506,0.404,0.408
4075057,-842.0,8038.0,1149.0,0.645,0.505,0.403,0.407
4075073,-834.0,7934.0,1209.0,0.646,0.505,0.403,0.407
4075099,-830.0,7864.0,1237.0,0.647,0.504,0.403,0.406
4075115,-882.0,7870.0,1269.0,0.648,0.504,0.403,0.406
4075131,-950.0,7886.0,1359.0,0.648,0.503,0.403,0.405
4075147,-1022.0,7832.0,1455.0,0.649,0.502,0.403,0.404
4075163,-1138.0,7896.0,1573.0,0.65,0.502,0.403,0.404
4075179,-1156.0,7878.0,1605.0,0.651,0.501,0.404,0.403
4075206,-1088.0,7806.0,1589.0,0.651,0.501,0.404,0.402
4075222,-1054.0,7860.0,1575.0,0.652,0.501,0.404,0.402
4075238,-1006.0,7924.0,1569.0,0.652,0.501,0.404,0.401
4075254,-1120.0,7886.0,1565.0,0.652,0.501,0.404,0.4
4075270,-1128.0,7910.0,1595.0,0.653,0.501,0.404,0.4
4075287,-1142.0,7842.0,1601.0,0.652,0.501,0.404,0.4
4075303,-1096.0,7826.0,1651.0,0.652,0.501,0.404,0.4
4075330,-1060.0,7764.0,1531.0,0.652,0.502,0.405,0.4
4075346,-1016.0,7850.0,1489.0,0.651,0.503,0.405,0.4
4075363,-980.0,8042.0,1321.0,0.65,0.503,0.405,0.4
4075379,-962.0,7984.0,1323.0,0.649,0.504,0.405,0.4
4075395,-936.0,8166.0,1241.0,0.648,0.505,0.405,0.401
4075411,-998.0,8048.0,1307.0,0.648,0.505,0.405,0.401
4075427,-962.0,8176.0,1235.0,0.647,0.506,0.405,0.402
4075453,-750.0,8680.0,991.0,0.646,0.507,0.405,0.402
4075469,-696.0,8708.0,937.0,0.646,0.507,0.403,0.403
4075485,-536.0,8638.0,1071.0,0.647,0.506,0.402,0.405
4075502,-632.0,8482.0,1131.0,0.648,0.505,0.4,0.407
4075518,-356.0,8104.0,1219.0,0.65,0.503,0.397,0.408
4075536,-454.0,7560.0,1097.0,0.652,0.501,0.395,0.409
4075552,-464.0,7630.0,1089.0,0.654,0.5,0.394,0.409
4075568,-662.0,7908.0,1073.0,0.656,0.498,0.394,0.409
4075594,-692.0,8060.0,1127.0,0.659,0.495,0.393,0.408
4075610,-684.0,7868.0,1299.0,0.662,0.492,0.393,0.408
4075626,-888.0,7548.0,1635.0,0.664,0.489,0.393,0.407
4075643,-1022.0,7256.0,1859.0,0.667,0.486,0.394,0.405
4075659,-1126.0,7204.0,2001.0,0.67,0.483,0.395,0.403
4075675,-1210.0,6848.0,2225.0,0.672,0.48,0.397,0.4
4075701,-1434.0,6908.0,2297.0,0.673,0.479,0.4,0.397
4075717,-1862.0,8100.0,2155.0,0.675,0.478,0.402,0.394
4075733,-1760.0,8488.0,2067.0,0.676,0.476,0.404,0.392
4075750,-1606.0,8408.0,1847.0,0.677,0.475,0.405,0.39
4075766,-1566.0,8230.0,1935.0,0.679,0.473,0.405,0.389
4075782,-1660.0,8056.0,1977.0,0.68,0.471,0.405,0.389
4075799,-1618.0,7748.0,2115.0,0.682,0.469,0.404,0.388
4075816,-1726.0,7420.0,2339.0,0.683,0.468,0.404,0.388
4075842,-1854.0,7278.0,2417.0,0.685,0.468,0.403,0.387
4075859,-1772.0,7518.0,2409.0,0.686,0.467,0.402,0.386
4075876,-1630.0,7486.0,2237.0,0.687,0.468,0.402,0.385
4075892,-1606.0,7816.0,2035.0,0.687,0.468,0.402,0.384
4075908,-1552.0,7700.0,2031.0,0.687,0.468,0.402,0.384
4075924,-1652.0,7628.0,2043.0,0.687,0.468,0.402,0.384
4075940,-1710.0,7880.0,1869.0,0.686,0.468,0.403,0.384
4075966,-1638.0,7792.0,1791.0,0.686,0.469,0.403,0.384
4075983,-1664.0,7740.0,1775.0,0.685,0.469,0.403,0.385
4075999,-1706.0,7914.0,1753.0,0.684,0.47,0.404,0.386
4076015,-1630.0,7750.0,1985.0,0.683,0.47,0.403,0.387
4076032,-1616.0,7492.0,2127.0,0.682,0.471,0.403,0.387
4076049,-1606.0,7546.0,2051.0,0.681,0.473,0.403,0.387
4076066,-1476.0,7758.0,1863.0,0.68,0.474,0.403,0.387
4076083,-1388.0,7760.0,1605.0,0.679,0.476,0.403,0.387
4076100,-1356.0,7712.0,1657.0,0.678,0.478,0.403,0.387
4076126,-1496.0,7670.0,1943.0,0.677,0.48,0.403,0.386
4076143,-1496.0,7544.0,1969.0,0.676,0.482,0.402,0.385
4076160,-1456.0,7570.0,1835.0,0.675,0.484,0.402,0.384
4076176,-1426.0,7854.0,1675.0,0.674,0.487,0.402,0.383
4076192,-1462.0,8194.0,1547.0,0.673,0.489,0.402,0.383
4076208,-1484.0,7854.0,1577.0,0.672,0.491,0.402,0.382
4076224,-1426.0,7848.0,1537.0,0.671,0.493,0.402,0.382
4076250,-1328.0,8118.0,1373.0,0.669,0.494,0.402,0.382
4076266,-1284.0,8296.0,1359.0,0.668,0.496,0.402,0.383
4076282,-1154.0,8470.0,1247.0,0.667,0.497,0.402,0.384
4076298,-1148.0,8330.0,1415.0,0.666,0.498,0.401,0.386
4076314,-1216.0,8096.0,1525.0,0.665,0.498,0.4,0.388
4076331,-1112.0,7958.0,1615.0,0.664,0.499,0.398,0.39
4076348,-948.0,8204.0,1419.0,0.663,0.5,0.396,0.391
4076375,-868.0,7966.0,1441.0,0.663,0.5,0.394,0.393
4076391,-948.0,7614.0,1569.0,0.663,0.5,0.393,0.395
4076407,-1136.0,7816.0,1587.0,0.664,0.501,0.391,0.395
4076423,-894.0,7956.0,1631.0,0.665,0.501,0.388,0.396
4076439,-836.0,7984.0,1363.0,0.666,0.499,0.386,0.397
4076455,-1022.0,7608.0,1613.0,0.668,0.497,0.384,0.399
4076472,-1068.0,7540.0,1751.0,0.669,0.496,0.383,0.4
4076498,-1152.0,7444.0,1997.0,0.67,0.495,0.382,0.4
4076514,-1196.0,7596.0,1937.0,0.67,0.495,0.381,0.4
4076530,-1048.0,7798.0,1833.0,0.67,0.495,0.381,0.4
4076546,-994.0,7826.0,1767.0,0.67,0.495,0.381,0.4
4076563,-992.0,8026.0,1719.0,0.669,0.496,0.382,0.4
4076580,-974.0,8090.0,1743.0,0.668,0.497,0.382,0.401
4076596,-948.0,7956.0,1875.0,0.667,0.497,0.382,0.402
4076622,-902.0,7852.0,1955.0,0.666,0.498,0.382,0.403
4076638,-874.0,7912.0,2015.0,0.664,0.499,0.382,0.405
4076654,-810.0,8162.0,1753.0,0.662,0.501,0.382,0.406
4076670,-618.0,8286.0,1591.0,0.66,0.502,0.382,0.408
