timestamp,ax,ay,az,q0,q1,q2,q3
4854783,3501.0,3046.0,2724.0,0.921,0.258,-0.289,0.044
4854799,5743.0,7000.0,2782.0,0.92,0.25,-0.299,0.04
4854815,6379.0,2426.0,3176.0,0.922,0.235,-0.307,0.033
4854831,6285.0,700.0,4720.0,0.924,0.217,-0.314,0.02
4854847,6703.0,-3080.0,5490.0,0.925,0.208,-0.317,0.007
4854873,3943.0,280.0,4448.0,0.926,0.204,-0.317,-0.006
4854889,4031.0,2416.0,4772.0,0.928,0.198,-0.315,-0.018
4854905,3825.0,1794.0,6012.0,0.93,0.189,-0.313,-0.03
4854921,3301.0,148.0,6946.0,0.933,0.179,-0.31,-0.04
4854938,3191.0,-1112.0,7606.0,0.935,0.169,-0.307,-0.047
4854954,3979.0,-1352.0,7926.0,0.937,0.163,-0.306,-0.049
4854971,3929.0,-16.0,6828.0,0.938,0.16,-0.304,-0.048
4854988,3665.0,2340.0,6040.0,0.938,0.158,-0.304,-0.046
4855014,4303.0,2194.0,6160.0,0.939,0.155,-0.303,-0.044
4855030,4919.0,1848.0,6546.0,0.94,0.154,-0.303,-0.041
4855047,5221.0,1856.0,6694.0,0.94,0.156,-0.302,-0.038
4855063,4729.0,2376.0,6292.0,0.939,0.16,-0.302,-0.034
4855080,4321.0,3062.0,6008.0,0.939,0.166,-0.301,-0.029
4855097,4369.0,3124.0,6462.0,0.938,0.171,-0.3,-0.025
4855113,4243.0,2248.0,6880.0,0.938,0.175,-0.298,-0.021
4855129,4037.0,2434.0,7620.0,0.938,0.18,-0.295,-0.017
4855156,4031.0,4196.0,7054.0,0.937,0.187,-0.293,-0.014
4855172,4121.0,6034.0,6074.0,0.937,0.192,-0.292,-0.011
4855188,4877.0,6118.0,5474.0,0.936,0.195,-0.293,-0.009
4855204,4985.0,5058.0,4844.0,0.935,0.195,-0.295,-0.008
4855221,5439.0,3886.0,4828.0,0.935,0.193,-0.297,-0.008
4855238,5673.0,3154.0,5022.0,0.935,0.19,-0.298,-0.009
4855254,5555.0,2916.0,5050.0,0.936,0.188,-0.298,-0.01
4855271,5369.0,3482.0,5464.0,0.936,0.187,-0.298,-0.011
4855298,5103.0,4164.0,6118.0,0.937,0.184,-0.297,-0.013
4855315,4939.0,4088.0,6064.0,0.938,0.18,-0.296,-0.016
4855331,4985.0,3578.0,6392.0,0.939,0.173,-0.295,-0.018
4855348,4757.0,2484.0,6294.0,0.941,0.167,-0.293,-0.02
4855364,4753.0,1888.0,6178.0,0.943,0.161,-0.291,-0.022
4855380,4715.0,1490.0,6220.0,0.945,0.157,-0.287,-0.023
4855397,4463.0,1350.0,6604.0,0.947,0.154,-0.282,-0.023
4855414,4185.0,1468.0,6854.0,0.948,0.153,-0.278,-0.023
4855430,4043.0,1548.0,6804.0,0.949,0.153,-0.273,-0.022
4855456,3875.0,1986.0,6822.0,0.95,0.155,-0.269,-0.021
4855473,3821.0,2358.0,6636.0,0.951,0.157,-0.265,-0.02
4855490,4057.0,2596.0,6738.0,0.952,0.159,-0.261,-0.018
4855506,3909.0,2788.0,6814.0,0.953,0.161,-0.257,-0.016
4855522,3817.0,2968.0,6926.0,0.953,0.162,-0.254,-0.014
4855538,3655.0,3204.0,7018.0,0.954,0.162,-0.252,-0.012
4855555,3547.0,2628.0,6900.0,0.955,0.162,-0.249,-0.01
4855581,3529.0,2406.0,6982.0,0.955,0.162,-0.248,-0.008
4855597,3427.0,2460.0,6970.0,0.956,0.162,-0.246,-0.007
4855613,3371.0,2582.0,7042.0,0.956,0.162,-0.244,-0.005
4855629,3325.0,2612.0,7058.0,0.956,0.163,-0.244,-0.004
4855645,3389.0,2548.0,7156.0,0.956,0.164,-0.243,-0.002
4855661,3533.0,2436.0,7036.0,0.956,0.166,-0.243,-0.001
4855687,3603.0,2602.0,6746.0,0.956,0.168,-0.242,0.0
4855703,3661.0,2722.0,6628.0,0.955,0.17,-0.242,0.002
4855719,3679.0,2814.0,6574.0,0.955,0.173,-0.241,0.002
4855736,3641.0,3238.0,6544.0,0.955,0.175,-0.24,0.003
4855752,3489.0,3700.0,6634.0,0.955,0.176,-0.239,0.003
4855768,3459.0,3566.0,6744.0,0.955,0.176,-0.239,0.004
4855785,3531.0,2970.0,6800.0,0.955,0.175,-0.239,0.004
4855811,3637.0,2746.0,6812.0,0.955,0.173,-0.24,0.004
