timestamp,ax,ay,az,q0,q1,q2,q3
5175668,3248.0,7481.0,-507.0,0.665,0.712,-0.199,0.107
5175684,3314.0,7547.0,-613.0,0.665,0.712,-0.199,0.107
5175700,3284.0,7635.0,-679.0,0.666,0.711,-0.199,0.107
5175716,3294.0,7607.0,-477.0,0.666,0.711,-0.199,0.107
5175733,3210.0,7437.0,-301.0,0.667,0.71,-0.198,0.107
5175749,3200.0,7401.0,-307.0,0.667,0.71,-0.198,0.107
5175775,3278.0,7359.0,-333.0,0.667,0.71,-0.198,0.107
5175792,3228.0,7405.0,-409.0,0.667,0.71,-0.198,0.107
5175808,3314.0,7583.0,-361.0,0.667,0.71,-0.198,0.108
5175824,3366.0,7491.0,-367.0,0.667,0.71,-0.198,0.108
5175840,3406.0,7431.0,-393.0,0.667,0.71,-0.197,0.108
5175857,3436.0,7331.0,-417.0,0.667,0.71,-0.197,0.108
5175874,3410.0,7457.0,-437.0,0.667,0.71,-0.197,0.109
5175891,3304.0,7553.0,-435.0,0.667,0.71,-0.197,0.109
5175907,3300.0,7505.0,-405.0,0.667,0.71,-0.196,0.109
5175934,3248.0,7509.0,-413.0,0.667,0.711,-0.196,0.109
5175951,3186.0,7497.0,-429.0,0.667,0.711,-0.195,0.109
5175968,3142.0,7497.0,-445.0,0.667,0.711,-0.195,0.109
5175985,3188.0,7467.0,-441.0,0.667,0.711,-0.195,0.109
5176002,3140.0,7519.0,-411.0,0.667,0.711,-0.194,0.109
5176019,3176.0,7527.0,-427.0,0.667,0.711,-0.194,0.109
5176035,3254.0,7495.0,-475.0,0.667,0.711,-0.194,0.109
5176051,3276.0,7515.0,-463.0,0.667,0.711,-0.194,0.109
5176067,3272.0,7469.0,-379.0,0.667,0.711,-0.193,0.109
5176084,3206.0,7493.0,-345.0,0.667,0.712,-0.193,0.109
5176111,3196.0,7543.0,-499.0,0.666,0.712,-0.193,0.109
5176128,3268.0,7557.0,-557.0,0.666,0.712,-0.193,0.109
5176144,3256.0,7559.0,-469.0,0.666,0.712,-0.193,0.109
5176160,3252.0,7523.0,-415.0,0.667,0.712,-0.192,0.109
5176176,3240.0,7431.0,-361.0,0.667,0.712,-0.192,0.109
5176192,3262.0,7399.0,-417.0,0.667,0.712,-0.192,0.109
5176209,3328.0,7529.0,-465.0,0.666,0.712,-0.192,0.109
5176235,3286.0,7503.0,-447.0,0.666,0.712,-0.191,0.109
5176252,3214.0,7489.0,-425.0,0.666,0.713,-0.191,0.109
5176269,3246.0,7573.0,-519.0,0.666,0.713,-0.191,0.109
5176285,3194.0,7567.0,-539.0,0.666,0.713,-0.19,0.109
5176302,3176.0,7577.0,-513.0,0.667,0.712,-0.19,0.109
5176319,3154.0,7525.0,-545.0,0.667,0.712,-0.189,0.109
5176336,3148.0,7485.0,-435.0,0.668,0.711,-0.189,0.109
5176352,3106.0,7397.0,-419.0,0.669,0.711,-0.188,0.109
5176369,3120.0,7401.0,-271.0,0.669,0.711,-0.188,0.109
5176386,3102.0,7459.0,-361.0,0.669,0.711,-0.188,0.109
5176403,3170.0,7479.0,-421.0,0.669,0.711,-0.188,0.109
5176430,3228.0,7517.0,-367.0,0.669,0.711,-0.188,0.109
5176447,3228.0,7533.0,-393.0,0.669,0.711,-0.188,0.109
5176464,3168.0,7553.0,-441.0,0.669,0.711,-0.187,0.109
5176481,3214.0,7579.0,-487.0,0.669,0.711,-0.187,0.109
5176497,3146.0,7539.0,-349.0,0.669,0.711,-0.187,0.109
5176513,3174.0,7443.0,-343.0,0.669,0.711,-0.187,0.109
5176529,3170.0,7487.0,-367.0,0.669,0.711,-0.187,0.11
5176545,3156.0,7521.0,-427.0,0.669,0.711,-0.187,0.11
5176571,3156.0,7587.0,-439.0,0.669,0.711,-0.187,0.11
5176588,3194.0,7527.0,-429.0,0.669,0.711,-0.186,0.111
5176604,3174.0,7417.0,-373.0,0.669,0.711,-0.186,0.111
5176620,3204.0,7437.0,-369.0,0.669,0.711,-0.186,0.111
5176636,3244.0,7463.0,-367.0,0.669,0.711,-0.186,0.111
5176652,3336.0,7471.0,-353.0,0.669,0.711,-0.186,0.112
5176668,3360.0,7481.0,-425.0,0.668,0.711,-0.186,0.112
5176694,3294.0,7505.0,-477.0,0.668,0.712,-0.186,0.112
5176711,3250.0,7549.0,-537.0,0.668,0.712,-0.186,0.112
5176727,3154.0,7565.0,-469.0,0.667,0.712,-0.186,0.112
5176743,3136.0,7583.0,-447.0,0.667,0.713,-0.185,0.112
5176759,3116.0,7553.0,-429.0,0.667,0.713,-0.185,0.112
5176775,3106.0,7565.0,-453.0,0.667,0.713,-0.185,0.112
5176801,3014.0,7519.0,-439.0,0.668,0.713,-0.185,0.112
5176818,3078.0,7499.0,-339.0,0.668,0.712,-0.184,0.112
5176838,3122.0,7523.0,-405.0,0.668,0.712,-0.184,0.112
5176854,3094.0,7545.0,-495.0,0.668,0.712,-0.184,0.112
5176871,3202.0,7573.0,-459.0,0.668,0.712,-0.185,0.112
5176887,3204.0,7511.0,-491.0,0.668,0.712,-0.185,0.113
5176904,3124.0,7547.0,-429.0,0.668,0.712,-0.185,0.112
5176921,3296.0,7443.0,-361.0,0.669,0.711,-0.185,0.112
5176938,3424.0,7419.0,-439.0,0.669,0.711,-0.185,0.112
5176954,3380.0,7457.0,-437.0,0.669,0.711,-0.184,0.113
5176971,3380.0,7513.0,-439.0,0.669,0.711,-0.184,0.113
5176988,3326.0,7479.0,-349.0,0.67,0.71,-0.184,0.114
5177005,3316.0,7377.0,-269.0,0.67,0.71,-0.184,0.114
5177022,3344.0,7321.0,-267.0,0.67,0.71,-0.184,0.115
5177048,3382.0,7299.0,-269.0,0.669,0.711,-0.184,0.115
5177065,3272.0,7433.0,-339.0,0.669,0.711,-0.184,0.115
5177081,3174.0,7553.0,-449.0,0.668,0.712,-0.184,0.115
5177098,3008.0,7667.0,-559.0,0.667,0.713,-0.183,0.115
