timestamp,ax,ay,az,q0,q1,q2,q3
7392540,4778.0,4978.0,4465.0,0.813,0.377,-0.386,0.217
7392566,4508.0,5290.0,4489.0,0.813,0.386,-0.377,0.217
7392583,4624.0,5278.0,3759.0,0.813,0.395,-0.369,0.215
7392599,3958.0,4390.0,2649.0,0.813,0.403,-0.363,0.213
7392615,3828.0,3752.0,2707.0,0.813,0.41,-0.357,0.21
7392631,3888.0,4062.0,2903.0,0.813,0.416,-0.352,0.207
7392647,3472.0,3756.0,3217.0,0.812,0.421,-0.348,0.204
7392663,3490.0,3900.0,3643.0,0.812,0.425,-0.345,0.202
7392689,3916.0,4314.0,3637.0,0.813,0.426,-0.345,0.198
7392705,4064.0,3534.0,3549.0,0.814,0.424,-0.346,0.194
7392721,4964.0,2964.0,3061.0,0.818,0.418,-0.349,0.188
7392737,5250.0,3252.0,3497.0,0.822,0.41,-0.352,0.181
7392753,7160.0,2992.0,4141.0,0.826,0.401,-0.355,0.175
7392779,6706.0,2600.0,5761.0,0.831,0.392,-0.357,0.171
7392795,7726.0,1768.0,7789.0,0.835,0.384,-0.356,0.168
7392811,7688.0,910.0,8047.0,0.837,0.381,-0.354,0.168
7392827,6622.0,1888.0,6057.0,0.837,0.383,-0.351,0.17
7392843,6686.0,3954.0,4733.0,0.836,0.387,-0.347,0.173
7392859,6148.0,4808.0,3735.0,0.836,0.389,-0.344,0.175
7392885,5744.0,4298.0,3645.0,0.837,0.389,-0.342,0.175
7392902,4900.0,3720.0,3989.0,0.838,0.388,-0.341,0.174
7392918,4650.0,3944.0,4619.0,0.839,0.387,-0.341,0.173
7392934,5136.0,4992.0,4813.0,0.839,0.387,-0.342,0.172
7392950,5052.0,4812.0,4607.0,0.84,0.386,-0.342,0.17
7392966,5194.0,5230.0,4491.0,0.84,0.385,-0.343,0.168
7392982,5554.0,4688.0,5257.0,0.842,0.381,-0.345,0.165
7393008,4964.0,3824.0,4641.0,0.843,0.377,-0.348,0.163
7393024,5266.0,4266.0,4565.0,0.844,0.372,-0.351,0.161
7393040,5814.0,3894.0,4915.0,0.845,0.367,-0.354,0.159
7393056,5520.0,2662.0,5025.0,0.846,0.364,-0.358,0.158
7393072,5548.0,3100.0,4663.0,0.845,0.363,-0.361,0.158
7393088,5826.0,4138.0,4759.0,0.843,0.363,-0.364,0.157
7393114,6708.0,5060.0,4687.0,0.843,0.361,-0.367,0.157
7393130,5486.0,3620.0,4395.0,0.842,0.358,-0.371,0.155
7393146,6198.0,3350.0,4233.0,0.842,0.356,-0.375,0.154
7393162,6210.0,3616.0,4551.0,0.842,0.354,-0.377,0.153
7393178,6336.0,3568.0,4605.0,0.842,0.354,-0.378,0.151
7393194,6840.0,3936.0,4801.0,0.842,0.354,-0.379,0.151
7393220,6880.0,5110.0,4983.0,0.842,0.352,-0.38,0.15
7393236,6874.0,4362.0,5185.0,0.845,0.346,-0.38,0.149
7393252,7018.0,3480.0,5871.0,0.848,0.339,-0.379,0.147
7393268,7858.0,2752.0,7093.0,0.853,0.332,-0.376,0.146
7393284,7576.0,2388.0,7095.0,0.858,0.324,-0.372,0.147
7393310,7420.0,1472.0,7135.0,0.863,0.312,-0.369,0.15
7393326,6864.0,1532.0,6921.0,0.868,0.301,-0.364,0.153
7393343,6902.0,958.0,6273.0,0.872,0.294,-0.359,0.158
7393359,7230.0,2218.0,6133.0,0.874,0.291,-0.352,0.164
7393375,6486.0,3578.0,5817.0,0.877,0.289,-0.344,0.17
7393391,6762.0,4456.0,5423.0,0.879,0.288,-0.336,0.174
7393407,6712.0,4562.0,5197.0,0.882,0.286,-0.328,0.178
7393433,6280.0,4256.0,4933.0,0.886,0.283,-0.32,0.182
7393450,5576.0,4124.0,4881.0,0.889,0.279,-0.312,0.185
7393466,6080.0,4186.0,5127.0,0.893,0.274,-0.304,0.187
7393483,5498.0,3094.0,5235.0,0.897,0.266,-0.297,0.19
7393499,5442.0,2948.0,5261.0,0.901,0.26,-0.29,0.192
7393516,5548.0,2454.0,5339.0,0.904,0.253,-0.282,0.196
7393532,5294.0,1922.0,5507.0,0.907,0.248,-0.274,0.2
7393548,5176.0,1314.0,5839.0,0.91,0.243,-0.266,0.205
7393574,5014.0,802.0,6109.0,0.912,0.241,-0.256,0.211
7393590,5058.0,998.0,6429.0,0.913,0.24,-0.246,0.219
7393606,5014.0,1594.0,6563.0,0.914,0.239,-0.235,0.227
7393622,4730.0,1540.0,6321.0,0.915,0.237,-0.224,0.237
7393638,4558.0,1992.0,6041.0,0.916,0.234,-0.212,0.249
7393664,4336.0,2508.0,5807.0,0.916,0.229,-0.199,0.26
7393680,3892.0,2658.0,5749.0,0.917,0.223,-0.187,0.272
7393696,3380.0,2450.0,5613.0,0.918,0.214,-0.176,0.284
7393712,2988.0,2334.0,5349.0,0.918,0.205,-0.165,0.296
7393728,2582.0,2306.0,5293.0,0.918,0.196,-0.156,0.308
7393744,2286.0,2510.0,5513.0,0.917,0.187,-0.148,0.319
7393761,2008.0,2350.0,5625.0,0.916,0.179,-0.142,0.329
7393787,1934.0,1996.0,5753.0,0.915,0.172,-0.136,0.339
7393803,1884.0,2026.0,5949.0,0.914,0.166,-0.131,0.347
7393819,1720.0,2212.0,6121.0,0.912,0.161,-0.127,0.355
7393835,1222.0,1958.0,6037.0,0.91,0.157,-0.124,0.362
7393851,1110.0,1784.0,5855.0,0.908,0.154,-0.122,0.369
7393867,978.0,1868.0,5649.0,0.906,0.152,-0.121,0.376
7393893,876.0,1782.0,5587.0,0.903,0.152,-0.121,0.383
7393909,792.0,2116.0,5383.0,0.901,0.152,-0.122,0.388
7393925,922.0,1912.0,5451.0,0.898,0.153,-0.125,0.394
7393941,918.0,1526.0,5623.0,0.895,0.156,-0.128,0.398
7393957,1096.0,1608.0,5767.0,0.892,0.161,-0.132,0.402
7393974,1450.0,1732.0,5623.0,0.888,0.167,-0.136,0.405
7394000,1586.0,1808.0,5579.0,0.885,0.174,-0.139,0.408
7394016,1724.0,1944.0,5513.0,0.882,0.184,-0.142,0.41
7394032,1608.0,2544.0,5765.0,0.878,0.195,-0.144,0.413
7394048,1840.0,3678.0,5831.0,0.874,0.206,-0.147,0.415
7394064,2212.0,3750.0,6363.0,0.87,0.217,-0.151,0.417
7394080,2862.0,3144.0,7091.0,0.866,0.228,-0.155,0.418
7394106,2758.0,3316.0,7185.0,0.861,0.239,-0.157,0.42
7394122,2674.0,3080.0,7105.0,0.857,0.251,-0.157,0.421
7394138,2790.0,3078.0,7467.0,0.853,0.264,-0.155,0.422
7394154,2650.0,3190.0,7395.0,0.849,0.279,-0.151,0.423
7394170,2436.0,3386.0,7207.0,0.844,0.294,-0.146,0.425
7394186,2270.0,3642.0,6879.0,0.838,0.31,-0.139,0.427
7394212,1982.0,4104.0,6397.0,0.832,0.325,-0.134,0.429
7394228,7560.0,5040.0,18241.0,0.827,0.335,-0.128,0.433
7394245,4422.0,17916.0,14635.0,0.831,0.323,-0.114,0.439
7394261,-2506.0,-138.0,7699.0,0.835,0.311,-0.111,0.44
7394278,2712.0,-1054.0,4931.0,0.834,0.311,-0.108,0.442
7394294,2186.0,1884.0,5483.0,0.831,0.317,-0.102,0.445
7394320,3174.0,5124.0,7215.0,0.829,0.321,-0.099,0.447
7394337,2238.0,5586.0,7075.0,0.828,0.323,-0.099,0.446
7394353,2074.0,5350.0,6331.0,0.829,0.324,-0.101,0.445
7394369,2424.0,4328.0,6369.0,0.83,0.324,-0.106,0.442
7394385,2516.0,3384.0,6707.0,0.831,0.322,-0.113,0.439
7394405,2860.0,2880.0,7127.0,0.832,0.322,-0.119,0.436
7394422,3030.0,2558.0,7269.0,0.832,0.323,-0.125,0.433
7394438,2998.0,2610.0,6511.0,0.832,0.326,-0.13,0.43
7394455,3186.0,2906.0,6501.0,0.831,0.33,-0.134,0.427
7394471,3524.0,3904.0,6619.0,0.83,0.335,-0.137,0.424
7394487,3774.0,4324.0,6155.0,0.83,0.34,-0.141,0.42
7394513,3920.0,4344.0,5969.0,0.829,0.343,-0.145,0.417
7394529,4104.0,4632.0,6027.0,0.829,0.346,-0.15,0.414
7394545,4076.0,3774.0,5857.0,0.828,0.348,-0.155,0.411
7394561,4098.0,3672.0,6141.0,0.828,0.349,-0.161,0.408
7394577,4072.0,3512.0,6103.0,0.827,0.351,-0.166,0.406
7394593,4016.0,3336.0,5903.0,0.826,0.353,-0.17,0.404
7394619,3990.0,4018.0,6295.0,0.825,0.356,-0.174,0.403
7394635,3926.0,3922.0,5869.0,0.824,0.359,-0.178,0.402
7394651,4230.0,3606.0,6047.0,0.823,0.361,-0.182,0.4
7394667,4442.0,3420.0,5821.0,0.822,0.363,-0.186,0.399
7394683,4392.0,3590.0,5971.0,0.82,0.365,-0.19,0.397
7394700,4478.0,3722.0,5771.0,0.819,0.367,-0.193,0.396
7394726,4618.0,3340.0,5927.0,0.818,0.37,-0.196,0.395
7394743,4292.0,2734.0,5143.0,0.816,0.374,-0.198,0.394
7394760,4554.0,4616.0,5395.0,0.814,0.378,-0.2,0.393
7394776,4712.0,4280.0,5365.0,0.813,0.381,-0.202,0.392
7394792,4764.0,4204.0,5693.0,0.812,0.382,-0.205,0.391
7394808,4584.0,3588.0,5481.0,0.811,0.384,-0.207,0.391
7394824,4734.0,3376.0,5425.0,0.81,0.385,-0.208,0.39
7394851,4910.0,3510.0,5489.0,0.809,0.387,-0.209,0.39
7394867,4866.0,3810.0,5399.0,0.808,0.39,-0.21,0.39
7394883,5052.0,4366.0,5131.0,0.807,0.391,-0.21,0.39
7394900,4982.0,4256.0,5135.0,0.806,0.392,-0.21,0.39
7394917,5016.0,3898.0,5175.0,0.806,0.393,-0.211,0.39
7394933,4822.0,3904.0,5557.0,0.805,0.393,-0.211,0.391
7394949,4772.0,3566.0,5473.0,0.805,0.393,-0.211,0.391
7394966,4866.0,4030.0,5329.0,0.804,0.394,-0.211,0.392
7394982,4766.0,4040.0,5257.0,0.804,0.395,-0.211,0.392
7395009,4792.0,4008.0,5329.0,0.803,0.395,-0.211,0.393
7395025,4826.0,3910.0,5369.0,0.803,0.395,-0.212,0.393
7395041,4760.0,3606.0,5405.0,0.802,0.395,-0.212,0.394
7395058,4482.0,3732.0,5299.0,0.801,0.396,-0.212,0.395
7395074,4756.0,3630.0,5473.0,0.801,0.397,-0.212,0.395
7395090,4820.0,3750.0,5351.0,0.799,0.399,-0.212,0.396
7395106,4680.0,4040.0,5573.0,0.798,0.4,-0.211,0.397
7395132,4860.0,4304.0,5087.0,0.797,0.402,-0.211,0.399
7395149,4486.0,4266.0,5185.0,0.796,0.403,-0.21,0.4
7395166,4684.0,4122.0,5235.0,0.795,0.404,-0.21,0.4
7395183,5060.0,3746.0,5077.0,0.795,0.404,-0.211,0.401
7395200,5094.0,4350.0,5607.0,0.794,0.405,-0.211,0.402
7395216,4618.0,3966.0,5035.0,0.793,0.405,-0.211,0.403
7395232,4822.0,3964.0,5147.0,0.792,0.405,-0.211,0.404
7395248,4968.0,3900.0,5145.0,0.792,0.406,-0.212,0.405
7395274,5362.0,4448.0,5397.0,0.791,0.406,-0.212,0.405
7395291,4824.0,3964.0,5701.0,0.791,0.406,-0.214,0.406
7395307,4428.0,3948.0,4841.0,0.79,0.406,-0.214,0.406
7395323,4626.0,3784.0,4953.0,0.789,0.407,-0.215,0.406
7395339,4574.0,3904.0,5025.0,0.788,0.408,-0.216,0.406
7395356,4428.0,3972.0,4763.0,0.788,0.41,-0.217,0.406
7395372,4774.0,3964.0,5577.0,0.787,0.411,-0.218,0.406
7395398,5162.0,3966.0,4831.0,0.786,0.412,-0.219,0.406
7395415,4902.0,4200.0,5573.0,0.785,0.413,-0.22,0.405
7395432,4738.0,3850.0,4893.0,0.785,0.414,-0.222,0.404
7395448,5026.0,3862.0,4805.0,0.784,0.415,-0.223,0.404
7395464,5152.0,4166.0,4853.0,0.783,0.416,-0.224,0.403
7395480,5296.0,4070.0,5115.0,0.783,0.418,-0.226,0.402
7395497,5290.0,3970.0,5403.0,0.782,0.419,-0.227,0.401
7395513,4966.0,3750.0,4719.0,0.782,0.42,-0.229,0.4
7395539,5438.0,3902.0,4405.0,0.782,0.421,-0.23,0.399
7395555,5430.0,4242.0,5155.0,0.781,0.422,-0.232,0.397
