timestamp,ax,ay,az,q0,q1,q2,q3
3539060,8285.0,1332.0,2800.0,0.523,0.569,-0.291,0.563
3539076,7777.0,1434.0,2396.0,0.522,0.562,-0.294,0.57
3539092,7651.0,1530.0,1864.0,0.521,0.555,-0.297,0.577
3539118,7567.0,1698.0,1456.0,0.518,0.549,-0.3,0.583
3539134,7499.0,1792.0,1228.0,0.516,0.544,-0.303,0.589
3539150,7611.0,1930.0,1078.0,0.512,0.54,-0.306,0.593
3539166,7709.0,2042.0,982.0,0.509,0.537,-0.309,0.597
3539182,7841.0,2346.0,984.0,0.505,0.536,-0.312,0.6
3539198,7965.0,2522.0,1020.0,0.502,0.535,-0.315,0.602
3539224,7961.0,2612.0,1152.0,0.5,0.534,-0.318,0.603
3539240,7949.0,2614.0,1286.0,0.499,0.533,-0.321,0.603
3539256,7967.0,2452.0,1310.0,0.498,0.533,-0.323,0.603
3539272,7875.0,2354.0,1440.0,0.498,0.532,-0.326,0.602
3539288,7769.0,2270.0,1530.0,0.498,0.533,-0.327,0.601
3539304,7753.0,2204.0,1638.0,0.498,0.533,-0.328,0.6
3539330,7749.0,2182.0,1776.0,0.498,0.534,-0.329,0.598
3539346,7793.0,2164.0,1882.0,0.499,0.536,-0.329,0.597
3539363,7827.0,2042.0,2024.0,0.5,0.537,-0.329,0.595
3539379,7939.0,1968.0,2142.0,0.501,0.538,-0.329,0.593
3539395,7913.0,1906.0,2274.0,0.502,0.539,-0.329,0.59
3539411,7975.0,1790.0,2360.0,0.504,0.54,-0.329,0.588
3539437,8013.0,1628.0,2456.0,0.506,0.541,-0.329,0.586
3539453,8077.0,1560.0,2508.0,0.508,0.542,-0.328,0.583
3539470,8131.0,1462.0,2394.0,0.511,0.542,-0.328,0.581
3539487,8087.0,1292.0,2410.0,0.514,0.542,-0.328,0.579
3539504,8123.0,1234.0,2250.0,0.517,0.542,-0.327,0.577
3539520,8143.0,1386.0,2044.0,0.521,0.54,-0.326,0.575
3539536,8171.0,916.0,2046.0,0.525,0.538,-0.325,0.574
3539552,8047.0,550.0,2512.0,0.529,0.535,-0.324,0.574
3539569,7941.0,664.0,2462.0,0.531,0.533,-0.321,0.575
3539595,7653.0,1162.0,2094.0,0.534,0.532,-0.317,0.576
3539612,7611.0,1226.0,1954.0,0.535,0.53,-0.314,0.577
3539629,7449.0,1386.0,1854.0,0.536,0.529,-0.312,0.579
3539645,7593.0,1658.0,1604.0,0.536,0.529,-0.311,0.58
3539661,7629.0,1732.0,1582.0,0.537,0.528,-0.311,0.58
3539677,7715.0,1790.0,1568.0,0.537,0.527,-0.312,0.58
3539693,7713.0,1748.0,1660.0,0.538,0.526,-0.313,0.58
3539719,7673.0,1508.0,1782.0,0.539,0.525,-0.313,0.579
3539735,7605.0,1372.0,1740.0,0.539,0.525,-0.314,0.579
3539751,7583.0,1536.0,1752.0,0.538,0.526,-0.314,0.579
3539767,7659.0,1718.0,1770.0,0.538,0.527,-0.314,0.579
3539783,7661.0,1800.0,1962.0,0.537,0.528,-0.313,0.578
3539799,7729.0,1892.0,2060.0,0.536,0.529,-0.313,0.578
3539826,7767.0,1864.0,2078.0,0.536,0.53,-0.313,0.578
3539842,7733.0,1720.0,2168.0,0.535,0.531,-0.313,0.577
3539858,7777.0,1822.0,2186.0,0.535,0.532,-0.313,0.577
3539875,7791.0,1824.0,2318.0,0.534,0.533,-0.313,0.576
3539891,7861.0,1828.0,2264.0,0.534,0.534,-0.314,0.576
3539907,7825.0,1898.0,2302.0,0.533,0.535,-0.314,0.576
3539923,7903.0,1978.0,2240.0,0.533,0.535,-0.314,0.575
3539950,7841.0,2012.0,2254.0,0.533,0.536,-0.314,0.575
3539966,7845.0,1960.0,2200.0,0.533,0.536,-0.315,0.575
3539982,7877.0,1894.0,2128.0,0.533,0.535,-0.315,0.574
3539998,7849.0,1898.0,2074.0,0.533,0.535,-0.315,0.574
3540015,7825.0,1986.0,1976.0,0.534,0.535,-0.315,0.574
3540031,7761.0,2056.0,1932.0,0.534,0.535,-0.315,0.574
3540048,7735.0,1990.0,1816.0,0.535,0.535,-0.316,0.573
3540074,7739.0,1870.0,1802.0,0.535,0.535,-0.317,0.572
3540090,7769.0,1856.0,1814.0,0.536,0.535,-0.318,0.571
3540107,7769.0,1888.0,1876.0,0.536,0.535,-0.318,0.57
3540124,7783.0,1836.0,1888.0,0.537,0.535,-0.319,0.569
3540141,7739.0,1724.0,1886.0,0.538,0.535,-0.32,0.568
3540157,7773.0,1666.0,1910.0,0.538,0.535,-0.321,0.567
3540173,7805.0,1790.0,1906.0,0.538,0.535,-0.322,0.566
3540190,7733.0,1798.0,1922.0,0.539,0.535,-0.324,0.565
3540216,7919.0,1706.0,1950.0,0.539,0.535,-0.326,0.563
3540232,7919.0,1704.0,1978.0,0.539,0.535,-0.328,0.562
3540249,8039.0,1770.0,1984.0,0.54,0.534,-0.33,0.561
3540265,8051.0,1712.0,2000.0,0.54,0.534,-0.331,0.56
3540281,7955.0,1678.0,1970.0,0.541,0.533,-0.333,0.559
