timestamp,ax,ay,az,q0,q1,q2,q3
4144873,-570.0,6962.0,-411.0,0.663,0.673,0.245,0.218
4144890,38.0,6502.0,-433.0,0.666,0.672,0.24,0.217
4144907,146.0,7236.0,-347.0,0.667,0.672,0.237,0.217
4144923,116.0,7994.0,-431.0,0.666,0.673,0.235,0.217
4144939,-342.0,8760.0,-199.0,0.665,0.674,0.236,0.218
4144956,-590.0,8684.0,205.0,0.665,0.673,0.236,0.22
4144973,-890.0,8080.0,97.0,0.666,0.672,0.237,0.222
4144990,-652.0,7648.0,-47.0,0.666,0.67,0.238,0.223
4145007,-424.0,7662.0,-27.0,0.667,0.669,0.24,0.225
4145033,-572.0,8192.0,73.0,0.667,0.668,0.242,0.226
4145049,-504.0,8592.0,31.0,0.667,0.666,0.244,0.228
4145066,-358.0,8620.0,109.0,0.667,0.664,0.247,0.229
4145083,-760.0,8712.0,35.0,0.668,0.661,0.249,0.232
4145100,-318.0,7720.0,141.0,0.669,0.659,0.251,0.234
4145116,-318.0,7526.0,235.0,0.669,0.657,0.254,0.237
4145132,-452.0,8044.0,351.0,0.669,0.656,0.257,0.239
4145149,-440.0,7946.0,353.0,0.668,0.654,0.26,0.241
4145175,-498.0,7750.0,573.0,0.668,0.653,0.263,0.243
4145191,-670.0,8802.0,471.0,0.668,0.651,0.265,0.244
4145207,-550.0,8610.0,547.0,0.669,0.649,0.266,0.246
4145224,-674.0,8212.0,691.0,0.67,0.647,0.267,0.248
4145241,-856.0,8398.0,843.0,0.671,0.645,0.268,0.249
4145257,-728.0,8022.0,707.0,0.672,0.644,0.267,0.25
4145274,-592.0,8150.0,707.0,0.673,0.642,0.267,0.252
4145290,-394.0,8336.0,401.0,0.674,0.641,0.266,0.253
4145316,-402.0,8202.0,625.0,0.675,0.64,0.265,0.255
4145333,-408.0,8300.0,673.0,0.675,0.639,0.263,0.258
4145350,-542.0,8386.0,607.0,0.676,0.638,0.262,0.261
4145367,-492.0,7916.0,719.0,0.676,0.636,0.26,0.264
4145384,-344.0,7896.0,745.0,0.676,0.636,0.258,0.267
4145400,-166.0,8258.0,699.0,0.675,0.637,0.257,0.271
4145417,-500.0,8346.0,639.0,0.674,0.637,0.255,0.274
4145434,-580.0,8208.0,791.0,0.673,0.637,0.253,0.277
4145451,-648.0,7596.0,1001.0,0.673,0.636,0.252,0.28
4145468,-774.0,7728.0,955.0,0.673,0.636,0.25,0.282
4145494,-676.0,7522.0,927.0,0.673,0.637,0.248,0.283
4145510,-892.0,7712.0,877.0,0.673,0.637,0.247,0.283
4145526,-772.0,8082.0,615.0,0.674,0.637,0.245,0.282
4145543,-918.0,8216.0,655.0,0.675,0.637,0.243,0.281
4145560,-756.0,8332.0,637.0,0.676,0.637,0.242,0.28
4145577,-822.0,8134.0,769.0,0.677,0.637,0.24,0.279
4145594,-1024.0,8030.0,791.0,0.677,0.638,0.239,0.278
4145611,-1028.0,8194.0,809.0,0.678,0.638,0.237,0.277
4145627,-676.0,8022.0,661.0,0.678,0.639,0.235,0.276
4145653,-676.0,7980.0,749.0,0.678,0.64,0.234,0.275
4145669,-446.0,8074.0,771.0,0.678,0.641,0.232,0.274
4145685,-250.0,8076.0,667.0,0.678,0.642,0.23,0.273
4145702,-150.0,7966.0,893.0,0.678,0.643,0.229,0.273
4145718,110.0,7950.0,955.0,0.677,0.644,0.228,0.272
4145734,316.0,8166.0,917.0,0.677,0.645,0.227,0.272
4145750,244.0,7868.0,1037.0,0.676,0.646,0.227,0.273
4145776,146.0,8070.0,1111.0,0.675,0.646,0.227,0.273
4145792,306.0,7792.0,1057.0,0.675,0.646,0.228,0.274
4145808,394.0,7718.0,945.0,0.674,0.646,0.229,0.274
4145825,542.0,7952.0,807.0,0.674,0.646,0.231,0.274
4145841,674.0,7536.0,743.0,0.673,0.646,0.234,0.274
4145857,358.0,8132.0,911.0,0.672,0.646,0.237,0.274
4145883,146.0,7940.0,1019.0,0.671,0.646,0.24,0.273
4145899,114.0,7932.0,991.0,0.67,0.646,0.243,0.273
4145915,-130.0,8178.0,907.0,0.67,0.646,0.247,0.272
4145932,44.0,7802.0,787.0,0.668,0.646,0.25,0.27
4145948,-142.0,8008.0,709.0,0.667,0.647,0.254,0.269
4145964,-296.0,8074.0,713.0,0.665,0.648,0.258,0.267
4145981,-480.0,7900.0,733.0,0.663,0.649,0.262,0.266
4146007,-664.0,8160.0,701.0,0.661,0.65,0.266,0.265
4146023,-772.0,8080.0,609.0,0.659,0.651,0.269,0.263
4146039,-608.0,8034.0,477.0,0.657,0.652,0.273,0.262
4146055,-568.0,8090.0,291.0,0.654,0.654,0.276,0.261
4146071,-630.0,8056.0,143.0,0.652,0.655,0.28,0.26
4146097,-784.0,8100.0,35.0,0.649,0.656,0.284,0.26
4146113,-822.0,8230.0,11.0,0.646,0.658,0.288,0.259
4146129,-1046.0,8558.0,-35.0,0.644,0.658,0.291,0.259
4146145,-914.0,8986.0,-507.0,0.642,0.659,0.294,0.26
4146161,-964.0,8728.0,-141.0,0.642,0.657,0.296,0.262
4146177,-794.0,7476.0,109.0,0.641,0.657,0.298,0.263
4146193,-872.0,7718.0,-165.0,0.64,0.657,0.3,0.264
