timeMs,ax,ay,az,q0,q1,q2,q3
2312514,-3425.0,7435.0,811.0,0.159,-0.164,0.643,0.731
2312530,-3363.0,7595.0,851.0,0.16,-0.163,0.644,0.73
2312546,-3457.0,7683.0,969.0,0.161,-0.163,0.645,0.729
2312562,-3435.0,7763.0,1005.0,0.163,-0.163,0.645,0.728
2312589,-3421.0,7711.0,1133.0,0.165,-0.162,0.646,0.727
2312606,-3499.0,7681.0,1259.0,0.166,-0.162,0.647,0.726
2312623,-3623.0,7645.0,1201.0,0.168,-0.162,0.648,0.725
2312640,-3561.0,7649.0,1195.0,0.171,-0.162,0.648,0.724
2312657,-3753.0,7429.0,1247.0,0.173,-0.163,0.648,0.724
2312674,-3867.0,7055.0,1363.0,0.176,-0.164,0.648,0.723
2312690,-4057.0,6859.0,1455.0,0.178,-0.164,0.647,0.723
2312707,-4139.0,6741.0,1461.0,0.181,-0.165,0.647,0.722
2312724,-4221.0,6615.0,1423.0,0.183,-0.166,0.647,0.721
2312741,-4243.0,6645.0,1465.0,0.185,-0.166,0.647,0.721
2312757,-4211.0,6673.0,1501.0,0.187,-0.167,0.647,0.72
2312774,-4175.0,6671.0,1473.0,0.189,-0.167,0.647,0.72
2312801,-4195.0,6845.0,1429.0,0.19,-0.168,0.646,0.72
2312818,-4023.0,6977.0,1359.0,0.191,-0.169,0.646,0.719
2312835,-4143.0,7115.0,1317.0,0.193,-0.169,0.646,0.719
2312852,-4243.0,7105.0,1331.0,0.194,-0.17,0.645,0.719
2312869,-4303.0,7037.0,1275.0,0.196,-0.171,0.644,0.719
2312886,-4329.0,7045.0,1209.0,0.197,-0.173,0.643,0.719
2312903,-4391.0,7141.0,1091.0,0.199,-0.174,0.642,0.72
2312920,-4311.0,7171.0,961.0,0.2,-0.176,0.64,0.721
2312937,-4407.0,6897.0,887.0,0.202,-0.179,0.638,0.721
2312954,-4533.0,6589.0,941.0,0.203,-0.181,0.636,0.722
2312971,-4725.0,6323.0,1005.0,0.205,-0.183,0.634,0.723
2312988,-4833.0,6139.0,1001.0,0.207,-0.185,0.632,0.723
2313005,-4945.0,5839.0,971.0,0.208,-0.186,0.632,0.723
2313022,-4985.0,5773.0,1031.0,0.21,-0.187,0.631,0.723
2313049,-5141.0,5759.0,977.0,0.212,-0.187,0.631,0.723
2313065,-4903.0,6153.0,1219.0,0.213,-0.188,0.631,0.722
2313082,-4673.0,6223.0,1357.0,0.213,-0.188,0.631,0.722
2313099,-4731.0,6315.0,1365.0,0.214,-0.188,0.631,0.722
2313116,-4709.0,6321.0,1375.0,0.214,-0.189,0.631,0.722
2313133,-4729.0,6339.0,1349.0,0.214,-0.189,0.63,0.722
2313150,-4815.0,6237.0,1293.0,0.213,-0.19,0.63,0.722
2313167,-4863.0,6001.0,1331.0,0.213,-0.191,0.629,0.723
2313184,-4979.0,6057.0,1339.0,0.212,-0.192,0.628,0.723
2313201,-4943.0,6065.0,1393.0,0.212,-0.193,0.628,0.724
2313218,-4981.0,6121.0,1385.0,0.211,-0.194,0.627,0.724
2313235,-4955.0,6087.0,1445.0,0.21,-0.195,0.627,0.725
2313261,-5001.0,5941.0,1465.0,0.209,-0.195,0.626,0.726
2313277,-5113.0,5965.0,1423.0,0.207,-0.196,0.625,0.727
2313294,-5139.0,5501.0,1445.0,0.205,-0.197,0.624,0.728
2313310,-4907.0,5761.0,1499.0,0.202,-0.197,0.623,0.73
2313326,-4827.0,5943.0,1559.0,0.199,-0.197,0.622,0.732
2313342,-4663.0,6659.0,1603.0,0.195,-0.197,0.621,0.733
2313368,-4261.0,7311.0,1579.0,0.191,-0.197,0.62,0.735
2313384,-4121.0,7711.0,1575.0,0.187,-0.197,0.619,0.737
2313400,-4067.0,7493.0,1557.0,0.184,-0.197,0.618,0.739
2313416,-4211.0,7057.0,1461.0,0.181,-0.197,0.616,0.74
2313433,-4357.0,6735.0,1341.0,0.178,-0.198,0.615,0.742
2313449,-4397.0,6611.0,1329.0,0.176,-0.198,0.615,0.743
2313475,-4459.0,6429.0,1417.0,0.175,-0.198,0.614,0.744
2313492,-4231.0,6789.0,1591.0,0.173,-0.197,0.613,0.745
2313508,-4067.0,7217.0,1777.0,0.172,-0.197,0.612,0.746
2313525,-4009.0,7515.0,1727.0,0.171,-0.197,0.611,0.747
2313542,-3893.0,7671.0,1775.0,0.171,-0.197,0.61,0.748
2313559,-3731.0,7697.0,1745.0,0.17,-0.197,0.61,0.749
2313575,-3681.0,7579.0,1681.0,0.17,-0.197,0.609,0.749
2313592,-3719.0,7413.0,1633.0,0.17,-0.196,0.609,0.749
2313608,-3659.0,7561.0,1503.0,0.171,-0.196,0.61,0.749
2313625,-3681.0,7401.0,1453.0,0.172,-0.195,0.61,0.748
2313642,-3849.0,7305.0,1451.0,0.175,-0.194,0.611,0.747
2313659,-4109.0,6973.0,1447.0,0.177,-0.194,0.611,0.747
2313686,-4307.0,6673.0,1501.0,0.18,-0.194,0.611,0.746
2313703,-4545.0,6327.0,1539.0,0.183,-0.195,0.611,0.745
2313720,-4751.0,6073.0,1587.0,0.186,-0.195,0.611,0.744
2313737,-4981.0,5851.0,1691.0,0.19,-0.195,0.611,0.744
2313754,-5125.0,5531.0,1791.0,0.192,-0.195,0.611,0.743
2313771,-5207.0,5211.0,1793.0,0.194,-0.196,0.611,0.742
2313787,-5341.0,4857.0,1877.0,0.195,-0.195,0.611,0.742
2313803,-5323.0,4759.0,1909.0,0.196,-0.194,0.613,0.741
2313829,-5179.0,4809.0,2033.0,0.195,-0.192,0.615,0.74
2313846,-4805.0,5617.0,1935.0,0.194,-0.189,0.617,0.739
2313863,-4481.0,6265.0,2049.0,0.191,-0.187,0.619,0.738
2313880,-4071.0,7087.0,2147.0,0.188,-0.185,0.621,0.738
2313897,-3849.0,7725.0,2181.0,0.184,-0.183,0.622,0.738
2313913,-3849.0,7669.0,2175.0,0.179,-0.183,0.623,0.739
2313930,-3953.0,7421.0,1987.0,0.175,-0.183,0.623,0.74
2313946,-3991.0,6825.0,1835.0,0.171,-0.184,0.622,0.742
2313962,-4313.0,6463.0,1581.0,0.167,-0.185,0.622,0.743
2313988,-4331.0,6009.0,1409.0,0.163,-0.186,0.621,0.744
2314005,-4553.0,5555.0,1329.0,0.159,-0.186,0.621,0.745
2314022,-4485.0,5855.0,1581.0,0.156,-0.186,0.621,0.746
2314039,-4243.0,6689.0,1805.0,0.152,-0.186,0.621,0.746
2314055,-3719.0,7811.0,1877.0,0.148,-0.186,0.621,0.747
2314072,-3339.0,8935.0,1905.0,0.145,-0.186,0.62,0.748
2314089,-3359.0,9193.0,1921.0,0.142,-0.188,0.618,0.75
2314106,-3349.0,8503.0,1845.0,0.139,-0.189,0.616,0.752
2314122,-3173.0,8037.0,1873.0,0.135,-0.191,0.612,0.755
2314138,-3587.0,7377.0,1919.0,0.131,-0.193,0.608,0.759
2314155,-3545.0,7059.0,1973.0,0.126,-0.195,0.604,0.763
2314181,-3781.0,6911.0,2255.0,0.12,-0.198,0.598,0.767
2314198,-3689.0,7181.0,2325.0,0.115,-0.201,0.593,0.771
2314215,-3709.0,7413.0,2247.0,0.109,-0.204,0.586,0.776
2314232,-3913.0,7573.0,2115.0,0.104,-0.208,0.579,0.781
2314249,-3869.0,7421.0,2071.0,0.099,-0.211,0.571,0.787
2314266,-3873.0,7085.0,2021.0,0.094,-0.215,0.563,0.792
2314282,-3919.0,6823.0,1875.0,0.091,-0.218,0.556,0.797
2314298,-4153.0,6355.0,1699.0,0.088,-0.22,0.55,0.801
2314315,-4097.0,5997.0,1523.0,0.086,-0.222,0.546,0.803
2314341,-4085.0,5877.0,1175.0,0.085,-0.221,0.545,0.804
2314357,-4123.0,5861.0,931.0,0.086,-0.219,0.547,0.803
2314373,-3737.0,6153.0,665.0,0.088,-0.215,0.552,0.801
2314389,-3585.0,6459.0,577.0,0.09,-0.21,0.559,0.797
2314405,-3725.0,6559.0,397.0,0.092,-0.204,0.568,0.792
2314421,-3809.0,6881.0,117.0,0.096,-0.198,0.578,0.786
2314438,-3643.0,7167.0,-23.0,0.1,-0.191,0.589,0.779
2314465,-3637.0,7153.0,-65.0,0.104,-0.184,0.601,0.771
2314482,-3571.0,7259.0,-123.0,0.109,-0.176,0.614,0.762
2314499,-3569.0,7359.0,-193.0,0.115,-0.168,0.627,0.752
2314516,-3679.0,7287.0,-109.0,0.121,-0.159,0.64,0.742
2314533,-3755.0,7397.0,147.0,0.129,-0.15,0.654,0.73
2314550,-3629.0,7511.0,623.0,0.137,-0.141,0.669,0.717
2314567,-3547.0,7509.0,919.0,0.146,-0.13,0.685,0.702
2314584,-3301.0,7549.0,1261.0,0.156,-0.12,0.701,0.686
2314601,-3291.0,-4625.0,3019.0,0.163,-0.119,0.697,0.688
2314618,1531.0,13437.0,3723.0,0.165,-0.12,0.699,0.685
2314635,-3747.0,4727.0,3501.0,0.164,-0.116,0.706,0.679
2314652,555.0,13281.0,6761.0,0.164,-0.117,0.71,0.674
2314669,-3193.0,9375.0,1353.0,0.162,-0.116,0.711,0.674
2314695,-1341.0,9479.0,1515.0,0.16,-0.119,0.709,0.677
2314712,-2153.0,8975.0,2371.0,0.157,-0.123,0.704,0.681
2314729,-2487.0,9633.0,2251.0,0.153,-0.128,0.697,0.688
2314746,-2593.0,8627.0,2145.0,0.148,-0.135,0.688,0.698
2314763,-3191.0,7933.0,1823.0,0.142,-0.143,0.677,0.708
2314780,-3363.0,8041.0,1293.0,0.136,-0.151,0.665,0.719
2314797,-3273.0,8721.0,1221.0,0.129,-0.16,0.65,0.732
2314813,-3179.0,8417.0,1031.0,0.12,-0.171,0.632,0.746
2314830,-3245.0,8185.0,737.0,0.11,-0.182,0.612,0.762
2314846,-4003.0,7037.0,585.0,0.099,-0.193,0.591,0.777
2314863,-4389.0,5955.0,455.0,0.089,-0.203,0.573,0.789
2314889,-4399.0,5703.0,317.0,0.081,-0.211,0.557,0.799
