timeMs,ax,ay,az,q0,q1,q2,q3
2891874,4920.0,5422.0,2999.0,0.728,0.585,-0.103,0.343
2891890,4956.0,5312.0,3259.0,0.731,0.581,-0.106,0.343
2891906,5172.0,4956.0,3371.0,0.733,0.577,-0.11,0.343
2891922,5542.0,4924.0,3561.0,0.734,0.574,-0.113,0.345
2891948,5424.0,4988.0,3557.0,0.734,0.573,-0.115,0.346
2891964,5538.0,5242.0,3441.0,0.733,0.573,-0.117,0.348
2891980,5502.0,5436.0,3367.0,0.731,0.574,-0.117,0.349
2891996,5472.0,5886.0,3103.0,0.729,0.577,-0.117,0.35
2892012,5334.0,6202.0,2805.0,0.725,0.58,-0.116,0.352
2892038,5120.0,6472.0,2565.0,0.722,0.584,-0.113,0.353
2892054,4882.0,6520.0,2371.0,0.719,0.588,-0.111,0.354
2892070,4680.0,6584.0,2223.0,0.716,0.592,-0.108,0.355
2892087,4484.0,6746.0,2055.0,0.713,0.595,-0.106,0.356
2892103,4420.0,7004.0,1979.0,0.71,0.597,-0.104,0.357
2892119,4350.0,7242.0,1881.0,0.708,0.599,-0.102,0.359
2892135,4338.0,7370.0,1863.0,0.707,0.601,-0.1,0.36
2892161,4344.0,7396.0,1781.0,0.706,0.601,-0.099,0.36
2892177,4368.0,7062.0,1923.0,0.707,0.601,-0.098,0.36
2892193,4430.0,6748.0,2023.0,0.708,0.599,-0.097,0.36
2892209,4368.0,6508.0,2039.0,0.71,0.598,-0.097,0.359
2892225,4298.0,6272.0,2189.0,0.712,0.596,-0.096,0.358
2892241,4370.0,6146.0,2415.0,0.715,0.593,-0.097,0.358
2892267,4498.0,6116.0,2579.0,0.717,0.591,-0.098,0.358
2892283,4530.0,5990.0,2757.0,0.719,0.588,-0.099,0.358
2892299,4582.0,5984.0,2825.0,0.72,0.585,-0.101,0.358
2892315,4690.0,5850.0,2861.0,0.722,0.583,-0.103,0.358
2892331,4756.0,5732.0,2933.0,0.723,0.582,-0.104,0.358
2892347,4922.0,5720.0,2965.0,0.723,0.581,-0.106,0.358
2892373,5054.0,5754.0,2967.0,0.723,0.581,-0.107,0.358
2892389,5140.0,5910.0,2823.0,0.722,0.582,-0.107,0.358
2892405,5114.0,6090.0,2699.0,0.721,0.584,-0.108,0.357
